SUA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
1000,3299,27664,20181,387440,8839,447423,24,202,88,8199,268,8781,3428,307,321,1949,96,6098,1135,220,107,513,23,1993,5998,1788,1239,3266,118,12405,45264,25283,18870,307485,8049,404947,2707,101,645,182,69,3702,1674,376,259,2358,77,4741,8138,2604,1957,29626,659,42984,1356,523,183,1510,61,3643,1099,274,128,404,22,1935,2415,212,165,320,28,3137,8944,5772,3831,100419,2016,120985,6081,2411,923,10755,325,20491,441,18,37,30,8,528,890,268,117,714,43,2033,307,75,31,134,5,558,1921,610,352,1804,69,4756,1482,457,322,476,65,2795,2631,1255,1007,781,74,5755,2128,503,305,1164,61,4163,892,191,152,481,11,1734,11208,6605,4881,79019,1652,103370,520,75,71,133,11,807,1472,248,194,181,11,2109,1193,156,101,764,44,2256,355,49,39,51,21,514,213,45,19,31,9,310,588,47,66,35,6,745,1860,591,380,2688,56,5578,18902,4602,3364,8569,562,35998,1222,486,371,10735,80819,93632,112196,49766,35891,708236,98993,1005080
1001,368,2484,1747,30768,569,35936,0,19,3,256,4,279,422,24,51,170,3,665,260,43,30,90,3,428,644,229,150,553,20,1588,3033,2342,1561,27760,557,35242,468,21,92,19,12,610,99,22,21,220,8,361,953,391,276,4841,77,6544,168,56,21,200,13,458,139,33,12,67,5,254,938,41,22,25,10,1039,615,587,363,10308,150,12029,481,237,101,1382,28,2233,54,0,5,0,0,62,67,22,11,85,3,193,18,6,4,12,0,40,71,37,12,126,0,246,160,36,36,37,0,266,169,128,95,79,9,481,282,57,33,180,4,565,74,18,14,47,0,158,810,588,425,7730,127,9675,125,21,5,42,3,206,114,23,12,10,0,158,126,15,15,124,3,275,153,8,5,5,0,178,3,3,0,0,0,7,67,7,12,3,3,81,144,46,24,227,12,455,3258,441,317,908,43,4970,198,35,26,808,5391,6455,12097,4676,3205,62355,6675,89007
1002,93,681,503,7960,144,9381,4,9,3,295,3,316,415,15,20,63,0,507,4,5,0,6,0,23,100,47,19,102,7,269,912,627,456,7057,157,9209,144,3,19,3,3,170,47,23,6,51,0,126,171,66,51,816,10,1115,38,7,3,36,0,86,23,10,0,13,0,43,189,4,4,11,0,207,202,163,115,2757,39,3280,56,36,27,198,4,322,15,0,0,0,0,22,13,9,8,31,0,61,0,0,0,0,0,0,10,4,0,16,0,33,40,7,9,11,0,69,56,32,16,22,0,132,37,10,10,32,0,85,26,4,0,27,0,62,290,174,127,2130,37,2762,10,0,0,3,0,16,47,7,3,3,0,64,34,3,4,20,0,60,58,0,3,0,0,60,5,0,4,0,0,11,58,4,0,0,0,61,41,17,15,83,0,156,1401,149,151,240,9,1947,32,4,4,184,1551,1769,3779,1201,896,15588,1889,23352
1003,95,836,645,7990,188,9751,0,4,0,95,0,100,96,15,14,56,3,181,22,4,6,4,0,46,164,41,32,56,3,294,1399,812,598,7734,189,10741,69,0,27,3,0,103,58,16,14,80,0,170,195,75,48,762,11,1095,33,10,3,65,0,114,25,8,3,12,0,51,107,6,0,22,0,138,307,236,168,2987,61,3756,158,100,27,381,10,672,19,0,0,0,0,19,11,10,0,17,0,36,8,0,0,4,0,9,39,13,6,23,0,77,43,22,8,18,0,88,109,43,42,25,5,232,53,11,8,29,0,99,13,8,0,18,0,41,375,234,144,2204,56,3009,8,3,0,3,0,14,38,13,3,8,0,65,36,3,3,25,0,66,6,3,0,5,0,16,11,3,0,4,0,22,28,0,8,0,0,35,61,15,8,94,3,177,593,169,147,283,15,1205,19,18,7,206,1744,1996,3302,1583,1155,16648,2158,24852
1004,62,484,360,5264,173,6341,0,11,0,136,8,145,50,12,7,47,5,117,111,10,4,18,0,139,139,27,16,68,4,257,1181,530,342,4635,132,6821,53,0,17,3,0,75,47,0,0,63,3,114,205,44,24,391,9,668,72,10,0,36,0,124,39,10,0,4,0,53,39,3,3,0,0,45,215,130,75,1640,31,2085,154,48,22,162,9,389,3,0,0,3,0,5,13,4,0,5,0,23,8,0,0,0,0,13,47,15,5,22,4,87,33,8,6,3,0,52,46,15,20,18,4,109,70,5,8,22,0,109,23,6,0,3,0,36,307,127,100,1233,22,1780,12,0,0,0,0,19,24,7,7,3,0,35,28,0,3,14,0,43,13,3,0,0,0,14,4,3,0,0,0,11,21,0,0,0,0,19,51,16,7,57,4,137,411,70,41,151,9,679,34,11,7,125,1068,1245,2874,933,633,10209,1393,16044
1005,125,952,694,13139,229,15141,0,6,7,244,3,264,212,8,21,111,6,356,30,10,12,17,0,68,166,79,43,191,0,471,1197,864,643,11406,247,14354,134,6,44,11,8,205,40,8,14,120,0,183,178,89,58,880,13,1218,32,16,8,82,5,142,35,5,3,15,0,63,217,14,9,3,0,238,287,231,163,4610,67,5363,116,102,32,381,3,640,19,0,6,0,0,25,58,26,6,37,0,126,9,3,3,0,0,14,35,17,12,79,0,138,62,20,14,15,0,111,92,64,22,49,0,221,69,24,11,55,0,158,26,10,7,14,0,58,371,223,169,2808,54,3619,22,0,3,15,0,41,58,17,12,5,0,89,41,5,0,22,0,69,45,0,3,12,0,60,4,0,0,0,0,9,55,0,3,0,0,59,59,34,14,98,3,201,816,185,122,329,8,1465,52,14,14,309,2679,3070,3771,1734,1268,25061,3182,35020
1006,195,1599,1087,11298,226,14401,0,6,3,61,3,79,390,14,23,57,3,495,80,18,18,21,0,139,286,97,52,144,13,595,3111,1611,1108,10570,276,16685,109,10,25,4,0,144,101,35,8,93,3,243,399,127,96,830,25,1484,158,44,26,103,9,339,92,15,12,19,0,144,223,5,3,3,0,240,615,381,227,3869,85,5174,391,146,53,486,19,1103,31,0,3,3,0,40,69,28,9,51,0,153,42,3,0,13,0,57,102,26,19,85,0,238,48,12,19,14,3,97,119,64,48,34,3,272,175,29,25,69,0,299,62,16,16,28,0,114,836,453,311,3113,64,4783,33,3,0,3,0,45,97,13,20,21,0,159,86,7,9,31,3,138,13,0,4,4,0,25,23,4,3,3,3,38,62,0,4,4,0,74,130,35,24,125,3,320,1308,280,204,433,18,2236,41,17,11,257,2217,2544,7588,2956,2014,22404,2812,37777
1007,31,375,216,7591,213,8424,0,3,0,153,6,168,24,4,0,20,0,47,32,3,4,27,0,65,30,17,14,21,0,81,282,319,173,5841,176,6782,103,0,33,8,7,149,9,4,3,44,0,58,62,36,19,710,24,849,20,9,0,40,5,74,3,0,0,3,0,7,64,0,0,17,0,77,52,57,33,1497,26,1667,125,75,22,330,12,557,7,0,0,0,0,5,3,3,6,17,0,29,0,0,0,0,0,3,65,36,23,112,3,236,14,7,3,5,0,27,18,12,8,5,0,40,11,0,4,32,0,49,0,7,0,9,0,14,86,60,45,1244,32,1476,8,0,0,0,0,12,11,0,4,0,0,17,14,0,0,12,0,27,10,0,4,0,0,17,0,0,0,0,0,3,7,0,3,0,0,9,16,8,3,46,0,67,198,63,26,152,6,444,22,3,3,250,1352,1638,1089,681,384,13796,1768,17708
1008,46,523,395,6187,147,7294,0,3,0,39,0,42,48,15,8,33,0,99,8,3,0,7,0,16,113,34,18,35,4,202,1066,541,378,5601,138,7731,24,0,10,3,0,35,20,3,4,56,4,86,142,43,25,405,10,620,22,8,0,23,0,60,14,3,0,21,0,40,19,4,0,3,0,25,177,111,64,1729,29,2109,58,27,9,141,0,239,3,0,0,0,0,4,3,3,0,22,0,34,0,0,0,0,0,0,37,17,5,38,0,97,11,6,3,9,0,28,36,22,16,21,3,91,23,3,9,15,0,57,6,3,0,6,0,15,291,132,89,1375,30,1920,0,0,0,0,0,0,20,10,5,0,0,35,13,0,0,11,0,28,3,0,0,0,0,3,0,0,0,3,0,4,4,0,0,0,0,4,38,13,6,60,0,115,238,73,46,129,81,566,12,3,3,131,885,1036,2029,950,665,11843,1258,16746
1009,1631,13595,9439,106700,2400,133770,6,81,39,1258,27,1411,2871,201,256,739,40,4108,514,149,76,266,9,1011,2034,642,383,1246,39,4350,23727,12447,8772,91988,2308,139233,1757,100,443,89,38,2434,775,167,124,877,28,1965,2524,933,579,6666,161,10867,948,316,132,791,15,2201,479,128,53,175,8,838,1843,137,94,150,6,2227,5120,2991,1877,30901,575,41465,2610,1105,398,3743,104,7969,680,11,38,17,3,746,381,163,61,253,6,867,75,24,7,34,0,147,1332,398,203,1134,46,3109,1088,326,214,226,22,1872,1445,782,516,434,30,3200,917,216,139,449,20,1735,687,94,96,199,6,1085,5628,3038,2071,21922,466,33122,244,37,15,82,5,386,989,183,134,91,11,1406,1061,102,73,367,9,1609,209,41,29,34,4,317,165,37,21,27,0,247,329,13,44,18,3,403,931,265,191,1029,17,2433,9910,2560,1721,3351,195,17739,559,181,142,2209,15842,18942,58978,24087,16530,199054,21016,319676
