SUA_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
1000,1405,23857,4836,30093,1284,19217,3015,23506,3390,36770,6043,46201,5539,42486,6593,54615,8526,52878,8062,69467,10612,59418,8823,78858,6954,51005,8597,66549,2908,22942,5663,31509,733,6417,2115,9271,41347,314985,53735,410062,1594,22551,4370,28519,1715,17590,2270,21579,5701,37082,4731,47519,9102,42704,5437,57250,13845,50474,6843,71160,16748,52718,7678,77147,9173,44879,7812,61860,3241,22523,6227,31990,600,10562,3335,14500,61723,301084,48709,411518,2996,46409,9203,58615,2996,36802,5286,45086,9093,73853,10767,93714,14645,85186,12032,111863,22370,103350,14903,140622,27357,112137,16504,155996,16127,95883,16404,128415,6150,45462,11890,63495,1335,16980,5456,23769,103069,616070,102442,821578
1001,157,2525,299,2983,146,2696,303,3142,401,4862,494,5755,559,4248,443,5244,680,4376,443,5497,685,4028,462,5174,458,3036,396,3889,214,1470,304,1990,48,535,170,753,3351,27767,3306,34428,156,2394,268,2824,219,2527,255,3004,697,4935,441,6076,922,4319,389,5626,1173,4224,385,5782,1271,3993,429,5692,669,3183,457,4309,271,1824,503,2597,48,1038,227,1311,5430,28436,3351,37215,316,4918,569,5806,367,5225,559,6152,1098,9797,930,11828,1478,8560,826,10870,1850,8600,820,11273,1958,8022,889,10866,1126,6216,848,8195,482,3296,810,4591,102,1565,398,2064,8784,56203,6664,71651
1002,39,888,111,1035,46,1061,138,1250,86,1194,122,1404,120,938,91,1153,194,1031,126,1347,187,940,110,1238,119,744,91,949,64,402,72,537,15,120,34,166,865,7312,898,9078,58,962,115,1132,71,1081,145,1300,116,1244,132,1488,194,991,99,1281,275,1031,142,1447,299,994,108,1396,150,787,110,1045,69,521,115,702,13,277,63,351,1236,7891,1021,10141,100,1845,224,2171,118,2147,278,2547,199,2441,257,2894,311,1934,192,2431,464,2062,264,2794,485,1931,213,2632,265,1525,194,1989,132,925,187,1241,25,394,101,521,2102,15208,1915,19225
1003,23,588,68,683,23,421,46,492,85,899,85,1068,111,1083,102,1295,191,1231,118,1538,269,1362,166,1792,171,1293,168,1629,102,662,149,912,37,296,135,461,1008,7830,1038,9878,22,524,47,595,31,418,37,481,132,942,72,1153,204,1132,109,1449,338,1307,136,1782,465,1398,154,2015,286,1283,183,1748,94,834,243,1174,21,494,258,779,1592,8340,1234,11165,47,1110,116,1275,51,842,79,973,217,1838,165,2218,318,2217,205,2742,526,2536,260,3323,729,2756,315,3807,457,2575,352,3383,200,1499,393,2087,54,790,394,1241,2599,16169,2276,21046
1004,19,326,65,406,21,244,21,286,53,511,54,623,88,552,75,705,115,710,102,933,213,898,103,1216,152,1075,168,1399,66,537,140,743,16,161,67,246,736,5014,794,6555,17,309,44,371,31,226,24,279,72,496,49,614,128,612,75,811,194,691,61,944,283,1002,112,1400,216,1074,187,1479,80,538,166,777,19,248,122,384,1028,5188,841,7065,32,638,106,775,50,474,52,568,129,1006,103,1234,209,1155,146,1516,309,1403,163,1875,497,1903,223,2615,371,2149,360,2875,142,1074,300,1523,32,411,189,631,1769,10207,1638,13615
1005,75,1082,161,1314,60,1125,276,1454,157,1895,419,2469,193,1597,281,2077,250,1556,207,2013,275,1505,172,1946,156,1109,171,1439,65,548,118,730,18,185,59,261,1257,10596,1863,13713,83,1003,143,1226,89,1171,148,1405,254,1810,145,2212,340,1619,118,2079,434,1603,138,2177,428,1428,171,2025,252,1147,172,1570,98,732,198,1023,18,392,150,561,1999,10905,1375,14279,155,2086,306,2546,153,2296,420,2864,415,3698,564,4676,538,3219,400,4154,684,3164,341,4189,698,2929,346,3979,410,2258,343,3014,163,1275,310,1749,36,575,205,824,3251,21503,3235,27995
1006,45,986,162,1188,39,718,65,820,108,1402,135,1645,174,1552,145,1869,329,1812,199,2333,326,1836,165,2329,281,1940,213,2434,164,1146,181,1490,44,338,67,452,1505,11725,1329,14557,73,1108,136,1320,64,627,54,744,191,1362,98,1651,356,1639,147,2147,535,1915,178,2630,613,1896,186,2691,451,2182,266,2895,174,1275,240,1684,42,569,154,759,2491,12570,1458,16515,114,2092,301,2507,99,1343,116,1565,298,2769,233,3302,530,3191,294,4012,861,3725,373,4965,941,3729,346,5014,736,4120,479,5327,336,2417,420,3169,82,905,222,1209,3996,24293,2788,31077
1007,30,418,66,510,25,397,62,479,87,800,130,1020,113,696,103,906,147,910,129,1190,208,980,128,1320,112,774,127,1011,50,376,80,504,22,128,46,194,777,5488,871,7134,31,369,39,437,38,392,52,486,149,842,101,1097,163,712,74,948,208,867,87,1167,320,898,130,1344,160,754,132,1038,60,526,130,716,15,305,78,398,1136,5671,820,7629,52,793,105,949,63,790,111,962,235,1641,234,2114,272,1405,178,1861,355,1777,218,2356,526,1879,254,2663,269,1527,258,2049,112,897,209,1219,32,439,124,593,1915,11156,1693,14767
1008,16,399,57,469,20,212,27,263,33,390,43,465,74,554,48,678,139,838,89,1068,204,968,80,1252,166,1274,165,1603,82,631,161,871,15,187,64,271,750,5463,736,6952,23,336,31,382,6,176,15,202,79,409,41,527,141,585,48,768,237,852,70,1159,349,1008,91,1448,243,1201,163,1610,93,683,176,953,15,218,124,358,1182,5477,756,7412,34,734,85,856,26,395,43,463,114,805,84,997,211,1140,99,1452,380,1692,158,2227,553,1973,170,2700,406,2478,328,3214,178,1315,334,1826,35,411,185,633,1937,10936,1494,14367
1009,453,8526,858,9836,476,7943,638,9064,1215,14523,1162,16898,1837,15500,1204,18538,2566,16427,1336,20330,2868,15117,1418,19396,1995,13201,1569,16765,984,7136,1391,9510,351,2635,832,3818,12737,101005,10407,124152,443,8295,774,9515,584,7526,605,8713,2067,14589,1009,17663,3290,15426,1156,19869,4393,16167,1312,21874,4934,15361,1416,21709,2961,14126,1857,18945,1143,8641,2045,11828,267,4467,1625,6360,20080,104603,11790,136480,894,16821,1636,19349,1064,15471,1241,17777,3284,29111,2171,34566,5127,30926,2359,38409,6961,32596,2649,42205,7799,30481,2834,41107,4956,27328,3429,35704,2127,15781,3432,21338,617,7106,2453,10176,32816,205608,22205,260630
