SUA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
1000,36,446,19,4218,254,81,27,210,55,329,35,203,59,1135,5782,8167,255,63,101,140,36,101,21,88,56,1355,931,3138,19875,6062,1151,15322,1520,10051,1013,8725,1540,45762,7712,118738
1001,0,28,0,264,20,8,3,15,6,15,0,12,3,70,460,614,16,4,3,10,3,3,0,4,4,90,63,198,1800,408,62,1454,125,871,48,656,88,2982,585,9068
1002,0,10,0,99,5,0,0,3,0,10,0,0,0,16,113,144,3,0,0,0,0,0,0,0,0,18,10,36,423,127,12,309,24,214,9,162,24,726,128,2153
1003,3,21,0,126,0,0,0,8,0,3,0,3,3,35,123,176,4,3,0,3,0,0,0,3,3,34,19,69,406,182,19,392,36,204,22,259,37,1421,161,3129
1004,0,5,0,34,0,0,0,7,0,0,0,3,0,26,125,155,0,0,0,3,0,3,0,3,0,39,16,65,199,110,11,185,18,134,19,196,32,1279,160,2336
1005,0,3,0,120,7,0,0,0,0,10,0,3,0,26,136,190,3,0,3,6,4,4,0,0,0,34,19,70,708,110,30,474,38,282,19,222,38,1075,180,3177
1006,3,59,0,282,7,0,0,8,0,19,0,3,0,36,241,320,9,3,3,3,0,3,0,3,3,28,28,85,683,235,28,512,42,381,29,393,36,2039,300,4663
1007,0,3,0,53,8,0,0,0,0,4,0,0,0,24,95,132,0,0,3,0,0,0,0,0,0,41,19,76,331,59,16,204,26,180,18,126,36,781,143,1921
1008,0,12,0,32,3,0,5,5,0,3,0,8,0,41,114,169,4,0,0,5,0,3,0,0,0,35,21,74,178,98,12,212,14,128,20,194,18,1655,149,2676
1009,12,150,3,1108,60,17,6,46,10,62,4,39,10,307,1435,1992,28,9,11,22,11,16,3,16,15,383,264,778,5208,1224,216,3689,324,2881,191,2296,317,14349,1934,32635
1010,0,24,0,201,16,3,0,14,0,12,4,4,4,61,362,480,4,3,3,6,0,3,0,4,3,68,47,151,1072,382,46,950,65,572,64,605,70,3455,460,7738
1011,0,13,0,155,12,4,0,7,0,17,0,0,0,22,189,246,6,0,0,0,0,3,0,3,0,31,28,73,928,105,24,498,59,314,19,231,32,990,235,3437
1012,0,10,0,61,8,0,0,4,0,8,0,3,0,41,115,178,0,0,0,0,0,0,0,3,0,76,23,101,222,123,25,226,19,134,24,203,32,1934,158,3097
1013,0,11,0,71,9,0,0,4,3,3,0,0,3,34,94,157,3,0,0,5,0,0,0,0,0,32,21,57,430,77,6,338,38,202,11,162,20,839,132,2256
1014,0,8,0,34,4,0,0,3,3,0,0,3,0,28,67,106,0,0,0,0,0,0,0,0,0,27,13,48,239,70,15,245,18,166,10,155,13,887,100,1919
1015,0,11,0,57,3,3,0,0,0,0,0,0,0,22,70,102,5,3,3,0,0,0,0,0,0,21,20,57,394,78,14,237,21,141,13,102,15,590,111,1720
1016,0,3,0,13,0,3,0,3,0,0,0,0,0,16,45,68,0,0,3,0,0,0,0,0,0,15,20,45,117,59,11,165,14,110,14,108,16,636,77,1335
1017,0,5,0,53,3,0,0,3,0,8,0,4,0,29,113,158,0,0,0,5,0,3,0,0,0,18,17,46,426,130,14,402,30,228,21,218,31,947,141,2591
1018,0,0,0,30,0,0,0,0,0,3,0,3,3,21,45,77,0,0,4,0,0,0,0,0,0,21,8,36,175,35,6,122,12,124,8,88,14,601,67,1258
1019,0,8,0,77,0,5,0,0,0,5,0,3,0,30,117,165,0,0,5,4,0,0,0,3,0,39,12,63,365,105,15,297,22,222,20,219,32,1421,156,2873
1020,0,8,0,78,3,0,0,4,0,4,0,0,0,6,49,68,0,0,0,0,0,0,0,0,0,12,7,20,244,56,10,200,18,97,5,68,8,360,65,1128
1021,0,0,0,52,3,0,0,0,3,0,0,3,0,10,60,82,3,0,0,0,0,4,0,0,0,11,7,23,245,26,5,159,11,114,11,66,17,352,66,1081
1022,4,25,0,117,7,3,0,4,3,0,0,9,0,36,180,245,4,0,0,5,0,0,0,4,0,55,22,103,344,155,14,338,36,213,20,268,40,1990,229,3638
1023,13,189,7,1939,91,21,12,70,16,76,13,49,15,370,2206,2931,31,10,22,20,0,15,3,29,17,420,236,802,8749,1690,261,5905,560,4126,297,3239,507,18813,2686,46833
1024,0,10,0,83,4,0,0,8,3,8,0,6,0,40,188,254,3,0,3,0,0,0,0,0,0,48,25,79,529,151,24,420,31,301,24,287,30,1618,235,3642
1025,0,13,0,185,10,7,0,7,0,8,0,4,0,27,156,220,3,0,0,3,0,0,0,0,5,39,22,78,805,136,27,516,50,361,21,259,52,1271,200,3693
1026,0,3,0,44,3,0,0,0,0,3,0,6,0,16,73,99,0,0,0,0,0,3,0,0,3,8,11,29,198,46,5,147,17,105,5,77,18,374,84,1068
1027,0,37,0,194,8,0,3,6,3,9,0,5,0,65,240,336,3,0,3,4,3,0,0,5,4,67,35,121,813,244,27,633,47,349,38,388,56,3018,316,5916
1028,0,3,0,119,0,0,0,3,0,4,0,7,0,13,96,124,3,0,0,0,0,3,0,0,0,12,5,21,323,41,5,212,17,195,12,93,20,399,104,1421
1029,3,8,0,55,3,3,0,0,0,4,0,0,3,36,125,170,0,0,0,0,0,0,0,0,3,41,24,73,209,84,10,207,12,148,11,178,39,1481,165,2542
1030,196,2936,70,40302,1098,182,127,440,198,717,76,420,187,2122,19062,24619,465,111,200,180,78,188,41,153,98,2309,1886,5723,104206,15853,2595,43731,4905,41887,2012,24159,3483,112814,22548,378196
1031,0,18,0,135,9,3,3,6,0,7,3,4,3,29,191,263,7,0,3,0,0,0,0,0,0,50,27,86,861,143,40,580,59,385,23,277,43,1399,255,4055
1032,0,8,0,40,4,0,0,0,0,7,0,7,0,40,114,171,0,3,3,0,0,0,0,0,0,43,30,82,288,115,25,316,27,209,23,217,28,1443,161,2867
1033,0,12,0,41,4,0,0,4,0,0,0,0,0,30,100,146,3,0,0,3,0,0,0,5,0,37,20,68,167,98,19,190,11,99,12,164,33,1305,135,2228
1034,0,23,0,204,14,3,0,16,6,8,4,10,3,43,314,416,3,3,6,7,0,3,0,3,3,49,33,111,1213,191,42,793,80,462,33,389,60,1677,361,5294
