SUA_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
1000,4740,614,81,38,5484,64,16,84,5563,321,3,5891,12006,1562,183,127,13876,131,37,169,14050,384,20,14457,2477,259,347,36,3120,41,3,41,3160,70,3,3239,196,22,12,184,412,8,4,9,426,28,0,458,19424,2463,622,385,22894,242,64,304,23201,806,35,24040,134,24,0,9,163,43,0,44,209,31,3,243,380,80,10,15,489,43,14,56,544,33,3,576,512,102,9,26,650,82,14,102,754,66,5,817,19935,2561,633,415,23547,328,78,399,23952,872,34,24861,8901,1532,342,345,11126,540,100,644,11767,1521,38,13322,88,14,3,18,131,0,0,0,130,9,112,248,28930,4115,978,780,34803,868,177,1042,35846,2403,189,38437,9136,1133,133,75,10478,124,33,163,10641,568,9,11210,15219,2197,254,182,17858,212,64,270,18133,665,29,18819,715,112,162,19,1004,11,4,19,1017,56,3,1079,221,16,10,265,519,15,0,15,536,46,19,594,25302,3452,558,542,29856,366,98,463
1001,455,59,5,0,524,3,0,3,530,32,0,565,1520,147,28,23,1720,12,0,12,1728,39,6,1771,368,36,31,3,439,0,0,0,442,4,0,447,27,0,0,14,42,0,0,0,42,0,0,42,2370,248,72,35,2725,17,0,18,2740,71,6,2816,24,8,0,0,29,7,0,7,37,0,0,38,59,9,0,0,63,7,0,7,74,0,0,72,85,17,0,0,95,9,0,9,111,0,0,111,2452,260,72,36,2823,25,0,25,2847,77,6,2931,1012,137,31,21,1203,45,14,57,1257,112,3,1371,10,0,0,4,13,0,0,0,13,0,9,24,3475,400,103,59,4039,70,14,79,4116,191,13,4323,692,105,20,3,822,4,6,10,835,50,0,881,1506,169,15,12,1706,23,3,26,1727,46,3,1773,62,9,18,0,89,0,0,0,89,0,0,89,19,0,0,20,37,0,0,0,37,4,0,45,2280,283,53,39,2651,24,8,30
1002,118,17,0,0,140,3,0,3,144,17,0,156,250,20,3,0,272,0,0,0,277,7,0,280,45,8,13,0,66,3,0,3,69,4,0,74,4,0,0,0,4,0,0,0,4,0,0,4,416,50,19,0,480,7,0,6,490,23,0,518,0,0,0,0,0,5,0,5,5,0,0,5,3,0,0,0,4,4,0,4,12,0,0,10,5,0,0,0,6,9,0,9,16,0,0,18,419,52,19,0,489,9,0,9,504,29,0,529,218,51,0,5,274,7,3,12,286,82,0,368,0,0,0,0,0,0,0,0,0,0,0,4,641,96,19,9,761,17,4,25,791,113,0,904,193,21,6,0,220,0,0,3,223,13,0,240,297,35,3,3,337,3,0,3,343,24,0,361,6,3,5,0,18,0,0,0,18,0,0,18,3,0,0,3,4,0,0,0,4,0,0,4,503,58,15,4,583,6,0,7
1003,86,13,3,0,110,0,0,0,110,9,0,115,282,55,6,0,342,3,4,10,355,4,0,359,52,6,8,0,66,0,0,0,66,3,0,69,0,0,0,3,5,0,0,0,5,0,0,5,420,73,16,6,524,3,4,10,527,21,0,545,6,0,0,0,6,3,0,3,3,0,0,10,13,3,0,0,16,0,0,0,16,0,0,16,15,3,0,0,17,3,0,3,23,0,0,23,433,81,16,6,539,5,4,7,552,19,0,568,188,48,9,9,255,7,3,10,260,23,0,286,0,0,0,0,0,0,0,0,0,0,3,3,624,125,30,16,791,13,5,18,810,45,3,855,155,37,0,0,200,4,0,4,204,3,0,207,335,61,5,3,397,8,0,7,409,14,0,419,16,0,3,0,21,0,0,0,21,0,0,21,0,0,0,9,13,0,0,0,13,0,0,13,504,100,13,15,632,13,0,12
1004,42,6,0,3,56,0,0,0,53,3,0,57,110,31,3,0,149,3,4,3,153,10,0,160,19,0,3,0,18,0,0,0,18,0,0,20,4,0,0,0,4,0,0,0,4,0,0,4,174,42,9,3,230,3,4,3,230,12,0,249,0,0,0,0,3,0,0,0,4,0,0,4,9,0,0,0,9,0,0,0,8,0,0,8,6,0,0,0,9,8,0,8,18,0,0,18,184,45,9,3,236,7,4,13,247,12,0,264,103,20,0,8,135,18,0,20,155,31,0,188,0,0,0,0,0,0,0,0,0,0,0,6,293,64,11,12,370,26,7,31,405,40,5,453,104,23,0,0,129,0,0,0,129,3,0,132,128,46,5,0,177,0,5,5,185,19,0,203,7,0,6,0,12,0,0,0,12,0,0,14,3,0,0,0,3,0,0,0,3,0,0,3,248,63,7,0,322,0,5,5
1005,201,20,5,0,229,0,0,0,233,20,0,255,560,26,9,4,603,3,0,3,605,10,0,610,141,6,10,0,159,3,0,3,159,8,0,167,13,3,0,3,22,0,0,0,22,0,0,22,914,64,24,12,1011,3,0,3,1018,35,0,1049,4,0,0,0,3,6,0,6,7,0,0,7,21,5,0,0,27,0,0,3,28,0,0,31,22,5,0,0,34,3,0,8,39,0,0,41,939,68,27,12,1040,12,3,12,1054,34,0,1092,315,50,4,13,379,20,3,28,409,57,0,463,0,0,0,0,0,0,0,0,0,0,3,3,1258,113,28,22,1425,31,4,37,1461,93,4,1556,403,46,3,3,457,8,0,7,466,30,0,495,591,58,11,7,659,5,0,5,663,12,0,679,30,0,4,0,36,0,0,0,36,0,0,36,5,0,0,0,5,0,0,0,5,0,0,9,1030,104,22,6,1163,13,0,13
1006,191,25,3,0,214,0,3,3,217,12,0,224,549,67,5,3,630,0,0,0,634,7,4,643,94,6,4,0,108,0,0,0,108,0,0,108,6,0,0,5,14,0,0,0,14,0,3,17,840,100,19,14,968,0,3,4,968,16,9,996,0,0,0,0,0,5,0,5,9,0,0,9,19,5,0,0,21,0,0,0,24,3,0,26,19,5,0,0,21,5,0,5,30,3,0,30,858,98,19,16,988,9,3,9,995,23,9,1023,364,53,3,11,440,0,0,3,440,25,0,469,0,0,3,0,4,0,0,0,4,0,10,14,1227,156,20,28,1431,9,3,15,1441,51,12,1504,349,41,8,0,399,0,0,3,400,18,0,419,703,77,3,3,791,3,0,3,798,16,5,819,25,0,9,4,32,0,0,0,32,0,0,32,3,0,0,7,7,0,0,0,7,0,0,9,1073,122,19,15,1228,0,4,9
1007,63,15,0,0,79,0,0,0,79,5,0,87,154,9,0,0,169,3,0,3,170,10,0,175,33,8,8,0,47,0,0,0,44,3,0,48,3,0,0,0,4,0,0,0,7,0,0,7,259,22,12,4,293,3,0,7,303,20,0,322,5,0,0,0,5,0,3,4,8,0,0,8,7,3,0,0,7,0,0,0,7,0,0,7,13,3,0,0,11,0,3,4,13,0,0,13,269,25,12,4,308,7,4,11,319,20,0,337,101,23,5,5,132,12,7,19,148,30,0,181,3,0,0,0,3,0,0,0,3,0,4,4,371,49,12,10,442,19,10,26,470,48,3,525,129,17,0,3,144,3,0,3,154,13,0,165,170,7,4,8,184,5,0,8,189,12,0,202,12,0,0,0,18,0,0,0,15,3,0,21,0,0,0,8,5,0,3,3,8,0,0,8,315,20,3,14,351,8,3,18
1008,37,12,0,0,49,0,0,4,52,5,0,58,135,20,0,0,154,0,0,0,154,3,0,161,27,10,0,0,41,0,0,0,42,0,0,42,3,0,0,3,6,0,0,0,7,0,0,7,198,46,0,3,251,3,0,5,254,6,0,265,3,0,0,0,3,0,0,0,3,0,0,3,15,0,0,0,15,0,0,0,15,0,0,15,12,0,0,0,16,0,0,0,16,0,0,16,215,46,0,6,266,3,0,5,273,6,0,286,129,23,0,3,155,9,0,13,166,11,0,177,0,0,0,0,0,0,0,0,0,0,0,0,346,72,3,10,424,12,0,16,438,24,0,465,106,19,0,0,120,3,0,3,125,5,0,134,185,25,3,0,214,0,0,0,214,10,0,225,14,5,3,0,23,0,0,0,23,0,0,23,0,0,0,7,10,0,0,0,10,0,0,7,303,49,9,7,365,3,0,3
1009,1481,248,27,11,1767,33,12,45,1810,136,3,1949,4630,452,60,34,5174,47,12,58,5236,114,0,5350,1063,102,95,15,1270,10,3,15,1288,37,0,1325,74,8,4,54,134,6,0,6,135,8,0,147,7244,810,188,105,8349,91,32,120,8472,299,5,8766,48,11,0,4,61,6,3,14,76,10,0,87,259,33,6,3,298,14,3,14,312,8,0,324,309,45,6,9,367,19,3,24,392,19,0,407,7549,848,196,116,8712,116,38,152,8861,316,5,9173,3400,448,100,83,4027,112,25,138,4165,349,10,4526,9,3,0,15,27,0,0,0,27,0,36,66,10961,1299,293,212,12767,229,59,283,13054,669,46,13767,2489,370,37,16,2917,49,19,70,2990,211,0,3201,5410,513,74,45,6041,69,19,92,6131,189,5,6329,238,42,62,6,346,7,0,5,351,18,3,378,60,8,0,61,130,0,0,0,136,0,3,140,8198,937,171,136,9431,132,39,170
