SUA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
1000,385202,383634,768834,20445,22109,42555,28538,29774,58310,1903,2041,3944,3489,3557,7044,360,357,718,617,585,1207,170,181,357,332,321,652,1278,1350,2630,13,5,16,36699,38174,74875,2154,2325,4481,1317,1165,2477,60622,63776,124395,53165,48696,101856,498987,496099,995090
1001,31714,33620,65335,1930,2052,3979,2233,2504,4737,1926,1999,3923,350,308,661,86,85,170,98,87,187,37,41,79,50,40,89,59,55,112,0,0,3,4843,5126,9966,245,307,549,103,95,197,7120,7581,14698,3804,3979,7786,42638,45182,87815
1002,7875,8468,16345,1038,1213,2250,652,816,1470,27,31,64,89,113,198,4,3,9,14,13,24,8,3,12,8,5,15,14,6,23,0,0,0,815,999,1813,182,232,417,30,28,59,2061,2467,4535,1076,1140,2212,11016,12078,23097
1003,8879,9655,18530,660,731,1390,812,965,1769,39,54,85,168,192,367,8,6,17,8,16,22,5,8,12,11,6,14,10,10,14,0,0,0,1059,1252,2314,73,80,154,34,46,86,1824,2114,3939,1027,1140,2168,11733,12911,24642
1004,5777,6272,12048,308,322,631,608,618,1223,30,36,60,31,38,70,8,3,18,14,13,27,5,12,19,3,4,6,77,86,159,0,0,0,778,803,1588,26,35,60,25,22,46,1139,1179,2316,789,757,1543,7698,8211,15910
1005,12374,12927,25300,1077,1192,2272,1405,1482,2892,35,30,63,60,55,117,3,11,13,23,10,37,0,7,8,4,6,12,15,18,27,0,0,0,1550,1617,3164,89,107,197,49,30,73,2758,2939,5700,2005,1580,3577,17132,17450,34582
1006,13662,15161,28824,676,727,1404,1554,1752,3313,31,30,59,59,73,135,8,7,11,8,10,24,5,17,23,9,3,12,31,20,53,0,0,0,1701,1913,3616,155,140,295,34,41,73,2565,2824,5385,1529,1680,3206,17753,19665,37422
1007,6781,7126,13905,589,687,1278,130,146,278,32,38,66,25,28,53,67,53,120,16,18,27,3,3,8,6,5,11,11,6,17,0,0,0,290,292,583,17,26,46,20,16,33,915,1024,1938,830,839,1672,8522,8994,17517
1008,6359,6690,13052,381,444,824,514,557,1069,12,15,25,75,63,141,5,6,8,7,7,16,5,8,11,3,7,13,8,3,12,0,0,0,629,670,1301,17,23,45,16,14,32,1046,1147,2193,687,695,1380,8090,8533,16620
1009,120399,128186,248591,4389,4948,9335,13997,15148,29141,153,157,314,421,455,867,52,69,119,136,126,257,25,29,48,41,55,98,66,78,146,3,0,3,14889,16113,30999,775,912,1685,361,358,718,20410,22331,42742,12013,12852,24860,152815,163374,316189
1010,24726,26340,51071,1462,1706,3165,2596,2789,5386,119,126,240,322,331,651,30,27,64,50,59,108,16,18,33,29,32,59,15,21,36,0,0,0,3177,3400,6579,259,359,616,107,94,204,5009,5560,10566,2952,3202,6162,32691,35102,67792
1011,12581,13686,26270,764,857,1623,1734,1898,3637,48,61,110,96,102,193,20,15,32,16,24,37,3,3,6,3,4,9,7,11,16,0,0,0,1929,2119,4054,131,137,271,40,28,74,2875,3137,6014,1561,1709,3273,17015,18538,35554
1012,7317,8055,15367,544,609,1155,778,842,1615,16,20,38,36,34,71,0,0,7,3,3,5,0,0,0,4,0,3,0,3,4,0,0,0,841,905,1746,33,34,68,33,33,65,1446,1583,3033,883,1034,1912,9642,10669,20317
1013,8177,8584,16764,849,916,1764,558,578,1138,20,17,36,34,37,68,4,3,10,13,12,26,0,0,0,0,4,6,42,48,92,0,0,0,668,707,1376,77,80,157,31,15,44,1631,1713,3336,1508,1013,2521,11315,11312,22625
1014,6741,7370,14113,612,668,1280,460,471,930,21,13,35,94,123,215,0,0,0,11,13,20,0,0,0,8,10,21,6,8,11,0,0,0,597,635,1228,15,23,37,27,17,40,1250,1344,2594,957,788,1741,8948,9497,18448
1015,6921,7132,14057,655,722,1375,369,347,713,47,44,93,39,44,79,20,11,30,13,10,23,3,0,3,0,3,4,5,9,21,0,0,0,496,470,964,178,170,343,29,19,45,1353,1380,2727,1048,1050,2097,9314,9556,18879
