SUA_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
1000,24,9,19,17,10,84,2576,187,26,28,4,14,5,13,9,13,36,336,26,3,0,0,0,0,0,0,0,7,30,2317,203,136,31,36,17,26,26,24,120,2942,37,0,0,0,0,0,0,0,0,102,141,15660,736,425,70,82,50,51,55,35,819,17991,15797,215,143,36,27,21,14,26,9,626,16906,2469,56,40,9,5,3,10,4,3,80,2673,206,19,18,0,3,3,3,3,3,14,277,32,0,0,0,0,0,0,0,0,3,38,2712,72,56,8,8,6,10,3,6,99,2990,50,0,0,0,0,0,0,0,0,51,104,18557,288,192,44,28,28,24,31,11,780,19995,6776,91,47,13,0,6,6,12,4,289,7257,1433,21,14,0,3,3,3,3,0,59,1528,208,4,9,0,5,0,0,0,4,18,254,32,0,0,0,0,0,0,0,0,0,36,1669,24,26,0,3,7,4,3,3,77,1818,45,3,0,0,0,0
1001,0,0,0,0,0,10,273,13,0,19,7,6,9,3,5,3,7,70,3,0,0,0,0,0,0,0,0,0,3,241,25,34,11,10,11,3,5,3,18,352,0,0,0,0,0,0,0,0,0,0,3,1051,53,47,14,11,13,6,4,3,42,1252,1036,20,3,0,0,0,0,0,0,34,1094,265,3,3,0,0,0,0,0,0,3,274,36,0,18,4,4,0,3,3,3,0,83,9,0,0,0,0,0,0,0,0,0,6,302,3,25,11,3,0,3,3,3,5,360,0,0,0,0,0,0,0,0,0,0,3,1337,28,24,11,3,6,7,7,3,41,1461,518,10,4,0,3,0,0,0,0,17,550,230,3,3,0,0,0,0,0,0,12,243,42,0,5,4,0,3,0,0,0,4,57,3,0,0,0,0,0,0,0,0,0,3,272,3,13,4,0,3,0,0,0,12,309,3,0,0,0,0,0
1002,0,0,0,3,0,0,81,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,62,8,6,0,0,0,0,3,0,0,84,0,0,0,0,0,0,0,0,0,0,0,292,17,19,0,3,0,0,3,0,6,343,253,7,0,0,0,0,0,0,0,3,272,27,0,0,0,0,0,0,0,0,0,27,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,289,7,3,0,0,0,0,0,0,3,307,121,0,0,0,0,0,0,0,0,7,126,14,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
1003,0,0,0,0,0,0,42,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,45,4,3,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,363,18,8,3,7,0,0,4,0,17,419,418,11,8,0,3,0,3,0,0,13,451,47,3,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,52,3,0,0,0,0,0,0,0,0,60,4,0,0,0,0,0,0,0,0,0,6,471,11,8,0,3,0,3,0,0,19,514,228,3,3,0,0,0,0,0,0,9,253,24,4,0,0,0,0,0,0,0,0,34,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,0,0,0,0,0,0,38,3,0,0,0,0,0
1004,0,0,0,0,0,0,68,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,409,3,10,3,4,0,3,0,0,14,455,548,10,3,0,0,0,0,0,0,15,580,104,0,3,0,0,0,0,0,0,5,111,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,113,0,3,0,0,3,0,0,0,8,121,3,0,0,0,0,0,0,0,0,0,3,662,10,7,0,0,3,0,0,0,23,706,283,0,7,0,0,0,0,0,0,6,299,98,0,0,0,0,0,0,0,0,3,103,20,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,3,118,0,0,0,0,0,0,0,0,9,121,3,0,0,0,0,0
1005,0,0,0,0,0,0,74,8,3,0,0,0,0,0,3,0,3,20,4,0,0,0,0,0,0,0,0,0,4,69,12,10,3,0,0,0,3,0,4,93,0,0,0,0,0,0,0,0,0,8,8,355,17,18,3,5,5,0,7,3,19,428,331,3,0,0,3,0,0,0,0,11,351,68,0,0,0,0,0,0,0,0,3,68,4,0,0,0,3,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,3,0,0,3,0,3,82,0,0,0,0,0,0,0,0,0,3,0,406,6,0,0,3,0,0,3,0,14,431,173,0,0,0,0,0,0,0,0,9,182,31,0,0,0,0,0,0,0,0,0,35,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,4,39,0,0,0,0,0,0
1006,0,0,0,0,0,5,159,11,0,0,0,0,3,0,0,5,4,26,5,0,0,0,0,0,0,0,0,0,5,147,11,7,3,0,3,0,0,5,8,183,0,0,0,0,0,0,0,0,0,0,0,957,34,12,4,5,3,0,0,5,33,1052,1111,26,14,0,0,0,5,4,0,27,1196,201,3,0,0,0,0,0,0,0,3,208,22,0,0,0,0,0,0,3,0,0,26,3,0,0,0,0,0,0,0,0,0,3,223,3,0,0,0,0,0,3,0,3,239,5,0,0,0,0,0,0,0,0,0,6,1343,30,21,0,3,0,5,3,0,33,1436,638,15,11,3,0,0,0,0,0,26,689,109,3,0,0,0,0,0,0,0,4,117,20,0,3,0,0,0,0,0,0,3,21,3,0,0,0,0,0,0,0,0,0,3,134,3,3,0,0,0,0,0,0,8,146,3,0,0,0,0,0
1007,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,101,6,4,3,0,0,0,0,4,4,125,96,0,0,0,0,0,0,0,0,8,110,22,3,3,0,0,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,25,3,3,0,0,0,0,0,0,4,33,0,0,0,0,0,0,0,0,0,0,0,121,0,5,0,0,0,3,0,0,10,144,36,0,0,0,0,0,0,0,0,0,46,14,0,0,0,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
1008,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,6,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,263,12,3,0,0,0,0,0,0,14,303,430,17,4,4,0,3,0,0,0,26,485,33,0,0,0,0,0,0,0,0,0,36,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0,0,0,0,0,0,41,3,0,0,0,0,0,0,0,0,0,3,468,17,5,4,0,3,0,0,0,25,523,232,3,0,0,0,0,0,0,0,7,253,23,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0
1009,4,12,11,3,0,39,1576,149,35,39,11,19,11,12,5,15,13,300,13,0,0,0,0,0,0,0,0,0,14,1527,110,97,13,21,22,18,10,18,51,1886,9,0,0,0,0,0,0,0,0,5,21,7159,339,229,33,52,39,36,28,18,212,8150,6154,147,148,29,24,9,19,22,0,200,6765,1386,22,32,6,7,6,0,3,0,31,1496,189,15,34,12,8,0,10,5,3,16,291,25,0,0,0,0,0,0,0,0,0,25,1600,37,70,12,9,8,10,10,7,52,1808,20,0,0,0,0,0,0,0,0,10,36,7778,183,218,41,37,18,34,35,5,260,8604,3629,121,53,3,5,6,7,5,0,165,4004,870,17,8,3,0,0,0,0,0,24,921,143,4,8,3,0,0,0,4,0,9,182,10,0,0,0,0,0,0,0,0,5,14,1031,25,14,6,3,0,0,4,0,38,1116,14,0,0,0,0,0
