SUA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
1000,329142,825921,9510,15783,2464,4758,11978,20545,10578,16070,534,906,160,253,112,216,11383,17445,2233,3689,2294,3777,720,1471,1814,4111,7051,13035,3448,7793,363003,884739,71646,..,434655,884739
1001,27534,70626,4290,6859,517,884,4815,7743,626,949,52,82,29,35,0,5,711,1080,47,68,52,89,3,3,50,103,139,259,138,316,33337,80025,3810,..,37153,80025
1002,6590,16696,749,1354,143,235,888,1595,459,756,46,89,0,3,0,3,503,855,10,15,11,25,3,10,7,16,35,57,67,143,8089,19344,1135,..,9224,19344
1003,5917,14874,1649,3102,1422,2727,3070,5831,429,777,158,264,55,91,3,3,638,1132,144,213,257,372,0,0,20,35,421,628,57,98,10102,22565,1141,..,11238,22565
1004,4965,11852,338,539,320,563,655,1108,567,905,21,31,28,37,7,6,613,980,37,47,53,78,0,10,3,11,93,143,40,75,6371,14153,3451,..,9818,14153
1005,10125,27083,1124,1962,327,583,1452,2547,570,883,11,10,3,13,0,0,579,904,14,35,4,5,3,6,17,40,42,82,135,185,12333,30800,1544,..,13882,30800
1006,12420,31621,743,1137,293,510,1032,1648,300,472,0,0,0,0,4,4,303,478,77,106,0,0,6,12,29,61,117,177,101,216,13977,34143,1708,..,15683,34143
1007,6792,15192,152,239,16,30,164,268,182,232,0,0,0,0,0,3,184,233,8,21,3,8,3,5,3,5,18,44,23,52,7184,15783,1870,..,9056,15783
1008,5455,13224,559,843,91,170,650,1011,262,409,10,10,0,0,0,9,277,430,291,423,91,136,6,3,18,45,403,607,44,81,6814,15348,918,..,7734,15348
1009,92599,251513,9360,15828,5642,11508,15006,27333,6037,10139,1522,2702,1606,2973,65,102,9232,15914,327,493,516,867,25,65,228,538,1100,1960,520,951,118450,297674,16721,..,135169,297674
1010,18638,50083,1956,3574,1354,2779,3310,6351,2087,3665,320,622,301,493,9,19,2714,4801,199,306,342,532,44,76,38,76,621,988,266,544,25549,62773,2810,..,28358,62773
1011,10597,28694,912,1590,55,90,964,1674,1157,1810,17,20,0,0,0,0,1172,1828,26,79,3,4,4,3,56,176,88,263,52,112,12879,32571,1480,..,14357,32571
1012,5549,12843,1494,2483,218,420,1710,2902,600,945,304,483,405,703,0,0,1304,2132,41,59,74,122,0,0,39,82,153,263,73,124,8794,18267,2251,..,11051,18267
1013,7248,18137,731,1183,124,236,852,1417,283,437,71,91,0,0,3,3,353,530,27,34,21,34,0,3,33,59,87,130,37,75,8575,20296,1035,..,9614,20296
1014,5848,14757,377,546,230,442,609,991,522,764,26,40,0,0,0,0,549,801,47,73,24,25,10,13,18,43,93,150,48,99,7143,16800,783,..,7927,16800
1015,5129,14393,385,679,13,31,397,716,783,1673,20,23,0,0,7,17,805,1713,33,57,10,19,6,23,23,58,76,156,36,102,6436,17074,694,..,7124,17074
1016,4520,11820,146,215,36,66,185,285,197,291,0,0,13,17,0,0,205,306,25,30,3,5,3,5,22,42,52,85,44,89,5015,12588,383,..,5397,12588
1017,8390,21549,1071,1683,459,778,1525,2467,634,1048,86,130,0,0,0,0,726,1182,127,162,41,68,3,5,14,22,175,250,53,99,10869,25539,920,..,11791,25539
1018,4300,10089,427,658,84,135,507,794,108,167,20,18,0,0,0,0,126,183,11,22,7,12,0,0,18,35,35,67,12,29,4985,11167,627,..,5615,11167
1019,7614,19975,647,1021,63,158,714,1185,99,209,5,5,12,20,6,3,124,242,30,49,111,169,7,15,3,13,152,245,36,72,8632,21719,1213,..,9847,21719
1020,3683,9532,268,444,17,29,290,474,181,281,10,9,0,0,0,0,187,291,22,35,31,39,0,0,3,11,62,83,21,48,4244,10425,543,..,4788,10425
1021,3811,10033,367,638,148,246,517,890,23,38,4,14,0,0,0,0,28,52,6,12,0,0,0,0,3,9,14,23,21,34,4395,11028,794,..,5189,11028
1022,6715,17058,1164,2021,1339,3037,2503,5059,271,405,164,268,328,546,3,3,764,1222,46,78,131,209,3,13,16,28,192,327,78,152,10257,23824,4329,..,14588,23824
1023,138858,372649,12116,20833,8119,16412,20232,37240,6349,9662,2397,3862,2279,3848,204,354,11230,17735,203,344,466,656,43,106,346,703,1059,1807,857,1503,172235,430941,16189,..,188424,430941
1024,10881,28612,1095,1751,192,277,1292,2026,337,561,6,15,0,0,7,5,350,577,58,103,98,131,0,3,12,26,170,261,126,215,12808,31689,1253,..,14059,31689
1025,12074,31702,1210,1914,198,331,1401,2243,488,718,39,55,17,24,3,4,545,799,14,25,3,5,0,0,9,22,33,53,126,213,14179,35007,1646,..,15826,35007
1026,3491,8984,120,218,13,18,138,233,265,366,8,12,0,0,0,3,273,382,6,11,5,15,6,8,9,17,26,49,30,67,3958,9714,536,..,4499,9714
1027,11906,30894,2246,3866,879,1724,3125,5586,1391,2095,524,838,973,1625,0,0,2881,4557,25,46,213,312,5,6,21,46,269,406,79,169,18260,41612,2161,..,20419,41612
1028,4691,12908,378,730,182,310,558,1038,262,416,0,3,0,0,0,0,262,421,40,52,3,10,10,15,3,3,57,86,32,61,5596,14514,603,..,6205,14514
1029,6585,15496,268,452,96,166,372,622,198,290,7,9,0,5,0,0,201,307,22,32,31,54,7,4,4,10,63,103,15,30,7236,16561,3294,..,10529,16561
1030,814030,2602218,72419,174061,139120,387997,211538,562056,88013,186676,151047,326548,206060,453566,1727,3855,446851,970647,457,737,789,1323,324,737,6274,15957,7848,18755,6403,14733,1486674,4168400,116810,..,1603484,4168400
