SUA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
1000,108497,95240,35160,2870,241769,79112,8262,329142,2082,716,878,75,3748,5424,340,9510,611,287,345,20,1261,1041,158,2464,2691,1007,1221,98,5012,6474,501,11978,1520,561,966,103,3153,7002,427,10578,106,34,50,0,196,308,30,534,25,7,5,0,39,108,7,160,19,11,8,3,46,61,4,112,1682,617,1029,106,3433,7478,466,11383,550,123,82,11,765,1405,57,2233,645,143,108,16,916,1294,83,2294,149,132,56,4,333,355,27,720,547,409,164,28,1151,588,68,1814,1888,800,410,59,3162,3650,240,7051,979,773,283,34,2072,1249,127,3448,115737,98434,38107,3166,255448,97965,9595,363003
1001,7989,8650,3511,229,20378,6233,927,27534,663,320,433,43,1456,2605,228,4290,91,33,62,5,190,285,43,517,754,360,492,46,1648,2889,272,4815,74,34,54,8,176,403,39,626,11,11,0,0,18,38,0,52,7,0,0,0,4,16,0,29,0,0,0,0,0,0,0,0,92,49,60,15,201,458,47,711,16,3,3,0,16,26,0,47,14,8,0,0,18,33,0,52,0,0,0,0,0,3,0,3,10,7,7,0,27,15,0,50,35,19,13,0,62,79,4,139,44,27,15,3,88,50,7,138,8912,9100,4080,290,22385,9708,1247,33337
1002,1856,1875,850,81,4663,1612,316,6590,119,91,68,8,286,403,61,749,18,8,12,6,44,81,12,143,133,99,78,12,327,490,72,888,69,29,29,8,130,285,36,459,8,3,0,0,16,29,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,39,29,9,151,317,37,503,5,0,0,0,5,0,0,10,3,0,0,0,4,5,0,11,0,0,0,0,4,0,0,3,4,0,0,0,4,3,0,7,10,4,3,0,16,16,0,35,17,10,4,0,38,28,0,67,2103,2030,966,103,5196,2460,429,8089
1003,2089,1719,632,49,4488,1225,205,5917,386,199,217,7,811,771,57,1649,348,202,184,7,738,609,76,1422,736,403,402,14,1550,1383,138,3070,86,45,62,5,200,203,24,429,44,6,24,0,68,73,11,158,24,0,0,0,23,25,5,55,0,0,0,0,0,0,0,3,146,50,84,8,293,305,40,638,19,4,10,3,40,104,0,144,61,8,20,0,90,161,5,257,0,0,0,0,0,0,0,0,3,0,3,0,7,8,3,20,87,13,35,3,138,274,11,421,12,9,6,0,28,21,8,57,3072,2190,1159,78,6495,3203,402,10102
1004,1962,1064,619,42,3682,1151,125,4965,95,18,28,0,143,190,8,338,96,28,36,0,163,151,8,320,192,50,66,3,306,344,11,655,92,38,65,9,196,345,18,567,4,3,0,0,11,16,0,21,13,0,0,0,13,17,0,28,0,0,0,0,0,3,0,7,108,36,61,9,218,374,18,613,7,0,3,0,10,23,0,37,15,0,0,0,16,35,0,53,0,3,0,0,3,0,0,0,0,0,3,0,3,0,0,3,26,3,3,0,33,61,3,93,10,7,3,0,23,18,0,40,2298,1160,755,45,4256,1955,159,6371
1005,2761,3399,1344,89,7590,2142,392,10125,195,91,144,13,445,598,80,1124,36,22,59,4,125,174,25,327,230,117,202,19,568,775,111,1452,75,33,40,10,165,357,47,570,0,0,0,0,4,4,0,11,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,78,33,40,10,168,363,51,579,0,3,5,0,6,6,0,14,0,0,0,0,4,0,0,4,0,0,0,0,0,3,0,3,4,3,0,0,9,8,0,17,6,9,9,0,21,12,0,42,11,5,0,0,20,114,3,135,3089,3566,1597,118,8368,3408,558,12333
1006,4134,3812,1330,90,9365,2797,257,12420,162,48,44,5,261,456,24,743,92,21,31,0,151,139,4,293,257,67,80,7,408,593,28,1032,55,30,23,0,102,190,6,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,55,26,23,0,104,196,6,303,8,4,5,0,16,61,3,77,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,6,8,8,0,0,17,7,0,29,17,9,8,0,36,74,3,117,32,16,7,0,57,40,5,101,4499,3933,1448,96,9969,3702,300,13977
1007,1842,1447,997,76,4355,2257,178,6792,17,14,11,0,48,101,0,152,3,0,8,0,10,0,0,16,20,17,18,0,58,106,4,164,18,7,3,0,27,150,3,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,3,0,26,150,3,184,3,0,0,0,4,4,0,8,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,4,0,3,3,3,0,0,12,8,0,18,10,3,7,0,15,13,0,23,1888,1476,1023,78,4461,2532,182,7184
1008,2274,1341,543,34,4183,1139,130,5455,174,13,34,0,222,324,14,559,15,8,18,0,45,47,0,91,189,21,52,0,267,368,14,650,40,16,43,0,99,160,4,262,3,0,0,0,3,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,16,45,0,100,163,4,277,69,11,8,10,97,184,7,291,29,0,0,0,31,52,0,91,0,0,0,0,3,0,0,6,3,3,3,0,12,7,0,18,109,10,14,10,138,249,12,403,12,3,8,0,22,20,3,44,2620,1394,652,40,4713,1938,167,6814
1009,25307,32494,12643,919,71368,18585,2648,92599,2356,667,1061,98,4185,4947,232,9360,1270,849,980,45,3150,2247,246,5642,3623,1517,2039,148,7331,7195,484,15006,1243,467,668,64,2447,3348,247,6037,362,153,190,18,722,701,97,1522,459,182,189,20,849,673,85,1606,12,4,6,0,23,43,0,65,2080,811,1060,98,4043,4761,432,9232,60,12,32,0,102,212,19,327,85,37,66,4,195,296,23,516,5,12,3,0,17,10,0,25,47,56,46,3,153,63,10,228,192,117,139,10,465,585,46,1100,105,69,43,5,222,291,11,520,31302,35009,15925,1183,83419,31410,3618,118450
