SUA_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
1000,215,41,17,68,5,53,6,31,15,998,38,1483,82,49,13,33,12,37,7,90,14,728,18,1077,46,36,3,45,0,55,4,158,26,518,8,897,16,8,0,12,0,33,0,122,8,340,12,554,257,209,39,151,12,148,22,505,79,4771,107,6299,113,182,13,138,10,288,23,794,93,1732,29,3418,457,591,75,407,29,729,64,1398,191,15307,299,19547,544,702,59,718,66,1251,65,1559,194,5141,102,10403,1104,1052,123,1634,104,1524,147,1275,180,5582,111,12835,1793,955,107,2311,165,1202,155,828,160,3567,71,11314,1219,402,51,1731,125,982,88,449,100,974,34,6155,2131,433,97,1699,139,764,92,333,92,1066,37,6880,4249,557,158,2556,274,1240,113,404,141,1264,58,11017,2667,265,101,1557,214,428,78,177,49,499,19,6055,1732,138,55,736,97,179,46,79,21,216,17,3311,981,65,26,286,45,319,16,55,27,118,13,1953,1771,239,77,892,128,398,37,172
1001,0,3,0,0,0,0,0,0,0,70,0,78,0,0,0,0,0,0,0,3,0,45,0,52,0,4,0,0,0,0,0,11,0,28,0,44,0,0,0,0,0,0,0,11,0,20,0,31,4,6,0,3,0,6,0,37,3,257,9,328,0,8,0,8,0,16,0,43,3,96,0,191,9,34,0,14,0,52,0,114,11,929,19,1185,7,42,7,38,7,118,3,114,10,367,5,721,48,80,3,148,9,136,5,97,13,418,5,957,142,67,3,241,19,123,13,71,9,251,9,947,132,30,3,185,4,91,3,37,7,90,0,577,200,29,7,184,13,85,0,32,6,67,0,621,552,47,11,287,30,95,5,43,7,83,7,1164,311,22,15,166,21,40,7,17,3,41,0,634,181,10,3,64,9,20,0,7,0,24,0,319,78,3,4,17,0,22,0,4,0,6,0,139,106,16,3,68,7,33,3,9
1002,0,0,0,0,0,0,0,3,0,18,0,23,0,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,3,0,13,0,17,0,0,0,0,0,0,0,0,0,3,0,3,0,10,0,0,0,0,0,3,0,65,0,79,0,7,0,0,0,7,0,16,0,18,0,56,3,11,0,3,0,5,0,23,0,192,0,241,4,23,0,16,0,25,0,25,3,84,3,185,11,24,0,28,0,23,3,22,3,81,0,198,34,17,0,58,0,24,0,14,7,73,0,226,25,8,0,27,3,22,0,4,0,22,0,113,42,5,0,29,3,14,0,16,3,39,0,148,106,7,0,68,0,42,0,4,6,43,0,281,68,4,0,32,5,19,0,8,0,19,0,164,49,3,0,16,0,9,0,3,3,11,0,98,21,0,0,4,0,5,0,3,0,3,0,44,43,0,0,25,5,10,0,4
1003,0,0,0,0,0,0,0,0,0,13,0,20,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,3,3,13,0,15,0,0,0,0,0,0,0,3,0,5,0,11,0,6,0,0,0,0,0,12,4,107,0,128,3,9,0,0,0,9,0,15,0,40,0,80,3,13,0,8,3,10,0,34,3,424,3,507,8,18,0,13,0,26,3,53,4,184,0,298,17,23,3,34,0,28,3,41,0,214,3,372,42,31,3,62,3,20,3,25,8,138,3,336,24,16,0,55,4,17,0,13,0,48,0,165,44,18,0,39,0,13,0,20,0,47,3,185,101,22,4,76,12,23,3,13,0,56,3,303,59,17,0,47,3,22,3,13,0,21,0,179,41,6,0,27,0,0,0,3,0,8,0,93,18,9,0,6,0,7,0,3,0,10,0,48,41,8,0,30,3,9,4,10
1004,0,0,0,0,0,0,0,0,0,26,0,30,3,0,0,0,0,0,0,0,0,8,0,14,0,0,0,0,0,0,0,10,0,14,0,25,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,9,0,114,0,133,0,6,0,0,0,9,0,22,3,38,0,69,3,3,3,4,0,9,3,31,4,386,6,447,8,11,0,3,3,17,3,36,7,134,0,224,11,29,0,29,3,19,0,32,3,199,0,321,22,24,3,45,3,20,4,15,0,131,3,265,17,9,0,26,0,9,0,12,0,29,3,112,30,6,4,14,0,10,0,10,7,36,0,117,39,10,0,38,3,16,3,12,3,52,0,185,25,3,3,14,0,10,3,5,0,14,0,72,17,0,0,3,0,3,0,0,0,12,0,44,3,0,0,0,0,3,0,3,0,3,0,16,16,4,0,4,0,0,0,5
1005,0,0,0,0,0,3,0,0,0,32,0,33,4,0,0,0,0,0,0,4,0,16,0,16,0,4,0,4,0,0,0,3,0,10,0,21,0,0,0,0,0,0,0,3,0,15,0,15,0,0,0,0,0,0,0,10,4,107,0,126,0,3,0,0,0,3,0,18,3,36,0,65,4,11,0,13,0,17,0,33,3,304,4,401,4,10,3,20,0,34,0,24,3,127,0,229,4,17,3,41,0,25,0,39,8,138,0,283,54,15,0,73,7,40,3,18,5,100,0,316,49,9,0,52,5,28,3,16,4,25,0,200,55,5,0,46,3,27,3,8,4,31,0,194,179,14,4,87,9,37,4,19,0,38,3,402,137,4,3,52,5,27,0,4,0,15,0,254,105,3,3,27,0,6,0,3,3,12,0,166,33,3,0,13,3,11,0,0,0,5,0,74,60,3,0,35,0,7,3,3
1006,3,0,0,0,0,0,0,0,0,56,0,65,0,0,0,0,0,0,0,3,0,36,0,41,0,0,0,0,0,0,0,10,0,21,0,31,0,0,0,0,0,0,0,6,0,9,0,16,3,10,0,0,0,0,0,13,5,152,4,186,0,13,0,3,0,5,0,18,0,63,0,103,8,17,0,10,0,25,0,50,8,455,7,581,7,27,0,9,0,33,0,64,0,249,4,390,16,37,0,47,0,37,3,47,0,293,0,484,45,38,3,73,5,45,9,35,4,208,0,454,45,17,3,68,5,37,0,26,3,85,3,299,60,16,3,55,6,23,3,28,0,80,0,268,165,18,4,100,6,50,7,17,4,112,3,486,112,12,5,53,6,28,4,13,0,45,0,278,62,9,3,32,0,13,0,4,0,34,0,161,38,4,0,11,9,33,0,9,0,17,0,120,98,11,5,43,8,29,0,26
1007,0,0,0,0,0,0,0,0,0,12,0,16,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,3,0,7,0,101,4,124,0,0,0,4,0,3,0,10,0,33,0,51,4,3,3,3,0,9,0,26,4,294,4,360,7,9,0,7,4,24,3,37,3,69,3,161,13,22,0,19,3,26,3,15,3,85,3,187,18,9,4,26,0,19,0,10,3,61,8,154,19,3,0,16,3,15,0,0,0,4,0,67,22,0,5,31,0,18,0,0,0,12,5,104,73,3,3,44,7,33,6,3,8,14,0,196,77,3,0,27,5,6,0,0,0,0,0,127,44,0,0,12,0,3,0,0,0,0,0,67,21,0,0,3,0,8,0,0,0,0,0,31,29,3,0,10,0,11,0,0
1008,3,0,0,0,0,0,0,0,0,23,0,29,0,0,0,0,0,0,0,0,0,25,0,27,0,0,0,0,0,0,0,6,0,21,0,28,0,0,0,0,0,0,0,6,0,7,0,15,0,0,0,0,0,0,0,6,0,144,0,154,0,0,0,5,0,3,0,19,0,66,0,99,7,15,0,3,0,6,0,39,3,563,6,638,0,16,0,4,0,23,0,35,0,233,0,322,13,17,0,21,0,20,4,27,0,235,0,341,23,17,0,41,0,21,6,16,0,116,3,234,6,6,0,20,0,14,3,11,3,39,0,107,21,7,0,28,0,12,0,10,0,29,0,111,40,7,0,28,3,16,0,9,3,49,0,156,23,4,0,27,0,3,0,3,0,16,0,86,17,3,0,11,3,3,0,0,0,3,0,38,16,0,0,4,0,3,0,0,0,3,0,25,8,0,0,5,0,3,0,0
1009,3,0,0,5,0,5,0,10,4,382,11,418,7,3,0,3,0,0,0,34,4,175,7,235,0,3,0,3,0,8,0,44,4,135,0,201,0,0,0,0,0,8,0,31,5,85,3,128,11,36,3,8,0,21,0,89,7,1245,24,1452,5,29,0,12,0,54,9,173,7,492,7,791,13,104,10,45,0,145,9,305,32,4723,80,5467,48,125,10,92,13,351,11,411,42,1778,27,2910,98,205,13,289,15,408,18,353,56,1860,28,3342,294,186,20,521,26,387,22,271,36,1269,26,3065,318,103,19,446,28,309,16,123,18,346,6,1727,505,79,11,457,35,271,17,122,16,337,6,1856,1396,145,29,739,66,433,34,114,23,409,12,3401,1005,66,28,471,44,124,23,71,7,170,0,2006,621,33,22,227,33,54,13,21,5,65,0,1087,318,20,6,81,14,140,4,20,9,51,0,666,480,52,17,222,24,92,7,49
