SUA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
1000,274206,268547,542750,45323,48447,93771,75349,78931,154285,5163,5536,10701,9153,9547,18697,927,962,1882,1572,1526,3102,499,535,1042,852,855,1709,3843,4039,7883,26,16,40,97398,101944,199344,5671,6410,12076,2511,2363,4867,150901,159158,310061,50723,46510,97231,475828,474223,950052
1001,20238,21377,41614,3957,4328,8287,5387,5928,11310,4724,5102,9828,896,812,1709,161,158,315,193,182,379,111,114,220,133,125,257,142,179,317,0,0,0,11744,12591,24336,774,949,1716,293,276,571,16769,18145,34913,3175,3273,6448,40182,42794,82978
1002,4882,5310,10189,1788,1928,3721,1748,2060,3812,92,109,200,274,326,602,21,23,43,34,42,79,20,21,41,19,27,46,36,30,60,3,0,3,2245,2640,4884,624,660,1280,72,59,126,4729,5290,10016,875,959,1837,10483,11562,22041
1003,5681,6243,11923,1453,1598,3049,2134,2400,4531,151,174,325,431,489,927,26,23,52,57,57,110,27,25,52,23,27,50,23,32,61,0,0,0,2867,3231,6099,251,276,528,91,82,176,4665,5195,9863,900,990,1894,11248,12426,23678
1004,3810,4099,7913,687,765,1443,1513,1606,3115,94,90,179,132,127,257,12,18,33,34,34,69,28,28,56,12,11,23,288,291,584,0,0,0,2112,2208,4322,85,103,185,60,56,115,2938,3119,6062,683,693,1373,7436,7913,15350
1005,7743,7980,15721,2260,2478,4743,3684,3991,7671,52,60,121,149,169,322,18,33,49,40,33,77,15,9,23,18,21,38,36,39,80,0,3,4,4026,4359,8381,278,308,588,103,82,186,6671,7225,13894,1770,1359,3127,16180,16564,32748
1006,8790,9665,18452,1632,1788,3416,4417,5063,9479,85,103,191,169,185,359,18,17,36,30,42,72,21,15,36,14,17,27,85,94,176,0,0,0,4839,5541,10375,363,428,794,82,78,165,6924,7832,14751,1240,1394,2634,16944,18884,35834
1007,5223,5447,10669,1192,1395,2586,373,435,799,76,88,169,87,94,174,175,201,374,43,46,89,27,18,45,24,14,40,11,12,29,0,0,0,809,903,1713,82,83,164,36,30,67,2117,2414,4535,780,752,1531,8118,8612,16732
1008,4351,4584,8933,929,1022,1949,1525,1611,3129,64,68,125,177,185,361,10,10,23,27,28,53,14,13,29,11,12,22,28,27,54,0,0,0,1848,1955,3806,58,77,139,39,28,70,2871,3087,5963,580,608,1195,7804,8283,16088
1009,79713,84582,164295,11021,12045,23067,38169,41903,80073,471,514,984,1290,1364,2655,172,202,381,340,372,712,101,120,217,132,132,259,209,223,433,3,4,8,40889,44828,85722,2700,3020,5722,956,923,1884,55573,60817,116390,9653,10539,20183,144938,155939,300874
1010,16000,16861,32864,3246,3600,6852,6397,7163,13558,377,450,825,943,918,1866,94,81,179,157,180,334,77,79,151,69,78,147,78,83,156,0,0,0,8192,9027,17215,922,1117,2043,264,297,560,12631,14042,26666,2486,2664,5150,31120,33567,64685
1011,7972,8697,16671,1536,1838,3374,4160,4457,8619,94,123,218,211,226,441,25,30,59,51,46,97,17,10,26,20,23,47,40,35,76,0,0,0,4619,4954,9578,376,450,827,82,72,153,6620,7311,13934,1332,1453,2785,15924,17461,33386
1012,4830,5299,10130,1101,1262,2364,2105,2319,4425,51,44,98,156,150,305,12,16,25,18,19,29,17,19,33,5,8,10,13,20,39,0,0,0,2372,2583,4953,85,115,201,66,99,163,3628,4061,7685,856,960,1815,9306,10324,19632
1013,5407,5671,11077,1848,1949,3797,1446,1523,2964,44,45,88,97,110,202,22,13,34,31,45,72,10,15,22,8,3,11,143,166,309,3,0,4,1791,1917,3705,212,210,423,37,48,87,3882,4124,8007,1430,944,2377,10719,10739,21456
1014,4543,4979,9517,1440,1662,3105,1135,1234,2365,43,46,95,201,240,438,11,12,16,35,32,63,4,6,12,20,25,53,15,13,23,0,0,0,1460,1606,3065,69,83,147,58,47,107,3025,3398,6420,920,693,1614,8486,9069,17559
1015,4679,4848,9527,1354,1530,2884,895,910,1801,127,95,220,70,67,141,37,26,56,7,5,15,8,8,11,11,6,16,22,27,52,0,0,0,1174,1148,2327,549,513,1062,53,35,86,3127,3230,6353,911,953,1864,8720,9033,17749
1016,3691,3878,7567,884,1086,1971,776,867,1642,22,26,48,101,83,184,5,3,6,7,15,24,6,5,11,5,5,11,9,12,19,0,0,0,937,1012,1951,60,53,114,47,51,105,1925,2206,4136,1242,895,2138,6856,6978,13840
1017,6722,7409,14136,1272,1443,2717,2693,2988,5683,78,82,167,415,435,850,27,52,77,34,51,90,15,18,32,26,52,73,15,17,32,0,0,0,3306,3689,6995,176,217,397,123,89,210,4878,5439,10319,1182,1211,2391,12782,14065,26845
