SUA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1000,3,21,29,223,217,166,41,20,8,730,55,286,233,1103,516,454,201,40,17,2912,0,3,6,110,36,126,91,60,49,473,9,51,45,294,452,745,966,469,146,3169,3,16,13,63,95,82,42,18,3,332,9,170,241,730,525,491,371,129,26,2694,0,0,0,11,54,88,108,82,17,363,3,34,23,175,68,58,42,21,9,432,5,14,80,371,27,17,3,0,0,516,20,86,92,426,153,81,37,3,0,897,0,0,0,23,37,30,33,12,4,146,0,7,7,44,38,27,10,8,3,134,50,204,215,660,436,541,527,126,35,2796,13,22,51,268,94,70,22,5,0,549,0,8,20,108,155,166,231,108,27,830,0,27,32,130,110,119,61,9,3,485,88,316,379,1937,1337,1586,1740,946,293,8631,3895,9188,8783,20631,15245,17026,14514,8065,3417,100764,55035,128469,103705,205577,140622,155996,128415,63495,23769,1005080
1001,0,0,0,14,13,10,0,0,0,43,10,57,60,215,75,60,31,3,0,501,0,0,0,14,5,14,16,6,21,64,0,0,8,27,48,58,70,46,19,278,3,0,4,13,10,3,0,0,0,34,0,16,41,73,41,16,9,5,7,214,0,0,0,0,9,12,21,15,10,74,5,17,15,94,24,10,4,7,0,165,0,0,0,17,0,0,0,0,0,20,6,5,10,51,19,7,3,0,0,105,0,0,0,0,0,5,3,0,0,5,0,0,0,0,0,0,0,0,0,3,4,16,18,45,26,26,17,6,0,165,0,6,3,29,3,0,3,0,0,51,0,0,5,8,18,17,19,4,3,69,0,7,7,21,6,3,3,3,0,52,22,95,111,459,209,170,208,164,69,1512,335,553,824,1652,807,890,702,549,251,6558,6033,11331,11954,22702,11273,10866,8195,4591,2064,89007
1002,0,3,3,18,8,3,0,0,0,40,0,12,19,85,14,13,0,0,0,148,0,0,0,3,0,3,0,0,0,10,0,5,10,7,11,14,21,9,4,82,0,5,0,4,0,4,0,3,0,18,0,9,16,21,21,8,8,3,0,81,0,0,0,0,0,0,0,0,0,0,0,9,8,29,5,6,0,4,0,61,0,0,5,8,0,0,0,0,0,18,0,3,3,18,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,17,18,25,16,21,19,4,0,124,0,8,5,33,4,0,0,0,0,50,0,3,0,5,3,3,6,0,4,23,0,0,7,4,3,3,0,0,0,25,29,69,76,236,48,41,27,21,3,560,84,128,412,396,255,214,160,141,54,1837,1312,2820,4717,5330,2794,2632,1989,1241,521,23352
1003,0,0,0,10,11,6,0,0,0,29,0,9,4,24,8,13,8,0,0,71,0,0,0,3,0,0,3,0,3,16,0,4,3,15,19,19,26,20,9,120,3,0,0,3,3,3,0,0,0,14,0,3,4,31,16,10,24,8,3,100,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,3,3,0,0,8,0,0,0,6,0,0,0,0,0,4,0,6,12,17,13,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,4,4,23,16,14,16,9,0,89,0,0,0,11,3,0,0,0,0,21,0,0,0,8,0,7,7,6,3,29,0,3,0,9,3,3,0,0,0,17,4,12,5,77,37,35,52,24,12,254,70,150,127,329,260,300,291,222,192,1933,1176,2628,2251,4958,3323,3807,3383,2087,1241,24852
1004,0,0,0,4,0,3,0,0,0,8,0,4,3,23,12,7,3,0,0,60,0,0,0,0,3,5,8,3,3,21,0,0,0,3,7,19,33,23,17,107,0,3,0,0,0,0,0,0,0,5,0,6,0,13,8,5,23,6,0,62,0,0,0,0,6,0,3,10,0,16,0,0,0,4,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,10,0,0,0,0,0,0,5,4,0,11,0,0,0,0,4,0,0,0,0,4,0,0,3,10,3,4,9,0,3,35,0,0,0,8,4,0,0,0,0,12,0,0,0,0,3,10,9,3,7,27,0,0,0,0,0,4,0,0,0,4,0,0,4,39,30,35,59,49,11,237,45,110,97,231,158,223,284,178,69,1388,697,1735,1348,2754,1875,2615,2875,1523,631,16044
1005,0,0,0,11,10,3,0,0,0,24,8,15,21,56,23,18,0,3,0,146,0,0,0,0,0,3,0,6,0,17,3,4,10,15,28,29,31,23,4,135,0,0,0,7,3,0,3,3,0,19,0,4,16,34,10,10,11,0,0,97,0,0,0,0,4,3,3,0,0,14,0,7,6,16,17,3,5,0,0,45,0,0,0,0,0,0,0,0,0,3,0,0,7,27,9,3,0,0,0,51,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,7,10,23,6,11,6,0,0,65,3,3,8,30,12,0,0,0,0,62,0,0,0,0,7,3,5,3,0,16,0,0,4,7,5,6,3,0,0,19,4,13,27,77,38,34,34,23,13,254,105,208,463,528,268,310,280,220,166,2545,2275,4751,5410,8830,4189,3979,3014,1749,824,35020
1006,0,0,0,11,8,11,3,0,0,32,0,5,18,43,16,14,15,0,0,117,0,0,0,4,8,9,18,9,5,57,0,5,7,18,31,56,84,64,16,275,0,9,5,5,3,0,3,3,0,35,0,5,16,47,25,24,50,19,4,187,0,0,0,0,5,0,9,7,3,28,0,3,0,7,0,0,0,7,0,17,0,7,4,17,7,3,3,3,0,38,3,3,3,23,5,3,0,0,0,48,0,0,0,7,4,4,4,0,0,20,0,0,0,3,0,0,0,0,0,7,0,8,17,23,25,21,30,15,0,137,0,4,13,25,9,0,0,0,0,56,0,5,0,3,5,7,23,11,3,62,0,0,0,12,8,4,3,3,0,31,3,9,20,89,79,110,124,69,39,544,95,282,215,514,355,344,400,263,103,2568,1945,4755,4076,7313,4965,5014,5327,3169,1209,37777
1007,0,0,0,0,0,0,0,0,0,0,0,18,6,54,23,15,7,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,0,0,0,21,0,0,0,0,0,0,0,0,0,7,0,0,0,5,4,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,21,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,8,16,10,10,12,6,0,63,58,103,114,335,220,252,237,137,82,1543,974,1972,1911,3970,2356,2663,2049,1219,593,17708
1008,0,0,0,0,3,3,0,0,0,8,0,0,3,6,9,8,3,0,0,33,0,0,0,0,0,0,0,3,0,7,0,0,0,0,7,16,46,17,4,97,0,0,0,0,0,0,0,0,0,4,0,0,0,12,7,10,6,3,0,35,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,9,5,9,0,3,44,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,7,0,0,3,15,0,0,0,3,0,0,0,0,0,5,0,0,8,5,27,22,18,20,7,112,28,76,63,153,163,194,281,206,116,1281,655,1722,1313,2449,2227,2700,3214,1826,633,16746
1009,0,7,17,87,81,61,19,15,5,296,19,90,137,645,340,326,133,26,21,1735,0,8,6,91,36,70,63,36,29,334,3,54,41,202,284,369,477,308,119,1868,6,20,12,34,46,37,16,8,3,189,0,87,166,459,326,218,184,96,28,1568,0,0,0,8,24,24,28,33,11,126,0,4,3,84,44,37,37,18,3,234,0,14,12,56,11,12,3,0,0,112,13,41,61,278,101,50,3,0,0,548,0,0,0,3,7,17,8,3,0,39,0,0,3,22,26,10,15,6,3,92,15,111,93,276,194,171,123,26,13,1014,4,24,20,145,62,38,12,4,0,299,3,14,9,80,75,89,116,67,28,482,0,17,31,100,47,39,19,6,3,269,32,159,170,1178,769,719,809,511,165,4508,777,1671,1823,4245,2676,2809,2778,2157,1535,20470,18804,40241,37128,72977,42205,41107,35704,21338,10176,319676
