SUA_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
1000,204,57,19039,305,433,16,0,449,3,754,3,19,28,0,45,0,49,5,6,0,0,6,0,15,311,456,38,3,498,3,814,66,3,0,0,3,29,99,19167,647,40,12,704,82,19949,3649,35,0,0,35,14,3697,59,122,3,0,129,0,188,0,6,3,0,10,0,13,0,0,0,0,0,0,3,61,131,12,0,138,0,205,4,0,0,0,0,3,14,3716,171,12,0,176,21,3909,1058,19,0,0,19,3,1082,17,33,0,0,33,0,46,0,0,0,0,0,0,3,0,3,0,0,3,0,0,17,34,0,0,34,0,50,3,0,0,0,0,0,3,1084,52,0,0,52,4,1137,138751,1650,19,25,1698,438,140892,2728,3678,125,8,3809,27,6567,75,199,152,0,351,0,417,38,32,0,20,57,6,98,2845,3905,278,33,4215,31,7091,463,15,4,0,15,332,814,142062,5566,298,59,5926,811,148795
1001,20,0,1689,32,79,3,0,87,0,113,3,8,20,0,32,0,35,0,0,0,0,0,0,0,36,87,28,0,114,0,147,3,0,0,0,0,0,5,1700,110,28,0,135,0,1841,393,6,0,0,6,0,398,9,27,0,0,29,0,35,0,4,25,0,29,0,29,0,0,0,0,0,0,0,14,26,30,0,56,0,64,0,0,0,0,0,0,0,409,31,30,0,59,0,469,110,0,0,0,0,0,110,0,6,0,0,6,0,6,0,3,8,0,12,0,12,0,0,0,0,0,0,0,0,10,8,0,21,0,21,0,0,0,0,0,0,0,110,10,8,0,21,0,133,12337,152,0,0,156,25,12513,296,896,25,3,933,3,1226,6,110,153,0,263,0,266,3,3,0,0,6,0,5,304,1011,177,6,1196,3,1501,11,0,0,0,0,16,26,12649,1164,182,6,1349,45,14044
1002,9,0,374,6,25,3,0,31,0,40,0,10,0,0,11,0,11,0,0,0,0,0,0,0,6,29,5,0,37,0,46,0,0,0,0,0,0,0,371,39,5,0,50,0,419,89,0,0,0,0,0,89,0,11,0,0,11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,10,0,14,0,0,0,0,0,0,0,89,12,0,0,10,0,105,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,24,2626,51,3,0,52,5,2683,75,317,21,0,339,0,413,0,68,12,0,81,0,81,3,0,0,0,0,0,4,75,382,35,0,415,0,490,0,0,0,0,0,15,15,2702,433,33,0,471,21,3194
1003,3,0,429,13,5,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,5,0,16,0,0,0,0,0,0,0,438,11,0,0,11,0,446,95,0,0,0,0,0,99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,99,24,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,4,0,30,2801,53,0,0,53,3,2856,82,130,3,0,132,0,213,0,0,6,0,3,0,6,0,0,0,0,0,0,0,81,129,8,0,133,0,224,0,0,0,0,0,5,8,2884,184,8,0,190,10,3086
1004,3,0,188,7,8,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,8,0,11,0,0,0,0,0,0,0,192,6,0,0,6,0,202,45,0,0,0,0,0,45,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,47,0,0,0,0,0,46,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,1568,17,4,0,25,0,1593,54,48,3,0,47,0,99,0,4,0,0,6,0,6,6,0,0,0,0,0,6,57,52,0,0,56,0,112,3,0,0,0,0,0,3,1628,73,10,0,75,6,1709
1005,8,0,668,13,31,8,0,38,0,49,0,3,3,0,7,0,7,0,0,0,0,0,0,0,13,35,6,0,46,0,56,0,0,0,0,0,0,0,668,41,6,0,51,0,722,143,4,0,0,4,0,143,3,13,0,0,13,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,17,0,17,0,0,0,0,0,0,0,142,18,0,0,25,0,166,51,0,0,0,0,0,51,4,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,4,0,0,0,0,0,0,0,52,3,0,0,3,0,57,5100,72,3,0,77,3,5174,130,233,7,3,250,10,384,0,23,17,0,38,0,38,4,0,0,0,0,0,4,129,261,24,3,290,10,424,3,0,0,0,0,11,9,5230,332,28,3,359,17,5613
1006,9,3,695,17,32,0,0,34,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31,0,0,33,0,45,0,0,0,0,0,0,0,698,45,0,0,43,3,749,163,0,0,0,0,0,169,8,8,3,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,11,0,16,0,0,0,0,0,0,0,167,8,3,0,8,0,179,48,3,0,0,3,0,52,0,5,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,9,0,9,0,0,0,0,0,0,0,48,4,3,0,9,0,60,5138,118,0,0,118,19,5277,180,245,7,0,254,0,434,5,16,3,0,22,0,28,0,4,0,4,3,0,9,185,270,13,4,281,0,472,3,0,0,0,0,16,16,5330,390,10,4,401,35,5761
1007,0,4,223,3,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,9,0,0,0,0,0,0,0,228,3,0,0,3,4,233,31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,36,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,1745,13,0,0,13,8,1767,43,49,0,0,49,0,96,0,3,0,0,3,0,3,0,0,0,0,0,0,0,46,53,0,0,53,0,100,3,0,0,0,0,4,14,1798,60,0,0,60,9,1877
1008,0,0,295,3,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,8,0,0,0,0,0,0,0,296,3,0,0,3,0,298,71,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,75,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,1895,4,0,0,4,0,1907,49,16,0,0,17,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,16,0,0,26,0,70,5,0,0,0,0,0,7,1950,25,0,0,30,4,1985
1009,107,4,5982,191,244,11,3,257,0,448,6,14,11,0,26,0,34,5,3,0,0,3,0,8,199,267,25,3,286,0,485,3,0,0,0,0,10,15,6065,369,30,4,399,17,6481,2051,22,3,0,27,3,2077,80,119,10,0,126,0,207,3,7,12,0,19,0,22,3,0,0,0,0,0,3,82,128,17,0,149,0,236,7,0,0,0,0,0,7,2137,153,19,0,181,7,2323,917,25,0,0,30,0,939,36,45,3,0,51,0,86,0,11,9,0,20,0,20,0,0,0,0,0,0,0,35,52,11,0,67,0,101,4,0,0,0,0,0,4,954,82,15,0,94,0,1046,44903,1062,21,11,1090,66,46055,1631,2458,91,11,2558,8,4203,38,206,113,0,324,0,360,23,19,4,3,24,0,46,1690,2681,206,16,2907,8,4606,71,10,0,0,10,72,158,46665,3747,224,26,4001,148,50817
