SUA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
1000,632,2671,54,435,390,59,4,66,37,4348,159,712,17,56,106,18,0,7,5,1088,4723,20532,767,2544,3759,884,110,838,305,34462,30,59,16,106,47,10,3,14,5,289,1894,3330,369,2118,2195,530,86,427,137,11080,1974,2311,638,4465,3588,924,133,638,160,14827,3010,2661,4128,9439,8198,3199,515,2638,341,34134,556,251,209,813,1529,748,98,583,49,4833,949,479,359,1548,2311,839,109,609,76,7278,243,232,66,207,454,152,28,110,25,1531,910,725,312,1095,1141,718,95,742,420,6170,16332,38553,7013,23107,24202,8173,1188,6739,1658,126978,58,216,4,14,25,4,0,4,6,330,361,1488,34,36,72,9,3,19,36,2059,2322,5570,187,352,605,157,46,138,119,9499,93,270,16,25,34,4,5,3,11,466,1066,3738,148,537,487,96,27,100,61,6251,315,885,42,108,144,24,4,20,11,1558,10234,30408,1900,3695,4654,1421,472,1688,575,55029,62,70,31,121,52,17,11,26,8,400
1001,51,346,3,80,54,5,0,3,0,546,20,121,0,4,15,5,0,0,0,159,314,2337,52,337,389,122,3,55,23,3628,0,7,3,15,4,3,0,0,0,30,93,244,36,198,212,56,4,23,4,862,183,263,92,624,420,138,11,63,18,1815,225,212,458,1096,961,454,51,228,22,3709,25,16,21,78,149,68,6,45,8,417,30,24,19,148,200,78,12,48,3,562,3,23,10,23,38,16,0,11,4,132,29,51,13,67,83,62,3,67,30,407,1079,4187,724,2714,2560,1008,101,549,121,13042,8,32,0,3,0,0,0,0,0,44,18,182,0,3,5,0,0,0,0,217,222,659,18,52,62,22,8,24,4,1076,16,41,0,0,3,0,0,0,0,69,106,526,20,97,62,9,3,4,3,825,35,140,3,10,20,3,3,0,0,222,761,3491,194,478,532,197,81,114,50,5888,0,5,6,18,5,5,0,3,0,47
1002,18,112,3,20,18,3,0,0,0,173,5,29,0,4,3,3,0,0,0,50,93,634,35,130,171,41,3,27,10,1139,0,7,0,3,0,0,0,0,0,10,17,61,10,40,58,9,0,5,3,210,34,55,10,99,98,25,0,14,3,341,29,49,66,173,186,84,4,47,3,635,6,12,4,18,20,10,0,10,0,86,10,12,5,23,51,20,0,11,3,126,5,9,0,3,8,5,0,7,0,40,6,11,8,9,17,8,0,24,3,92,275,1390,145,532,668,207,9,157,36,3426,0,6,0,0,0,0,0,0,0,9,47,471,3,6,12,0,0,4,0,539,76,326,14,29,38,10,0,44,5,542,6,17,0,3,3,0,0,0,0,31,37,165,3,24,22,4,0,3,0,262,5,45,7,9,6,3,0,0,0,68,205,1018,84,205,221,66,11,76,18,1905,3,7,0,3,0,0,0,0,0,14
1003,9,86,0,26,8,6,0,0,0,135,10,20,0,3,4,0,0,0,3,33,97,733,26,108,106,48,3,20,11,1158,0,0,0,3,3,3,0,0,0,7,30,88,10,55,57,17,0,11,3,275,33,53,20,139,79,45,6,7,0,384,58,70,99,236,192,83,3,44,16,796,9,7,8,17,40,16,0,9,3,106,18,20,7,47,59,30,0,14,0,196,4,14,3,8,16,5,0,0,0,53,10,18,7,27,20,15,0,14,11,117,302,1289,181,696,609,270,15,125,51,3532,3,11,0,0,0,0,0,0,0,19,15,70,0,3,0,0,0,0,0,87,68,245,3,26,26,5,0,4,3,373,3,12,0,0,0,0,0,0,0,21,24,143,5,27,8,7,0,0,0,216,12,27,0,3,4,0,0,0,3,45,232,1172,62,165,143,81,13,49,15,1935,3,0,0,5,3,0,0,0,0,14
1004,9,40,0,4,5,0,0,0,0,60,3,8,0,0,0,0,0,0,0,9,48,206,8,48,57,19,0,8,7,394,0,0,0,0,0,0,0,0,0,7,21,43,8,20,19,15,0,3,0,124,28,29,10,47,53,13,0,5,4,189,37,46,54,178,102,78,3,28,12,540,8,3,6,11,24,13,0,4,0,67,6,11,3,20,29,24,0,8,0,115,0,3,3,8,9,4,0,0,0,25,4,12,3,14,15,10,0,10,6,78,176,462,97,357,321,163,7,68,31,1681,0,6,0,0,0,0,0,0,0,6,0,16,0,0,0,0,0,0,0,16,17,72,5,3,3,0,4,3,3,101,0,10,0,0,0,0,0,0,0,11,18,63,4,5,5,0,0,0,0,93,0,14,0,0,4,0,0,0,0,22,84,311,20,73,69,25,5,16,13,609,4,0,3,0,0,0,0,0,0,10
1005,17,114,0,13,13,3,0,3,0,165,9,47,5,4,3,0,0,0,0,64,165,982,35,164,182,47,3,27,13,1623,0,0,0,0,0,0,0,0,0,3,32,104,10,69,88,22,0,5,4,342,51,103,30,197,113,41,5,20,9,574,88,95,150,378,336,145,17,80,13,1308,14,13,14,26,75,35,3,16,0,195,14,14,16,39,95,39,4,24,3,255,3,18,0,12,15,9,0,6,3,74,6,22,11,27,33,22,0,25,8,146,448,1755,275,965,969,365,31,225,56,5098,0,9,0,0,0,0,0,0,0,9,16,114,0,0,3,0,0,0,4,143,77,301,6,28,30,4,0,3,3,452,3,19,0,3,0,0,0,0,0,28,31,173,0,22,16,7,4,3,0,260,26,62,5,7,8,0,0,0,0,108,346,1467,100,251,220,85,22,65,19,2563,0,0,0,0,0,0,0,0,0,8
1006,11,142,4,15,19,12,3,0,0,220,6,27,0,0,6,0,0,0,0,41,162,832,37,133,170,69,7,26,12,1445,3,0,0,3,0,0,0,0,0,8,60,158,26,95,90,49,3,21,5,488,72,90,34,195,125,60,3,22,7,615,95,102,176,308,283,140,12,96,12,1228,19,10,11,31,49,22,8,14,3,163,29,24,24,61,91,42,8,29,4,300,9,18,0,13,24,0,0,0,3,76,16,32,7,34,54,25,0,34,9,206,544,1743,330,909,948,437,40,239,56,5252,3,16,0,0,0,0,0,0,0,24,17,118,0,0,8,0,0,0,0,145,164,429,24,33,50,19,3,9,6,723,0,15,0,3,0,0,0,0,0,19,37,223,7,18,26,12,4,4,9,342,5,39,0,4,6,3,0,0,0,62,416,1404,128,202,226,122,17,56,25,2597,0,3,0,6,0,0,0,0,0,18
1007,7,40,0,9,3,0,0,0,0,64,5,16,0,3,3,0,0,0,0,29,44,353,0,41,23,8,0,4,0,473,0,0,0,0,0,0,0,0,0,3,10,49,3,32,19,4,0,0,0,126,28,41,9,94,54,16,0,6,3,247,43,64,80,213,169,37,7,31,4,653,4,4,3,27,26,7,0,16,0,85,10,9,3,34,40,10,0,9,0,121,0,5,0,8,6,3,0,0,0,24,12,19,4,29,25,17,0,11,8,111,172,693,103,498,376,107,10,78,18,2050,0,4,0,0,0,0,0,0,0,6,0,16,0,0,0,0,0,0,0,15,21,91,3,5,9,4,3,0,0,137,0,3,0,3,0,0,0,0,0,6,18,68,0,9,3,0,0,0,3,104,8,25,0,8,3,0,0,0,0,45,81,507,16,65,33,8,6,8,3,718,0,0,0,3,0,0,0,0,0,3
1008,3,40,0,4,3,0,0,0,0,53,3,11,0,0,0,0,0,0,0,16,36,314,11,38,35,9,0,3,9,449,0,0,0,0,0,0,0,0,0,3,11,59,4,19,31,15,0,3,0,144,21,30,9,67,37,22,0,10,3,198,36,43,86,172,118,70,7,36,11,569,3,4,7,10,19,12,0,10,0,68,7,3,5,35,31,12,0,8,0,108,3,10,0,0,9,0,0,0,0,25,5,15,3,19,12,9,4,3,6,77,138,587,131,370,303,155,10,70,31,1788,0,7,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,14,24,71,3,3,4,3,0,3,0,113,0,8,0,0,0,0,0,0,0,10,7,54,0,5,3,0,0,0,0,78,5,12,0,0,0,0,0,0,0,19,78,473,29,64,40,15,3,9,12,706,0,0,0,0,0,0,0,0,0,8
1009,94,726,17,151,119,15,4,8,11,1148,44,265,0,21,42,3,0,0,0,379,1144,7312,215,926,1275,432,30,160,105,11601,12,28,4,36,19,13,0,6,0,115,416,1046,131,703,790,239,22,92,31,3466,610,964,263,1828,1428,471,40,156,62,5832,810,1127,1378,3472,3071,1323,149,651,127,12115,103,75,53,231,427,300,21,141,12,1368,140,186,87,526,779,282,33,133,23,2198,52,125,27,84,222,71,7,40,15,646,96,209,70,271,340,206,21,146,137,1496,3845,13785,2289,8339,8707,3392,336,1546,573,42808,14,95,0,5,6,0,0,0,0,125,65,502,15,8,20,9,0,0,9,627,759,2396,100,139,270,77,15,30,49,3839,28,107,0,5,16,8,0,0,0,165,178,1092,42,182,146,26,5,15,18,1717,102,355,15,33,58,4,4,4,3,573,2511,11644,686,1474,1716,750,155,385,203,19510,16,31,13,45,23,16,3,5,3,159
1010,33,166,11,36,30,6,0,3,0,282,5,66,0,3,4,0,0,0,0,87,229,1739,41,222,309,77,6,68,27,2723,6,3,3,6,0,3,0,0,0,22,89,244,21,139,181,46,3,27,0,757,141,206,47,346,343,112,9,65,12,1271,179,183,287,725,640,286,24,151,23,2500,16,16,18,53,118,83,5,45,4,349,31,30,20,127,157,62,4,36,7,470,5,25,0,17,31,14,0,21,3,113,22,49,13,54,58,42,3,38,23,306,834,3053,456,1759,1910,731,52,464,107,9355,7,23,0,0,0,0,0,0,0,35,12,129,0,3,9,0,0,0,3,159,112,441,11,22,34,9,0,17,7,652,0,23,0,0,0,0,0,0,0,24,56,276,12,36,42,8,3,11,0,441,18,85,0,4,9,0,0,4,0,127,559,2760,130,327,408,131,26,140,47,4532,7,3,7,11,0,3,0,0,0,31
