SUA_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
1000,993,15,5,24,1015,120,6,1137,32928,3865,521,308,37626,428,113,544,38173,2082,24,40282,48166,7263,866,587,56879,676,188,868,57746,2348,88,60180,3891,533,746,64,5231,62,8,70,5305,194,9,5506,726,78,37,910,1754,38,4,45,1799,143,35,1974,85718,11746,2165,1864,101489,1209,316,1526,103014,4776,157,107948,727,165,20,28,939,284,21,306,1241,219,3,1461,1419,302,37,68,1831,138,52,186,2021,145,11,2175,2145,461,57,101,2765,418,75,494,3259,359,17,3639,87859,12206,2226,1967,104254,1632,389,2022,106276,5135,168,111584,22736,4038,864,832,28469,1321,239,1563,30029,6146,121,36298,308,56,11,64,449,4,0,9,456,42,423,914,110905,16298,3103,2862,133172,2960,633,3585,136760,11325,711,148795
1001,117,0,0,4,118,15,0,133,2848,309,63,29,3251,28,10,36,3288,171,8,3465,5109,540,77,53,5782,60,6,70,5852,176,8,6033,494,64,64,3,625,0,0,4,631,11,0,641,64,6,0,57,125,0,0,0,125,4,0,129,8526,915,204,139,9784,91,19,107,9893,363,13,10273,84,17,4,0,106,15,0,19,118,13,0,135,170,15,3,5,199,16,9,25,223,13,0,234,256,31,5,5,298,33,11,40,341,31,0,371,8781,955,216,147,10088,119,27,146,10232,392,13,10646,2267,326,69,56,2713,102,24,127,2842,487,11,3334,11,0,0,9,20,4,0,4,19,3,36,61,11056,1278,283,212,12818,227,52,274,13094,882,66,14044
1002,23,0,0,0,23,0,0,24,730,114,5,7,855,19,7,21,874,59,0,938,969,136,16,12,1127,12,0,12,1140,45,0,1186,64,19,25,0,107,3,0,3,107,3,0,117,19,0,0,6,25,0,0,0,25,0,0,25,1789,265,43,22,2116,34,7,35,2153,109,0,2263,7,3,0,0,16,13,0,13,25,4,0,28,10,0,0,8,21,7,0,7,25,0,0,31,21,8,0,8,35,16,0,16,54,8,0,58,1804,266,43,28,2151,54,7,59,2205,118,0,2326,509,94,8,15,618,17,9,32,653,204,0,856,6,0,0,0,6,0,0,0,6,0,4,8,2318,362,51,45,2777,66,16,87,2864,328,4,3194
1003,23,0,0,0,23,3,0,30,618,120,15,9,770,10,3,13,780,31,0,816,1057,222,20,7,1304,18,8,29,1336,55,3,1390,73,8,11,0,94,0,0,0,94,10,0,105,3,3,0,26,32,0,0,0,32,0,0,32,1753,350,45,45,2199,29,12,43,2240,95,5,2338,16,3,0,0,18,5,0,5,21,0,0,25,28,16,0,0,46,5,0,7,54,0,0,54,45,23,0,0,69,9,0,12,79,0,0,77,1804,369,50,45,2263,39,14,51,2315,101,5,2424,400,104,19,14,535,23,3,30,563,94,3,654,0,0,0,0,0,0,0,0,0,0,11,10,2199,473,70,62,2800,59,20,78,2880,193,13,3086
1004,4,0,0,0,4,0,0,4,321,69,9,3,400,3,3,3,406,17,0,426,426,139,12,0,580,12,9,22,598,63,0,665,42,4,5,0,51,0,0,0,51,0,0,55,7,0,0,6,13,0,0,0,13,0,0,10,791,213,30,11,1042,20,13,28,1067,87,0,1159,11,0,0,0,17,5,0,5,17,3,0,23,24,6,0,0,28,3,0,8,37,0,0,38,37,5,0,0,39,15,0,12,53,5,0,62,827,216,30,11,1084,32,14,39,1125,86,0,1214,252,66,3,18,335,43,3,48,384,95,11,489,0,0,0,0,3,0,0,0,3,0,7,7,1078,280,28,32,1422,73,20,86,1512,180,17,1709
1005,49,0,0,0,48,5,0,57,1492,121,25,15,1650,23,4,22,1671,93,3,1763,1896,168,24,18,2115,14,0,20,2129,54,0,2184,207,6,24,3,245,3,0,3,245,12,0,257,33,4,0,12,46,0,0,0,46,0,0,54,3632,300,71,43,4051,37,6,40,4095,159,3,4257,29,0,0,0,32,6,0,6,37,3,0,38,63,4,0,0,73,3,3,7,83,9,0,86,92,4,0,0,104,6,3,14,112,9,0,121,3724,306,74,47,4151,48,7,56,4209,168,3,4379,791,116,14,23,945,57,7,67,1007,206,3,1223,0,0,0,3,7,0,0,0,7,0,12,10,4518,425,90,75,5104,104,14,115,5223,373,17,5613
1006,51,0,0,0,56,9,0,60,1254,130,28,3,1419,7,5,8,1425,72,0,1498,2140,274,32,18,2471,11,4,13,2483,56,9,2546,133,14,23,4,175,0,0,0,175,3,0,179,18,6,0,17,37,0,0,0,37,0,6,45,3550,421,85,47,4103,15,10,21,4127,124,12,4269,13,3,0,0,16,7,0,7,22,4,0,29,78,7,0,3,87,3,0,3,92,6,0,96,94,9,0,3,106,7,0,7,117,14,0,124,3640,431,85,50,4208,23,10,31,4240,140,12,4389,1048,141,13,21,1224,7,4,10,1231,119,3,1354,3,3,3,0,10,0,0,0,10,0,12,22,4696,580,98,71,5433,30,11,46,5481,258,26,5761
1007,3,0,0,0,3,3,0,4,423,40,5,7,475,14,0,17,491,49,0,548,548,42,9,9,616,16,3,22,633,35,0,671,63,6,6,0,74,0,0,3,83,6,0,84,7,0,0,12,15,0,4,4,24,0,0,20,1035,89,31,28,1184,37,7,43,1234,92,0,1320,15,0,0,0,14,5,3,9,30,0,0,30,19,3,0,0,28,6,0,7,30,0,0,27,33,4,0,0,41,9,5,16,54,0,0,59,1070,97,31,31,1226,47,10,56,1285,89,0,1379,252,58,9,18,337,32,12,39,380,99,5,481,7,0,0,0,7,0,0,0,7,0,11,13,1334,154,41,50,1573,76,23,97,1674,188,13,1877
1008,12,0,0,0,12,0,0,13,406,79,0,3,488,9,0,10,496,34,0,533,644,106,9,0,751,3,0,3,757,29,0,788,43,20,7,0,76,0,0,0,80,0,0,77,9,0,0,17,23,0,0,0,27,0,0,30,1103,209,20,17,1337,13,0,13,1357,67,0,1419,4,0,0,0,7,3,0,3,7,0,0,13,37,3,0,0,36,3,0,3,42,4,0,43,42,4,0,0,46,4,0,4,51,3,0,55,1142,211,21,21,1385,19,0,19,1408,70,0,1477,311,65,3,8,385,23,10,30,415,89,0,505,0,0,0,0,3,0,0,0,3,0,0,3,1447,275,22,28,1774,38,10,48,1824,159,0,1985
1009,896,22,8,26,927,124,3,1046,9958,1372,144,75,11549,203,52,259,11808,769,17,12599,18019,1893,253,139,20304,246,66,309,20607,710,16,21330,1503,178,234,21,1940,29,9,37,1979,76,3,2055,211,23,7,186,425,9,0,15,439,26,18,479,29696,3462,639,424,34222,487,131,612,34835,1582,51,36469,335,40,11,11,389,43,12,55,441,44,0,486,904,101,12,15,1032,55,9,65,1096,69,3,1164,1235,142,25,24,1422,98,20,116,1539,110,3,1650,30928,3602,662,449,35636,587,150,733,36374,1692,51,38116,8883,1194,272,224,10573,332,69,402,10977,1498,23,12497,58,10,7,28,102,0,0,0,102,8,95,204,39866,4809,933,697,46315,918,217,1139,47450,3193,172,50817
