RA_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
RA10,69066,34295,35427,69720,35009,36631,71635,35517,37149,72667,34969,36208,71174,173999,180269,354262,33908,35869,69781,32046,34547,66593,31190,33125,64316,30815,33400,64216,29523,32189,61710,157483,169130,326614,28519,31260,59776,27475,30745,58223,26754,29399,56153,25854,28850,54701,24470,27466,51937,133062,147721,280786,24270,26824,51096,23874,26453,50328,22802,25131,47937,23281,25225,48508,23459,25625,49081,117687,129260,246949,19647,21745,41397,18172,20511,38688,17413,19219,36632,14854,17108,31957,14220,16261,30479,84303,94851,179148,55840,68920,124765,31772,45424,77190,14283,25381,39663,3268,8002,11271,305,1121,1419,2999688,3080740,6080428
RA11,19082,9658,10385,20046,10359,10869,21226,10697,11385,22080,10970,11683,22653,50934,54150,105088,10956,11836,22790,10898,11553,22453,10852,11747,22603,10692,11536,22225,10601,11330,21930,53998,58005,112002,10664,11082,21744,10517,10912,21434,10191,10930,21120,10585,10808,21395,10159,10568,20733,52121,54303,106420,10141,10426,20568,9845,10024,19865,9650,9828,19483,9461,9600,19062,9985,10289,20271,49088,50165,99255,7992,8049,16040,7599,7920,15517,7008,7532,14542,6153,6648,12801,5868,6251,12120,34625,36405,71026,21583,24889,46474,11420,15406,26824,4716,8332,13043,957,2473,3431,74,315,393,771183,798556,1569737
RA12,5074,2506,2565,5069,2781,2758,5540,2883,3060,5940,3032,2933,5967,13669,13919,27590,3125,3100,6218,3091,2968,6057,3067,2958,6021,2873,2840,5711,2948,2789,5737,15103,14652,29753,2862,2666,5520,2757,2757,5522,2672,2484,5162,2811,2600,5414,2667,2384,5057,13775,12904,26678,2653,2399,5057,2546,2340,4883,2510,2220,4733,2400,2123,4519,2495,2301,4798,12606,11382,23987,1943,1862,3805,1884,1739,3627,1700,1695,3392,1446,1416,2869,1438,1469,2915,8417,8186,16603,5395,5919,11319,2753,3490,6246,1018,1874,2890,216,528,746,18,77,97,190095,187593,377693
RA13,371,173,168,339,205,168,371,201,189,387,211,196,403,992,879,1873,220,190,409,215,191,404,224,167,391,171,208,385,195,178,372,1029,932,1964,228,160,385,199,124,323,169,138,311,170,122,296,129,133,260,894,678,1571,182,116,296,148,120,267,107,118,225,137,106,242,144,116,257,707,574,1281,117,94,217,88,94,177,96,99,197,81,80,162,90,82,169,474,452,928,319,328,649,156,193,351,65,89,158,6,21,25,0,0,0,13413,12807,26219
RA14,82,59,49,106,52,51,101,59,45,105,56,40,100,265,235,497,66,55,123,46,56,102,36,42,74,51,39,88,54,40,92,253,227,481,47,41,88,51,40,84,46,29,76,37,25,64,39,43,82,221,172,396,35,36,73,45,39,86,31,21,55,42,26,63,48,27,72,204,146,354,26,17,44,23,14,41,19,19,43,31,27,52,21,22,41,124,99,222,59,61,121,25,30,57,9,19,32,5,6,10,0,0,0,3413,3293,6708
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,167,88,65,152,99,65,162,111,70,185,87,96,179,480,359,844,112,78,185,85,61,151,102,78,178,78,50,127,91,74,161,470,339,808,81,48,133,74,71,137,94,36,138,78,41,119,75,36,115,403,236,637,70,46,113,55,30,85,42,39,82,32,25,58,50,26,75,250,163,415,43,17,59,29,11,45,18,13,32,18,17,32,17,7,22,120,66,191,48,39,86,8,17,26,11,7,17,0,4,3,0,0,0,6375,4997,11371
