RA_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
RA10,3713,751,1126,53,911,374,709,3355,145,11140,1955,2305,4170,48,1050,70,5033,499,150,15282,29149,20122,32566,1594,16389,7881,20674,22411,1863,152652,4425,5695,4289,105,3501,603,3946,1778,371,24707,36732,16447,103842,463,24772,3332,13327,31838,3037,233793,22350,17616,5775,200,14433,10485,10688,3350,956,85853,43072,19087,12957,1943,15844,120651,15088,20260,1768,250672,30179,3806,23267,41581,6259,22211,4744,30143,1186,163378,15091,10791,5718,2940,28660,5584,59458,7856,1998,138084,12007,30650,6862,263,6678,3487,719,639,682,61975,35781,77224,1790,646,56625,5158,129,259,3418,181022,8711,8420,1430,396,8880,21056,920,1269,836,51928,45049,174534,19542,715,39376,4781,935,1694,2614,289232,12558,15104,6155,5938,10775,2001,4019,33163,858,90559,24986,41260,10785,34046,39274,966,2894,6059,3367,163628,22081,147101,4988,38711,24631,618,742,3196,1350,243417,24937,166242,12851,120352,54133,2220,2764,12395,2776,398669,8096,11065,3553,9302,4377,1605,325,2200,591,41112,9890,11440,35499,14792,10517,1690,1353,6244,751,92178,19928,22409,13305,5046,16383,7759,12723,11456,24482,133487
RA11,15160,928,2176,92,1393,491,1307,7511,385,29438,1041,1237,3972,59,647,40,6254,549,142,13940,5875,2407,10383,551,3372,2009,4616,8987,461,38652,1106,1112,2522,31,1213,159,1612,708,132,8593,8693,1538,33840,146,6422,743,6810,10104,743,69038,2761,1197,1892,53,1928,2960,1925,958,145,13817,10271,2027,4445,668,3233,36911,2271,6424,291,66536,9227,370,6960,14060,2344,6072,1175,11939,340,52499,2610,959,1305,388,5108,874,12432,1023,239,24946,870,1893,826,44,686,679,64,120,62,5240,1696,3351,149,101,4928,335,29,50,215,10850,1106,711,337,87,1648,4514,219,385,136,9137,3298,15755,4045,152,7250,381,166,418,263,31735,1705,1854,2580,1489,2132,274,933,11483,212,22662,6556,9831,4209,11259,10994,252,1904,2697,982,48692,5220,35271,1556,13173,6213,133,172,1500,344,63579,5674,39205,3278,41628,13423,508,636,4453,708,109518,1287,2029,1183,1827,767,272,85,1005,106,8555,1951,1780,13409,4112,2737,458,341,2146,170,27110,3044,2236,3970,1600,2827,1647,2389,3442,6232,27381
RA12,18524,605,1360,64,1302,224,1613,5606,292,29590,340,443,1341,15,217,3,2645,205,47,5264,1272,464,2324,115,832,365,1128,3314,146,9962,241,184,708,12,289,43,417,196,19,2104,1499,211,5306,18,940,89,1729,1928,120,11832,556,340,423,5,530,960,371,298,34,3521,2059,367,1057,103,652,7328,357,1398,56,13374,2179,57,1242,2938,505,938,194,2469,65,10593,653,139,250,63,1138,205,3263,277,47,6037,100,255,154,6,116,111,4,16,11,779,235,421,8,15,869,45,4,10,32,1641,151,84,72,18,259,785,38,66,25,1495,402,2350,715,21,1496,59,40,104,33,5220,233,393,376,276,336,31,274,2397,33,4353,1100,1421,752,1921,2081,56,1014,937,166,9444,952,7220,281,3274,1353,18,53,436,47,13636,896,6257,727,8032,2196,81,98,1025,144,19450,282,349,272,381,158,64,67,339,31,1950,347,317,3127,679,570,109,78,467,28,5722,761,375,958,350,560,397,709,1130,1955,7200
RA13,2456,45,137,6,148,14,269,698,31,3802,37,88,237,8,35,3,364,36,6,812,46,3,67,0,25,15,33,35,0,230,8,4,59,0,10,7,21,29,3,139,75,0,167,4,42,0,103,99,4,494,34,19,13,0,33,52,19,14,4,184,92,24,57,6,33,285,16,78,0,578,133,0,65,158,31,16,3,129,7,541,43,0,13,0,53,13,178,7,10,326,4,9,6,0,8,3,0,0,0,33,13,15,0,0,48,0,0,0,0,81,5,4,4,0,6,20,0,8,0,43,11,79,19,0,67,7,4,3,0,182,7,16,7,16,8,6,3,152,5,226,56,74,53,150,148,0,78,79,4,658,86,551,15,306,115,0,0,42,0,1127,46,289,38,415,108,7,6,84,7,993,8,10,7,12,4,6,0,9,0,65,15,20,113,40,23,7,6,13,0,236,62,17,53,18,30,22,45,62,131,442
RA14,448,6,27,0,17,0,16,112,0,632,5,0,19,0,0,0,34,3,0,68,3,0,10,0,0,0,0,7,0,24,5,0,11,0,4,0,6,6,0,31,12,0,42,0,11,0,26,21,3,122,8,0,0,0,4,13,0,0,0,27,41,6,12,3,9,50,6,10,0,134,72,0,32,39,5,4,0,54,0,213,15,4,0,0,14,10,30,10,4,80,3,3,4,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,9,4,0,0,0,0,7,0,0,0,11,3,16,7,0,10,0,0,0,0,40,6,13,0,14,9,0,0,34,4,76,33,23,17,89,72,3,39,43,7,339,26,153,8,88,40,0,4,11,7,336,13,98,7,84,25,0,0,16,0,249,0,7,0,0,0,0,0,7,0,27,8,12,25,7,4,0,0,10,0,63,12,7,4,10,6,0,6,16,39,112
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,7,3,4,0,4,3,17,89,0,130,0,4,10,0,0,0,23,5,0,41,13,12,28,3,5,4,21,48,4,135,0,7,0,0,3,0,4,3,0,23,25,6,95,0,10,0,31,63,3,246,7,8,9,0,0,11,15,4,0,57,24,8,10,6,12,103,16,19,0,196,25,5,35,81,8,23,5,61,0,235,4,8,5,3,17,5,80,11,0,134,6,21,7,0,3,3,0,3,0,40,14,26,6,0,32,4,0,0,0,78,0,0,0,0,5,5,0,4,0,20,30,105,16,0,26,0,0,5,0,187,9,14,10,3,15,0,4,50,0,113,23,31,8,48,22,0,3,7,5,150,4,76,7,32,11,0,0,0,0,137,10,119,3,115,31,0,0,12,0,287,10,22,9,15,0,3,9,11,0,76,7,12,13,20,7,0,3,9,0,68,9,26,19,8,11,4,12,25,53,166
