RA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
RA10,24051,3882,5185,73,31,33222,6415,1047,1242,16,4,8722,5549,975,1199,19,5,7744,9288,1526,2132,33,4,12983,12999,2055,3113,39,14,18219,39820,6373,10324,95,31,56652,50800,8827,14587,110,59,74390,94425,15211,28563,207,128,138532,70654,10198,18768,116,130,99863,78731,12021,16770,120,113,107750,84709,14832,12482,149,107,112274,33648,4965,6892,77,55,45640,511088,81900,121270,1059,684,715988
RA11,7853,378,149,35,19,8428,3701,215,87,12,9,4020,3414,250,75,23,7,3771,6847,375,139,41,9,7407,10081,494,189,31,16,10810,29233,1225,481,73,37,31048,31220,1117,324,66,26,32743,35357,900,273,59,39,36635,16516,284,95,31,21,16954,13331,228,83,27,22,13686,9022,131,63,30,18,9255,9982,372,103,37,18,10514,176549,5972,2062,462,237,185271
RA12,2726,42,15,21,16,2819,1444,28,13,13,3,1504,1482,22,14,3,0,1529,2894,41,25,13,11,2982,3665,56,38,12,11,3784,7974,125,82,33,10,8216,5813,86,31,22,11,5972,5077,45,25,17,12,5173,1893,18,11,6,5,1934,1526,14,10,3,4,1551,1231,15,12,5,8,1277,2520,30,14,10,3,2582,38241,537,285,152,106,39324
RA13,276,4,0,0,3,280,110,0,0,0,0,117,103,0,0,4,0,106,185,0,0,0,0,184,180,0,0,0,4,194,318,0,0,3,0,325,158,0,0,3,6,162,133,0,4,0,6,142,43,0,0,0,0,52,51,0,0,0,0,58,98,0,0,0,4,102,150,0,0,0,0,151,1800,7,6,26,22,1865
RA14,49,0,0,0,0,49,22,0,0,0,0,22,21,0,0,0,0,24,38,0,0,0,0,38,28,0,0,0,0,28,47,0,0,0,0,47,43,0,0,0,0,46,25,0,0,0,0,27,11,0,0,0,0,11,11,0,0,0,0,11,18,0,0,0,0,23,36,0,0,0,6,36,347,7,0,3,7,361
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
