RA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
RA10,2426449,2539094,4965542,963214,680100,1643308,329238,517643,846879,163977,168603,332582,82805,67132,149939,1539232,1433472,2972703,755772,972675,1728447,5.4,4.7,5,63.4,56.5,59.9,60,53.8,56.8,215699,218789,434488,38289,67142,105433,468765,563189,1031945,205050,271889,476939,425253,222720,647972,17223,31698,48920,37883,61178,99062,480358,315601,795956,2357649,2435220,4792868,452989,462932,915924,1503932,1568364,3072298,1152288,1183935,2336219
RA11,627879,662510,1290387,237522,146093,383614,84432,162830,247262,23279,27754,51036,17635,14097,31739,362871,350776,713647,222810,269020,491834,4.9,4,4.4,57.8,52.9,55.3,55,50.8,52.8,20293,24343,44632,8026,17378,25398,58819,94047,152865,43417,71153,114571,177680,95581,273258,6467,12497,18962,10409,18922,29331,194555,127003,321553,600570,625807,1226382,104320,111781,216102,393742,406042,799791,274588,297259,571848
RA12,155078,154662,309744,63263,35873,99133,16889,36207,53091,5226,5725,10955,3964,3006,6975,89344,80815,170158,50560,59370,109934,4.4,3.7,4.1,57.6,52.3,54.9,55.1,50.3,52.7,2562,3485,6050,1189,3208,4401,10322,18767,29090,8284,14288,22576,40545,21594,62140,1558,3120,4683,2291,3910,6201,44400,28623,73019,146525,145061,291585,21288,22165,43454,104175,101609,205786,54938,57586,112533
RA13,10727,10253,20979,4878,2666,7548,805,2084,2892,369,387,753,249,188,438,6305,5330,11634,2613,3184,5798,3.9,3.6,3.8,58.8,52,55.4,56.5,50.1,53.4,87,163,241,47,169,218,550,1199,1747,494,812,1303,2187,1184,3367,103,203,301,173,195,365,2459,1578,4035,9451,8982,18432,1480,1469,2949,6938,6441,13382,3307,3362,6671
RA14,2713,2676,5389,1032,741,1774,227,397,624,91,95,191,73,50,122,1423,1289,2717,832,926,1762,5.1,4,4.5,52.4,48.2,50.4,49.8,46.3,48.1,45,58,102,11,37,52,135,292,426,115,211,322,514,275,785,26,52,81,33,38,70,571,369,932,2427,2300,4732,366,377,744,1814,1711,3528,792,808,1598
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,5734,4381,10112,762,470,1229,410,506,910,216,155,370,392,252,647,1775,1382,3161,1917,1722,3630,22.1,18.4,20.5,31,31.6,31.3,24.1,25.8,24.9,146,181,327,33,76,109,425,540,969,274,339,614,858,463,1326,55,72,127,74,104,176,985,636,1621,1117,690,1808,2858,2673,5527,761,424,1186,3046,2835,5882
