RA_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
RA10,418,4866,33,5323,162233,9335,176894,3334,3927,95,7354,184004,13372,204734,80782,6035,1095,87915,337003,32872,457790,222192,4511,2524,229221,181945,26729,437893,137587,5399,1487,144473,213026,19635,377132,26655,15568,424,42649,272804,16038,331485,4323,23355,195,27875,210372,12502,250755,693,5334,38,6066,123923,10155,140144,95,281,0,374,42129,7119,49627,476074,69272,5891,551243,1727451,147754,2426449,673,8398,74,9142,148909,8409,166458,8199,7211,302,15711,167426,11032,194165,136616,10168,2948,149734,290131,28353,468223,271992,7062,4648,283702,140371,22779,446850,135329,12788,2128,150247,226297,16772,393317,12996,41708,698,55400,279793,14201,349400,3162,39175,449,42781,221229,12969,276985,656,6529,81,7267,143432,13065,163766,99,386,8,496,65177,14259,79928,569732,133414,11340,714486,1682765,141843,2539094,1096,13258,107,14463,311145,17744,343353,11529,11138,397,23068,351431,24403,398901,217397,16208,4050,237649,627138,61225,926013,494183,11567,7176,512927,322321,49504,884749,272917,18186,3615,294718,439322,36416,770453,39649,57275,1123,98049,552595,30236,680882,7491,62532,638,70656,431604,25473,527733,1355,11862,122,13334,267349,23226,303911,191,663,15,864
RA11,179,1825,17,2023,41087,4241,47353,1850,1198,54,3099,32886,3814,39801,24171,2178,732,27080,48084,8226,83388,43370,1710,1430,46515,30061,7464,84041,27372,2949,825,31144,55442,7199,93780,5581,7877,180,13639,84421,6878,104933,995,9117,57,10168,84795,6243,101208,174,1857,15,2040,49666,4503,56209,19,112,0,129,14846,2188,17163,103708,28827,3306,135844,441289,50749,627879,379,3330,30,3736,36667,3623,44035,3992,2522,213,6722,28421,2800,37943,37040,3490,2045,42571,37818,6101,86487,54092,2710,3028,59836,23729,5874,89437,27093,7262,1175,35529,58869,5772,100169,2457,19086,206,21754,84498,5908,112156,610,14559,82,15254,83260,5949,104463,162,2534,10,2706,53201,5388,61289,44,154,0,198,22360,3967,26529,125861,55648,6803,188306,428820,45379,662510,557,5155,52,5757,77757,7868,91384,5838,3717,265,9822,61307,6614,77742,61211,5671,2773,69653,85909,14321,169880,97466,4426,4462,106350,53791,13336,173480,54465,10216,1993,66673,114306,12966,193954,8045,26960,387,35390,168916,12780,217090,1606,23676,144,25428,168056,12189,205673,333,4385,32,4747,102863,9895,117502,58,264,4,328
RA12,48,399,0,454,8878,1413,10749,492,273,15,778,7148,1113,9039,5814,451,165,6431,10840,2528,19797,9224,400,307,9931,7021,2404,19355,5848,728,175,6749,13937,2483,23173,1293,1978,40,3313,22714,2746,28776,262,1961,11,2235,21652,2486,26378,43,452,4,505,11822,1487,13810,5,29,0,37,3346,621,4001,23029,6682,721,30432,107363,17283,155078,129,790,4,928,7928,1253,10109,1081,520,55,1668,5559,821,8043,8699,760,567,10032,7940,1953,19923,11423,622,687,12726,5372,2007,20101,5443,1977,254,7674,13716,2160,23554,547,4808,52,5413,20762,2401,28570,156,3168,22,3348,18850,2087,24282,47,595,4,645,11861,1603,14104,10,44,0,57,4979,936,5970,27540,13289,1652,42480,96965,15219,154662,177,1194,6,1376,16808,2665,20853,1577,795,79,2444,12703,1939,17083,14514,1215,734,16462,18780,4476,39722,20646,1023,990,22658,12389,4410,39460,11289,2709,427,14423,27659,4645,46727,1840,6788,91,8723,43473,5149,57348,415,5132,40,5591,40503,4572,50662,92,1050,6,1146,23688,3083,27916,14,71,0,89
RA13,3,20,0,27,538,152,705,32,12,0,44,492,121,655,468,26,10,502,850,301,1651,624,30,7,659,511,258,1423,368,37,3,418,948,274,1641,83,123,0,205,1492,324,2023,16,103,3,121,1226,259,1599,0,14,0,24,630,148,798,0,3,0,3,188,37,226,1603,376,23,1996,6861,1868,10727,14,50,0,67,484,135,695,72,43,5,120,378,127,623,716,56,33,809,615,269,1691,733,48,33,813,366,270,1450,320,121,9,448,918,275,1639,31,292,0,321,1205,286,1814,14,136,3,150,901,201,1256,0,28,0,27,600,153,783,0,0,0,0,247,56,307,1905,773,85,2763,5718,1773,10253,16,73,0,89,1018,287,1397,104,56,5,166,866,242,1280,1190,82,39,1313,1468,567,3344,1358,71,42,1478,874,523,2872,693,160,14,869,1861,555,3277,110,412,0,528,2695,612,3834,22,244,3,273,2125,458,2856,0,39,0,45,1228,304,1577,0,7,0,7
RA14,4,10,0,7,141,47,197,4,0,0,4,126,33,173,86,5,3,100,219,78,392,150,5,0,160,143,55,362,63,17,0,78,273,74,424,21,26,0,48,390,84,516,0,19,0,19,333,79,427,0,3,0,3,147,32,182,0,0,0,0,34,8,43,334,84,5,419,1813,483,2713,3,16,0,20,113,37,177,9,7,0,17,119,44,177,159,16,4,187,215,90,492,161,10,9,186,132,73,392,64,24,0,96,272,70,443,6,51,0,58,325,82,464,0,31,0,30,241,46,317,0,5,0,7,127,31,160,0,0,0,0,45,10,57,413,165,20,596,1589,484,2676,9,27,0,34,262,87,375,16,7,0,20,245,79,349,247,23,9,280,437,167,880,314,20,14,345,273,130,757,131,37,0,168,550,141,862,26,77,5,103,716,165,980,0,49,0,51,571,122,743,0,9,0,9,276,59,345,0,0,0,0
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,3,0,4,151,94,253,15,10,0,22,252,135,411,117,17,5,138,605,415,1164,147,15,11,178,443,495,1108,94,23,0,121,451,439,1010,8,24,0,29,600,311,949,5,27,0,29,485,137,648,0,7,0,7,129,32,166,0,0,0,0,10,4,19,388,118,20,532,3126,2068,5734,8,22,0,24,164,89,279,44,9,0,58,229,134,418,152,32,7,191,505,334,1022,151,11,11,171,291,286,749,70,33,0,101,359,206,666,4,64,0,73,480,147,698,0,39,0,36,306,61,404,0,3,0,3,78,24,104,0,0,0,0,19,12,32,430,210,19,658,2430,1295,4381,5,24,0,31,317,182,532,57,24,0,83,480,269,829,270,46,11,332,1109,751,2187,300,23,18,345,731,781,1859,170,56,0,221,812,646,1678,10,91,3,100,1085,464,1648,5,62,0,67,789,194,1055,0,8,0,10,206,59,277,0,0,0,0
