RA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
RA10,1095358,717069,897680,865088,752632,661500,509770,293827,122945,5915878,544,582,629,654,717,793,1053,1244,1474,7701,15187,18076,21964,15107,12874,12467,10360,7012,4823,117868,177,395,712,465,359,489,509,280,36,3414,300,864,915,579,679,809,661,219,58,5098,27,115,171,81,85,94,117,49,7,736,39,253,235,155,148,161,133,42,4,1179,19,65,78,57,50,84,98,53,10,507,18,32,57,31,35,29,21,9,0,233,97,451,316,217,157,192,140,42,15,1624,0,3,0,3,5,3,9,0,0,23,15870,20260,24453,16686,14387,14326,12044,7711,4958,130691,16417,20845,25086,17343,15106,15123,13099,8953,6433,138393,1111769,737914,922768,882435,767736,676621,522865,302783,129380,6054267
RA11,273308,160308,162253,167176,186600,206185,193790,112354,41842,1503828,316,366,309,315,365,571,679,571,261,3746,6987,10066,7920,6272,6887,8568,7596,3504,1455,59260,163,471,495,313,379,608,1164,572,64,4227,168,537,555,374,495,625,404,128,27,3306,20,78,67,51,70,82,93,43,10,503,9,72,55,42,56,80,84,36,5,433,15,33,39,34,45,94,117,29,8,406,15,20,25,17,23,13,7,0,0,112,109,267,253,170,199,315,281,113,20,1734,3,0,4,0,0,3,0,0,0,17,7490,11537,9405,7271,8147,10387,9744,4424,1586,69998,7810,11908,9710,7584,8515,10954,10421,4996,1843,73743,281115,172214,171966,174766,195117,217143,204212,117346,43692,1577567
RA12,66103,35236,37378,37663,44654,54192,47629,26508,9458,358815,148,151,146,147,142,222,248,187,64,1454,2373,3398,2782,2088,2548,3200,2431,813,321,19958,73,206,228,143,175,250,331,142,31,1569,78,313,247,167,264,296,194,41,11,1599,14,75,86,53,58,87,87,32,7,500,4,50,50,15,11,31,32,3,4,202,3,26,22,15,22,35,38,9,0,169,0,14,11,6,0,9,5,3,0,49,145,103,190,163,164,305,243,66,5,1391,0,0,0,0,0,4,0,0,0,6,2694,4185,3598,2653,3246,4210,3363,1109,376,25445,2845,4333,3750,2803,3389,4430,3612,1297,441,26900,68947,39572,41129,40462,48043,58625,51241,27810,9901,385720
RA13,5015,2407,3130,2725,3061,3610,2657,1478,510,24597,16,21,15,9,13,28,16,19,8,138,170,305,302,224,312,378,344,96,10,2153,6,27,76,46,41,54,41,14,3,309,0,29,28,16,36,43,26,8,0,190,0,9,19,13,18,11,16,5,3,93,0,0,3,0,0,4,0,0,0,12,0,3,0,0,0,11,6,0,0,29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,9,0,0,20,0,0,0,0,0,0,0,0,0,0,186,379,422,305,409,513,445,133,16,2798,201,396,445,309,419,539,460,152,23,2940,5212,2800,3576,3034,3486,4147,3117,1627,536,27536
RA14,1268,645,823,697,782,894,694,321,91,6221,9,13,4,6,13,5,5,5,0,56,45,111,100,67,107,217,173,42,10,873,9,6,14,15,18,17,25,8,0,94,0,12,11,10,12,13,8,4,0,57,0,0,3,9,6,10,8,4,0,45,0,0,0,0,4,3,0,0,0,8,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,5,0,4,3,4,0,9,7,6,0,28,0,0,0,0,0,0,0,0,0,0,54,133,132,101,149,268,223,56,10,1126,59,144,143,108,161,272,228,59,7,1182,1331,785,967,803,946,1167,922,380,101,7405
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,0,0,13,0,0,0,0,8,4,0,0,0,14,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32,0,0,0,4,18,8,3,0,0,32,0,0,0,4,18,8,3,0,0,32
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
