RA_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
RA10,..,3816,118236,255309,226876,202887,163074,90547,23216,1083954,..,16408,89896,50707,35105,23707,11520,3863,559,231757,..,422,2476,8017,14239,10753,5155,3096,2088,46242,541814,..,..,..,..,..,..,..,..,541814,..,157182,..,..,..,..,..,..,..,157182,..,110257,84590,27791,17564,8032,1271,43,0,249555,..,16515,17152,6975,6405,8326,6979,4081,2232,68683,..,10421,18197,7242,5144,3846,1792,516,118,47272,..,27160,52051,15667,10456,10025,6943,2591,537,125425,..,8970,35890,35108,36266,42119,35580,22099,9920,225941,6199,7584,8362,5399,4445,3620,2662,1150,435,39847,548009,358731,426859,412219,356491,313312,234971,127978,39096,2817668,..,9161,167099,269308,228953,194724,146079,64819,10304,1090456,..,24285,94099,46738,32130,20076,8613,2296,263,228507,..,3989,23018,45525,57977,36336,17062,12239,8242,204391,512209,..,..,..,..,..,..,..,..,512209,..,162451,..,..,..,..,..,..,..,162451,..,75343,55997,14562,9649,6042,1424,68,0,163086,..,13680,11809,4294,5857,14710,18069,13107,7690,89212,..,9721,12470,4025,2628,2127,1033,351,146,32496
RA11,..,741,21109,41091,47528,55377,59372,34276,7775,267266,..,6301,19307,12652,11884,10445,6470,2105,311,69476,..,184,1128,2870,4263,2986,1554,844,587,14415,132274,..,..,..,..,..,..,..,..,132274,..,27107,..,..,..,..,..,..,..,27107,..,29623,13358,5793,4469,2444,429,11,0,56132,..,3316,2303,1171,1426,1999,2036,1104,541,13887,..,2456,2860,1358,1208,964,585,229,42,9699,..,3442,5399,2207,2546,3422,3041,1119,216,21397,..,2320,6522,6820,10514,16511,16953,10138,3957,73732,1958,2532,2264,1783,1700,1660,1604,701,201,14390,134231,78017,74250,75744,85532,95808,92044,50531,13622,699771,..,1460,28498,46023,51597,58622,55470,25601,3663,270928,..,9178,20557,13077,12142,9924,5113,1355,166,71501,..,2144,9626,13473,14419,7264,3789,3187,2246,56152,125598,..,..,..,..,..,..,..,..,125598,..,28789,..,..,..,..,..,..,..,28789,..,18770,7041,2561,2061,1696,403,16,0,32550,..,2701,1328,521,1195,2869,3691,2634,1631,16564,..,2508,1995,746,680,607,383,134,46,7098
RA12,..,173,4761,8796,10967,14270,14329,7851,1689,62842,..,1460,4540,2842,2699,2575,1589,426,51,16174,..,49,282,616,896,698,394,248,159,3339,31041,..,..,..,..,..,..,..,..,31041,..,5461,..,..,..,..,..,..,..,5461,..,6495,2818,1398,1102,617,104,0,0,12544,..,904,515,269,392,531,522,270,115,3531,..,451,484,256,286,236,122,40,8,1890,..,667,1062,388,535,801,658,265,42,4412,..,822,1845,1671,3022,5191,5130,2796,947,21417,528,689,674,492,473,524,508,217,57,4164,31574,17172,16983,16734,20369,25446,23354,12119,3072,166816,..,382,6314,10046,12295,15100,12924,5841,756,63658,..,2260,4805,2884,2795,2498,1150,267,29,16692,..,561,2302,2853,2613,1441,867,727,551,11902,29091,..,..,..,..,..,..,..,..,29091,..,5875,..,..,..,..,..,..,..,5875,..,3791,1370,467,435,394,102,3,0,6557,..,708,241,128,266,627,671,537,303,3482,..,478,335,136,126,111,60,21,14,1277
RA13,..,9,385,589,694,839,710,349,85,3658,..,102,356,205,190,163,77,24,6,1118,..,0,17,31,50,56,28,12,5,204,2144,..,..,..,..,..,..,..,..,2144,..,280,..,..,..,..,..,..,..,280,..,360,163,88,68,39,3,0,0,726,..,70,35,16,30,51,39,14,11,259,..,35,45,17,15,17,10,0,0,151,..,62,83,28,32,49,53,17,0,322,..,81,175,128,193,399,342,192,58,1558,55,53,58,29,57,39,37,22,5,352,2195,1058,1313,1127,1320,1654,1305,631,171,10780,..,22,491,658,781,858,570,264,45,3684,..,158,382,189,187,148,55,18,4,1139,..,41,194,164,136,86,56,48,29,763,2041,..,..,..,..,..,..,..,..,2041,..,326,..,..,..,..,..,..,..,326,..,210,71,30,32,26,4,0,0,374,..,55,24,10,25,46,36,37,11,240,..,31,20,11,14,6,4,0,0,87
RA14,..,7,82,107,126,179,149,76,23,746,..,31,79,72,69,57,24,0,0,336,..,3,6,8,12,11,19,0,7,72,581,..,..,..,..,..,..,..,..,581,..,55,..,..,..,..,..,..,..,55,..,98,45,14,17,6,0,0,0,189,..,42,13,15,16,13,14,6,0,111,..,12,8,4,4,3,4,0,0,36,..,17,21,11,17,12,10,4,0,81,..,12,37,46,78,123,113,52,3,463,9,21,19,11,17,15,9,3,0,106,592,286,317,294,353,416,338,148,36,2778,..,5,109,124,140,171,134,50,10,745,..,39,105,73,70,48,16,4,0,353,..,12,57,62,51,35,12,10,6,250,490,..,..,..,..,..,..,..,..,490,..,58,..,..,..,..,..,..,..,58,..,71,27,17,6,8,0,0,0,137,..,31,18,7,9,8,19,8,3,105,..,14,8,0,0,0,4,0,0,28
RA15,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA19,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,239,260,455,361,287,227,184,54,4,2077,239,260,455,361,287,227,184,54,4,2077,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
