RA_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
RA10,70,24,60,63,24,139,14,108,104,3449,49,4104,12,15,8,12,3,41,11,69,39,583,3,804,6,25,15,11,3,37,13,190,87,1078,14,1474,5,12,6,9,3,46,4,243,112,951,15,1410,22,62,38,25,3,126,35,528,208,2441,42,3523,18,100,37,64,17,281,24,1127,442,3111,61,5283,63,263,117,166,35,968,123,1993,850,6206,79,10868,111,608,238,315,96,2487,258,2830,1334,6695,123,15105,319,1262,505,1067,277,5699,603,4165,2052,9563,149,25653,782,2562,984,3535,990,8292,1220,4950,2435,9672,191,35605,1165,2256,893,5061,1423,9122,1316,4010,1979,7120,113,34468,2552,2673,970,7205,1961,9246,1488,3365,1702,6302,138,37610,12112,6060,2276,21052,6118,22173,3583,6224,2997,10630,264,93492,16991,5040,1981,24976,7224,10530,2998,3944,1766,6443,154,82045,20245,3896,1443,24008,6629,11285,2253,2904,1278,4594,137,78664,20323,2542,980,16634,5221,5285,1462,1701,756,2438,89,57426,92872,7182,2332,58746,15744,30495,3091,4794
RA11,51,14,15,34,7,22,7,23,12,285,11,476,3,0,4,15,0,9,0,8,3,73,0,120,10,0,0,14,7,11,7,35,5,135,4,236,10,10,0,6,0,17,5,43,14,110,0,198,12,27,9,33,0,23,3,119,20,309,6,556,22,29,7,44,3,67,17,189,35,324,10,753,64,113,10,123,16,234,27,467,89,961,19,2118,92,257,17,254,27,616,37,668,134,1026,19,3149,198,504,60,715,88,1380,118,955,236,1766,35,6057,490,1002,128,2247,271,2170,226,1119,278,1666,50,9657,661,752,109,2928,376,2158,202,822,235,1109,45,9398,1297,818,130,3750,531,1988,210,637,183,912,38,10500,5045,1593,299,9133,1313,3723,547,1001,316,1300,58,24311,5543,1192,246,8382,1341,1710,433,569,181,641,59,20302,5579,740,198,6387,1016,1409,343,316,125,407,28,16555,4623,436,135,3830,669,612,191,156,54,209,14,10925,11710,884,269,7740,1388,2396,344,387
RA12,42,3,3,20,0,13,0,3,8,72,4,181,13,0,0,10,3,10,0,9,0,16,0,59,8,4,0,10,0,4,0,12,4,43,0,86,7,0,0,10,4,6,0,7,4,27,0,70,25,9,0,20,4,8,8,34,4,75,0,186,18,8,3,39,3,31,0,61,8,103,0,284,51,23,4,73,11,85,6,107,13,248,9,626,56,65,9,133,8,202,14,140,24,265,12,922,117,106,21,305,35,386,20,194,41,387,20,1630,241,169,22,738,76,551,47,229,53,357,26,2516,255,120,27,830,90,517,40,158,46,207,16,2314,454,141,27,949,125,441,44,106,49,174,7,2513,1476,233,78,2110,303,781,91,129,74,244,17,5530,1310,161,42,1760,254,313,83,73,38,94,6,4141,1322,115,37,1247,184,249,48,44,16,53,10,3327,1029,54,14,648,123,102,29,18,9,24,5,2048,2085,104,54,1217,190,327,49,44
RA13,10,0,0,0,0,6,0,0,0,9,0,24,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,3,0,10,0,0,0,4,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,15,3,0,0,5,0,0,0,4,0,7,0,24,4,0,0,9,0,0,0,3,0,14,0,31,7,0,0,11,5,10,0,5,4,23,0,75,13,4,0,25,0,27,0,13,0,16,0,110,23,8,0,63,6,41,0,10,0,15,5,165,17,6,0,41,0,47,0,7,6,8,0,127,29,5,3,63,15,21,5,3,3,10,0,142,86,10,4,132,19,47,4,8,0,0,0,318,89,12,3,97,14,25,8,5,0,3,0,251,65,3,4,68,13,24,0,0,3,9,0,182,55,0,0,37,12,7,0,0,0,0,0,110,153,0,0,73,28,17,0,0
RA14,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,4,0,3,0,10,0,0,0,0,0,0,0,0,0,9,0,12,5,0,0,0,0,3,0,0,0,13,0,25,0,0,0,6,0,4,0,5,0,10,0,33,8,4,0,5,4,5,0,4,0,5,5,37,3,0,0,3,0,7,0,0,0,0,0,25,0,0,0,3,0,6,0,6,0,0,0,18,14,0,0,30,3,5,3,3,0,4,0,61,24,3,0,9,0,10,0,0,0,0,0,46,26,0,4,12,0,9,0,0,0,0,0,52,13,0,0,10,5,4,0,0,0,0,0,29,38,5,0,5,3,3,0,0
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
