region_id,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA10050,3,6,9,49,70,119,3,0,3,3,5,8,29,31,60,8461,7401,15862,610,700,1310,169,6,175,139,15,154,218,61,279,68,25,93,391,406,797,10143,8726,18869,3,3,6,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,10,3,13,0,0,0,0,0,0,0,0,0,11,11,22,0,3,3,11,14,25,61,35,96,82,52,134,3,3,6,3,3,6,3,3,6,9,9,18,252,417,669,902,1501,2403,172,169,341,11560,10874,22434
LGA10110,0,3,3,45,40,85,0,3,3,3,0,3,23,21,44,3305,3177,6482,318,441,759,137,5,142,64,12,76,92,21,113,50,17,67,343,297,640,4380,4037,8417,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0,4,4,3,0,3,3,4,7,43,30,73,49,37,86,4,0,4,0,0,0,4,3,7,8,3,11,277,293,570,451,720,1171,61,63,124,5226,5153,10379
LGA10150,2545,2545,5090,398,597,995,0,0,0,6,7,13,50,20,70,4680,3436,8116,218,469,687,103,0,103,135,27,162,221,61,282,47,26,73,333,484,817,8736,7672,16408,386,468,854,9,4,13,12,7,19,85,67,152,40,44,84,37,31,68,569,621,1190,0,3,3,0,0,0,17,31,48,6,31,37,11,6,17,34,71,105,58,44,102,661,736,1397,63,54,117,3,3,6,0,0,0,66,57,123,320,370,690,664,1045,1709,166,126,292,10613,10006,20619
LGA10200,3080,2824,5904,119,138,257,16,19,35,3,9,12,75,15,90,9623,5023,14646,634,926,1560,229,7,236,67,6,73,109,11,120,119,35,154,428,418,846,14502,9431,23933,470,528,998,13,3,16,8,7,15,256,146,402,63,140,203,34,13,47,844,837,1681,6,5,11,0,3,3,4,6,10,3,12,15,3,0,3,16,26,42,82,45,127,942,908,1850,101,97,198,3,3,6,6,0,6,110,100,210,257,303,560,778,946,1724,398,236,634,16987,11924,28911
LGA10250,3,3,6,49,47,96,3,3,6,3,0,3,7,10,17,5582,5221,10803,384,465,849,259,4,263,97,6,103,175,73,248,69,41,110,310,363,673,6941,6236,13177,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,0,0,0,0,0,0,5,0,5,0,13,13,0,0,0,5,13,18,59,33,92,67,49,116,5,3,8,0,0,0,6,0,6,11,3,14,515,615,1130,714,1181,1895,136,120,256,8384,8204,16588
LGA10300,3,0,3,3,7,10,0,0,0,0,0,0,0,0,0,314,241,555,43,26,69,13,0,13,4,0,4,6,5,11,6,4,10,47,49,96,439,332,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,9,3,12,0,0,0,0,0,0,0,0,0,0,0,0,65,52,117,52,48,100,19,10,29,584,445,1029
LGA10350,3632,3699,7331,324,582,906,6,0,6,4,7,11,145,38,183,25752,16952,42704,1580,2105,3685,1075,19,1094,163,10,173,162,13,175,270,79,349,597,717,1314,33710,24221,57931,519,587,1106,9,3,12,10,17,27,549,468,1017,174,274,448,57,25,82,1318,1374,2692,0,0,0,0,0,0,15,28,43,23,50,73,4,4,8,42,82,124,171,92,263,1531,1548,3079,151,147,298,4,8,12,9,3,12,164,158,322,609,956,1565,2133,3293,5426,937,610,1547,39084,30786,69870
LGA10470,8,6,14,36,39,75,5,3,8,0,0,0,32,20,52,6316,5490,11806,541,578,1119,238,9,247,83,9,92,87,11,98,49,29,78,475,353,828,7870,6547,14417,3,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,9,0,9,0,3,3,0,0,0,9,3,12,70,31,101,82,37,119,0,0,0,4,0,4,4,3,7,8,3,11,343,427,770,769,1184,1953,140,121,261,9212,8319,17531
LGA10550,3,3,6,44,39,83,0,0,0,0,0,0,7,10,17,4225,3826,8051,374,348,722,240,8,248,76,8,84,49,6,55,83,30,113,382,355,737,5483,4633,10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,7,10,0,0,0,8,7,15,61,30,91,69,37,106,0,3,3,3,0,3,3,0,3,6,3,9,490,537,1027,601,982,1583,110,91,201,6759,6283,13042
LGA10600,3,0,3,13,6,19,0,3,3,0,0,0,3,0,3,1379,1417,2796,127,125,252,89,10,99,42,3,45,30,7,37,24,8,32,159,142,301,1869,1721,3590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,3,0,0,0,3,4,7,25,8,33,28,12,40,0,0,0,0,0,0,0,0,0,0,0,0,270,272,542,209,334,543,32,30,62,2408,2369,4777
LGA10650,0,0,0,8,5,13,3,0,3,0,4,4,0,0,0,1124,935,2059,59,56,115,59,0,59,21,5,26,20,6,26,25,10,35,127,118,245,1446,1139,2585,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,19,3,22,22,6,28,0,0,0,0,0,0,3,0,3,3,0,3,208,156,364,140,231,371,33,29,62,1852,1561,3413
