region_id,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_Tot_M_EO,C15_17F_O_E_Tot_M_O_EVWW,C15_17F_O_E_Tot_M_O_ENWNA,C15_17F_O_E_Tot_M_O_PENS,C15_17F_O_E_Tot_M_O_E_T,C15_17F_O_E_Tot_M_LPENS,C15_17F_O_E_Tot_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_Tot_M_EO,C15_17F_Tot_M_O_EVWW,C15_17F_Tot_M_O_ENWNA,C15_17F_Tot_M_O_PENS,C15_17F_Tot_M_O_E_T,C15_17F_Tot_M_LPENS,C15_17F_Tot_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_Tot_M_EO,C18_20F_O_E_Tot_M_O_EVWW,C18_20F_O_E_Tot_M_O_ENWNA,C18_20F_O_E_Tot_M_O_PENS,C18_20F_O_E_Tot_M_O_E_T,C18_20F_O_E_Tot_M_LPENS,C18_20F_O_E_Tot_M_Tot,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_Tot_M_EO,C18_20F_Tot_M_O_EVWW,C18_20F_Tot_M_O_ENWNA,C18_20F_Tot_M_O_PENS,C18_20F_Tot_M_O_E_T,C18_20F_Tot_M_LPENS,C18_20F_Tot_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_Tot_M_EO,C21_24F_O_E_Tot_M_O_EVWW,C21_24F_O_E_Tot_M_O_ENWNA,C21_24F_O_E_Tot_M_O_PENS,C21_24F_O_E_Tot_M_O_E_T,C21_24F_O_E_Tot_M_LPENS,C21_24F_O_E_Tot_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_Tot_M_EO,C21_24F_Tot_M_O_EVWW,C21_24F_Tot_M_O_ENWNA,C21_24F_Tot_M_O_PENS,C21_24F_Tot_M_O_E_T,C21_24F_Tot_M_LPENS,C21_24F_Tot_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_Tot_M_EO,TCF_O_E_Tot_M_O_EVWW,TCF_O_E_Tot_M_O_ENWNA,TCF_O_E_Tot_M_O_PENS,TCF_O_E_Tot_M_O_E_T,TCF_O_E_Tot_M_LPENS,TCF_O_E_Tot_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_Tot_M_EO,TCF_Tot_M_O_EVWW,TCF_Tot_M_O_ENWNA,TCF_Tot_M_O_PENS,TCF_Tot_M_O_E_T,TCF_Tot_M_LPENS,TCF_Tot_M_T
LGA10050,11,0,1004,11,33,0,0,33,0,44,0,6,8,0,14,0,14,0,0,0,3,3,0,3,11,39,8,3,50,0,61,0,0,0,0,0,0,0,1004,50,8,3,61,0,1065,222,0,0,0,0,0,222,3,17,0,0,17,0,20,0,0,7,0,7,0,7,0,0,0,0,0,0,0,3,17,7,0,24,0,27,0,0,0,0,0,0,0,225,17,7,0,24,0,249,52,3,0,0,3,0,55,0,0,0,0,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,9,0,9,0,9,0,3,0,0,3,0,3,52,6,9,0,15,0,67,7071,85,0,4,89,0,7160,117,338,0,3,341,0,458,0,35,66,0,101,3,104,9,0,0,17,17,0,26,126,373,66,20,459,3,588,0,9,0,0,9,6,15,7197,467,66,24,557,9,7763
LGA10110,10,0,522,7,22,0,0,22,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,0,0,22,0,29,0,0,0,0,0,0,0,519,27,0,5,32,0,551,135,0,0,0,0,0,135,0,7,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0,135,7,0,0,7,0,142,26,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,26,3202,51,0,11,62,0,3264,73,212,16,0,228,0,301,0,37,6,0,43,0,43,3,0,0,6,6,0,9,76,249,22,6,277,0,353,0,3,0,0,3,0,3,3278,303,22,17,342,0,3620
LGA10150,27,0,381,30,217,20,0,237,0,267,0,24,34,0,58,0,58,0,3,0,0,3,0,3,30,244,54,0,298,0,328,0,0,0,0,0,0,0,384,271,54,0,325,0,709,198,15,0,0,15,0,213,13,154,22,0,176,0,189,0,20,15,4,39,0,39,0,0,0,0,0,0,0,13,174,37,4,215,0,228,0,0,0,0,0,6,6,211,189,37,4,230,6,447,89,10,0,0,10,0,99,4,84,3,0,87,0,91,3,22,18,0,40,0,43,0,0,0,0,0,0,0,7,106,21,0,127,0,134,0,0,0,0,0,0,0,96,116,21,0,137,0,233,2928,248,0,6,254,3,3185,366,2057,130,4,2191,8,2565,3,230,199,4,433,0,436,3,3,0,13,16,0,19,372,2290,329,21,2640,8,3020,0,0,0,0,0,13,13,3300,2538,329,27,2894,24,6218
LGA10200,10,0,156,39,760,130,3,893,4,936,3,199,396,0,595,5,603,0,0,0,0,0,0,0,42,959,526,3,1488,9,1539,0,8,3,0,11,3,14,188,977,529,3,1509,12,1709,85,3,0,0,3,0,88,20,494,70,0,564,0,584,6,139,280,0,419,4,429,0,0,0,0,0,0,0,26,633,350,0,983,4,1013,0,0,3,0,3,3,6,111,636,353,0,989,7,1107,33,3,0,0,3,0,36,6,244,23,0,267,0,273,0,79,142,0,221,0,221,0,0,0,0,0,0,0,6,323,165,0,488,0,494,0,3,0,0,3,4,7,39,329,165,0,494,4,537,1415,181,0,0,181,0,1596,367,7497,908,6,8411,35,8813,37,1904,2243,0,4147,26,4210,3,10,4,57,71,0,74,407,9411,3155,63,12629,61,13097,3,40,15,3,58,47,108,1825,9632,3170,66,12868,108,14801
LGA10250,10,0,812,22,20,0,0,20,0,42,0,0,3,0,3,0,3,0,0,0,0,0,0,0,22,20,3,0,23,0,45,0,0,0,0,0,0,0,824,30,3,0,33,0,857,185,0,0,0,0,0,185,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,188,0,0,0,0,0,188,61,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,61,5568,66,0,11,77,0,5645,133,143,3,0,146,0,279,4,6,9,0,15,0,19,7,0,0,3,3,0,10,144,149,12,3,164,0,308,0,0,0,0,0,0,0,5712,215,12,14,241,0,5953
LGA10300,0,0,51,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,51,3,0,0,3,0,54,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,3,354,16,0,0,16,0,370,0,32,0,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,32,0,32,0,0,0,0,0,0,0,354,48,0,0,48,0,402
LGA10350,88,0,1362,97,2233,215,3,2451,0,2548,7,410,432,0,842,0,849,0,0,0,3,3,0,3,104,2643,647,6,3296,0,3400,3,14,0,0,14,14,31,1381,2738,654,6,3398,14,4793,652,23,3,0,26,0,678,50,1329,126,0,1455,3,1508,5,234,312,0,546,3,554,0,3,0,0,3,0,3,55,1566,438,0,2004,6,2065,3,8,3,0,11,7,21,710,1597,444,0,2041,13,2764,312,10,3,0,13,0,325,19,600,52,0,652,5,676,6,132,173,0,305,4,315,0,0,0,0,0,0,0,25,732,225,0,957,9,991,0,0,0,0,0,3,3,337,742,228,0,970,12,1319,9534,996,42,19,1057,7,10598,1023,19808,1705,20,21533,42,22598,46,2804,2384,4,5192,24,5262,7,19,0,62,81,0,88,1076,22631,4089,86,26806,66,27948,18,70,7,3,80,93,191,10628,23697,4138,108,27943,166,38737
LGA10470,5,0,804,9,24,0,0,24,0,33,4,0,0,0,0,0,4,0,0,0,0,0,0,0,13,24,0,0,24,0,37,3,0,0,0,0,0,3,815,29,0,0,29,0,844,182,0,0,0,0,0,182,3,6,0,0,6,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,5,8,6,0,0,6,0,14,0,0,0,0,0,0,0,190,6,0,0,6,0,196,57,3,0,0,3,0,60,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,57,6,0,0,6,0,63,6211,62,0,10,72,0,6283,86,175,14,0,189,0,275,8,19,3,0,22,0,30,20,3,0,13,16,0,36,114,197,17,13,227,0,341,3,0,0,0,0,0,3,6328,259,17,23,299,0,6627
LGA10550,8,0,690,17,9,0,3,12,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,3,12,0,29,0,0,0,0,0,0,0,699,17,0,3,20,0,719,98,0,0,0,0,0,98,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,101,0,0,0,0,0,101,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,4369,54,0,10,64,0,4433,90,73,0,3,76,0,166,0,3,5,0,8,0,8,7,0,0,9,9,0,16,97,76,5,12,93,0,190,0,0,0,0,0,0,0,4466,130,5,22,157,0,4623
LGA10600,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,282,41,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,41,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,1737,24,0,4,28,0,1765,37,28,0,0,28,0,65,0,3,3,0,6,0,6,0,0,0,0,0,0,0,37,31,3,0,34,0,71,0,0,0,0,0,0,0,1774,55,3,4,62,0,1836
