region_id,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA10650,8,9,4,4,3,3,37,0,3,17,14,19,0,3,0,56,26,111,74,78,84,45,12,4,434,12,53,75,75,94,61,18,11,399,10,10,15,16,24,4,0,3,82,93,189,219,256,211,137,75,15,1195,22,16,19,11,12,0,6,0,86,125,215,253,283,247,141,81,18,1363,3,3,11,25,17,15,9,3,86,88,38,69,99,95,160,164,93,806,254,429,507,583,560,426,290,132,3181
LGA10750,2303,1499,801,228,41,9,7969,60,612,677,475,256,61,16,3,2160,2202,9297,7794,5416,3289,953,255,54,29260,1862,4816,4753,3350,1949,696,235,61,17722,372,708,920,768,600,236,70,14,3688,3810,7626,7510,6344,4166,1902,805,149,32312,674,851,722,525,299,80,23,6,3180,4856,9185,9152,7637,5065,2218,898,169,39180,390,872,1012,1013,876,375,175,55,4768,3659,3068,3019,2775,2593,2068,1549,628,19359,13211,30756,28710,22165,14829,6599,3169,979,120418
LGA10800,3,7,8,0,0,0,21,0,10,3,9,5,0,4,0,31,11,85,86,45,37,21,4,0,289,5,29,58,53,42,25,12,0,224,3,8,17,31,12,5,3,0,79,92,170,153,157,133,67,31,0,803,12,21,18,13,10,5,0,0,79,107,199,188,201,155,77,34,0,961,0,5,11,13,19,8,5,5,66,49,41,55,59,48,67,77,28,424,172,372,404,387,314,198,136,33,2016
LGA10850,14,16,20,10,3,0,66,0,10,11,6,18,6,0,0,51,10,89,116,89,90,34,17,0,445,12,53,90,101,73,48,17,3,397,8,13,20,18,19,9,3,3,93,110,204,224,221,159,85,33,6,1042,24,15,22,20,11,7,3,0,102,142,232,266,259,189,101,39,9,1237,7,8,10,15,14,15,4,0,73,81,22,69,81,87,87,88,16,531,252,417,576,567,491,301,168,28,2800
LGA10900,667,831,859,346,104,19,3125,9,131,349,500,524,156,31,10,1710,371,1597,2442,2279,1979,863,310,90,9931,287,704,1363,1490,1429,801,358,86,6518,79,105,203,318,361,204,96,20,1386,1005,1694,1979,2155,1736,975,434,130,10108,152,151,155,154,126,66,9,5,818,1236,1950,2337,2627,2223,1245,539,155,12312,50,102,170,273,377,307,149,69,1497,656,375,607,776,792,605,576,355,4742,2635,5132,7935,8776,8183,4323,2067,784,39835
LGA10950,6,0,3,0,0,0,15,0,0,0,6,8,0,0,0,14,7,55,50,15,9,10,0,0,146,6,13,17,35,10,8,6,0,95,3,3,8,8,4,6,3,0,35,40,61,79,70,40,31,9,0,330,6,3,8,0,5,0,0,0,22,49,67,95,78,49,37,12,0,387,3,3,0,4,6,0,0,0,16,37,18,47,47,43,48,45,13,298,102,162,215,185,128,103,63,13,971
LGA11000,0,7,3,6,0,0,16,0,5,8,0,7,0,0,0,20,4,33,24,29,27,15,5,0,137,0,10,23,27,24,14,9,4,111,0,3,3,9,7,0,3,4,29,24,53,59,89,66,34,4,3,332,6,10,10,3,4,0,0,0,33,30,66,72,101,77,34,7,7,394,0,0,5,8,14,0,3,0,30,17,7,21,21,29,23,37,20,175,51,121,153,193,181,92,61,31,883
LGA11050,0,0,9,3,0,0,12,0,0,0,13,3,0,0,0,16,9,29,31,31,28,13,6,0,147,6,18,29,27,21,16,8,3,128,3,0,11,4,7,5,3,0,33,25,45,67,79,64,29,9,0,318,3,3,4,6,3,0,0,0,19,31,48,82,89,74,34,12,0,370,0,0,6,7,8,6,3,0,30,24,15,14,24,32,35,27,4,175,70,110,162,191,175,107,56,7,878
LGA11100,491,248,131,35,11,3,1651,8,92,97,73,42,10,0,0,322,368,1668,1230,692,359,137,40,12,4506,250,730,762,499,281,125,55,12,2714,37,83,119,110,74,39,15,11,488,328,782,898,796,544,361,188,41,3938,48,59,70,51,23,16,4,0,271,413,924,1087,957,641,416,207,52,4697,53,107,109,123,99,81,33,15,620,454,502,523,435,490,475,369,179,3427,1587,4714,4299,3027,2043,1279,715,273,17937
LGA11150,4,9,3,3,0,0,26,0,3,4,8,0,0,0,0,15,11,74,50,28,24,5,8,0,200,6,34,32,27,12,6,0,3,120,3,0,4,6,7,3,0,0,23,33,63,78,56,44,10,9,0,293,4,8,10,3,5,3,3,0,36,40,71,92,65,56,16,12,0,352,0,3,4,6,0,6,0,0,19,75,50,83,69,62,46,45,5,435,132,242,269,212,157,82,65,8,1167
LGA11200,0,4,3,0,0,0,10,0,3,3,3,0,0,0,0,9,12,21,18,18,15,0,0,0,84,4,15,4,12,9,7,0,0,51,0,4,4,4,0,0,0,0,12,25,30,39,34,21,3,7,0,159,3,7,12,3,4,0,0,0,29,28,41,55,41,25,3,7,0,200,0,0,0,0,3,0,0,0,3,42,20,27,38,16,12,12,5,172,86,103,107,116,71,22,19,5,529
LGA11250,28,36,25,8,3,0,124,3,18,36,44,34,8,3,0,146,43,194,162,173,147,42,15,6,782,32,94,148,182,112,41,26,7,642,18,28,38,44,40,21,4,3,196,291,437,480,590,467,223,99,17,2604,57,57,37,32,21,0,3,0,207,366,522,555,666,528,244,106,20,3007,7,14,29,43,31,13,13,0,150,237,223,200,292,315,343,449,246,2305,688,1089,1158,1436,1192,699,615,279,7156
LGA11300,445,368,206,67,18,6,2311,10,110,117,92,61,15,10,0,415,665,1936,1107,901,586,206,93,35,5529,470,737,539,469,277,134,89,40,2755,22,44,75,82,53,22,16,9,323,247,475,390,417,272,194,115,40,2150,36,50,31,46,19,11,3,0,196,305,569,496,545,344,227,134,49,2669,71,97,97,92,91,51,48,19,566,474,469,265,313,264,259,334,303,2681,2089,5025,3066,2780,1829,959,726,452,16926
LGA11350,167,194,230,88,20,3,773,0,40,131,160,149,37,7,3,527,95,569,1033,883,812,289,68,28,3777,80,282,534,647,534,209,73,25,2384,20,54,90,90,86,35,13,7,395,283,583,809,984,727,296,127,43,3852,55,58,54,56,46,11,3,3,286,358,695,953,1130,859,342,143,53,4533,15,31,53,104,117,52,18,5,395,318,241,330,423,401,252,209,107,2281,872,1923,3201,3541,3102,1269,538,224,14670
LGA11400,35,53,50,31,4,0,183,0,13,28,49,21,16,4,0,131,18,184,240,208,175,79,29,7,940,25,83,160,183,169,100,29,6,755,12,25,30,51,45,21,0,3,187,196,340,418,471,278,185,46,13,1947,35,34,38,30,17,11,3,0,168,243,399,486,552,340,217,49,16,2302,10,4,25,52,38,21,8,0,158,101,47,81,102,140,132,142,72,817,397,740,1055,1199,933,596,265,101,5286
LGA11450,259,198,139,50,6,3,869,18,108,137,130,92,27,6,3,521,337,1305,1283,682,449,147,60,8,4271,295,862,1129,790,498,174,69,24,3841,78,133,185,208,154,65,14,10,847,979,1932,2193,1709,1129,482,216,51,8691,117,147,144,85,61,15,6,0,575,1174,2212,2522,2002,1344,562,236,61,10113,50,118,175,196,167,93,45,30,874,543,335,452,409,389,361,281,123,2893,2443,5128,5957,4407,3078,1414,703,252,23382
LGA11500,678,617,361,97,19,4,2553,32,197,204,213,169,56,5,3,879,926,2951,2255,1772,1261,393,103,18,9679,807,1953,1753,1749,1200,392,126,20,8000,206,359,418,446,421,144,36,6,2036,2449,4145,3675,3805,3059,1256,377,103,18869,429,449,313,303,207,57,15,0,1773,3084,4953,4406,4554,3687,1457,428,109,22678,223,373,448,512,525,221,90,30,2422,2078,1449,1466,1654,1577,1082,802,461,10569,7231,12572,11210,11071,8780,3698,1573,645,56780
LGA11520,1444,934,598,205,45,21,5058,20,319,397,297,248,74,13,0,1368,1083,4890,3607,2230,1382,525,203,63,13983,498,1377,1591,1213,846,393,168,53,6139,55,127,251,256,236,127,48,24,1124,558,1183,1337,1309,923,552,339,109,6310,81,118,105,112,52,40,10,6,524,694,1428,1693,1677,1211,719,397,139,7958,74,205,236,293,272,151,116,47,1394,817,1149,892,737,564,560,555,303,5577,3277,11088,9860,7381,5121,2627,1497,626,41477
LGA11550,1432,792,362,97,25,6,4971,34,283,311,222,151,53,7,0,1061,1353,5350,3543,2386,1174,435,184,33,14458,1111,2626,2364,1594,810,311,154,56,9026,130,281,438,425,223,113,65,14,1689,1134,2338,2524,2086,1312,833,514,170,10911,180,274,259,211,103,39,10,7,1083,1444,2893,3221,2722,1638,985,589,191,13683,186,432,501,485,321,159,137,47,2268,1845,2026,1812,1748,1456,1251,1190,551,11879,6091,15749,13184,9949,5912,3291,2286,884,57346
LGA11600,3,6,3,0,0,0,15,0,4,5,8,0,0,0,0,17,7,43,42,24,15,5,0,0,136,6,19,28,30,22,6,0,0,111,3,6,7,7,5,0,0,0,28,45,66,63,73,49,20,5,0,321,6,0,13,8,0,3,0,0,30,54,72,83,88,54,23,5,0,379,4,4,0,7,0,0,0,0,15,21,16,20,33,24,31,23,6,174,92,161,181,196,118,65,28,6,847
LGA11700,0,0,0,0,0,0,13,0,7,0,4,6,0,0,0,17,9,31,25,16,16,0,0,0,97,0,11,10,24,13,0,0,0,58,9,0,0,3,5,0,0,0,17,13,20,33,36,38,26,4,0,170,8,9,7,3,3,0,0,0,30,30,29,40,42,46,26,4,0,217,3,0,4,3,3,0,0,0,13,27,34,34,31,34,25,12,3,200,72,122,113,120,118,51,16,3,615
LGA11720,55,85,65,32,0,0,285,0,31,53,74,70,22,6,0,256,109,485,457,377,430,182,60,14,2114,130,364,448,474,410,179,52,12,2069,60,110,141,123,132,76,26,8,676,979,1880,1847,1712,1318,602,241,55,8634,151,168,118,106,61,14,9,3,630,1190,2158,2106,1941,1511,692,276,66,9940,32,63,62,89,93,60,36,8,443,669,574,626,670,752,562,519,209,4581,2134,3719,3807,3710,3331,1729,949,309,19688
LGA11730,81,85,124,62,12,6,406,6,28,81,114,129,45,7,4,414,83,401,527,580,607,261,138,30,2627,79,223,405,554,575,351,130,21,2338,74,89,123,183,213,101,40,16,839,604,1056,1404,1782,1566,896,415,76,7799,153,125,126,136,102,36,13,3,694,831,1270,1653,2101,1881,1033,468,95,9332,28,48,86,131,186,114,62,15,670,505,358,494,581,627,707,654,289,4215,1532,2364,3327,4146,4129,2573,1471,460,20002
LGA11750,11,4,8,0,0,0,31,0,3,7,7,3,0,0,0,20,30,85,54,32,18,6,3,0,228,3,30,36,36,14,7,6,3,135,7,11,5,6,4,0,3,0,36,89,178,174,166,94,32,12,0,745,14,7,9,10,0,5,0,0,45,110,196,188,182,98,37,15,0,826,0,8,0,11,4,3,4,0,30,67,76,61,59,64,62,37,13,439,210,406,357,331,209,115,65,16,1709
LGA11800,206,211,240,95,45,8,906,8,71,151,156,193,60,17,7,663,234,1075,1277,1122,1077,432,175,42,5434,175,521,901,1019,926,460,175,38,4215,104,127,163,239,270,125,52,21,1101,900,1678,1972,2461,1940,1063,498,155,10667,235,177,151,193,127,46,13,6,948,1239,1982,2286,2893,2337,1234,563,182,12716,35,66,117,186,205,147,62,22,840,708,466,575,732,833,839,897,620,5670,2402,4279,5513,6319,5811,3267,1934,919,30444
LGA11860,4,0,0,0,0,0,4,0,0,5,12,0,0,0,0,17,4,34,30,21,22,3,4,0,118,3,23,18,31,22,9,3,0,109,0,0,8,7,7,3,0,0,25,29,32,45,65,28,13,4,0,216,3,3,0,4,0,0,0,0,10,32,35,53,76,35,16,4,0,251,0,4,3,3,0,3,5,0,18,15,7,13,16,24,17,0,9,101,54,103,126,159,103,48,16,9,618
LGA12000,11,14,8,3,3,0,42,0,4,8,8,9,3,0,0,32,9,51,65,44,40,17,9,4,239,6,22,39,49,38,14,9,0,177,6,0,10,6,13,6,0,0,41,60,82,107,114,79,38,11,7,498,9,8,10,9,7,3,0,0,46,75,90,127,129,99,47,11,7,585,0,9,6,12,14,5,3,0,49,46,12,32,66,41,68,57,32,354,136,191,288,322,249,157,92,43,1478
LGA12050,36,48,55,29,4,3,192,0,7,24,43,41,10,5,0,130,25,93,180,206,162,69,26,14,775,14,71,113,125,103,59,28,6,519,10,22,31,35,32,22,14,7,173,136,250,303,341,243,149,70,18,1510,36,16,30,31,20,6,0,0,139,182,288,364,407,295,177,84,25,1822,6,6,15,22,32,20,11,6,118,99,95,135,146,117,145,120,66,923,326,577,867,997,805,509,278,120,4479
LGA12150,7,0,0,3,3,0,19,0,0,7,8,8,0,0,0,23,12,65,34,31,17,10,3,0,172,12,21,46,46,29,3,3,0,160,5,4,10,12,3,11,3,0,48,42,86,70,108,52,27,14,3,402,10,9,9,10,3,0,0,0,41,57,99,89,130,58,38,17,3,491,4,0,4,13,6,5,4,3,39,74,28,45,40,68,75,60,15,405,159,219,232,268,186,134,90,21,1309
LGA12200,14,8,12,9,0,0,46,0,6,11,17,18,11,6,0,69,8,61,94,74,85,46,9,5,382,6,35,69,87,69,44,18,0,328,8,10,19,24,24,29,10,4,128,97,179,192,235,191,109,47,7,1057,14,12,18,30,14,3,0,0,91,119,201,229,289,229,141,57,11,1276,5,6,13,20,20,17,12,0,93,76,41,69,87,111,127,136,56,703,214,353,499,582,544,395,238,72,2897
LGA12300,24,15,16,8,3,3,75,0,10,15,25,16,7,3,0,76,17,111,139,113,93,47,17,7,544,16,65,87,89,107,87,35,6,492,14,12,17,24,26,26,11,3,133,157,307,334,346,339,227,107,23,1840,23,24,16,23,30,7,0,0,123,194,343,367,393,395,260,118,26,2096,3,12,13,17,29,20,14,6,114,97,48,69,119,165,175,185,107,965,327,595,714,771,821,604,375,155,4362
LGA12350,13,13,20,12,0,0,64,0,9,17,20,22,7,4,0,79,20,90,153,122,120,66,26,9,606,15,61,102,121,150,82,36,11,578,10,12,40,48,34,21,11,3,179,149,265,308,347,321,161,83,20,1654,32,27,29,23,24,9,3,4,151,191,304,377,418,379,191,97,27,1984,5,7,13,36,53,28,9,6,157,154,105,133,147,190,233,186,66,1214,385,582,808,877,934,619,358,119,4682
LGA12500,15,16,11,0,4,0,55,0,4,14,17,9,4,3,0,51,14,95,97,62,54,27,13,10,372,19,42,62,69,69,37,24,3,325,6,7,18,26,16,11,6,3,93,97,171,199,240,189,79,36,11,1022,29,18,9,10,3,0,0,0,69,132,196,226,276,208,90,42,14,1184,3,5,8,16,21,16,9,3,81,90,52,88,88,117,123,114,61,733,258,403,510,544,489,297,209,91,2801
LGA12600,103,117,81,28,12,3,431,6,60,97,104,85,18,3,0,373,172,861,690,542,403,125,58,13,2864,95,280,391,427,318,173,57,17,1758,67,76,128,132,95,47,19,7,571,778,1305,1266,1232,806,368,140,36,5931,148,165,110,93,52,18,6,0,592,993,1546,1504,1457,953,433,165,43,7094,36,43,50,105,111,63,33,9,450,499,299,376,442,362,419,317,146,2860,1801,3176,3211,3194,2313,1259,645,231,15830
LGA12700,14,27,35,13,0,4,99,0,5,9,19,33,6,3,0,75,15,78,97,139,140,64,16,0,549,15,53,98,122,119,61,26,8,502,8,12,30,28,33,21,0,0,132,120,228,294,341,228,125,46,8,1390,16,22,16,13,10,0,0,0,77,144,262,340,382,271,146,46,8,1599,6,4,8,18,28,17,6,0,87,84,45,81,92,100,90,67,29,588,264,453,647,799,726,397,164,49,3499
LGA12750,84,84,154,111,38,11,503,3,30,56,112,183,75,11,7,477,39,250,402,476,640,411,181,50,2449,24,171,321,432,586,385,162,55,2136,26,37,73,98,174,112,39,12,571,323,695,1005,1288,1229,829,443,108,5920,88,76,76,81,75,23,7,3,429,437,808,1154,1467,1478,964,489,123,6920,16,26,52,91,130,109,47,23,494,321,225,336,404,564,699,574,265,3388,843,1528,2405,3066,3735,2754,1502,534,16367
LGA12850,355,253,223,62,19,4,1621,42,131,125,118,94,16,5,4,535,1689,4124,2494,1615,1236,386,98,32,11674,1436,2577,2213,1708,949,355,123,21,9382,221,396,523,488,269,101,42,9,2049,2018,3278,3139,3321,2424,1225,561,104,16070,340,477,378,313,160,40,5,3,1716,2579,4151,4040,4122,2853,1366,608,116,19835,247,450,478,593,425,237,101,25,2556,2362,1758,2173,2217,1893,1548,1297,513,13761,8472,13779,11878,10626,7673,3970,2251,715,59364
LGA12900,17,12,15,5,0,0,56,4,10,14,15,15,3,0,0,61,25,142,115,96,64,32,29,9,512,20,56,81,92,83,50,19,4,405,18,15,24,23,28,18,3,0,129,182,251,254,272,204,107,42,7,1319,19,18,13,35,27,8,0,0,120,219,284,291,330,259,133,45,7,1568,10,9,18,38,26,21,5,0,127,80,41,75,70,109,147,135,49,706,358,549,611,653,571,391,233,69,3435
LGA12950,6,6,3,3,0,0,21,0,4,6,6,5,3,3,0,27,15,57,47,45,31,13,3,3,214,4,17,37,45,35,27,3,0,168,6,4,12,18,13,6,3,0,62,65,93,122,124,83,48,19,6,560,10,14,8,7,3,0,3,0,45,81,111,142,149,99,54,25,6,667,0,4,8,15,15,6,3,0,51,41,30,38,69,66,76,58,34,412,141,226,284,335,254,182,95,43,1560
LGA13010,9,8,18,16,6,0,64,3,7,19,12,18,4,0,0,63,20,77,94,96,120,35,23,9,474,14,50,62,100,105,64,19,4,418,5,17,30,28,21,20,6,0,127,102,191,209,291,213,127,43,5,1181,18,22,19,21,9,12,0,0,101,125,230,258,340,243,159,49,5,1409,0,0,17,20,24,26,11,0,98,110,89,96,120,121,117,145,30,828,272,460,555,696,649,421,253,48,3354
LGA13050,6,9,11,14,4,0,47,0,0,9,7,25,3,0,0,44,0,42,63,61,62,53,28,0,309,4,22,36,56,66,62,22,3,271,6,8,14,18,21,18,9,3,97,56,94,151,159,153,103,37,9,762,8,6,12,9,10,0,0,0,45,70,108,177,186,184,121,46,12,904,3,4,7,8,21,15,0,6,64,36,8,29,37,64,67,65,22,328,113,187,327,364,433,335,165,43,1967
