region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly_,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
LGA10050,37,1452,558,195,1360,1.1,1025,2.4
LGA10110,35,1441,494,200,1292,1.1,991,2.4
LGA10150,37,2167,628,365,1689,1.2,1413,2.5
LGA10200,31,2000,420,350,1161,1.3,1160,3.1
LGA10250,45,1733,496,290,1153,1.1,930,2.4
LGA10300,41,867,470,138,1126,1.1,894,2.4
LGA10350,35,2002,428,310,1228,1.2,1091,3.0
LGA10470,36,1625,544,220,1437,1.1,1142,2.5
LGA10550,48,1300,454,200,1014,1.1,848,2.3
LGA10600,46,1300,416,225,938,1.1,787,2.4
LGA10650,48,1170,428,145,958,1.1,776,2.2
LGA10750,32,2100,565,300,1492,1.1,1388,3.1
LGA10800,41,1070,459,130,1072,1.1,879,2.4
LGA10850,40,1430,533,165,1376,1.1,1092,2.5
LGA10900,42,1842,590,280,1624,1.1,1270,2.5
LGA10950,39,1083,478,140,1182,1.1,902,2.5
LGA11000,46,962,462,130,1010,1.1,805,2.2
LGA11050,45,1000,452,125,1081,1.1,778,2.3
LGA11100,37,2500,575,330,1488,1.2,1245,2.6
LGA11150,35,878,600,83,1238,1.1,1085,2.6
LGA11200,33,585,369,74,782,1.2,791,2.6
LGA11250,43,953,414,150,994,1.1,786,2.2
LGA11300,35,2179,490,400,1441,1.3,1310,2.8
LGA11350,42,1684,477,350,1053,1.1,885,2.4
LGA11400,42,1387,523,135,1293,1.1,1036,2.6
LGA11450,34,2167,690,360,1865,1.1,1727,3.0
LGA11500,33,1800,549,260,1390,1.1,1251,2.9
LGA11520,37,2600,782,480,2152,1.2,1817,2.5
LGA11550,35,2000,430,300,1149,1.3,1029,2.8
LGA11600,40,867,527,80,1143,1.1,942,2.4
LGA11700,39,300,387,65,889,1.1,787,2.4
LGA11720,37,1517,472,230,1265,1.1,1042,2.6
LGA11730,46,1300,396,210,924,1.1,768,2.4
LGA11750,35,1300,582,143,1587,1.1,1259,2.4
LGA11800,42,1575,469,250,1097,1.1,902,2.4
