region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA10650,1307,50,30,48,0,1435,872,16,9,11,0,908,208,38,66,3,0,315,19,0,6,0,0,25,218,13,23,9,0,263,8,13,6,0,0,27,60,0,5,9,0,74,42,4,0,0,0,46,555,68,106,21,0,750,29,3,0,3,0,35,91,9,17,3,0,120,2854,146,162,86,0,3248
LGA10750,20311,1087,227,111,27,21763,35929,4122,781,21,18,40871,9574,2596,1961,52,11,14194,5315,1755,1077,0,0,8147,3410,568,256,35,8,4277,222,100,158,3,0,483,461,66,37,128,7,699,276,54,38,3,0,371,19258,5139,3527,221,26,28171,367,92,30,4,0,493,1809,280,239,28,3,2359,77674,10720,4804,385,74,93657
LGA10800,1039,0,8,17,0,1064,594,0,6,4,0,604,86,5,28,0,0,119,42,0,3,0,0,45,155,5,10,3,0,173,7,0,9,0,0,16,80,3,14,0,0,97,36,3,0,4,0,43,406,16,64,7,0,493,25,0,3,0,0,28,65,0,4,4,0,73,2129,16,85,32,0,2262
LGA10850,948,8,3,7,3,969,905,11,0,0,0,916,236,20,36,5,0,297,48,5,0,0,0,53,136,4,5,4,0,149,8,5,10,0,0,23,33,3,0,0,0,36,26,0,0,0,0,26,487,37,51,9,0,584,17,0,0,0,0,17,59,0,5,0,0,64,2416,56,59,16,3,2550
LGA10900,9957,445,73,8,7,10490,11139,183,49,10,3,11384,2760,328,236,10,4,3338,163,137,50,0,0,350,1083,78,69,12,4,1246,82,80,37,0,0,199,84,14,9,3,0,110,113,9,10,0,0,132,4285,646,411,25,8,5375,154,97,23,0,3,277,438,45,19,3,0,505,25973,1416,575,46,21,28031
LGA10950,423,0,0,0,3,426,232,0,0,5,0,237,52,3,0,3,0,58,50,3,5,0,0,58,77,3,7,5,0,92,12,0,3,0,0,15,55,11,12,6,0,84,22,0,0,0,0,22,268,20,27,14,0,329,6,0,0,0,0,6,43,3,3,3,0,52,972,23,30,22,3,1050
LGA11000,500,0,0,0,0,500,251,0,0,0,0,251,23,0,6,3,0,32,10,0,3,0,0,13,91,6,5,4,0,106,3,0,0,0,0,3,32,3,0,0,0,35,23,3,0,0,0,26,182,12,14,7,0,215,9,0,0,0,0,9,28,0,0,0,0,28,970,12,14,7,0,1003
LGA11050,469,8,0,6,0,483,250,0,0,0,0,250,55,0,0,4,0,59,4,4,0,0,0,8,63,4,0,0,0,67,0,12,0,0,0,12,34,0,0,0,0,34,18,0,0,0,0,18,174,20,0,4,0,198,11,3,0,0,0,14,17,0,0,4,0,21,921,31,0,14,0,966
LGA11100,2575,505,886,10,3,3979,1869,744,1719,10,9,4351,489,281,2141,30,10,2951,172,339,875,0,5,1391,218,70,379,20,4,691,29,20,43,0,4,96,23,32,46,3,0,104,30,9,44,0,0,83,961,751,3528,53,23,5316,28,15,39,0,0,82,142,53,198,0,0,393,5575,2068,6370,73,35,14121
LGA11150,284,0,0,8,0,292,201,0,4,0,0,205,12,0,0,0,0,12,60,0,7,0,0,67,92,0,8,0,0,100,41,0,0,0,0,41,107,5,9,0,0,121,28,0,0,0,0,28,340,5,24,0,0,369,10,0,0,0,0,10,55,0,3,4,0,62,890,5,31,12,0,938
LGA11200,145,0,0,5,0,150,66,0,0,0,0,66,4,0,0,0,0,4,56,0,3,0,0,59,40,0,3,0,0,43,103,0,14,0,0,117,51,0,12,0,0,63,33,0,3,0,0,36,287,0,35,0,0,322,15,0,0,0,3,18,17,0,3,0,0,20,530,0,38,5,3,576
LGA11250,3261,6,68,13,0,3348,2112,3,45,5,3,2168,588,13,58,0,0,659,72,7,23,3,0,105,450,19,59,0,3,531,31,3,0,0,0,34,149,9,21,3,0,182,40,4,3,0,0,47,1330,55,164,6,3,1558,39,6,3,0,3,51,274,4,34,0,0,312,7016,74,314,24,9,7437
LGA11300,2750,360,521,10,0,3641,1693,358,704,8,0,2763,617,249,1810,20,6,2702,24,75,211,0,0,310,247,90,310,14,3,664,47,7,30,0,0,84,32,6,53,3,0,94,29,12,27,3,0,71,996,439,2441,40,9,3925,33,8,28,0,0,69,158,36,130,3,3,330,5630,1201,3824,61,12,10728
LGA11350,3509,197,79,131,6,3922,2917,230,55,16,5,3223,1032,319,203,5,4,1563,69,42,51,0,0,162,1176,160,127,60,8,1531,33,18,13,3,0,67,60,9,9,72,0,150,111,10,14,3,0,138,2481,558,417,143,12,3611,80,7,12,4,0,103,207,32,39,58,0,336,9194,1024,602,352,23,11195
LGA11400,2012,8,6,26,0,2052,1552,4,3,17,0,1576,232,25,17,3,0,277,27,0,0,0,0,27,348,7,9,11,0,375,6,12,19,0,0,37,106,3,0,6,0,115,75,3,4,3,0,85,794,50,49,23,0,916,47,0,3,0,0,50,99,3,9,0,0,111,4504,65,70,66,0,4705
LGA11450,4207,250,69,115,7,4648,9053,322,27,5,15,9422,1859,172,81,0,3,2115,213,78,32,0,0,323,633,44,32,4,0,713,25,26,5,0,0,56,65,0,0,16,0,81,46,7,6,0,0,59,2841,327,156,20,3,3347,51,87,10,4,0,152,245,34,15,12,0,306,16397,1020,277,156,25,17875
LGA11500,10173,977,235,46,4,11435,17577,2077,274,62,4,19994,4212,1702,556,21,0,6491,3180,1748,338,0,8,5274,1501,355,111,9,0,1976,113,94,56,0,0,263,165,18,20,4,0,207,115,28,16,3,0,162,9286,3945,1097,37,8,14373,179,53,110,3,3,348,840,230,67,0,0,1137,38055,7282,1783,148,19,47287
LGA11520,6181,858,2205,15,9,9268,4293,1166,3208,13,11,8691,1242,804,4405,57,32,6540,89,173,478,0,0,740,446,170,794,36,5,1451,16,23,79,0,0,118,44,73,159,3,0,279,62,16,61,6,0,145,1899,1259,5976,102,37,9273,70,20,51,0,0,141,310,68,259,5,0,642,12753,3371,11699,135,57,28015
LGA11550,11000,941,2090,41,40,14112,7955,1533,3564,24,35,13111,2388,1088,7084,120,54,10734,592,487,1599,0,0,2678,909,285,1019,39,13,2265,84,93,232,0,0,409,168,38,198,7,8,419,94,29,118,4,0,245,4235,2020,10250,170,75,16750,144,37,114,0,0,295,767,149,727,14,3,1660,24101,4680,16745,249,153,45928
LGA11600,400,0,0,17,0,417,214,0,3,0,0,217,11,0,3,0,0,14,11,0,0,0,0,11,110,3,8,4,0,125,3,0,9,0,0,12,98,3,6,6,0,113,22,0,0,3,0,25,255,6,26,13,0,300,16,0,0,0,0,16,32,0,0,3,0,35,917,6,29,33,0,985
LGA11700,233,0,10,15,21,279,66,0,0,3,3,72,0,0,0,0,0,0,78,0,3,0,13,94,36,0,4,6,4,50,31,0,3,0,0,34,81,0,14,11,7,113,22,0,3,0,0,25,248,0,27,17,24,316,24,0,0,3,0,27,35,0,3,3,3,44,606,0,40,41,51,738
LGA11720,6127,127,57,31,3,6345,6522,48,33,9,3,6615,2042,438,236,4,5,2725,413,72,155,0,0,640,813,41,35,6,0,895,22,32,3,0,0,57,105,31,4,13,3,156,94,17,3,3,0,117,3489,631,436,26,8,4590,88,30,3,0,0,121,482,45,24,4,3,558,16708,881,553,70,17,18229
LGA11730,7664,251,201,297,4,8417,5194,79,68,47,3,5391,1679,254,468,17,3,2421,288,43,97,3,0,431,1076,101,162,31,0,1370,109,26,23,0,11,169,149,8,30,77,3,267,133,4,8,8,0,153,3434,436,788,136,17,4811,109,3,9,9,5,135,401,25,37,38,3,504,16802,794,1103,527,32,19258
LGA11750,527,0,3,17,4,551,434,0,0,0,0,434,149,13,45,3,0,210,78,0,8,0,0,86,75,0,4,13,0,92,37,0,13,0,0,50,163,7,40,3,0,213,22,0,9,0,0,31,524,20,119,19,0,682,10,0,0,0,0,10,39,0,5,0,0,44,1534,20,127,36,4,1721
LGA11800,7725,684,402,473,0,9284,6861,399,210,23,0,7493,2502,913,1081,15,3,4514,573,293,285,0,0,1151,1283,255,268,57,3,1866,77,72,71,4,0,224,139,33,38,147,3,360,121,24,32,11,0,188,4695,1590,1775,234,9,8303,151,108,48,18,3,328,432,96,107,32,0,667,19864,2877,2542,780,12,26075
LGA11860,228,0,0,0,0,228,161,0,0,8,0,169,6,0,0,0,0,6,0,0,0,0,0,0,48,0,0,0,0,48,0,0,0,0,0,0,43,0,0,0,0,43,29,0,0,0,0,29,126,0,0,0,0,126,14,0,0,0,0,14,10,0,0,0,0,10,539,0,0,8,0,547
LGA12000,665,0,15,10,0,690,477,0,0,0,0,477,38,0,0,0,0,38,9,3,4,0,0,16,146,0,4,4,0,154,0,0,6,0,0,6,17,0,5,3,0,25,11,0,6,0,0,17,221,3,25,7,0,256,11,0,4,0,0,15,34,0,14,0,0,48,1408,3,58,17,0,1486
LGA12050,1464,20,10,12,0,1506,1263,7,0,13,3,1286,304,100,44,0,0,448,61,10,23,0,0,94,218,15,23,5,4,265,17,5,3,0,0,25,47,6,4,0,0,57,27,0,3,0,0,30,674,136,100,5,4,919,21,5,3,0,0,29,68,9,7,3,0,87,3490,177,120,33,7,3827
LGA12150,638,6,0,5,3,652,323,3,0,3,0,329,62,0,6,0,0,68,77,3,0,0,0,80,132,4,14,8,0,158,32,4,9,0,0,45,70,6,8,0,0,84,46,0,0,0,0,46,419,17,37,8,0,481,21,3,0,0,0,24,51,0,0,0,0,51,1452,29,37,16,3,1537
LGA12200,1306,22,21,4,0,1353,818,0,6,0,0,824,166,5,64,0,0,235,151,0,19,0,0,170,157,3,20,0,0,180,0,0,0,0,0,0,40,3,3,4,0,50,32,0,0,0,0,32,546,11,106,4,0,667,15,4,4,0,0,23,78,4,4,0,0,86,2763,41,141,8,0,2953
LGA12300,1663,54,114,48,3,1882,1299,18,44,5,3,1369,319,33,141,3,0,496,35,3,3,0,0,41,250,12,43,3,3,311,10,0,14,0,0,24,56,0,0,10,3,69,32,4,4,0,0,40,702,52,205,16,6,981,20,9,8,0,0,37,109,6,16,9,0,140,3793,139,387,78,12,4409
LGA12350,1937,33,19,17,0,2006,1261,8,4,7,0,1280,410,38,108,5,0,561,137,7,26,0,0,170,282,15,24,4,0,325,18,14,4,0,0,36,68,3,3,6,0,80,34,0,8,0,0,42,949,77,173,15,0,1214,26,17,0,0,0,43,159,12,16,3,7,197,4332,147,212,42,7,4740
LGA12500,1027,28,22,24,0,1101,858,10,6,6,0,880,314,79,51,6,0,450,92,3,20,0,0,115,119,17,12,0,0,148,19,5,4,0,0,28,10,3,3,11,3,30,19,0,0,0,0,19,573,107,90,17,3,790,7,0,3,3,0,13,103,17,6,4,0,130,2568,162,127,54,3,2914
LGA12600,3969,103,125,25,0,4222,4929,92,55,9,0,5085,1448,400,557,16,0,2421,472,79,197,0,0,748,625,51,69,14,0,759,48,13,30,0,0,91,82,6,19,19,0,126,72,9,9,3,0,93,2747,558,881,52,0,4238,49,11,82,3,0,145,232,32,59,24,0,347,11926,796,1202,113,0,14037
LGA12700,1307,5,8,8,0,1328,1086,0,0,8,0,1094,207,9,11,0,0,227,26,10,0,0,0,36,209,4,8,5,0,226,4,12,0,0,0,16,45,0,0,0,0,45,27,0,0,0,0,27,518,35,19,5,0,577,29,5,3,0,0,37,75,4,0,0,0,79,3015,49,30,21,0,3115
LGA12750,5920,330,203,178,4,6635,3240,91,65,19,0,3415,1232,263,329,10,0,1834,229,96,88,3,0,416,824,102,101,26,3,1056,102,11,9,0,0,122,90,13,16,37,0,156,80,10,9,8,0,107,2557,495,552,84,3,3691,75,52,22,9,3,161,300,60,52,21,0,433,12092,1028,894,311,10,14335
LGA12850,15867,1408,817,32,15,18139,14446,2298,1284,19,13,18060,4425,1438,2775,44,8,8690,1959,1408,785,0,0,4152,2084,401,384,15,7,2891,171,145,102,0,4,422,451,97,113,44,0,705,216,45,57,3,0,321,9306,3534,4216,106,19,17181,275,44,46,0,3,368,1451,307,325,6,0,2089,41345,7591,6688,163,50,55837
LGA12900,1285,28,14,10,3,1340,1047,8,4,4,0,1063,274,70,84,0,0,428,143,3,17,0,0,163,231,9,22,0,0,262,3,3,10,0,0,16,78,0,3,7,0,88,51,0,3,0,0,54,780,85,139,7,0,1011,18,0,0,0,0,18,99,6,12,12,0,129,3229,127,169,33,3,3561
LGA12950,688,0,13,6,0,707,408,0,18,0,0,426,78,3,58,0,0,139,60,0,0,0,0,60,141,3,8,4,0,156,23,0,0,0,0,23,30,0,3,9,0,42,22,0,5,0,0,27,354,6,74,13,0,447,18,0,0,0,0,18,41,0,4,8,0,53,1509,6,109,27,0,1651
LGA13010,1518,17,6,11,3,1555,875,6,0,3,3,887,331,58,46,0,0,435,73,4,5,0,0,82,199,7,8,0,0,214,29,17,0,0,0,46,63,0,0,0,0,63,31,4,0,3,0,38,726,90,59,3,0,878,35,5,0,0,0,40,100,4,3,0,0,107,3254,122,68,17,6,3467
LGA13050,946,3,4,23,0,976,455,0,3,6,0,464,162,4,39,11,0,216,40,0,5,0,0,45,126,9,10,9,0,154,6,0,0,0,0,6,37,0,8,7,0,52,13,0,4,3,0,20,384,13,66,30,0,493,13,0,0,0,0,13,45,5,4,0,0,54,1843,21,77,59,0,2000
LGA13100,17008,3037,1171,361,20,21597,19102,1374,655,31,24,21186,5636,2001,1931,76,44,9688,747,640,608,0,0,1995,2277,448,313,43,17,3098,84,132,125,0,0,341,267,72,21,82,4,446,207,48,55,4,0,314,9218,3341,3053,205,65,15882,237,562,181,6,5,991,964,407,238,29,0,1638,46529,8721,5298,632,114,61294
LGA13310,3538,135,21,51,8,3753,3306,72,24,19,11,3432,887,236,279,14,8,1424,481,17,59,0,0,557,560,57,28,25,0,670,24,25,17,0,0,66,103,7,3,43,0,156,60,6,3,3,0,72,2115,348,389,85,8,2945,55,8,0,3,0,66,219,19,19,4,0,261,9233,582,453,162,27,10457
LGA13320,5399,799,331,244,9,6782,2888,168,91,28,4,3179,1185,379,580,18,0,2162,47,109,69,0,0,225,615,119,115,20,0,869,57,60,10,0,0,127,93,14,20,56,0,183,59,14,10,12,0,95,2056,695,804,106,0,3661,123,57,5,11,0,196,289,106,63,31,0,489,10755,1825,1294,420,13,14307
LGA13340,1543,0,0,13,3,1559,1212,4,3,3,3,1225,175,15,5,3,0,198,15,3,0,0,0,18,279,0,3,3,0,285,7,5,3,0,0,15,82,0,3,0,0,85,60,3,3,0,0,66,618,26,17,6,0,667,33,0,3,0,0,36,113,10,0,0,3,126,3519,40,23,22,9,3613
LGA13380,7012,355,199,136,3,7705,4842,95,52,18,0,5007,1794,367,528,23,3,2715,396,42,159,0,0,597,835,83,83,16,6,1023,101,40,46,0,0,187,80,17,13,47,4,161,109,5,15,11,0,140,3315,554,844,97,13,4823,68,41,21,3,0,133,379,36,68,5,5,493,15616,1081,1184,259,21,18161
LGA13450,2680,111,84,27,0,2902,2419,70,57,0,0,2546,891,247,274,6,0,1418,282,9,40,0,0,331,475,41,55,0,0,571,37,7,19,0,0,63,135,5,13,19,0,172,93,8,3,0,0,104,1913,317,404,25,0,2659,45,9,3,3,0,60,231,15,38,3,0,287,7288,522,586,58,0,8454
LGA13500,598,7,12,15,0,632,375,0,0,6,0,381,72,3,22,5,0,102,26,0,5,0,0,31,80,11,4,9,0,104,0,0,0,0,0,0,46,0,3,7,0,56,29,0,0,0,0,29,253,14,34,21,0,322,23,0,0,0,0,23,38,0,7,0,0,45,1287,21,53,42,0,1403
LGA13550,1604,31,43,23,0,1701,1247,7,11,5,3,1273,429,41,147,5,0,622,132,7,28,0,0,167,285,6,38,3,0,332,26,7,14,0,0,47,104,4,13,3,0,124,46,0,0,0,0,46,1022,65,240,11,0,1338,32,14,0,4,0,50,104,6,10,6,0,126,4009,123,304,49,3,4488
LGA13650,696,6,5,4,0,711,446,3,0,3,0,452,56,4,18,0,0,78,38,4,0,0,0,42,140,6,3,3,0,152,22,0,0,0,0,22,53,0,0,0,0,53,24,3,0,3,0,30,333,17,21,6,0,377,21,0,0,0,0,21,44,0,0,9,0,53,1540,26,26,22,0,1614
LGA13660,947,0,0,29,0,976,441,0,0,9,0,450,81,0,9,0,0,90,3,4,10,0,0,17,165,0,6,3,0,174,3,0,7,0,0,10,117,0,7,0,0,124,71,0,3,0,0,74,440,4,42,3,0,489,34,3,0,0,0,37,64,0,5,0,0,69,1926,7,47,41,0,2021
LGA13700,673,9,4,8,0,694,376,0,0,5,0,381,68,6,4,0,0,78,13,0,0,0,0,13,114,0,7,0,0,121,3,3,0,0,0,6,46,0,5,6,0,57,34,0,0,0,0,34,278,9,16,6,0,309,13,3,0,0,0,16,30,3,0,3,0,36,1370,24,20,22,0,1436
LGA13800,5649,424,77,72,3,6225,8388,371,86,10,3,8858,1686,685,330,42,3,2746,460,149,102,3,0,714,820,130,69,21,3,1043,77,27,36,3,0,143,283,62,12,67,3,427,96,20,6,5,3,130,3422,1073,555,141,12,5203,108,13,15,6,0,142,317,57,31,13,0,418,17884,1938,764,242,18,20846
LGA13850,445,0,4,4,0,453,291,0,3,3,0,297,61,0,36,0,0,97,37,0,4,0,0,41,121,0,14,0,0,135,4,0,0,0,0,4,58,0,7,3,0,68,18,0,0,0,0,18,299,0,61,3,0,363,9,0,0,0,0,9,33,0,9,0,0,42,1077,0,77,10,0,1164
LGA13950,8109,869,597,3,0,9578,7320,1657,1827,4,3,10811,2324,1066,3496,27,6,6919,555,546,1054,10,0,2165,1015,257,417,11,7,1707,96,88,117,3,0,304,143,24,47,5,0,219,95,21,47,3,0,166,4228,2002,5178,59,13,11480,143,58,53,0,0,254,542,126,215,6,0,889,20342,4712,7870,72,16,33012
LGA14000,16805,1231,1296,63,6,19401,17403,1299,2289,13,11,21015,3032,677,3206,24,13,6952,118,182,370,0,0,670,1295,171,696,30,5,2197,68,72,261,3,0,404,171,34,53,17,0,275,142,15,48,3,0,208,4826,1151,4634,77,18,10706,247,256,262,3,4,772,478,95,199,7,0,779,39759,4032,8680,163,39,52673
LGA14100,1380,170,204,5,0,1759,1105,148,168,0,0,1421,209,78,294,15,0,596,10,0,276,0,0,286,88,29,66,16,0,199,17,0,13,0,0,30,11,5,7,0,0,23,15,3,5,0,0,23,350,115,661,31,0,1157,37,0,21,0,0,58,53,9,33,0,0,95,2925,442,1087,36,0,4490
LGA14150,7712,1014,1210,12,3,9951,5607,1039,2282,14,3,8945,1418,465,3027,83,4,4997,391,434,303,0,0,1128,513,156,609,26,0,1304,40,58,33,0,0,131,68,36,43,0,0,147,53,19,37,4,0,113,2483,1168,4052,113,4,7820,89,53,35,0,0,177,360,108,183,3,0,654,16251,3382,7762,142,10,27547
LGA14200,2246,14,52,18,0,2330,1783,12,4,8,0,1807,558,28,198,5,0,789,158,0,44,0,0,202,336,3,41,7,0,387,23,0,67,0,0,90,88,0,14,21,0,123,92,3,6,3,0,104,1255,34,370,36,0,1695,43,12,3,3,0,61,146,3,34,5,0,188,5473,75,463,70,0,6081
LGA14250,248,3,0,0,0,251,139,0,0,0,0,139,18,0,7,0,0,25,4,3,0,0,0,7,49,0,3,0,0,52,0,0,3,0,3,6,21,0,0,3,0,24,15,0,0,0,0,15,107,3,13,3,3,129,12,0,0,0,0,12,15,0,0,0,0,15,521,6,13,3,3,546
