region_id,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sede_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Fl_u_a_1_or2_st_bl_NofB_0_ib,Flt_un_at_In_1_or2_s_b_NofB_1,Flt_un_at_In_1_or2_s_b_NofB_2,Flt_un_at_In_1_or2_s_b_NofB_3,Flt_un_at_In_1_or2_s_b_NofB_4,Flt_un_at_In_1_or2_s_b_NofB_5,Fl_un_at_In_1_or2_s_b_NoB_6_m,Flt_u_at_In_1_or2_s_b_NoB_NS,Flt_un_at_In_1_or2_s_b_Total,Flt_un_apt_3_st_bl_NoB_0_ib,Flt_un_apt_In_3_st_bl_NofB_1,Flt_un_apt_In_3_st_bl_NofB_2,Flt_un_apt_In_3_st_bl_NofB_3,Flt_un_apt_In_3_st_bl_NofB_4,Flt_un_apt_In_3_st_bl_NofB_5,Flt_un_apt_In_3_s_bl_NofB_6_m,Flt_un_apt_In_3_st_bl_NofB_NS,Flt_un_apt_In_3_st_bl_Total,Ft_un_ap_4_or_m_s_b_NofB_0_ib,Ft_un_apt_4_or_m_s_b_NofB_1,Ft_un_apt_4_or_m_s_b_NofB_2,Ft_un_apt_4_or_m_s_b_NofB_3,Ft_un_apt_4_or_m_s_b_NofB_4,Ft_un_apt_4_or_m_s_b_NofB_5,Ft_un_apt_4_or_m_s_b_NofB_6_m,Ft_un_apt_4_or_m_s_b_NofB_NS,Ft_un_apt_4_or_m_s_b_Total,Fl_un_at_At_to_a_h_NofB_0_ib,Flt_un_apt_At_to_a_hse_NofB_1,Flt_un_apt_At_to_a_hse_NofB_2,Flt_un_apt_At_to_a_hse_NofB_3,Flt_un_apt_At_to_a_hse_NofB_4,Flt_un_apt_At_to_a_hse_NofB_5,Fl_un_apt_At_to_a_hs_NofB_6_m,Flt_un_apt_At_to_a_hs_NofB_NS,Flt_un_apt_At_to_a_hse_Total,Flt_un_apart_Tot_NofB_0_i_b,Flt_un_apart_Tot_NofB_1,Flt_un_apart_Tot_NofB_2,Flt_un_apart_Tot_NofB_3,Flt_un_apart_Tot_NofB_4,Flt_un_apart_Tot_NofB_5,Flt_un_apart_Tot_NofB_6_or_m,Flt_un_apart_Tot_NofB_NS,Flt_un_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA10050,14,86,1468,7704,4206,599,115,216,14408,3,63,619,224,6,0,3,32,950,0,9,42,55,0,0,0,0,106,3,72,661,279,6,0,3,32,1056,38,445,1928,341,20,4,3,133,2912,4,13,75,0,0,0,0,7,99,0,0,21,3,0,0,0,0,24,0,5,5,3,0,0,0,0,13,42,463,2029,347,20,4,3,140,3048,14,30,21,16,4,0,0,5,90,0,0,4,5,4,0,0,0,13,73,651,4183,8351,4240,603,121,393,18615
LGA10110,11,93,711,3472,2079,485,101,129,7081,0,49,261,82,13,5,4,13,427,0,7,30,20,3,0,3,0,63,0,56,291,102,16,5,7,13,490,9,194,539,113,13,0,3,35,906,0,6,22,4,0,0,0,3,35,0,0,0,0,0,0,0,0,0,0,8,4,0,4,0,0,0,16,9,208,565,117,17,0,3,38,957,6,11,15,10,3,0,0,3,48,0,3,3,3,3,0,0,0,12,26,371,1585,3704,2118,490,111,183,8588
LGA10150,14,115,794,2787,1628,339,87,94,5858,3,79,541,430,64,8,4,26,1155,14,67,263,262,58,6,0,10,680,17,146,804,692,122,14,4,36,1835,65,666,1723,255,26,3,7,70,2815,49,557,2646,243,3,0,3,65,3566,7,182,712,121,3,3,0,13,1041,3,19,21,7,3,3,0,0,56,124,1424,5102,626,35,9,10,148,7478,3,19,34,30,7,0,0,3,96,3,9,11,4,0,0,0,3,30,161,1713,6745,4139,1792,362,101,284,15297
LGA10200,56,130,1626,5302,2781,643,167,290,10995,3,59,304,482,157,22,10,28,1065,16,28,382,931,192,19,3,35,1606,19,87,686,1413,349,41,13,63,2671,26,225,1728,288,34,0,3,113,2417,52,111,1797,558,12,3,0,59,2592,32,417,2064,682,29,0,3,72,3299,3,6,9,7,0,0,0,0,25,113,759,5598,1535,75,3,6,244,8333,0,13,17,10,8,4,3,0,55,3,6,3,10,3,0,0,0,25,191,995,7930,8270,3216,691,189,597,22079
LGA10250,16,157,998,5372,3608,674,121,150,11096,0,57,602,541,33,5,0,31,1269,0,13,244,415,35,6,3,11,727,0,70,846,956,68,11,3,42,1996,3,219,992,532,22,3,3,62,1836,0,8,41,28,0,0,0,0,77,0,0,49,15,0,3,0,0,67,3,9,4,0,0,0,0,0,16,6,236,1086,575,22,6,3,62,1996,21,136,227,84,7,3,3,24,505,0,0,0,0,0,0,3,0,3,43,599,3157,6987,3705,694,133,278,15596
LGA10300,0,14,99,407,201,27,5,13,766,0,6,10,0,0,0,0,0,16,0,0,0,3,0,0,0,0,3,0,6,10,3,0,0,0,0,19,0,4,15,0,0,0,0,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,5,24,3,0,3,4,0,0,3,5,18,0,0,0,0,0,0,0,0,0,3,24,127,414,201,27,8,23,827
LGA10350,64,296,5376,20053,10008,2406,555,865,39623,63,279,755,1882,421,75,18,113,3606,32,222,799,2729,1713,127,24,124,5770,95,501,1554,4611,2134,202,42,237,9376,132,913,1201,391,58,5,4,166,2870,14,152,2409,393,14,5,0,113,3100,9,94,1269,320,17,0,0,47,1756,3,40,61,43,22,3,0,8,180,158,1199,4940,1147,111,13,4,334,7906,7,55,76,59,24,7,0,14,242,0,8,61,17,0,0,4,0,90,324,2059,12007,25887,12277,2628,605,1450,57237
LGA10470,28,153,1097,5113,4079,832,173,188,11663,7,94,385,256,24,0,0,41,807,10,21,43,75,34,6,6,4,199,17,115,428,331,58,6,6,45,1006,25,138,515,95,10,4,4,32,823,0,3,29,0,0,0,0,3,35,0,0,5,0,0,0,0,0,5,0,4,14,15,0,3,0,0,36,25,145,563,110,10,7,4,35,899,4,23,13,9,0,0,0,9,58,0,6,9,6,4,0,5,0,30,74,442,2110,5569,4151,845,188,277,13656
LGA10550,48,265,1498,5284,2678,444,101,185,10503,4,92,213,132,14,3,3,13,474,6,31,135,157,43,10,0,11,393,10,123,348,289,57,13,3,24,867,6,76,631,215,33,5,3,40,1009,0,0,7,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,12,3,3,0,0,0,27,6,85,650,221,36,5,3,40,1046,21,81,82,38,8,0,5,10,245,0,0,11,4,0,0,0,0,15,85,554,2589,5836,2779,462,112,259,12676
LGA10600,16,136,721,2194,1107,203,44,72,4493,0,8,40,11,3,3,0,3,68,0,0,30,8,0,0,0,0,38,0,8,70,19,3,3,0,3,106,3,42,102,9,0,0,3,8,167,0,3,16,3,0,0,0,3,25,0,0,0,0,0,0,0,0,0,3,15,3,3,3,0,0,0,27,6,60,121,15,3,0,3,11,219,30,56,72,21,6,0,0,6,191,0,0,0,0,0,0,0,0,0,52,260,984,2249,1119,206,47,92,5009
