SED_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
SED10001,0,0,7,11,67,47,124,121,24,15,38,44,9,0,21,525,6,0,9,3,11,5,3,0,0,0,0,0,0,0,3,45,0,3,0,7,11,4,6,7,0,4,0,0,0,0,0,37,0,0,6,13,17,45,62,27,5,7,3,13,4,0,0,200,0,4,0,4,6,14,8,19,13,6,14,4,0,4,0,95,0,0,0,0,0,0,0,6,0,6,5,4,0,0,0,24,0,0,0,5,7,10,40,26,13,10,3,3,0,0,14,126,84,242,606,314,236,101,240,50,11,10,26,16,13,3,87,2046,4,5,8,14,17,27,37,24,7,0,4,0,9,0,6,158,0,0,0,3,5,10,14,14,4,16,7,8,7,4,13,102,39,102,148,153,101,76,272,302,46,43,73,112,26,8,51,1557,227,765,1092,794,792,589,1544,1358,313,341,364,358,124,36,320,9022
SED10002,3,0,8,103,483,387,330,291,76,79,121,184,27,3,50,2144,6,4,4,11,42,4,18,16,6,9,0,5,3,0,6,136,0,0,3,16,38,31,66,29,21,9,16,5,7,0,0,245,0,0,5,15,25,44,83,44,10,10,0,8,4,5,4,257,0,0,0,19,264,408,333,175,24,37,21,24,8,3,22,1341,0,0,0,6,41,55,115,160,50,62,88,81,11,0,38,700,0,0,0,8,57,55,151,122,47,30,25,21,5,0,15,531,4,42,119,77,89,73,117,96,21,17,18,20,7,7,24,745,0,0,0,7,22,31,37,20,9,5,17,16,17,5,8,192,0,0,3,1094,1281,467,217,164,54,53,35,48,33,0,134,3590,27,64,652,1257,1127,1401,1483,987,301,341,394,428,155,42,280,8941,79,373,1847,4360,7113,8983,15218,10645,2954,4099,5158,4790,1353,313,2126,69419
SED10003,0,0,9,14,44,29,47,40,11,11,18,9,6,6,14,258,0,7,0,0,14,5,10,11,0,0,0,0,3,0,5,58,0,3,5,11,8,6,5,4,4,7,0,3,0,5,4,69,0,11,32,76,95,72,117,35,4,6,10,10,13,5,4,487,0,0,9,4,10,15,7,0,0,0,0,0,0,0,5,49,0,0,0,0,5,4,9,11,4,3,0,0,0,0,0,25,0,0,0,4,10,23,63,49,6,7,10,9,11,8,16,223,101,306,764,523,465,447,680,362,77,59,64,62,45,6,145,4113,0,9,41,74,87,98,130,103,14,19,38,31,49,10,13,716,0,0,0,15,8,8,10,17,3,4,4,4,0,0,4,72,40,94,185,228,261,246,516,467,145,142,191,274,123,14,80,2998,219,743,1379,1429,1665,1502,2467,1660,405,391,499,594,351,56,464,13825
SED10004,0,0,15,48,130,97,97,70,33,24,41,45,16,0,13,628,9,7,7,13,63,13,28,18,10,4,4,10,5,0,3,200,0,3,10,27,39,52,86,36,13,13,18,16,6,13,9,346,0,10,22,60,98,112,149,73,17,22,15,16,0,10,3,612,3,0,7,23,53,45,27,10,5,8,8,0,0,0,3,201,0,0,0,9,50,41,41,50,12,9,15,20,8,0,5,262,0,0,4,13,49,70,229,221,52,32,39,55,21,0,17,794,53,172,540,580,657,808,1422,804,153,145,163,147,56,35,74,5828,0,9,35,78,89,124,222,202,26,48,60,67,47,15,17,1040,0,0,0,108,195,107,64,63,23,26,27,32,10,7,17,687,61,106,345,486,500,568,753,707,227,241,288,420,176,29,90,5004,207,720,1846,2321,3380,3699,5404,3972,1048,1145,1320,1670,753,209,517,28215
SED10005,0,0,5,31,201,205,189,145,27,32,43,52,15,10,21,983,14,7,22,22,58,30,6,12,0,0,0,0,0,0,23,193,0,0,0,19,11,8,15,13,8,3,0,11,0,0,5,83,0,0,5,10,18,17,20,0,4,0,0,0,0,0,3,85,0,3,9,7,20,37,43,17,3,12,0,3,0,0,12,170,0,0,0,0,17,18,19,31,8,16,5,13,3,0,4,137,0,0,0,0,34,48,71,42,17,3,4,7,5,4,18,261,16,60,146,70,47,24,33,11,3,5,4,5,3,0,42,462,0,0,4,10,10,15,21,30,0,5,6,0,5,0,8,106,5,0,15,1060,3095,2177,1694,1337,311,301,255,294,147,65,420,11183,49,118,335,756,868,1070,1271,937,404,317,310,255,113,24,363,7191,162,665,2086,4331,7175,7018,8467,5743,1507,1539,1517,1410,578,176,1877,44255
SED10006,0,0,0,4,47,38,48,90,21,35,48,63,30,23,8,465,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,5,4,8,22,46,18,0,4,8,9,5,0,0,138,0,0,0,0,5,0,5,3,3,0,3,7,0,0,0,39,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,17,0,0,0,0,0,5,10,13,3,3,0,0,6,5,10,57,36,106,208,128,67,35,61,30,3,13,7,8,14,3,42,765,0,0,18,22,13,12,22,9,0,6,6,10,0,0,0,109,0,0,0,0,4,0,7,7,0,0,0,0,0,0,0,31,14,55,89,60,51,38,77,58,21,15,15,24,17,7,17,562,82,280,456,353,372,303,559,415,118,163,188,220,122,64,145,3847
SED10007,0,0,0,13,50,52,63,93,12,24,29,25,16,5,19,405,6,4,5,6,15,0,6,0,0,0,3,0,0,0,4,58,0,0,7,3,6,4,6,3,0,0,0,0,0,0,5,39,0,0,5,15,25,28,61,11,11,6,10,6,11,0,3,194,0,0,0,3,17,10,33,34,3,6,8,12,0,0,3,126,0,0,0,0,0,0,3,4,0,0,5,0,0,0,0,17,0,0,0,0,6,11,38,33,9,11,9,15,3,0,12,150,76,246,640,424,235,151,134,58,21,12,9,6,4,0,107,2136,0,0,14,25,22,22,42,23,4,0,11,0,0,0,5,171,0,0,0,3,17,7,22,32,5,3,6,14,4,0,12,127,39,79,155,148,127,118,102,80,26,8,29,29,11,4,72,1022,215,587,1143,974,874,692,1065,750,176,218,250,243,104,26,456,7781
SED10008,0,0,27,144,373,171,183,88,24,27,31,29,14,0,8,1126,9,5,11,29,119,20,34,16,0,0,3,0,0,0,3,248,0,0,16,49,83,47,113,59,16,6,8,9,18,6,4,415,0,4,3,48,106,167,245,113,30,38,38,48,41,15,20,918,0,5,15,56,431,465,469,140,21,22,25,21,4,0,8,1682,0,0,0,5,95,128,66,34,3,0,11,13,0,0,8,363,0,0,0,13,18,30,76,42,18,9,16,4,0,0,5,230,71,194,495,324,337,255,429,206,38,25,27,21,27,11,41,2506,0,3,12,26,43,50,86,81,17,23,36,70,42,11,3,509,0,0,3,134,165,56,49,35,12,8,9,11,3,0,7,492,67,133,305,497,527,551,610,340,67,110,100,104,67,28,70,3570,264,782,1718,2419,5763,6870,10174,4913,1029,1030,980,1188,609,187,594,38520
SED10009,0,0,5,11,56,41,42,62,14,10,17,8,9,0,13,287,8,0,3,12,19,5,4,3,0,0,0,0,0,0,0,58,0,4,8,10,3,3,12,4,0,0,0,0,0,0,0,43,0,10,21,48,34,51,55,13,12,0,0,10,4,0,4,264,0,3,3,3,3,0,5,10,0,0,3,4,0,0,0,37,0,0,0,0,6,3,5,0,0,0,0,0,0,0,0,18,0,0,3,5,6,14,41,31,5,11,4,4,3,0,4,137,156,621,1287,701,410,220,241,103,12,18,8,15,6,0,181,3984,7,4,24,61,51,45,76,26,0,3,5,11,8,0,3,318,0,0,0,9,21,10,10,11,0,0,0,0,0,4,3,67,58,177,273,240,159,88,123,49,24,17,20,29,8,3,31,1305,373,1393,2150,1611,1147,754,969,486,147,134,136,161,77,26,384,9947
SED10010,0,0,18,303,1486,1284,1318,902,253,189,317,378,92,12,119,6665,57,15,33,28,144,53,13,3,7,4,0,0,0,0,4,369,0,0,9,10,20,15,12,23,5,12,7,8,0,0,0,120,0,0,3,15,51,47,54,16,3,4,0,0,0,0,3,210,0,0,11,24,109,223,439,279,44,36,33,58,18,8,18,1292,0,0,0,0,6,21,11,10,0,3,9,14,5,0,3,84,0,0,0,4,30,41,60,48,8,10,9,11,0,0,4,217,39,139,365,219,124,89,110,40,8,10,6,3,5,0,40,1213,0,0,9,9,8,20,40,23,4,3,3,13,5,0,8,157,0,0,0,46,91,41,48,21,0,3,8,11,3,0,5,287,64,211,521,666,745,1239,1407,567,230,284,194,189,62,28,171,6587,255,714,1649,2114,4675,6249,11113,6248,1723,1925,2353,2670,748,164,892,43487
