SED_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SED10011,136,273,411,70,120,189,76,267,348,76,503,576,275,1517,1795,309,1023,1331,970,695,1661,996,744,1736,1344,754,2098,1561,535,2098,1116,400,1522,1175,353,1530,2563,613,3179,2052,51,2104,1797,122,1913,1168,15,1178,3176,184,3354,994,77,1068,131,237,365,19973,8492,28465
SED10012,470,342,814,107,60,164,171,219,386,220,504,722,515,954,1468,561,387,947,1565,297,1866,1362,400,1760,1555,381,1933,1615,235,1852,1282,152,1435,1223,117,1346,2217,172,2384,1633,39,1673,1281,40,1324,799,9,805,1903,43,1946,1089,57,1138,258,167,425,19827,4567,24396
SED10013,299,283,587,87,72,159,86,149,238,103,303,409,287,826,1119,401,514,915,1151,375,1527,1070,544,1611,1519,637,2158,1816,492,2305,1734,451,2186,1910,373,2289,4882,615,5493,4398,66,4463,3720,131,3844,2622,24,2648,6339,172,6511,1592,75,1666,336,184,521,34337,6294,40631
SED10014,255,286,545,80,70,152,105,251,360,153,566,723,407,1201,1610,522,694,1215,1331,452,1780,1229,654,1880,1486,669,2156,1723,524,2247,1379,389,1763,1452,287,1735,2977,382,3364,2094,58,2147,1546,62,1606,1010,19,1025,1932,88,2021,1177,91,1270,254,285,535,21105,7029,28142
SED10015,449,518,965,105,107,212,126,285,409,159,665,824,452,1261,1709,428,685,1117,1424,527,1951,1104,656,1752,1484,732,2217,1762,654,2418,1320,547,1869,1426,468,1893,2873,736,3610,2309,159,2471,1795,200,1995,1320,49,1370,3588,254,3843,1168,207,1370,291,250,545,23589,8957,32550
SED10016,290,167,460,108,77,179,81,110,189,78,150,233,254,466,717,251,314,566,649,260,906,682,281,962,914,348,1260,1150,287,1432,941,259,1201,1135,217,1348,2849,469,3317,2547,44,2586,2756,113,2869,2187,25,2208,9390,189,9580,1405,51,1453,203,92,296,27864,3913,31777
SED10017,211,270,473,74,105,174,86,230,321,125,525,652,364,1593,1954,505,888,1389,1583,511,2093,1378,693,2071,1485,745,2230,1752,496,2251,1392,375,1769,1445,274,1726,3209,480,3685,2477,54,2528,1913,80,2000,1109,21,1124,2185,90,2274,1492,97,1586,291,318,611,23069,7844,30918
SED10018,167,206,370,67,93,161,71,230,301,80,508,589,290,1615,1909,295,891,1187,1087,498,1588,1040,676,1715,1230,680,1906,1349,515,1863,1027,399,1423,1031,340,1371,2503,581,3086,2120,97,2218,2017,160,2175,1342,45,1390,3459,184,3641,1154,134,1284,193,283,472,20517,8133,28647
SED10019,236,285,519,127,113,239,92,361,452,174,749,922,496,2214,2708,550,1367,1924,2170,743,2910,1733,914,2649,1967,763,2730,1948,432,2377,1297,354,1656,1332,218,1553,2336,305,2639,1451,46,1496,971,37,1009,509,13,524,1030,91,1121,1433,94,1524,329,476,805,20179,9577,29755
SED10020,171,246,417,104,100,203,101,318,414,113,650,768,399,1734,2138,458,1385,1843,1591,719,2312,1332,831,2164,1637,783,2426,1979,538,2516,1318,389,1708,1364,301,1661,2619,421,3040,1837,72,1907,1319,84,1400,796,27,820,1770,140,1909,1339,141,1478,284,373,656,20524,9247,29774
SED10021,172,354,524,52,133,193,56,261,314,49,483,540,148,840,988,163,633,802,386,572,958,406,646,1050,580,856,1434,714,792,1502,539,822,1365,721,779,1505,1793,1831,3622,1606,320,1927,1734,713,2448,1311,212,1530,8851,1697,10540,1056,451,1512,181,269,452,20526,12678,33207
SED10022,242,314,551,107,139,250,101,356,458,107,778,885,462,2170,2633,481,1078,1559,1775,708,2489,1372,841,2217,1515,808,2323,1692,422,2120,1129,332,1461,1188,214,1401,2228,317,2549,1479,35,1517,1043,76,1119,556,7,564,1242,127,1367,1464,75,1545,409,528,935,18601,9334,27933
SED10023,186,254,442,91,104,199,63,170,235,64,343,404,197,939,1134,197,614,815,623,490,1117,647,627,1275,852,739,1587,1036,639,1680,800,548,1345,936,433,1368,2181,811,2994,1955,76,2033,1986,226,2221,1511,52,1563,6764,326,7094,1121,89,1210,159,162,312,21371,7645,29011
SED10024,286,184,468,98,82,182,71,136,210,74,204,272,211,450,662,220,394,612,518,351,867,478,368,846,760,389,1153,907,306,1213,703,334,1035,789,229,1023,1826,450,2279,1487,39,1526,1615,136,1753,1206,17,1217,9492,337,9830,1229,43,1279,147,148,295,22138,4595,26732
SED10025,300,430,729,98,126,226,86,223,308,81,446,529,245,886,1136,283,518,797,738,481,1216,658,600,1256,872,714,1587,1115,612,1725,858,588,1450,935,562,1499,2339,1210,3548,1975,129,2110,1992,432,2418,1474,66,1542,7509,794,8300,984,130,1118,193,216,406,22743,9169,31912
SED10026,201,292,494,75,101,180,82,280,363,95,585,681,343,1600,1935,369,845,1215,1280,594,1871,1113,789,1902,1309,770,2085,1533,580,2108,1188,461,1648,1224,383,1600,2830,593,3423,2026,106,2137,1548,121,1668,951,36,986,2245,219,2464,1650,114,1770,352,443,794,20424,8907,29332
SED10027,306,304,607,87,79,169,105,216,330,121,535,655,366,1150,1520,373,507,878,1055,346,1410,927,401,1327,1169,411,1581,1408,320,1732,1069,255,1325,1090,206,1289,2497,324,2825,2119,54,2172,1821,72,1890,1275,24,1299,3690,101,3795,1066,61,1124,251,223,477,20803,5596,26404
SED10028,307,232,541,122,97,219,99,139,235,93,264,354,283,643,923,307,546,856,735,376,1115,758,419,1175,1015,477,1499,1242,354,1598,1006,341,1349,1000,278,1271,2484,528,3011,1954,72,2024,2066,155,2227,1544,30,1571,7528,229,7756,1152,77,1228,184,136,322,23882,5394,29274
SED10029,577,410,988,98,85,181,183,276,461,240,775,1012,586,1219,1807,620,609,1228,1874,373,2243,1654,477,2128,1757,452,2208,1892,338,2229,1381,197,1582,1304,164,1468,2333,191,2524,1654,43,1694,1156,34,1185,779,19,800,1652,61,1715,1127,67,1197,364,239,600,21228,6032,27249
SED10030,204,363,565,103,162,255,87,392,473,110,796,905,362,2043,2407,418,1411,1832,1342,845,2184,1202,965,2167,1429,914,2341,1695,706,2397,1240,613,1856,1265,456,1723,2744,643,3385,1972,95,2067,1637,161,1791,938,25,965,2560,225,2788,1074,121,1195,218,458,675,20586,11397,31985
SED10031,207,305,513,115,136,249,97,297,390,92,587,679,339,1620,1963,376,972,1343,1218,637,1862,1072,809,1883,1287,832,2122,1667,495,2156,1219,449,1668,1313,310,1624,2638,526,3164,2062,63,2126,1700,107,1808,1130,6,1135,3275,196,3470,1448,81,1527,258,379,639,21517,8808,30329
SED10032,460,414,880,97,90,186,173,327,499,170,739,912,513,1252,1766,559,626,1188,1344,555,1894,1240,673,1913,1578,760,2341,1793,652,2436,1490,470,1958,1448,386,1841,3289,709,4002,2231,197,2435,1806,208,2011,1156,91,1244,2837,267,3111,1255,246,1499,371,316,690,23806,8994,32800
SED10033,209,232,445,76,87,162,81,181,258,87,343,425,261,977,1239,275,568,844,870,400,1274,770,513,1283,972,555,1529,1256,473,1729,986,355,1344,1198,291,1494,2663,416,3081,2198,54,2256,1823,98,1924,1303,18,1321,3844,122,3968,1190,67,1261,232,197,434,20300,5960,26258
SED10034,156,212,366,77,91,166,60,158,220,63,309,375,242,850,1090,235,502,737,690,414,1104,745,445,1190,956,535,1483,1220,418,1637,872,379,1248,1014,337,1352,2558,624,3182,2360,50,2413,2211,116,2329,1733,19,1754,5107,179,5284,1074,54,1132,169,149,314,21545,5840,27389
SED10035,479,1218,1702,106,218,323,134,456,593,111,781,896,309,1286,1591,331,814,1145,833,736,1566,797,1039,1836,1012,1432,2446,1342,1484,2824,1097,1473,2565,1306,1390,2700,3516,3241,6753,2878,621,3497,2822,1111,3932,2266,378,2645,8129,1817,9942,1180,762,1940,216,331,545,28867,20568,49437
SED10036,273,233,508,83,60,141,94,158,251,120,363,482,343,789,1135,386,357,745,1108,272,1382,979,369,1344,1223,402,1626,1451,303,1750,1248,268,1516,1290,194,1487,2756,353,3107,2405,36,2440,2013,62,2076,1384,10,1393,3663,69,3739,1175,39,1220,281,169,452,22273,4522,26789
SED10037,188,226,419,74,91,169,85,196,282,89,294,382,244,720,958,269,558,827,685,460,1141,758,530,1287,1004,526,1533,1231,479,1709,1019,412,1432,1077,357,1434,2592,580,3171,2103,61,2171,2182,140,2328,1652,21,1677,6443,175,6623,1096,61,1159,156,113,273,22953,6006,28964
SED10038,169,247,421,90,112,206,76,281,360,117,676,788,308,1544,1856,362,885,1238,1063,571,1639,1027,636,1662,1241,607,1847,1374,500,1879,974,438,1416,1073,329,1402,2402,584,2990,2145,88,2240,1958,138,2099,1428,42,1474,4462,215,4675,1134,178,1315,163,314,477,21571,8405,29973
SED10039,198,212,410,85,90,177,82,230,317,99,409,513,344,1372,1713,393,899,1294,1375,532,1904,1228,655,1884,1400,667,2066,1758,438,2194,1173,382,1551,1363,274,1639,2856,399,3262,2212,44,2262,1749,98,1849,1115,22,1142,2715,147,2859,1281,71,1355,259,257,517,21701,7195,28896
SED10040,422,457,876,130,133,265,129,246,374,148,571,717,414,1126,1537,487,623,1106,1212,413,1626,1058,620,1681,1402,744,2149,1684,654,2334,1245,515,1762,1404,434,1833,3172,777,3948,2336,195,2533,1926,239,2167,1376,80,1453,3717,267,3984,1173,184,1350,241,211,447,23658,8495,32154
SED10041,367,237,605,114,105,215,101,184,279,91,281,369,237,574,818,232,482,713,566,399,963,579,457,1033,912,562,1472,1035,466,1501,816,454,1273,947,379,1329,2287,732,3022,1725,64,1790,1873,259,2140,1317,28,1344,9227,411,9640,1226,48,1280,180,152,336,23836,6276,30112
SED10042,190,289,480,80,105,188,86,260,350,99,619,720,372,1622,1996,418,1134,1555,1543,647,2191,1324,693,2011,1656,683,2342,1778,476,2253,1235,400,1630,1300,266,1562,2848,471,3317,2198,58,2253,1645,89,1729,1023,17,1037,2388,103,2490,1342,84,1425,273,318,593,21794,8334,30129
SED10043,543,410,953,103,89,193,178,373,551,212,900,1108,555,1332,1890,695,569,1269,1720,456,2175,1556,503,2061,1799,553,2356,1911,416,2326,1298,323,1625,1317,224,1539,2458,352,2806,1595,123,1724,1149,104,1254,747,39,790,1866,164,2028,1202,151,1351,336,293,628,21236,7380,28616
SED10044,216,363,580,71,115,188,88,242,331,67,474,539,226,816,1048,212,639,850,535,528,1057,534,621,1158,723,817,1546,911,807,1726,814,801,1618,898,719,1620,2274,1565,3845,1919,145,2060,1928,437,2368,1537,87,1626,9548,787,10335,1131,141,1265,163,188,348,23806,10295,34104
SED10045,175,249,425,102,133,227,108,398,510,146,906,1044,465,2279,2745,561,1409,1967,1631,824,2452,1455,925,2387,1672,886,2560,1896,536,2437,1270,381,1647,1299,283,1580,2514,389,2895,1604,68,1673,1046,66,1107,616,24,637,1249,124,1369,1281,144,1423,299,372,669,19377,10378,29756
SED10046,425,347,774,89,98,192,155,344,503,220,802,1024,559,1180,1736,620,579,1197,1520,439,1964,1487,643,2133,1709,662,2366,1923,462,2392,1466,317,1779,1429,239,1673,2956,343,3297,1980,40,2011,1452,71,1523,982,18,1000,2157,63,2226,1278,78,1351,350,324,671,22764,7043,29809
SED10047,318,341,658,67,101,165,123,289,419,187,641,829,459,1299,1759,598,717,1317,1506,536,2037,1368,777,2145,1626,906,2534,2157,685,2840,1790,500,2293,1895,370,2261,4356,539,4899,3311,90,3405,2695,96,2785,1682,27,1703,3399,108,3503,1574,101,1673,385,377,764,29478,8497,37977
SED10048,289,262,555,74,59,133,133,237,368,169,479,648,400,1061,1460,578,505,1084,1297,398,1696,1323,606,1931,1650,599,2254,2022,520,2540,1823,419,2234,1758,325,2084,4153,430,4588,3174,77,3249,2488,70,2555,1608,16,1629,3672,98,3771,1461,54,1514,298,217,520,28355,6452,34808
SED10049,172,238,413,68,99,171,71,243,317,101,490,594,358,1475,1833,402,894,1300,1467,511,1979,1333,711,2042,1509,729,2240,1763,564,2325,1387,498,1880,1527,362,1888,3519,546,4062,2685,65,2753,2125,111,2235,1319,27,1343,2931,118,3051,1607,93,1701,241,288,531,24585,8069,32648
SED10050,171,244,408,48,109,159,42,182,226,56,284,345,123,599,724,166,567,734,370,460,828,437,578,1017,609,672,1281,767,618,1383,660,576,1242,791,557,1343,1966,1249,3212,1683,156,1842,1711,489,2199,1291,98,1389,9999,1108,11107,1228,207,1434,156,187,343,22277,8946,31225
SED10051,266,447,718,89,147,234,92,376,466,115,818,933,324,1478,1802,289,639,932,857,503,1362,808,632,1442,945,772,1718,1107,634,1742,885,585,1468,995,513,1506,2465,980,3441,2071,153,2224,1973,272,2239,1492,76,1565,6185,439,6627,1172,217,1389,244,354,597,22372,10027,32397
SED10052,221,260,479,77,123,198,74,243,317,50,456,509,273,1082,1363,291,663,954,788,483,1269,744,540,1283,1018,599,1615,1176,487,1666,903,491,1394,1056,394,1447,2492,655,3151,2055,63,2121,2046,196,2235,1559,32,1595,5616,210,5824,1079,82,1160,189,220,406,21712,7270,28982
SED10053,140,245,380,60,77,138,69,230,293,75,464,535,238,1140,1374,268,701,965,765,566,1330,778,721,1500,898,918,1821,1191,720,1913,965,726,1690,1121,607,1731,2672,952,3625,2221,91,2318,2171,224,2393,1581,28,1615,5238,309,5549,1418,119,1532,217,228,447,22076,9064,31143
SED10054,237,254,490,65,70,136,109,162,270,146,416,560,400,844,1244,514,431,948,1245,274,1517,1135,429,1567,1379,537,1920,1745,337,2080,1397,306,1704,1402,177,1580,3195,281,3472,2417,40,2455,1847,62,1911,1169,17,1187,2412,64,2475,1350,54,1401,295,177,468,22451,4928,27373
SED10055,279,175,451,64,36,98,71,83,155,78,166,242,234,478,712,268,263,537,833,206,1044,783,303,1084,1023,372,1394,1252,307,1565,1159,247,1405,1190,211,1397,3002,332,3333,2681,37,2721,2305,60,2367,1679,13,1682,4388,76,4467,1200,31,1231,242,100,335,22719,3495,26213
SED10056,262,303,565,113,106,216,88,350,441,136,669,799,419,1819,2242,463,987,1449,1553,674,2228,1339,887,2233,1543,883,2424,1836,593,2430,1265,435,1697,1457,334,1791,2917,441,3355,1935,61,1996,1414,79,1491,908,20,930,1816,163,1981,1668,90,1760,447,500,951,21566,9401,30972
SED10057,274,324,601,137,142,282,120,390,509,154,883,1031,535,2499,3030,503,1590,2093,2405,823,3229,1840,899,2732,1996,776,2765,2096,466,2561,1196,340,1534,1265,233,1497,2201,289,2491,1348,44,1392,899,59,957,522,10,527,1011,143,1156,1347,101,1456,447,600,1043,20269,10609,30876
SED10058,138,331,469,54,154,215,62,402,470,75,850,920,232,1734,1970,284,1192,1481,872,806,1677,841,1020,1857,1114,1078,2195,1276,994,2270,932,863,1794,1075,744,1811,2405,1314,3718,1964,291,2257,1845,382,2225,1256,126,1390,3996,541,4536,1152,479,1627,159,330,486,19748,13622,33375
SED10059,184,691,874,65,172,230,50,513,565,69,1048,1124,197,1425,1624,170,866,1033,429,743,1167,423,962,1386,510,1192,1705,673,1149,1822,558,1134,1692,621,1073,1698,1658,2342,4003,1415,437,1853,1489,908,2395,1203,304,1508,6408,1899,8307,715,804,1517,90,346,433,16929,18010,34938
SED10060,243,447,690,70,130,195,51,243,289,45,392,441,139,696,835,152,698,850,289,659,953,350,767,1121,531,1082,1612,679,1072,1753,621,1149,1768,659,1065,1726,1807,2574,4380,1494,197,1686,1641,882,2522,1331,131,1460,9775,2106,11880,982,193,1180,142,249,396,21003,14744,35742
SED10061,261,280,541,100,149,256,114,401,512,115,756,867,480,1969,2443,476,1095,1573,1708,725,2435,1360,943,2297,1448,817,2263,1705,574,2278,1170,453,1628,1302,324,1626,2392,484,2869,1522,70,1596,1095,109,1203,708,18,728,1503,172,1667,1379,130,1513,361,474,834,19190,9927,29118
SED10062,218,257,477,84,99,185,102,185,280,79,443,523,280,998,1281,304,567,869,887,416,1307,779,487,1265,1030,566,1598,1228,481,1710,994,402,1398,1116,332,1447,2416,527,2941,1932,69,2003,1832,127,1960,1286,23,1311,4995,177,5177,1023,77,1105,192,205,398,20771,6445,27217
SED10063,180,290,474,88,132,214,88,302,395,139,645,789,381,1756,2136,432,960,1390,1357,671,2024,1135,848,1980,1364,847,2208,1527,610,2137,1151,460,1611,1253,351,1607,2577,590,3170,2060,74,2129,1618,117,1732,1046,24,1064,2482,199,2687,1450,128,1581,286,445,736,20610,9455,30070
SED10064,243,308,548,132,127,261,130,388,519,161,833,996,531,2303,2839,588,1338,1926,2175,741,2917,1738,880,2616,1854,728,2575,2106,434,2536,1285,333,1612,1246,234,1476,2206,261,2469,1443,31,1465,972,39,1008,546,3,550,954,91,1049,1343,118,1459,376,497,869,20010,9683,29694
SED10065,392,516,908,106,130,236,122,412,536,178,881,1058,457,1260,1717,479,685,1160,1091,566,1655,1157,843,1991,1524,1114,2633,1841,1024,2860,1583,897,2484,1672,698,2372,4077,1344,5418,2866,274,3141,2600,340,2933,1791,110,1898,4751,523,5267,1291,279,1573,242,298,545,28207,12180,40386
SED10066,162,310,472,69,102,169,81,273,349,101,641,741,345,1394,1738,386,896,1283,1080,616,1693,1024,835,1854,1277,973,2256,1572,848,2422,1258,692,1952,1382,549,1929,3079,758,3841,2351,80,2434,1935,132,2067,1312,26,1338,3008,153,3159,1090,105,1190,236,295,532,21758,9676,31438
SED10067,172,276,446,83,115,197,68,186,250,45,274,315,186,824,1012,169,642,810,583,531,1112,526,551,1072,829,629,1452,1041,436,1473,772,405,1179,891,331,1223,2013,537,2545,1696,58,1760,1743,176,1917,1280,32,1315,6813,394,7212,1220,64,1288,165,234,402,20297,6679,26976
SED10068,253,317,574,129,126,256,110,332,445,116,759,877,486,2159,2648,500,1670,2176,2185,818,3002,1736,1013,2749,1965,897,2855,2248,530,2778,1317,382,1699,1356,309,1660,2533,415,2953,1837,68,1906,1336,80,1417,786,21,802,1916,157,2072,1232,110,1345,278,501,779,22324,10664,32990
SED10069,260,307,562,127,101,230,97,253,349,115,564,683,426,1645,2067,446,1221,1669,1810,658,2471,1492,755,2244,1791,757,2550,1958,487,2450,1262,383,1643,1238,264,1496,2563,364,2930,1749,42,1791,1391,63,1459,815,6,820,1853,101,1952,1450,93,1536,302,361,659,21148,8414,29562
SED10070,400,318,714,96,77,171,96,220,311,99,459,558,415,974,1397,399,485,886,1384,303,1683,1078,415,1491,1380,435,1816,1556,326,1884,1182,269,1450,1279,226,1502,2838,317,3151,2233,59,2291,1929,72,1996,1305,19,1322,3241,118,3353,1072,68,1142,291,173,461,22260,5319,27582
SED10071,227,187,408,51,52,103,52,99,157,89,194,286,213,483,695,253,312,560,723,234,958,707,331,1038,1079,441,1520,1389,406,1794,1324,367,1686,1425,347,1770,4230,561,4794,3601,86,3687,3722,148,3869,2833,38,2869,8092,188,8283,1360,91,1445,268,109,380,31637,4682,36320
SED10072,382,541,927,84,150,231,123,249,382,112,546,658,361,1237,1599,356,773,1132,1117,616,1733,960,805,1759,1174,981,2147,1487,810,2301,1269,867,2133,1297,691,1986,3216,1323,4543,2383,242,2628,2152,368,2517,1498,107,1610,4437,447,4888,1109,252,1362,253,272,525,23771,11285,35055
SED10073,453,638,1091,140,172,313,144,331,478,143,630,768,379,1079,1455,361,828,1183,941,680,1628,971,860,1834,1253,1147,2402,1595,1001,2593,1233,877,2107,1322,712,2035,3416,1427,4840,2566,164,2726,2320,350,2669,1713,89,1799,5772,454,6222,1166,201,1362,218,251,467,26091,11896,37988
SED10074,277,316,589,74,98,176,91,233,330,106,508,610,309,1061,1367,334,588,926,937,425,1361,874,508,1379,1137,588,1725,1378,495,1874,1132,458,1590,1169,351,1524,2912,650,3558,2394,110,2506,2271,157,2428,1674,61,1730,4276,221,4504,1055,116,1170,222,209,430,22622,7163,29787
SED10075,257,268,523,71,78,149,96,303,404,112,627,738,452,1699,2154,500,967,1468,1799,536,2334,1481,682,2162,1662,671,2331,1900,468,2364,1409,371,1781,1426,316,1743,3141,433,3577,2503,51,2552,2060,64,2116,1268,19,1288,2623,89,2710,1309,66,1375,282,310,589,24351,8013,32360
SED10076,287,334,625,128,152,280,114,321,434,117,713,832,492,2171,2662,548,1361,1910,2178,757,2934,1609,835,2445,1983,726,2705,2100,505,2606,1337,366,1698,1346,285,1626,2459,375,2832,1580,46,1626,1120,59,1183,623,6,631,1307,133,1447,1257,102,1355,283,492,774,20857,9738,30594
SED10077,452,605,1061,112,132,237,137,265,400,159,602,762,357,1026,1379,404,745,1149,956,593,1549,903,817,1721,1253,945,2203,1510,923,2432,1282,734,2016,1275,639,1916,3116,1247,4364,2318,344,2664,2122,422,2546,1481,223,1705,5345,566,5915,1286,400,1691,220,216,430,24689,11460,36143
SED10078,237,366,606,80,122,203,59,278,335,94,582,671,232,1125,1355,222,763,986,720,640,1360,671,815,1482,859,1069,1930,1082,1089,2174,817,974,1791,928,865,1793,2283,1765,4051,1871,311,2174,1787,470,2260,1473,135,1606,5659,650,6314,885,322,1213,164,219,388,20125,12559,32688
SED10079,228,314,540,103,110,211,88,274,369,110,608,715,379,1826,2201,401,1387,1789,1753,588,2344,1353,748,2101,1502,725,2223,1790,440,2238,1235,362,1596,1172,245,1419,2582,364,2949,1866,40,1904,1533,66,1596,908,17,922,2119,106,2222,1206,62,1268,260,353,616,20587,8639,29225
