SED_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SED10001,42,1387,749,260,1839,0.7,1386,2.3
SED10002,33,2167,688,460,1764,1.2,1729,2.9
SED10003,45,2000,749,450,1880,0.8,1488,2.4
SED10004,38,3399,1336,550,3642,1,2444,2.2
SED10005,34,2000,532,400,1523,1.1,1375,3.1
SED10006,43,1040,669,200,1632,0.7,1236,2.3
SED10007,42,1625,734,300,1892,0.7,1424,2.4
SED10008,40,3000,992,570,2868,0.8,2664,3
SED10009,53,1517,630,320,1465,0.7,1183,2.2
SED10010,35,2167,750,390,1994,0.9,1812,2.9
SED10011,45,2000,802,400,2194,0.7,1708,2.4
SED10012,39,1950,489,370,1494,1,1432,3.2
SED10013,33,2500,970,500,2468,0.8,2340,3.1
SED10014,35,2000,707,375,1834,0.8,1570,2.8
SED10015,38,2285,718,420,1978,1,1731,2.7
SED10016,37,3000,1055,600,3048,0.8,2930,3.2
SED10017,37,1733,731,350,1927,0.8,1605,2.6
SED10018,40,2037,843,385,2285,0.8,1829,2.5
SED10019,48,1361,587,300,1408,0.8,1127,2.3
SED10020,44,1733,688,375,1685,0.8,1363,2.4
SED10021,36,3380,1421,610,3569,1,2713,2.3
SED10022,46,1179,649,230,1554,0.7,1181,2.3
SED10023,41,2903,1091,519,2962,0.9,2359,2.6
SED10024,43,3500,1079,700,3423,0.8,3063,2.9
SED10025,40,3000,1129,575,2925,1,2383,2.5
SED10026,38,1560,803,300,1982,0.8,1583,2.5
SED10027,38,2500,733,480,2181,0.9,1918,3
SED10028,40,2868,935,530,2788,0.9,2451,2.9
SED10029,37,2000,472,386,1410,1.1,1302,3.2
SED10030,44,2000,731,395,1949,0.8,1449,2.3
SED10031,45,1842,803,330,2091,0.7,1638,2.5
SED10032,33,2100,679,405,1864,1.1,1664,2.9
SED10033,39,2300,866,400,2316,0.8,2043,2.8
SED10034,40,2600,993,480,2673,0.8,2313,2.7
SED10035,32,2600,1148,560,2743,1.1,2243,2.2
SED10036,35,2200,765,450,2193,0.9,2031,3.2
SED10037,41,2600,951,475,2713,0.9,2345,2.8
SED10038,40,2300,796,390,2386,0.8,1889,2.6
SED10039,43,2080,765,400,2020,0.7,1667,2.5
SED10040,37,2214,738,460,2004,1,1851,2.8
SED10041,41,3000,1080,540,3198,0.9,2684,2.8
SED10042,44,1885,717,370,1894,0.8,1496,2.5
SED10043,34,2106,524,360,1471,1.1,1332,3.1
SED10044,38,3000,1278,515,3358,1,2534,2.5
SED10045,47,1517,625,300,1544,0.8,1202,2.3
SED10046,34,2000,587,360,1663,1,1459,3
SED10047,33,2275,819,375,2072,0.9,1836,2.9
SED10048,34,2184,787,400,2094,0.9,1928,3.1
SED10049,36,1829,802,370,2088,0.8,1766,2.7
SED10050,39,3400,1337,650,3656,1,2992,2.6
SED10051,39,2886,985,520,2659,1,2129,2.5
SED10052,41,2606,967,500,2641,0.9,2192,2.6
SED10053,39,2000,1065,350,2600,0.8,2126,2.5
SED10054,34,2100,714,370,1948,1,1801,3.2
SED10055,35,2316,897,470,2432,0.8,2336,3.2
SED10056,42,1300,744,250,1803,0.8,1408,2.5
SED10057,52,1500,569,320,1354,0.7,1061,2.2
SED10058,39,2058,937,410,2395,0.8,1793,2.2
SED10059,34,2900,1196,510,3229,1,2196,2
SED10060,40,3033,1578,590,3873,1,2640,2.1
SED10061,41,1300,669,250,1634,0.7,1272,2.3
SED10062,41,2600,851,430,2402,0.9,2089,2.8
SED10063,39,1517,785,290,2000,0.7,1520,2.5
SED10064,49,1451,564,310,1381,0.8,1103,2.3
SED10065,35,2300,869,420,2210,1,1949,2.6
SED10066,36,2100,858,385,2154,0.8,1738,2.5
SED10067,46,3098,1046,650,2942,0.9,2411,2.6
SED10068,50,1733,640,380,1552,0.7,1236,2.3
SED10069,48,1733,658,360,1646,0.7,1338,2.4
SED10070,38,2180,690,430,2051,0.9,1855,3
SED10071,34,2600,1059,530,2786,0.9,2698,3.2
SED10072,36,2400,868,500,2231,1,1948,2.5
SED10073,36,2500,908,450,2390,1,2019,2.5
SED10074,37,2300,872,420,2361,0.9,2089,2.8
SED10075,40,2037,711,405,1937,0.8,1580,2.6
SED10076,49,1682,612,350,1467,0.7,1195,2.3
SED10077,34,2383,825,470,2244,1.1,2020,2.7
SED10078,37,2600,1045,450,2670,1,2106,2.3
SED10079,46,1860,682,370,1778,0.8,1381,2.4
SED10080,35,3000,1297,580,3273,1.1,2278,1.9
SED10081,39,1500,750,300,1824,0.7,1416,2.4
SED10082,45,2200,803,460,2286,0.8,1847,2.6
SED10083,42,2000,732,390,1967,0.8,1519,2.5
SED10084,47,1950,672,420,1707,0.8,1317,2.4
SED10085,41,1733,737,300,1959,0.8,1550,2.5
SED10086,37,3500,1517,680,3973,0.9,3045,2.3
SED10087,37,1512,807,290,1996,0.7,1564,2.5
SED10088,40,3000,1005,580,2859,1,2403,2.7
SED10089,36,1850,754,380,2079,0.8,1644,2.5
SED10090,39,3310,1223,590,3389,1,2598,2.5
SED10091,41,2232,844,430,2254,0.8,1956,2.7
SED10092,38,2000,704,380,1921,0.8,1450,2.3
SED10093,39,1928,697,390,1838,0.8,1475,2.6
SED19494,0,0,0,0,0,0,0,0
SED19797,56,0,1649,0,0,0,0,0
