SED_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SED10001,504,361,345,222,68,6,2066,28,198,304,300,306,230,67,3,1436,357,1858,1978,1415,1110,901,322,63,8007,230,924,1046,1195,1190,906,376,92,5959,1283,2932,2570,2581,2526,1759,723,197,14570,164,182,144,156,156,107,35,3,941,64,90,162,229,290,284,126,37,1280,1508,3210,2874,2965,2969,2147,884,238,16797,22,33,47,37,44,83,56,17,346,774,781,799,805,939,1022,882,423,6427,2956,7530,7546,7086,6914,5503,2653,840,41034
SED10002,2583,940,551,235,72,11,9182,73,436,358,232,124,87,16,4,1324,1968,8244,4578,2141,1490,802,287,66,19584,1499,2581,2051,1340,961,523,193,50,9198,782,1756,1372,1106,1023,520,195,75,6822,91,146,128,143,100,58,9,0,674,116,206,249,275,233,156,55,14,1297,991,2104,1746,1518,1354,727,255,95,8798,84,236,171,130,97,68,34,9,823,1562,2992,2076,1297,1038,682,386,225,10260,6366,21205,13562,7595,5614,3121,1246,453,59164
SED10003,787,730,684,595,170,29,3496,12,152,312,394,407,396,80,7,1765,287,2423,2821,2622,1979,1843,611,145,12739,211,984,1271,1452,1487,1269,532,144,7359,805,1835,2025,2150,2362,1696,669,202,11744,117,108,90,124,163,128,29,7,760,48,137,197,245,333,393,157,48,1572,967,2086,2311,2520,2861,2222,854,256,14072,27,54,63,79,102,117,80,35,546,699,1001,997,961,1027,1071,723,500,6976,2220,7180,8555,8757,8548,7511,3057,1120,46958
SED10004,3356,2376,1668,1154,389,53,12026,33,464,630,596,454,375,100,9,2663,1713,6926,5516,4002,2430,1634,559,104,22879,388,1186,1380,1374,1008,686,243,49,6320,397,1025,912,895,734,468,228,57,4716,84,78,65,94,77,50,18,0,465,41,96,148,237,211,181,94,17,1015,522,1195,1123,1225,1025,698,338,82,6201,35,103,108,95,57,77,56,9,529,558,993,818,638,553,466,351,237,4623,3409,13734,12921,10317,7194,5084,2040,541,55231
SED10005,1058,479,251,137,41,7,3468,29,198,183,119,99,50,14,3,703,1107,3855,2314,1377,901,542,176,41,10325,526,1496,1496,1210,841,392,154,47,6169,708,1506,1466,1354,1145,643,336,136,7300,108,122,151,142,132,73,18,3,743,102,181,216,262,260,180,56,19,1271,920,1808,1831,1758,1536,894,403,161,9312,47,146,101,109,84,74,28,8,602,1271,1683,1486,1155,962,773,545,439,8308,3995,10587,8469,6203,4678,2870,1361,712,38879
SED10006,215,168,149,74,27,0,912,10,128,140,156,170,79,20,4,705,238,1310,1005,814,628,439,154,40,4631,103,595,638,777,834,441,175,50,3612,855,2185,1878,1941,1995,1301,490,103,10746,136,177,115,158,160,96,22,3,866,65,97,112,173,272,201,86,20,1025,1059,2454,2104,2271,2427,1599,597,128,12637,19,31,26,32,54,64,27,15,272,1200,1234,1212,1321,1571,1441,1036,503,9519,2648,6012,5338,5536,5831,4146,2031,743,32287
SED10007,367,413,414,331,139,24,2051,20,145,218,256,248,251,76,12,1236,333,1589,1463,1354,1158,944,344,70,7254,190,719,830,1103,1132,793,377,102,5248,1322,2781,2485,2606,2531,1630,686,152,14195,198,171,157,194,172,125,30,14,1065,89,132,155,216,335,339,145,47,1462,1613,3091,2794,3019,3039,2099,861,204,16719,23,22,39,58,78,91,48,21,381,898,1130,1039,995,936,1020,821,334,7176,3097,7045,6746,7191,7010,5527,2667,781,40063
SED10008,3689,2111,1293,721,200,43,9533,34,179,467,450,357,288,108,7,1896,1218,3663,5216,3761,2618,1924,689,123,19214,433,719,1390,1649,1440,1154,516,111,7421,602,891,1025,1383,1296,948,662,145,6948,84,58,54,89,111,86,44,6,536,68,91,152,276,358,397,197,35,1574,746,1043,1238,1748,1765,1427,903,186,9057,17,64,119,115,127,116,82,18,659,245,356,501,375,387,397,388,288,2941,2752,7450,12627,10206,7994,6024,2887,783,50720
SED10009,339,355,542,574,197,38,2278,7,117,217,251,427,468,127,17,1639,124,933,1114,1270,1632,1716,679,163,7631,86,453,741,1006,1510,1495,563,159,6007,805,1975,1931,2392,3005,2472,947,250,13785,104,119,121,132,202,182,48,16,930,55,91,104,220,397,396,244,51,1561,966,2188,2161,2741,3611,3056,1240,319,16272,5,24,30,42,102,150,76,21,455,701,542,604,857,1226,1354,1027,612,6921,1894,4484,5197,6532,9044,8815,3912,1336,41206
SED10010,2041,699,404,217,57,15,5525,29,253,289,211,144,82,19,0,1033,1063,4164,3638,1875,1421,980,275,45,13460,656,1700,1693,1211,868,484,176,43,6834,939,1902,1956,1750,1483,869,381,119,9402,138,131,174,140,121,73,21,0,806,93,168,245,271,254,189,79,19,1324,1167,2202,2384,2166,1861,1131,478,147,11529,50,132,139,112,77,73,26,5,619,951,1401,1157,832,737,611,436,212,6347,4041,11821,11348,7113,5503,3573,1482,469,45343
SED10011,1071,1166,1123,962,292,50,5323,15,170,333,478,536,522,133,20,2206,381,1722,2355,2383,2075,1876,697,161,11652,218,705,1148,1412,1506,1261,564,143,6961,847,1653,1892,1925,1872,1334,567,160,10241,112,104,98,102,134,103,46,6,704,53,62,125,223,338,370,222,61,1451,1009,1816,2117,2247,2345,1806,832,232,12398,20,23,44,55,71,106,94,22,440,283,316,385,445,463,515,533,353,3284,1940,5380,7455,8183,8127,7053,3148,977,42270
SED10012,316,176,108,79,21,5,1344,26,120,81,74,66,37,11,5,410,1076,2748,1469,956,633,547,149,25,7606,401,1106,1140,1033,707,355,112,26,4883,655,1306,1322,1296,1167,656,285,69,6766,119,109,134,147,129,54,10,0,706,64,128,193,222,232,143,44,13,1025,842,1543,1647,1665,1522,853,336,85,8494,29,79,47,77,74,60,33,6,403,773,898,795,810,829,606,462,400,5574,3220,7058,5499,4785,3941,2542,1124,551,28721
SED10013,1794,818,401,203,71,13,4940,55,425,477,356,212,134,28,8,1698,924,4719,4354,2349,1077,636,222,47,14334,698,2641,2854,2195,1272,648,202,36,10554,1924,5117,4520,3706,2450,1403,553,118,19788,197,237,214,212,149,78,13,4,1107,183,283,408,474,396,312,92,27,2173,2305,5641,5138,4393,2994,1787,665,146,23071,50,92,136,112,102,98,29,8,627,688,1046,1017,680,608,566,474,395,5475,4788,16140,15785,10914,6672,4063,1683,662,60710
SED10014,879,395,268,185,54,12,2578,41,191,212,137,123,102,30,0,833,546,2145,1907,1104,812,563,198,32,7308,403,1297,1308,1085,902,601,198,26,5828,1233,2569,2297,1898,1759,1201,482,80,11511,157,217,192,145,121,99,28,4,958,97,138,192,257,308,259,110,23,1388,1490,2921,2680,2300,2190,1551,617,101,13859,35,70,80,70,78,75,33,5,450,853,1000,986,736,705,698,531,216,5726,3399,8377,8062,5826,5077,3770,1665,401,36580
SED10015,1687,907,594,231,63,14,5531,40,292,322,288,236,113,39,0,1331,1360,4819,3675,2361,1517,699,242,91,14770,684,1567,1761,1711,1119,563,174,61,7640,637,1448,1494,1700,1297,663,406,118,7778,96,117,107,158,122,62,9,7,679,103,173,240,381,351,173,73,31,1519,841,1738,1846,2241,1773,890,492,153,9976,49,136,133,131,126,57,32,17,673,797,1403,1157,964,794,658,574,435,6783,3852,11911,10587,8597,6158,3214,1617,772,46700
SED10016,3760,2038,1168,569,152,24,9317,41,296,565,509,318,249,58,17,2049,1297,4122,6134,4387,2571,1586,526,113,20732,489,1067,1947,2347,1561,980,371,87,8852,967,1426,1653,2009,1496,938,537,121,9155,117,71,97,141,121,88,29,7,672,99,111,259,388,374,348,171,47,1792,1180,1601,2010,2540,1993,1375,746,176,11618,42,67,147,138,118,111,88,20,727,386,456,617,510,363,371,348,241,3297,3483,9171,15183,12459,8092,5242,2291,661,56582
SED10017,383,201,225,145,42,8,1271,40,148,179,135,140,115,20,3,779,274,1469,1481,878,662,608,167,26,5566,238,1100,1186,1081,919,615,173,32,5337,1655,4358,3614,3304,2715,1698,616,103,18068,287,279,223,187,150,97,18,4,1245,128,188,188,281,272,248,85,25,1416,2067,4829,4018,3777,3143,2045,714,137,20724,22,42,52,52,58,59,33,9,328,756,1158,1006,904,755,809,641,353,6384,3397,8992,8314,7019,5900,4397,1795,566,40387
SED10018,961,756,463,317,125,26,3258,23,200,360,342,267,222,74,6,1496,530,2625,2944,2112,1269,947,443,86,10951,230,863,1190,1350,1150,783,410,123,6092,1077,2193,2091,2187,2093,1354,754,270,12007,162,133,112,105,114,94,42,13,777,77,84,143,239,324,308,190,51,1418,1313,2412,2344,2531,2531,1757,984,327,14195,28,37,47,46,69,78,70,23,393,341,498,425,435,453,489,529,361,3529,2472,7221,8278,7582,6202,4582,2624,960,39916
SED10019,201,217,224,208,71,4,1089,15,89,144,186,215,211,37,13,905,127,840,1034,1007,952,921,275,61,5224,109,486,693,917,1088,961,383,92,4736,1138,2283,2173,2387,2826,2068,817,205,13901,194,184,164,153,207,143,40,11,1096,73,124,165,210,356,367,168,47,1518,1409,2590,2495,2751,3391,2577,1028,264,16510,17,39,36,46,74,100,63,16,390,938,1149,1132,1090,1174,1249,996,535,8273,2616,5352,5738,6209,7124,6223,2860,989,37116
SED10020,467,460,342,344,103,25,2076,14,173,225,257,291,304,84,11,1356,261,1650,1882,1633,1235,1193,412,78,8352,158,792,1068,1332,1297,1019,435,118,6214,1038,2269,2301,2408,2535,1834,794,197,13360,167,178,135,115,174,138,37,12,960,77,133,158,229,317,356,190,46,1507,1280,2578,2590,2751,3029,2325,1017,250,15825,21,55,45,55,60,80,73,18,398,632,791,724,728,749,825,810,593,5855,2385,6354,7009,7214,7002,6093,2934,1088,40076
SED10021,2973,2152,1388,763,268,71,10321,21,460,501,450,334,261,81,17,2126,1256,8762,5414,3813,2262,1284,580,165,23542,308,1317,1250,1193,966,610,303,117,6068,345,1476,1001,827,758,513,334,121,5369,31,73,64,70,59,56,16,5,365,49,137,147,209,228,188,94,33,1089,423,1682,1210,1105,1052,753,448,165,6827,25,176,123,88,87,81,51,27,656,410,1322,881,599,442,503,556,693,5410,2505,16361,12351,9402,6533,4253,2290,1244,54935
SED10022,176,171,167,142,46,4,896,22,95,114,160,153,145,35,7,742,207,990,1055,999,683,650,256,59,4898,129,475,689,862,883,776,314,77,4204,1031,2124,2031,2096,2195,1535,585,138,11736,139,173,157,145,191,118,34,14,963,56,90,110,216,296,281,99,27,1171,1232,2387,2298,2449,2684,1936,720,175,13877,13,31,24,44,62,80,47,14,310,807,912,916,944,1100,1193,951,399,7215,2420,5078,5280,5617,5727,4915,2362,736,32140
SED10023,1015,940,664,469,138,40,4002,31,193,314,351,367,307,77,17,1659,941,3088,2998,2544,1755,1260,430,106,13131,375,1064,1533,1871,1497,934,389,153,7814,915,1941,1806,2199,2088,1345,726,277,11303,82,73,93,124,144,111,51,21,693,79,102,198,346,454,418,209,87,1886,1075,2114,2097,2668,2680,1875,988,384,13885,21,44,71,96,113,126,81,24,575,295,472,472,475,422,444,414,316,3316,2771,7674,8499,8948,7504,5416,2524,1048,44376
SED10024,2786,2704,1732,966,508,121,9882,12,143,373,607,423,361,163,43,2138,1164,2429,4378,4779,3272,2058,1223,388,19683,248,427,821,1593,1277,1034,774,287,6454,333,410,590,810,727,518,462,156,4007,50,28,42,76,85,71,46,16,415,38,43,113,265,291,282,277,101,1403,422,475,743,1157,1098,873,781,276,5821,21,31,76,119,87,117,108,47,607,229,177,331,356,333,342,422,336,2526,2140,4696,9511,11318,8227,5751,3972,1498,47109
SED10025,2501,1521,1099,690,201,29,8704,34,334,433,408,344,268,98,25,1940,1148,5312,4662,3358,2216,1414,529,125,18771,356,1097,1505,1591,1289,862,343,92,7137,409,1059,1066,1225,1245,826,452,124,6405,68,60,80,107,109,59,28,5,507,51,135,168,295,388,309,137,54,1530,520,1245,1315,1623,1735,1192,617,189,8437,27,76,95,105,92,112,57,19,585,354,757,608,440,451,508,468,451,4034,2531,11394,11117,9038,7225,5057,2308,924,49604
SED10026,543,271,221,134,37,13,1971,18,184,226,217,198,148,27,0,1020,340,2131,1745,1248,884,681,269,60,7352,174,813,941,1020,1002,607,288,74,4920,1215,3150,2636,2477,2329,1342,583,135,13864,160,223,142,130,171,97,37,5,967,66,149,148,246,287,263,137,28,1325,1437,3517,2924,2854,2786,1702,764,169,16155,16,55,50,48,70,62,53,24,384,1005,1452,1259,1083,1044,959,829,404,8050,3021,8879,7693,6741,6208,4293,2266,747,39851
SED10027,1057,666,427,200,57,8,3470,31,200,238,221,177,130,34,3,1022,1018,3070,2736,1850,1269,671,216,67,10900,432,1098,1558,1421,1026,589,188,69,6388,763,1529,1681,1795,1639,929,570,224,9129,106,71,121,138,140,74,17,7,678,83,138,205,327,360,240,117,45,1515,956,1740,2010,2252,2144,1244,706,277,11327,36,70,91,95,102,66,36,14,502,546,791,800,585,566,532,557,566,4941,3090,7966,8484,7080,5712,3439,1789,1000,38557
SED10028,4068,2711,1797,1006,345,101,12313,41,210,431,472,449,370,129,33,2137,1477,4176,5177,4261,3254,2161,881,336,21716,316,649,987,1416,1459,1058,594,252,6739,395,583,608,808,947,587,383,196,4505,55,40,51,80,107,69,47,21,470,48,47,109,229,333,312,192,97,1360,498,663,763,1113,1388,967,623,310,6332,33,62,113,125,120,119,99,54,720,288,419,503,340,377,397,563,736,3616,2731,8388,12045,10438,8845,6078,3227,1818,53575
SED10029,384,171,145,86,25,3,1473,26,138,108,95,58,30,6,4,470,1001,2761,1565,1041,710,455,182,36,7756,448,1244,1267,1043,778,392,164,38,5381,736,1368,1364,1350,1088,673,311,96,6988,114,135,142,158,119,47,15,4,733,71,166,208,247,216,135,52,12,1110,915,1674,1712,1749,1422,853,386,112,8828,28,87,76,77,79,63,25,5,424,996,1154,1119,1012,963,789,600,437,7067,3459,7667,6232,5181,4149,2686,1387,636,31401
SED10030,819,597,490,365,136,23,3092,39,180,231,266,245,224,72,3,1261,463,2098,2250,1616,1236,1012,406,111,9193,317,881,1257,1440,1284,913,442,107,6639,1035,2093,2200,2261,2354,1486,777,220,12419,137,130,144,149,162,127,50,13,922,70,138,168,284,366,383,213,58,1676,1249,2357,2514,2690,2873,1992,1040,288,15010,30,51,61,76,96,151,65,27,560,536,632,631,680,773,873,790,519,5433,2642,6851,7760,7360,7007,5540,2952,1079,41187
SED10031,562,671,604,575,227,37,3072,17,167,289,338,350,351,81,10,1603,287,1511,1691,1725,1501,1309,542,113,8676,193,831,1104,1378,1310,1083,494,97,6486,1149,2500,2302,2478,2530,1578,711,137,13371,164,147,130,157,155,122,43,8,919,85,104,162,275,374,367,170,34,1576,1392,2750,2592,2912,3058,2062,917,180,15865,22,26,32,63,73,89,63,23,401,671,767,764,884,1018,1060,833,483,6468,2599,6436,7026,7962,7908,6524,3168,953,42570
SED10032,2581,753,443,210,54,13,7317,52,330,317,182,125,72,22,5,1115,1429,5671,4112,1765,1136,610,240,66,15028,945,1892,1803,1317,855,411,160,45,7432,813,1662,1674,1377,1076,622,299,103,7613,123,150,131,142,109,52,6,3,723,109,183,254,270,279,153,73,28,1345,1043,1989,2056,1785,1468,827,374,130,9677,65,235,204,99,94,70,32,12,815,1298,2330,1757,1052,874,575,415,197,8500,4984,15565,12823,6953,5006,2779,1304,470,49889
SED10033,447,447,402,266,94,18,2358,35,175,168,239,228,198,43,8,1083,502,1590,1494,1443,1053,749,260,58,7135,411,1038,1162,1473,1178,732,298,75,6373,1522,3048,2680,3004,2525,1329,588,140,14840,142,138,122,176,149,105,15,6,852,107,136,168,326,328,270,104,23,1467,1767,3326,2972,3510,3004,1705,709,174,17172,33,45,54,62,70,73,66,13,405,505,567,572,606,596,534,491,266,4143,3284,7381,6866,7782,6524,4257,1964,611,38663
