SED_CODE_2021,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
SED10001,522,73,9,0,605,6,0,13,616,41,0,655,1432,141,22,13,1604,6,0,6,1612,22,4,1641,374,32,36,3,441,7,0,7,442,6,0,453,16,0,0,16,35,0,0,0,35,7,3,38,2336,247,69,35,2684,23,0,20,2707,75,9,2783,3,4,0,3,8,0,0,0,8,0,0,9,29,4,3,0,36,6,0,6,39,4,0,44,37,10,3,3,53,6,0,6,51,8,0,57,2376,254,74,29,2730,21,0,25,2753,82,9,2839,621,106,15,13,753,19,10,24,777,82,0,860,9,0,0,3,9,0,0,0,9,0,13,20,2996,358,86,55,3493,41,9,48,3541,160,19,3719,825,88,20,0,936,10,3,15,952,45,0,994,1507,179,26,17,1724,14,0,9,1736,42,0,1781,104,9,8,0,113,5,0,5,114,8,0,118,14,0,0,4,15,0,0,0,15,4,3,29,2451,273,52,21,2796,26,5,30
SED10002,598,84,54,3,747,19,11,24,773,83,0,852,571,227,86,9,887,21,0,20,906,117,0,1027,242,105,167,8,520,3,0,3,522,49,0,575,23,3,9,24,56,0,0,0,56,3,8,75,1434,422,308,41,2211,43,7,50,2264,250,14,2524,54,12,11,0,76,16,0,16,95,7,0,97,51,17,11,0,86,7,3,12,92,20,3,115,99,34,25,0,160,27,3,28,184,27,3,214,1532,456,335,43,2369,70,15,78,2454,277,13,2740,1113,477,289,86,1964,166,37,203,2168,1323,31,3519,8,3,4,25,45,0,0,0,45,16,63,122,2657,938,632,151,4381,236,48,283,4661,1614,103,6381,606,94,60,0,768,18,3,24,792,92,0,884,495,190,78,8,777,28,5,33,804,132,0,932,88,40,90,4,229,0,3,8,233,26,0,263,23,3,6,16,48,0,0,0,48,11,4,61,1214,334,234,34,1818,51,16,59
SED10003,300,77,8,0,387,7,0,6,391,41,0,432,919,318,28,13,1275,11,5,8,1287,53,0,1339,237,52,39,3,330,0,0,5,339,16,0,357,23,0,0,6,32,0,0,0,32,0,7,40,1476,446,78,24,2026,13,3,16,2043,106,10,2167,4,4,0,0,7,4,0,4,5,0,0,5,23,10,0,0,29,0,4,3,34,0,0,36,25,8,0,0,37,7,4,3,43,0,0,45,1502,459,78,24,2063,21,8,27,2090,113,10,2206,490,154,46,12,698,11,5,14,718,68,3,786,5,0,0,0,10,0,0,0,10,4,12,24,1999,615,120,41,2769,26,13,40,2808,176,28,3020,565,125,16,3,718,10,0,17,733,36,3,775,1116,334,31,17,1499,7,7,9,1506,74,3,1584,81,23,14,0,114,0,0,0,114,7,0,124,16,7,0,15,35,0,0,0,35,3,0,39,1780,484,62,42,2368,17,6,27
SED10004,1041,100,27,0,1167,21,6,32,1193,37,0,1233,934,139,30,0,1104,10,0,8,1113,20,0,1132,552,61,47,7,666,7,0,7,671,13,0,685,12,0,0,8,21,0,0,0,21,0,0,17,2541,295,104,14,2956,35,9,42,2994,77,0,3072,15,3,0,0,25,3,0,3,25,0,0,25,16,3,0,0,22,0,0,0,22,0,0,22,34,7,0,0,47,5,0,5,49,0,0,49,2579,304,106,15,3002,38,9,42,3044,77,0,3125,472,91,27,3,599,18,8,19,616,54,0,668,5,0,0,0,0,0,0,0,0,0,3,10,3051,397,135,22,3601,55,12,68,3670,123,11,3803,1278,154,30,4,1460,23,0,25,1489,56,0,1545,858,118,19,0,1003,8,0,12,1012,32,4,1049,124,13,12,0,141,0,0,0,144,8,0,154,5,0,0,5,16,0,0,0,16,0,0,16,2266,284,58,13,2621,28,6,33
SED10005,326,64,33,3,425,14,4,15,443,75,0,515,428,154,79,6,669,7,0,14,680,86,0,764,167,70,118,0,363,5,0,5,364,38,0,405,21,10,4,19,46,5,0,5,54,3,11,67,938,299,241,32,1508,28,3,33,1544,201,15,1755,33,8,3,7,52,17,0,19,65,8,0,82,46,31,3,0,85,17,0,18,103,17,0,117,81,42,8,9,133,36,4,37,171,24,0,193,1020,337,249,37,1641,61,10,69,1708,229,15,1953,976,484,371,87,1921,172,38,212,2130,1288,26,3438,13,8,3,17,37,0,0,0,38,12,89,131,2002,826,622,144,3597,232,45,280,3875,1524,126,5525,419,70,67,0,557,10,6,15,578,101,0,679,416,148,76,4,641,16,3,23,664,104,3,777,97,40,103,0,240,7,0,7,251,35,3,289,11,7,0,24,38,0,0,0,44,7,10,59,943,262,246,26,1480,36,15,45
SED10006,493,48,18,7,557,3,0,3,566,23,0,585,858,85,23,5,972,4,0,5,976,26,0,998,264,31,27,0,324,0,0,0,330,7,0,330,28,0,0,16,47,0,0,0,47,0,0,47,1647,159,65,28,1899,8,0,8,1910,48,0,1961,3,0,0,0,4,4,0,6,9,0,0,9,24,6,0,0,28,4,0,4,31,8,0,40,24,6,0,0,37,5,3,9,42,8,0,52,1673,162,64,28,1933,9,3,18,1952,58,0,2010,504,65,32,22,624,27,7,38,662,112,4,773,4,0,0,3,5,0,0,0,6,0,13,19,2182,229,99,53,2567,43,15,60,2620,168,15,2806,734,61,16,9,820,3,6,13,831,28,0,859,889,78,18,4,986,7,0,11,1002,40,0,1048,58,6,12,0,79,0,0,0,79,5,0,86,23,0,0,15,39,0,0,0,39,0,0,41,1699,149,51,34,1928,16,8,25
SED10007,451,53,6,0,513,10,0,10,523,32,0,554,1099,110,30,8,1243,6,0,6,1248,20,0,1271,321,26,38,0,385,0,4,4,388,12,0,398,14,11,0,12,34,0,0,0,34,0,6,44,1882,197,76,23,2178,16,3,21,2194,57,6,2259,4,4,0,0,11,0,0,0,12,0,0,12,23,0,5,5,33,6,0,6,33,3,0,34,31,4,5,5,44,8,0,8,47,3,0,50,1909,201,73,26,2223,20,3,20,2242,59,6,2309,512,105,20,14,658,21,9,28,684,93,3,776,0,0,0,3,8,0,0,0,8,0,9,20,2431,304,95,51,2881,39,11,52,2933,156,15,3100,814,104,13,8,940,11,3,12,948,43,0,995,1168,111,32,10,1316,11,0,9,1326,40,0,1371,121,17,11,0,152,0,0,0,151,6,0,155,12,0,0,12,27,0,0,0,25,0,0,26,2116,230,54,29,2427,25,6,23
SED10008,1092,107,72,3,1276,16,0,17,1293,46,5,1348,921,190,40,6,1162,12,0,11,1169,52,0,1222,381,60,70,0,509,8,4,8,522,11,0,527,15,3,0,19,38,0,0,0,43,0,6,47,2417,356,186,30,2987,29,7,39,3022,110,6,3147,45,3,0,0,45,9,0,9,52,3,0,58,39,0,4,0,43,4,0,4,48,3,0,49,82,0,4,0,92,7,0,7,103,9,0,110,2495,363,191,30,3074,40,7,51,3123,125,6,3257,684,112,59,12,866,27,0,26,895,115,4,1018,8,0,0,6,21,0,0,0,21,0,14,36,3185,475,250,47,3957,66,12,76,4038,239,29,4303,1970,185,75,4,2237,40,0,44,2284,94,7,2386,1342,271,58,6,1676,13,5,16,1692,79,0,1774,231,44,47,0,329,7,0,7,337,12,0,341,16,3,0,28,44,0,0,0,44,0,0,44,3561,507,184,44,4289,67,9,69
SED10009,276,60,15,3,352,4,0,4,356,24,0,382,727,161,18,12,922,5,0,3,922,42,0,967,189,38,16,0,243,3,0,0,248,13,0,261,12,5,4,8,26,0,0,0,26,0,0,27,1212,252,48,22,1540,5,0,15,1553,80,0,1636,4,0,0,0,4,0,0,0,3,0,0,9,14,3,0,0,18,4,0,5,24,0,0,24,14,3,0,0,21,0,0,4,24,7,0,27,1228,253,48,22,1555,10,3,18,1573,85,0,1661,340,95,18,21,470,10,0,12,475,80,0,562,0,0,0,3,4,0,0,0,4,0,13,21,1569,351,66,50,2029,26,5,28,2056,167,19,2240,565,104,12,3,688,10,0,6,697,31,0,730,820,157,24,13,1019,9,8,14,1031,54,5,1094,61,15,11,0,90,0,0,0,90,6,0,101,9,4,0,21,33,0,0,0,33,0,0,36,1454,283,51,37,1829,15,6,25
SED10010,794,110,81,7,999,18,4,26,1024,83,0,1109,688,209,93,12,998,15,3,20,1019,71,0,1094,357,75,106,6,546,7,0,7,548,20,0,569,16,3,9,15,49,0,0,0,57,10,8,69,1859,403,287,48,2590,41,9,57,2649,183,8,2835,75,17,5,0,97,18,0,18,115,3,0,118,73,21,7,0,95,4,4,4,103,12,0,115,143,36,8,0,193,22,3,25,219,14,0,233,2004,440,295,45,2789,69,17,82,2869,192,8,3068,955,283,162,61,1459,74,10,81,1546,432,4,1974,12,3,0,16,31,0,0,0,31,3,25,54,2980,720,453,113,4277,143,25,161,4441,626,37,5103,1033,140,92,10,1273,21,4,33,1300,106,0,1404,748,206,101,6,1064,24,6,28,1089,109,0,1198,152,28,82,0,275,12,0,12,278,13,0,296,11,3,0,21,42,3,0,3,47,5,7,54,1952,382,278,45,2654,58,10,64
