SED_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SED10001,4,0,0,4,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,14,0,0,0,0,0,0,0,5,0,5,0,9,3,0,0,3,0,0,0,10,0,8,0,17,0,0,0,4,0,5,0,14,0,16,0,45,6,8,0,7,0,14,0,17,0,46,3,97,10,15,0,12,0,34,0,25,7,39,0,149,13,31,0,47,3,81,5,41,6,63,0,290,34,49,7,140,15,139,11,59,5,67,4,528,50,35,5,231,26,125,15,46,16,51,0,586,83,42,3,240,32,126,6,23,6,46,0,618,317,63,20,594,88,205,28,37,15,37,4,1408,352,50,3,498,68,86,13,23,7,31,0,1137,324,25,9,407,58,71,15,17,6,11,0,939,256,16,0,230,34,36,10,3,5,9,7,597,523,34,9,380,75,85,11,11
SED10002,0,0,0,0,0,0,0,3,7,168,0,186,0,0,0,0,0,0,0,0,0,25,0,30,0,0,0,0,0,0,0,5,3,55,0,69,0,0,0,0,0,0,0,15,5,39,4,63,0,0,0,0,0,11,3,26,16,140,0,199,0,0,0,0,0,3,4,45,33,157,0,248,3,11,12,3,0,46,6,80,60,331,4,549,0,15,15,11,3,117,7,109,84,330,6,707,6,28,32,16,5,213,27,144,101,435,12,1017,18,62,40,74,13,266,38,164,103,379,7,1169,15,38,28,84,25,246,30,114,73,280,6,945,53,57,32,99,39,210,34,100,47,218,5,897,168,79,59,236,90,439,62,149,73,349,7,1721,199,53,43,213,85,184,36,99,64,190,3,1170,213,39,34,189,78,180,33,39,26,109,3,951,195,25,24,115,56,92,19,22,15,60,0,630,708,63,31,333,150,278,39,57
SED10003,0,0,0,3,4,0,0,0,0,19,0,26,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,5,0,8,0,14,0,0,0,3,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,8,0,10,0,17,4,0,0,0,0,6,0,11,0,17,5,39,4,9,0,3,0,11,6,30,6,31,0,99,5,14,0,13,5,29,4,41,12,37,0,174,15,46,6,28,6,53,3,52,12,77,0,303,22,78,9,91,9,83,13,83,15,68,4,476,31,78,5,127,11,89,17,61,3,55,0,479,48,69,4,197,22,84,14,45,10,46,0,539,180,148,13,419,66,136,34,80,11,71,3,1174,220,92,8,432,57,74,20,46,11,47,7,1014,219,64,6,319,45,85,17,36,7,21,4,821,167,30,0,195,27,38,12,16,0,13,0,499,475,93,18,487,58,146,25,39
SED10004,5,0,0,0,0,0,0,0,6,21,0,30,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,9,0,22,0,0,0,0,0,0,0,8,0,7,0,26,0,0,0,0,0,0,0,10,5,20,0,36,0,0,0,0,0,3,0,12,0,23,0,48,4,9,0,6,0,17,0,21,5,44,0,113,4,9,3,15,0,26,3,25,3,35,0,125,6,5,3,20,9,36,4,23,9,35,0,146,15,27,5,34,9,46,0,18,3,33,0,179,41,48,0,86,14,142,22,38,15,46,0,453,81,41,6,159,40,67,13,31,6,21,0,479,123,28,7,190,65,103,16,27,4,19,0,586,150,23,3,175,65,39,16,17,6,19,0,510,2294,108,38,1411,417,705,55,70
SED10005,0,0,0,0,0,0,0,4,3,160,0,177,0,0,0,0,0,0,0,0,0,30,0,33,0,0,0,0,0,3,0,9,3,57,0,75,0,0,0,0,0,0,0,12,4,46,0,64,0,0,0,0,0,3,0,21,15,135,4,173,0,7,0,0,0,9,0,47,12,167,6,242,0,5,7,7,0,37,4,81,42,341,7,528,0,14,5,4,3,79,10,97,67,333,9,622,0,31,15,18,5,155,22,157,121,401,5,932,24,37,46,54,26,217,37,144,117,392,11,1098,24,30,26,72,30,205,30,95,95,242,6,840,49,38,14,81,31,216,28,85,55,238,0,830,178,64,54,204,85,404,55,135,74,337,8,1589,168,46,50,174,76,188,60,80,53,207,0,1102,160,26,26,137,80,136,36,34,40,115,0,794,148,25,18,87,45,73,18,28,20,52,3,522,387,42,29,223,105,187,30,48
SED10006,18,0,0,8,0,10,0,0,4,21,0,59,3,0,0,0,0,4,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,10,0,22,0,0,0,3,0,0,0,3,0,0,0,10,3,3,0,3,0,0,0,5,0,13,0,36,4,0,0,10,3,7,0,11,0,25,0,61,11,4,0,6,5,11,3,15,9,55,0,107,17,7,5,30,8,37,0,27,9,69,0,204,27,21,0,51,0,60,0,37,5,79,0,282,43,19,3,106,12,110,11,38,9,69,9,429,43,21,5,105,15,101,8,15,8,31,4,356,74,13,3,154,28,71,7,15,9,36,0,403,248,35,9,347,54,155,16,19,13,38,0,941,246,24,12,261,40,63,15,8,5,13,0,684,247,16,15,208,45,60,8,7,3,16,0,618,178,5,5,114,38,27,7,0,4,3,0,381,410,6,14,197,53,57,6,4
SED10007,3,0,0,0,0,3,0,0,0,18,0,21,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,4,0,13,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,16,0,22,0,0,0,4,0,0,0,7,3,23,0,40,0,4,0,3,0,17,0,23,0,58,0,110,0,11,0,10,0,41,0,34,3,45,0,141,3,23,3,30,8,72,8,47,9,71,0,275,26,31,3,92,6,108,11,65,12,71,4,433,35,30,7,129,15,107,9,37,10,43,0,421,57,22,6,200,19,99,10,25,10,39,5,489,256,47,13,441,70,187,30,51,18,57,3,1179,330,48,5,471,69,80,27,29,4,24,0,1093,330,23,3,337,65,66,11,9,5,13,0,881,296,8,5,216,47,30,13,3,0,5,0,634,672,32,9,383,68,102,16,8
SED10008,0,0,0,0,0,0,0,3,0,46,0,51,0,0,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,0,0,8,0,13,0,20,0,0,0,0,0,0,0,0,0,8,0,14,0,0,0,0,0,0,0,5,0,24,0,34,0,0,0,0,0,4,0,17,11,25,0,64,6,3,0,4,0,12,0,22,10,44,0,94,0,6,4,5,0,29,8,31,10,50,0,141,3,21,5,20,0,50,8,47,19,95,3,269,11,47,21,51,12,107,17,55,22,109,3,448,13,46,5,56,24,115,18,62,24,65,0,442,28,45,21,77,31,127,23,44,26,94,0,514,142,98,31,300,73,424,47,92,40,170,0,1421,281,96,20,409,108,201,40,57,22,114,0,1350,390,75,18,406,103,302,32,67,18,89,0,1494,475,53,16,343,93,124,29,34,10,38,6,1231,2938,169,50,1484,372,833,82,117
SED10009,4,0,0,0,0,0,0,0,0,16,0,24,0,0,0,0,0,0,0,3,0,3,0,7,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,5,0,7,0,6,0,0,0,0,0,10,0,8,0,29,0,5,0,3,0,7,0,7,0,18,0,45,0,4,4,7,0,4,3,37,3,49,0,106,9,19,5,25,5,17,0,26,9,60,0,175,7,35,6,46,6,58,9,47,7,95,0,325,38,63,11,127,16,102,12,76,13,67,4,520,31,53,8,147,17,56,12,39,5,56,0,430,72,48,9,189,28,57,15,25,11,36,0,482,239,82,18,409,55,121,26,40,16,77,4,1083,240,51,10,289,35,56,22,26,3,31,4,763,188,26,9,220,30,32,9,18,6,16,0,552,142,13,5,126,15,19,6,6,3,6,0,334,243,35,7,176,23,58,14,8
SED10010,0,0,0,0,0,0,0,0,0,71,0,75,0,0,0,0,0,0,0,0,0,13,0,16,0,0,0,0,0,0,0,4,3,21,0,31,0,0,0,0,0,3,0,8,0,12,0,26,0,0,0,0,0,3,0,8,4,33,0,58,0,0,0,0,0,5,0,30,8,68,0,113,0,5,3,3,0,31,4,45,18,107,0,213,0,18,6,0,5,52,0,73,43,136,0,329,3,27,6,10,9,184,13,93,45,194,5,588,16,56,18,66,28,239,26,122,58,197,4,819,23,43,20,112,39,243,26,106,47,146,3,813,69,48,18,141,37,231,39,74,49,124,5,833,351,103,57,394,136,502,69,119,68,236,4,2043,457,71,43,401,158,223,62,70,27,121,3,1635,427,37,29,295,117,209,38,38,34,75,4,1305,352,23,10,171,90,81,29,28,15,44,0,839,854,35,29,287,135,219,41,37
