SED_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
SED10001,0,3,3,24,6,4,4,0,0,48,0,0,5,5,4,6,8,0,3,30,0,0,3,3,3,0,4,0,0,26,7,41,45,223,117,96,73,84,29,714,148,298,282,623,312,388,352,292,126,2813,2498,5135,4777,10087,5243,5748,5262,3171,1350,43275,0,0,0,0,0,0,0,0,0,3,4734,9526,8465,15529,8378,9126,8301,4437,1690,70199,0,7,0,47,17,0,0,0,0,71,0,0,0,0,0,3,7,3,0,12,0,0,0,9,3,0,0,0,0,10,0,3,0,8,0,0,0,0,0,10,3,6,6,21,14,22,13,0,0,84,0,0,0,11,4,4,3,0,0,27,3,7,15,81,42,32,19,5,0,189,0,0,0,0,3,12,14,20,9,58,0,0,4,4,0,0,9,0,0,18,3,26,54,171,195,417,388,333,96,1692,0,0,7,29,10,13,6,0,0,62,0,0,5,10,9,3,4,0,0,32
SED10002,3,13,81,355,412,551,431,107,45,1994,0,0,0,0,3,0,0,0,0,9,0,0,6,22,9,0,0,0,0,38,37,166,186,973,343,261,187,121,49,2332,202,413,475,1319,339,317,211,125,75,3490,3638,6207,7425,20963,6021,5726,3655,1710,725,56069,11,140,310,1281,379,175,77,35,6,2407,6796,9660,7570,10820,2328,1618,1123,513,321,40742,0,19,43,404,53,43,14,0,0,578,0,0,3,49,23,46,32,17,3,174,0,8,17,133,16,13,3,0,0,194,0,0,5,38,53,44,38,17,9,213,6,5,5,39,8,11,0,0,0,69,0,0,0,36,27,19,24,21,5,136,35,182,1160,7389,2178,2384,1190,475,210,15210,0,3,0,18,19,43,95,111,31,319,3,44,29,155,36,48,48,25,7,393,0,30,28,224,82,103,83,51,13,624,0,9,24,146,93,92,84,29,4,466,0,0,4,38,5,0,5,4,0,66
SED10003,0,4,0,18,12,9,0,0,0,48,0,7,4,12,8,9,20,7,5,63,0,0,0,6,12,9,5,0,0,36,9,39,45,535,128,128,89,47,20,1034,136,332,275,849,432,449,388,240,209,3313,1915,4568,3722,10344,5925,6151,5701,2970,1520,42816,0,0,0,4,0,0,0,0,0,4,3591,8237,6329,13108,8126,8694,8261,4093,1721,62152,0,0,0,0,5,0,0,0,0,6,0,0,0,5,0,0,0,0,0,3,0,3,10,307,30,17,11,0,0,377,0,5,5,13,0,0,0,0,0,18,0,20,19,156,76,49,49,14,6,383,0,0,0,77,17,17,12,8,0,125,0,10,6,23,12,24,8,7,4,90,0,0,0,3,0,7,8,3,0,25,0,0,0,3,0,5,7,0,7,27,6,116,130,750,564,675,732,463,174,3615,0,3,0,22,11,13,7,4,0,61,0,4,27,205,41,35,25,14,4,361
SED10004,0,6,52,139,62,65,71,18,11,416,0,0,0,20,14,12,7,5,0,58,0,0,0,12,18,8,4,3,0,47,9,51,106,905,272,220,175,104,46,1890,74,127,231,762,244,207,148,100,73,1980,2173,3928,4613,15303,6156,4711,3758,1760,650,43054,0,0,0,11,0,0,0,0,0,13,4097,6885,6074,16067,6830,5182,3904,1572,414,51020,0,0,9,36,6,0,0,0,0,64,0,0,0,16,8,17,4,8,0,53,0,10,26,257,28,11,6,0,6,345,0,0,12,22,11,5,9,6,0,62,3,11,22,225,85,46,29,7,0,436,0,0,4,78,35,19,15,7,0,167,15,53,631,1335,239,246,177,118,59,2866,0,0,6,24,15,23,22,19,5,107,0,0,0,28,10,19,30,16,3,113,39,243,224,1600,1138,824,558,260,66,4956,0,0,0,59,28,38,25,16,3,163,5,11,21,224,52,32,23,7,3,379
SED10005,17,100,464,1874,1347,1282,711,236,135,6161,0,0,0,0,0,0,3,0,0,4,0,0,0,10,4,3,0,0,0,20,23,198,258,999,426,309,257,175,90,2734,252,504,433,1078,401,338,268,145,95,3529,3556,6470,6275,13521,5611,5156,3658,1958,1173,47384,3,47,126,282,68,42,11,0,0,589,6446,10682,8719,9837,2519,1964,1513,890,631,43204,8,51,112,918,127,54,13,0,0,1283,0,0,0,39,24,32,22,16,5,140,0,9,8,70,17,3,0,5,0,114,0,0,3,51,55,68,51,27,9,262,0,0,0,12,8,4,0,0,0,24,3,4,0,21,19,34,32,25,3,138,0,48,190,1120,603,795,421,164,110,3453,0,3,0,14,9,19,43,63,16,171,8,52,44,238,83,90,96,63,27,694,0,4,14,32,38,70,88,67,30,352,0,16,27,174,131,98,85,28,3,562,0,0,0,14,3,4,9,3,0,39
SED10006,0,0,0,11,3,4,0,0,0,13,0,0,0,7,0,0,0,0,0,9,0,3,0,12,3,0,0,0,0,22,3,10,14,52,21,22,29,28,9,175,246,627,495,1133,602,669,549,404,243,4970,2175,4659,3696,8600,4452,5308,4223,2698,1264,37083,0,0,0,0,0,0,0,0,0,0,3948,8074,6470,13105,7146,8749,7123,4026,1548,60197,0,0,0,7,3,6,0,0,0,17,0,0,0,4,0,0,3,3,4,8,0,0,0,3,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,9,0,0,0,16,8,11,0,4,0,44,0,0,0,0,0,0,3,0,0,3,0,4,0,40,23,27,0,0,0,99,0,0,0,0,0,8,4,10,4,23,0,0,0,7,0,0,5,0,0,14,0,11,4,90,69,156,155,123,33,634,0,7,0,17,14,8,7,0,0,50,0,0,3,10,0,0,4,3,6,20
SED10007,0,0,9,27,10,11,0,0,0,64,0,0,0,0,3,9,7,3,5,26,0,0,0,3,4,4,4,0,0,20,4,9,14,82,52,65,64,37,16,358,99,309,254,557,358,353,371,230,107,2633,2059,5006,4422,8974,5163,5486,4787,2784,1230,39921,0,3,3,14,0,0,0,0,0,18,4015,9335,8450,15219,8361,8874,7421,4065,1493,67239,0,6,0,42,3,7,6,0,0,67,0,0,0,3,3,8,4,7,0,23,0,0,0,5,0,0,0,5,0,5,0,5,0,14,4,10,0,0,0,30,5,4,6,21,25,19,9,0,0,92,0,0,0,12,5,9,8,4,0,33,0,8,9,63,41,28,37,11,0,194,0,0,0,4,5,18,17,10,7,64,0,3,0,13,0,0,7,4,0,32,3,16,43,136,197,426,456,329,126,1733,0,6,6,36,20,13,17,8,0,102,0,0,6,21,0,6,9,4,0,51
SED10008,0,6,5,87,77,59,29,5,0,279,0,0,0,5,4,3,8,5,0,23,0,0,7,13,10,4,0,0,0,46,10,81,81,373,218,210,181,108,51,1315,45,123,70,276,99,105,88,82,38,931,2302,6290,4995,11690,6168,5379,4700,2502,925,44944,0,0,7,56,30,36,23,8,0,167,4425,10758,8121,8719,5229,4074,3587,2564,766,48233,0,11,10,114,70,60,38,5,0,309,0,0,0,13,16,17,5,3,0,51,0,3,13,63,13,16,3,0,0,112,0,0,0,7,10,17,6,0,6,51,0,9,21,52,24,17,17,0,0,144,0,0,7,29,33,36,20,15,3,153,29,377,258,3621,1268,1277,1018,280,87,8216,0,0,0,12,18,45,54,45,20,189,0,34,13,90,38,73,77,37,6,363,10,137,136,369,340,376,380,273,106,2131,0,0,9,137,124,111,74,37,13,501,0,4,0,23,8,7,0,0,0,52
SED10009,0,0,4,10,18,4,3,0,0,40,0,0,0,3,6,8,8,9,5,36,0,0,0,7,0,7,4,0,0,23,0,11,6,86,54,103,123,92,36,505,109,265,229,557,376,521,484,289,200,3028,1534,3824,2958,6798,4763,7035,6951,3615,1532,39011,0,0,0,0,0,0,0,0,0,0,2919,7137,5580,10702,7296,10199,10177,4772,1709,60502,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,5,0,0,0,14,0,4,3,0,0,20,0,0,0,4,0,0,3,0,0,8,0,8,13,47,24,30,32,16,5,163,0,0,0,8,11,10,10,12,5,53,0,4,0,31,27,13,11,9,0,99,0,0,0,0,3,21,47,50,17,138,0,0,0,0,0,5,11,9,0,29,4,30,32,159,281,790,1181,724,229,3426,0,0,0,12,10,8,15,5,0,42,0,3,6,17,14,23,15,11,8,87
SED10010,0,0,4,63,41,30,26,8,0,176,0,0,0,0,6,0,4,0,0,9,0,5,3,14,3,5,0,0,0,28,8,110,206,671,362,306,247,152,71,2140,156,360,347,882,295,222,190,135,66,2648,3082,5675,5585,14695,5316,4836,3812,1926,885,45804,3,33,112,360,104,79,46,17,0,747,5775,9223,6867,9735,4071,3538,2385,1153,538,43283,0,34,58,403,127,103,37,7,0,764,0,3,0,56,39,70,44,21,0,235,0,0,0,26,6,9,0,0,0,41,0,0,4,18,12,14,0,5,0,57,0,0,6,27,5,4,4,0,0,55,0,6,3,39,31,18,40,14,3,153,7,27,86,569,296,360,257,104,42,1752,0,0,0,30,40,56,86,74,23,314,0,16,68,104,69,78,96,62,18,512,0,28,27,147,119,227,217,167,52,982,3,48,106,637,400,364,204,92,18,1866,0,4,0,7,9,4,9,5,10,44
