SED_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SED10001,0,0,0,0,0,0,4,7,0,12,0,0,0,4,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,3,0,25,55,82,0,3,0,0,0,168,0,0,0,8,10,12,44,40,15,139,3,17,14,95,63,99,79,28,4,404,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,0,0,0,0,29,0,0,0,0,11,4,0,0,0,18,3,17,20,139,67,54,34,10,3,348,0,0,0,3,0,4,5,4,4,25,0,0,0,0,0,0,0,0,0,5,0,0,0,6,14,29,27,27,13,128,0,0,6,8,8,6,3,0,0,22,0,4,11,30,18,15,8,10,0,97,0,4,0,25,9,3,4,0,0,42,0,0,0,11,0,0,0,0,0,13,0,6,6,41,25,13,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,4,8,38,5,19,9,3,0,89
SED10002,0,0,0,0,0,0,3,10,5,29,0,0,7,14,3,3,3,5,0,33,0,7,14,91,58,32,24,12,4,242,0,13,1212,1672,33,12,5,0,0,2949,0,0,7,5,0,4,3,0,0,13,5,30,82,169,67,53,31,8,0,448,0,0,0,0,0,3,9,10,0,28,15,124,110,539,95,50,15,3,0,958,0,0,0,4,0,0,6,4,0,10,0,18,78,556,201,175,152,45,9,1234,0,0,0,26,11,8,14,3,8,70,0,3,6,11,11,17,0,0,0,50,0,0,0,10,0,7,12,8,0,37,4,7,12,56,15,15,8,10,0,125,0,5,10,43,28,18,7,0,0,116,0,10,40,188,99,141,95,50,12,631,3,0,10,259,23,17,22,5,0,334,5,3,21,249,40,19,14,0,0,345,4,17,30,247,313,301,238,116,19,1292,4,27,12,31,7,11,5,0,0,85
SED10003,0,0,0,0,0,0,12,6,4,24,0,0,0,5,0,0,4,0,0,9,0,0,0,4,0,0,0,0,0,6,0,0,0,18,0,0,0,0,0,18,3,3,8,53,29,30,40,21,9,201,4,35,40,227,161,172,134,47,11,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,6,20,19,10,0,0,60,0,10,12,91,27,36,22,10,0,203,0,0,0,16,5,4,6,5,0,38,0,0,0,0,0,0,0,0,0,9,0,4,3,34,22,26,33,14,16,150,0,4,0,11,8,3,6,0,0,39,0,6,10,69,52,35,44,28,9,248,0,0,0,11,0,0,3,5,0,25,0,0,3,3,0,6,0,0,0,15,0,9,14,66,40,30,10,0,0,169,0,0,0,0,0,0,0,0,0,4,10,24,28,151,50,50,56,13,4,393
SED10004,0,0,0,0,0,8,23,11,12,59,0,0,0,6,0,4,4,3,4,25,0,0,10,17,7,0,5,0,0,43,0,0,12,19,0,0,0,0,0,34,0,8,7,35,22,9,13,10,4,105,0,11,60,346,231,220,132,48,5,1068,0,0,3,10,9,4,5,0,4,35,0,0,0,14,5,0,0,0,0,24,0,0,0,7,21,10,3,0,0,39,0,5,17,224,51,39,32,12,0,392,0,0,3,58,19,11,25,10,3,123,0,0,0,0,0,0,0,0,0,4,0,0,13,59,61,45,40,15,8,241,5,19,30,71,32,24,9,7,0,191,0,0,25,156,46,29,35,6,0,310,0,0,9,48,14,11,16,0,0,104,0,4,17,95,19,9,7,4,0,154,0,12,24,366,69,24,14,0,0,509,0,0,0,40,13,16,7,4,0,81,22,49,46,227,87,56,43,11,0,544
SED10005,0,0,0,0,5,0,15,23,6,51,0,0,0,10,16,13,18,5,9,72,0,0,4,35,9,12,10,3,0,76,0,0,44,116,0,7,0,0,0,169,0,0,0,0,0,0,0,6,7,17,4,49,91,183,66,57,30,4,0,492,0,0,3,57,64,102,122,64,26,436,12,76,67,423,69,28,14,4,0,692,0,0,0,0,0,5,3,0,0,10,0,14,42,207,95,112,65,22,7,571,0,0,0,11,6,17,21,22,27,110,0,0,9,28,27,26,17,4,0,121,0,0,0,0,0,9,14,5,6,34,0,3,3,11,7,10,4,3,6,44,0,5,3,14,7,3,8,3,0,46,0,0,7,16,17,17,8,3,7,72,0,0,7,56,3,8,3,0,0,78,0,7,12,98,39,13,12,6,0,175,3,0,0,36,35,30,17,11,3,133,0,5,11,10,8,5,5,3,0,43
SED10006,0,0,0,0,0,0,3,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,35,0,0,0,0,0,31,0,0,0,5,0,3,29,7,0,57,0,6,4,69,39,46,43,9,6,220,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,13,0,0,5,12,11,3,0,0,0,26,8,18,19,132,46,42,26,10,4,307,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,17,7,0,48,0,0,0,0,0,0,0,0,0,10,0,4,8,22,16,10,10,3,0,73,0,0,0,6,3,0,0,6,0,23,0,6,0,11,0,0,0,0,0,9,0,3,0,27,9,9,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,4,3,14,7,11,11,9,0,62
SED10007,0,0,0,0,0,3,12,8,0,23,0,0,0,6,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,4,12,79,0,0,0,0,0,102,0,0,0,9,3,14,27,37,12,100,0,7,29,86,88,94,70,21,9,402,0,0,0,0,0,0,0,0,0,3,3,9,0,21,5,4,0,0,0,28,0,0,6,7,7,11,3,0,0,29,0,11,20,105,41,49,27,4,0,261,0,0,0,0,4,5,7,0,8,28,0,0,0,0,0,0,0,0,0,0,0,0,4,14,21,34,40,30,8,142,0,0,7,8,8,3,0,0,0,24,0,8,12,39,21,11,16,6,0,106,0,9,5,26,9,5,5,5,0,58,0,0,0,0,0,5,5,0,0,13,5,3,13,61,18,14,6,0,0,116,0,0,0,3,0,0,0,0,0,4,0,9,9,25,12,18,18,4,0,89
SED10008,0,0,0,0,5,14,29,30,10,85,0,0,5,5,0,16,11,5,3,45,0,0,5,24,19,17,13,3,0,76,0,0,9,67,12,3,3,0,0,95,0,0,8,12,4,8,16,16,4,65,7,43,70,125,83,89,60,28,8,507,0,0,0,3,4,3,0,0,0,18,0,43,9,153,43,18,16,0,0,293,0,0,5,7,5,8,0,0,0,32,3,10,25,217,103,131,131,20,15,656,0,9,0,30,24,31,34,9,0,142,0,0,0,0,6,6,0,0,0,4,0,7,9,11,12,27,28,24,13,120,5,35,31,42,32,23,41,8,7,223,0,47,46,137,99,63,41,17,9,449,4,17,56,219,198,202,114,48,17,869,0,12,4,72,30,32,35,5,0,195,0,9,8,81,37,17,9,3,0,172,0,0,0,21,36,18,9,6,4,92,9,37,86,83,18,15,11,4,4,266
SED10009,0,0,0,0,0,11,12,7,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0,0,46,0,0,4,4,7,23,88,56,19,203,0,5,7,73,96,132,114,54,7,495,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,9,0,0,3,7,10,8,6,0,0,35,0,3,14,71,46,48,35,11,3,225,0,0,0,8,5,12,9,5,0,30,0,0,0,3,0,5,0,0,0,10,0,0,0,12,15,39,61,54,23,191,0,3,0,6,4,5,6,0,0,27,0,6,5,23,23,37,22,22,3,133,0,0,0,6,4,3,4,0,0,18,0,0,0,8,0,0,0,0,0,14,0,3,7,43,34,15,7,0,0,112,0,0,0,3,0,0,0,0,0,8,0,6,5,32,14,41,59,15,5,180
SED10010,0,0,0,3,11,43,113,76,24,261,0,0,3,12,4,16,14,17,5,66,0,5,10,69,53,27,28,5,7,197,5,16,81,366,25,15,11,0,0,514,0,5,0,0,5,5,13,21,14,59,12,77,144,332,135,94,45,14,0,851,0,0,0,4,6,9,11,8,0,36,4,38,42,218,43,45,14,6,0,403,0,0,3,4,6,6,0,0,0,21,11,135,270,1300,621,651,535,163,44,3731,0,0,0,18,16,34,49,30,75,229,0,3,11,37,27,26,19,3,0,132,0,0,0,0,7,20,29,12,5,75,0,17,0,16,7,16,3,6,0,58,0,4,9,38,19,25,10,5,4,110,0,23,46,261,96,93,51,27,8,600,0,0,0,39,7,5,5,0,0,53,0,8,10,78,30,20,9,0,0,163,0,7,9,70,44,69,40,7,0,250,0,10,11,29,4,10,5,4,0,78
