SED_CODE_2021,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
SED10001,387,1950,216,2547,251,1883,191,2330,525,3968,403,4898,822,3522,384,4723,961,3607,379,4946,1084,4038,365,5481,1057,3722,332,5108,497,2050,226,2780,78,676,102,858,5663,25413,2587,33662,419,1865,200,2484,293,1852,149,2295,623,4057,315,4997,1028,3734,326,5088,1093,3872,281,5243,1178,4236,325,5748,1241,3719,309,5262,647,2216,310,3171,109,1088,154,1350,6632,26644,2371,35646,807,3815,413,5030,546,3739,341,4622,1147,8026,720,9893,1852,7260,707,9814,2057,7478,662,10195,2262,8273,692,11228,2290,7440,643,10365,1148,4263,543,5955,193,1765,251,2205,12301,52061,4951,69309
SED10002,192,2336,238,2769,316,4760,642,5719,782,12460,1693,14938,649,8133,1233,10011,454,5346,724,6531,398,4794,484,5682,247,3109,267,3623,71,1442,156,1666,9,437,107,554,3122,42815,5550,51488,240,2175,190,2604,503,3890,429,4824,834,10821,1033,12685,757,6846,676,8277,512,5097,419,6021,429,4904,395,5726,285,3133,230,3655,86,1496,125,1710,19,626,84,725,3660,38981,3582,46221,430,4504,433,5369,821,8649,1076,10542,1614,23279,2731,27618,1403,14981,1906,18293,963,10438,1141,12551,823,9703,877,11404,534,6248,494,7278,158,2935,279,3370,29,1060,194,1282,6780,81798,9131,97708
SED10003,243,1690,208,2137,162,1315,148,1627,424,3373,440,4232,756,3743,453,4952,970,3804,399,5174,1000,4150,405,5555,1217,3910,381,5507,519,1913,191,2631,85,709,104,900,5381,24612,2729,32722,272,1553,163,1984,187,1378,170,1737,637,3808,454,4902,1077,3922,440,5444,1305,4191,433,5925,1336,4402,419,6151,1603,3750,348,5701,694,2051,217,2970,118,1185,218,1520,7223,26240,2869,36335,515,3241,369,4119,355,2692,315,3366,1056,7180,897,9135,1837,7665,896,10398,2271,7999,829,11100,2329,8552,819,11705,2816,7661,728,11211,1219,3970,416,5601,204,1889,324,2422,12604,50847,5603,69054
SED10004,316,1260,79,1664,400,1952,191,2546,789,6172,449,7403,860,5784,387,7035,1018,4469,308,5795,723,3371,249,4345,604,2412,170,3192,221,1138,109,1475,29,337,69,426,4957,26891,2030,33882,343,1181,85,1612,551,2260,190,3002,1068,6471,487,8018,1268,5665,346,7285,1375,4523,262,6156,938,3564,208,4711,793,2800,160,3758,283,1361,117,1760,33,516,106,650,6651,28342,1958,36952,663,2449,172,3276,953,4213,381,5549,1852,12638,931,15425,2133,11448,735,14321,2393,8985,575,11947,1653,6943,459,9054,1393,5217,337,6946,509,2497,228,3237,57,850,169,1075,11609,55235,3989,70834
SED10005,189,2732,300,3227,218,2858,403,3483,396,6070,848,7316,381,5064,765,6203,314,4511,558,5376,271,4526,389,5187,194,3033,269,3498,105,1508,191,1802,23,602,115,746,2087,30908,3843,36840,237,2483,264,2973,315,2703,283,3299,522,6115,694,7332,498,5080,617,6198,346,4820,446,5611,312,4486,361,5156,222,3148,290,3658,81,1659,225,1958,25,895,253,1173,2546,31390,3426,37363,425,5216,557,6200,535,5558,688,6784,921,12184,1546,14649,873,10149,1381,12398,658,9330,1006,10993,579,9018,756,10347,413,6188,557,7154,183,3165,417,3764,49,1500,369,1919,4633,62296,7276,74197
SED10006,240,1516,337,2089,136,1472,262,1872,503,3116,584,4201,694,2549,534,3778,780,3014,596,4387,950,3798,669,5413,886,3222,559,4674,425,1713,359,2498,73,561,133,772,4696,20965,4029,29688,265,1398,313,1980,186,1283,247,1715,612,3430,577,4616,894,2527,563,3984,948,2914,592,4452,1113,3587,605,5308,1043,2686,501,4223,573,1719,410,2698,115,902,248,1264,5742,20446,4057,30242,508,2913,646,4069,324,2754,507,3586,1113,6547,1159,8820,1586,5072,1099,7759,1725,5931,1189,8845,2060,7383,1278,10715,1933,5905,1059,8899,997,3430,771,5201,190,1466,383,2038,10437,41412,8084,59934
SED10007,290,2066,224,2582,229,1871,343,2440,456,3652,768,4877,566,3320,668,4553,755,3715,514,4983,826,4219,414,5454,945,3553,370,4870,465,1965,226,2657,65,593,59,715,4588,24949,3587,33124,320,1823,153,2303,244,1732,148,2121,519,3816,284,4617,829,3244,286,4356,868,3964,328,5163,955,4231,303,5486,1093,3403,293,4787,542,2012,231,2784,77,1049,100,1230,5446,25276,2132,32851,607,3898,384,4888,468,3601,491,4557,973,7468,1051,9491,1398,6557,950,8907,1622,7674,841,10149,1783,8446,714,10944,2030,6956,669,9654,1003,3978,459,5444,141,1641,160,1941,10034,50224,5725,65979
SED10008,428,2323,66,2814,439,2188,85,2711,448,3599,150,4195,761,5684,217,6667,913,4785,135,5835,734,4194,111,5040,643,3445,107,4191,405,1922,88,2417,32,517,73,627,4812,28654,1038,34506,459,2044,52,2560,528,1859,50,2438,533,3699,157,4392,1050,6058,184,7289,1082,4955,135,6168,747,4505,126,5379,683,3896,119,4700,324,2044,127,2502,41,733,151,925,5452,29790,1102,36350,890,4365,113,5369,967,4042,134,5151,982,7294,308,8587,1813,11746,401,13963,1997,9733,268,12002,1477,8699,242,10418,1329,7335,228,8888,732,3970,219,4919,77,1249,227,1554,10257,58453,2140,70857
SED10009,240,1479,225,1947,138,1113,138,1384,331,2426,258,3023,518,2512,249,3279,724,3270,353,4348,1252,4524,450,6229,1739,4870,482,7095,716,2480,288,3490,98,806,148,1047,5757,23484,2589,31831,228,1288,190,1712,126,1010,107,1243,406,2532,239,3181,812,2524,284,3614,949,3479,341,4763,1584,5023,432,7035,2002,4530,411,6951,801,2491,320,3615,114,1164,252,1532,7029,24047,2581,33650,470,2768,419,3656,263,2119,245,2624,739,4960,502,6201,1333,5035,527,6895,1672,6752,692,9107,2840,9549,879,13267,3745,9402,896,14047,1516,4978,611,7104,209,1972,401,2582,12786,47527,5168,65484
SED10010,233,2248,194,2674,296,3085,288,3666,498,6605,692,7798,608,6269,495,7368,498,4497,343,5336,386,4091,285,4757,254,3012,178,3442,101,1408,113,1623,20,440,56,514,2887,31656,2640,37176,274,1950,184,2408,344,2598,245,3177,575,6447,571,7599,665,5934,501,7097,545,4446,325,5316,425,4171,235,4836,332,3279,207,3812,129,1664,132,1926,24,783,75,885,3305,31278,2466,37048,512,4196,372,5084,636,5679,530,6843,1073,13053,1264,15398,1267,12207,992,14467,1038,8942,670,10650,807,8259,519,9587,583,6286,383,7253,231,3077,248,3547,40,1222,131,1399,6194,62931,5108,74230
