SED_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SED10020,22545,59853,2037,3650,1472,3117,3508,6762,2228,3911,387,712,265,417,115,181,77,149,3078,5366,163,341,330,493,5,0,23,50,521,885,127,244,29774,73113,2730,..,32505,73113
SED10021,5501,17285,2628,7062,3359,9470,5985,16535,4156,8381,10907,20890,3655,6960,2233,4074,77,199,21033,40511,0,0,0,0,0,0,648,1268,648,1268,44,85,33207,75693,4226,..,37431,75693
SED10022,25792,61724,1200,1760,92,133,1285,1898,499,692,28,43,0,3,0,0,12,15,540,751,49,74,34,65,13,30,104,211,207,382,103,238,27933,64991,4407,..,32345,64991
SED10023,16206,50256,839,1581,3121,7383,3961,8965,1990,3231,3687,6789,1933,3626,1066,1917,51,131,8719,15693,0,0,3,10,0,0,80,153,84,165,38,75,29011,75152,2188,..,31201,75152
SED10024,20310,64981,176,335,1108,2387,1286,2725,1108,1864,621,1241,3147,7119,142,297,74,181,5101,10703,0,0,0,0,0,0,12,29,12,29,28,67,26732,78505,1821,..,28553,78505
SED10025,12061,36105,1050,2648,2041,5096,3084,7738,3152,6221,2823,5515,6222,12863,4091,8698,83,204,16369,33500,0,0,0,0,0,0,362,750,362,750,37,80,31912,78174,3036,..,34954,78174
SED10026,25583,67444,2078,3552,89,165,2168,3721,1234,1961,19,32,0,0,0,0,20,42,1269,2032,68,106,57,98,13,12,79,157,209,376,96,198,29332,73770,3226,..,32562,73770
SED10027,18451,57162,1410,3487,5047,15486,6458,18975,606,908,320,543,197,350,0,0,203,484,1334,2285,0,0,0,0,0,0,118,265,118,265,46,110,26404,78800,1419,..,27829,78800
SED10028,18956,60142,802,1715,2624,7370,3423,9084,676,975,1462,3387,3627,8997,957,2278,123,298,6841,15935,0,0,0,0,0,0,12,26,12,26,48,98,29274,85276,1999,..,31278,85276
SED10029,17379,60699,847,2240,3399,11489,4242,13731,1815,3762,1142,2493,1617,3775,554,1325,330,1042,5457,12395,7,12,0,0,0,4,60,147,69,162,109,303,27249,87288,1783,..,29035,87288
SED10030,20556,53435,3410,5849,2239,4372,5643,10225,2371,3919,715,1230,1592,2921,449,819,130,270,5251,9150,14,18,336,524,0,0,50,90,399,635,138,233,31985,73680,3664,..,35648,73680
SED10031,27760,70651,1415,2258,221,420,1639,2680,489,708,63,84,0,0,0,3,39,91,592,876,54,90,92,118,6,10,80,161,230,379,102,186,30329,74778,4649,..,34975,74778
SED10032,14695,49182,1274,2963,3285,10827,4560,13791,1748,4025,4811,11531,6070,15499,502,1160,198,593,13339,32815,0,0,0,0,8,15,67,199,74,208,135,313,32800,96310,3545,..,36346,96310
SED10033,23145,68163,1645,3075,570,1208,2209,4286,478,762,100,174,21,32,0,0,82,196,683,1164,43,72,47,62,8,28,26,69,126,231,88,178,26258,74018,1692,..,27948,74018
SED10034,19400,58503,582,1120,2012,4924,2590,6039,979,1837,2699,5039,1316,2461,201,394,63,139,5261,9867,7,5,30,46,0,0,46,105,80,162,56,108,27389,74679,1480,..,28864,74679
SED10035,7326,21459,2438,5854,3116,7867,5552,13720,2818,6078,5300,10193,15525,30226,12497,25906,108,232,36243,72639,0,0,0,0,3,11,186,410,192,426,119,205,49437,108446,7041,..,56480,108446
SED10036,21491,71856,490,1079,3336,8857,3822,9928,250,364,251,503,253,562,490,943,183,496,1433,2875,0,0,0,0,0,0,14,24,17,29,26,71,26789,84757,1243,..,28031,84757
SED10037,20953,63424,488,889,1447,3736,1928,4626,606,1216,2796,5733,2078,4884,315,777,143,307,5938,12920,11,13,52,82,0,0,44,107,101,201,38,87,28964,81254,1659,..,30622,81254
SED10038,21482,61348,1950,3537,3166,6710,5115,10254,2217,3904,561,924,261,434,0,3,125,278,3172,5550,26,35,0,4,0,0,118,232,146,277,65,132,29973,77553,1657,..,31633,77553
SED10039,24100,64834,1888,3292,1475,3012,3369,6309,440,744,181,315,310,452,0,0,85,180,1011,1691,32,46,206,309,0,12,59,125,301,494,117,189,28896,73519,3407,..,32303,73519
SED10040,13524,42415,1765,4328,1804,5318,3566,9648,1265,2868,3422,8225,6666,16771,3162,7974,253,622,14761,36458,0,0,0,0,0,0,241,503,241,503,60,140,32154,89165,2937,..,35088,89165
SED10041,17528,54969,169,406,1164,2835,1331,3249,1268,2250,1418,2719,5393,12106,2968,7023,61,164,11115,24268,0,0,5,9,0,0,113,254,124,262,19,44,30112,82797,2225,..,32338,82797
SED10042,26402,68557,1751,2674,826,1595,2578,4273,475,712,83,159,201,346,0,0,74,151,838,1372,51,69,167,238,4,15,24,52,247,375,67,111,30129,74682,2302,..,32432,74682
SED10043,13900,49496,879,2303,3671,11620,4549,13925,4797,12221,3086,7942,1360,3487,469,862,244,742,9955,25266,5,8,0,0,0,0,147,364,147,371,60,154,28616,89210,2464,..,31073,89210
SED10044,14767,45603,916,2157,2001,4916,2921,7077,1751,3130,5120,9657,5444,10633,3950,7845,72,176,16335,31438,8,8,0,4,0,0,33,75,42,87,45,88,34104,84298,3182,..,37288,84298
SED10045,25745,63195,1393,2152,579,1046,1974,3199,1254,1916,129,194,15,24,0,6,91,180,1485,2315,126,181,204,266,31,46,73,163,437,666,114,203,29756,69573,3129,..,32887,69573
SED10046,17953,63445,657,1667,1708,4886,2371,6553,1319,2444,3792,8010,1432,3682,2610,6073,228,649,9390,20867,0,0,0,0,0,0,16,51,18,54,76,158,29809,91077,2586,..,32392,91077
SED10047,31328,96577,1407,3063,3022,8420,4429,11486,660,1064,564,943,653,1329,0,0,236,563,2110,3902,0,0,0,0,6,14,42,99,48,108,69,164,37977,112243,2003,..,39974,112243
SED10048,27756,89731,2623,6047,3121,8286,5743,14327,293,632,58,100,404,831,222,419,249,637,1222,2618,0,0,0,0,0,0,10,15,11,16,68,180,34808,106869,1631,..,36434,106869
SED10049,28499,79203,2516,4413,627,1067,3138,5478,651,908,0,0,31,48,0,0,71,161,752,1124,155,197,10,10,8,13,47,80,214,297,52,102,32648,86211,1744,..,34397,86211
SED10050,12780,40874,864,2079,2033,5079,2897,7153,2985,6282,6999,13965,3867,7383,1391,2590,132,309,15372,30526,0,0,0,6,0,0,125,266,129,272,45,89,31225,78913,3052,..,34278,78913
SED10051,11179,34252,2198,5449,4266,11988,6466,17440,2101,3917,4745,9372,5766,11968,1847,4005,82,166,14537,29429,0,0,0,0,0,0,164,334,164,334,53,111,32397,81559,2930,..,35325,81559
SED10052,16798,51224,1240,2889,3759,8788,5005,11674,930,1705,2419,4486,3081,5697,505,965,74,175,7006,13016,64,88,0,7,0,0,70,157,134,248,40,80,28982,76247,1913,..,30892,76247
SED10053,24069,65726,1889,3544,1755,3637,3638,7185,1525,2721,610,1107,944,1652,77,130,48,116,3213,5724,38,67,6,12,13,16,65,164,120,258,105,205,31143,79098,4740,..,35886,79098
SED10054,21916,72421,1206,3449,2400,7940,3603,11390,139,257,267,565,1173,2668,0,0,211,556,1793,4050,0,0,0,0,5,10,24,89,24,99,33,102,27373,88066,1364,..,28735,88066
SED10055,24751,80961,242,589,813,2262,1052,2847,89,132,88,181,44,78,0,0,103,271,319,665,26,41,0,0,0,11,4,10,34,58,54,136,26213,84667,846,..,27059,84667
SED10056,27296,69333,1578,2536,107,166,1682,2702,1415,2751,26,66,0,0,0,0,13,30,1456,2840,106,189,94,143,21,39,108,247,322,611,212,457,30972,75956,4221,..,35191,75956
SED10057,24641,59548,2646,4254,418,777,3058,5030,1673,2473,443,663,371,606,75,133,21,45,2581,3928,148,226,262,394,5,9,77,147,496,771,104,167,30876,69450,5471,..,36355,69450
SED10058,19403,48803,1982,3538,4137,8550,6118,12089,2289,3462,1907,3053,1873,3156,1386,2254,109,185,7563,12114,12,16,17,17,0,0,165,300,193,334,95,147,33375,73489,3712,..,37083,73489
SED10059,2714,7383,5007,11479,7786,19398,12790,30876,2587,4351,4421,7290,6716,11303,4812,7379,132,234,18661,30556,0,0,0,0,0,0,598,1191,598,1191,164,259,34938,70272,4944,..,39882,70272
SED10060,5869,17216,1308,3242,2613,6117,3924,9362,3498,7099,8389,14976,5720,10112,8037,14016,94,176,25735,46377,0,0,3,15,0,0,120,240,126,260,93,155,35742,73364,5659,..,41408,73364
SED10061,25754,62922,1966,3242,311,512,2275,3755,645,974,52,94,0,0,3,4,17,29,719,1102,85,140,68,94,15,29,65,165,235,425,138,250,29118,68455,4339,..,33455,68455
SED10062,16637,51336,1500,3213,2601,7233,4109,10449,829,1463,2790,6025,2589,5491,0,0,124,325,6330,13303,0,0,0,0,0,0,114,285,120,284,31,54,27217,75427,1697,..,28916,75427
SED10063,26600,68460,1734,2772,239,395,1967,3164,1000,1403,43,70,0,0,0,0,25,41,1068,1515,52,81,27,41,5,4,233,568,315,699,112,241,30070,74081,3263,..,33328,74081
SED10064,26532,65050,1000,1759,349,598,1347,2357,1024,1567,164,247,30,36,0,11,44,96,1265,1962,149,235,191,300,10,21,72,146,423,702,128,253,29694,70329,3598,..,33298,70329
SED10065,13141,40145,1035,2277,5784,16207,6815,18484,2928,6154,5453,12055,5075,11860,6594,15610,108,280,20158,45960,5,24,0,0,0,0,175,454,181,478,95,182,40386,105259,4700,..,45086,105259
SED10066,21764,61157,1451,2737,3182,6930,4633,9665,1210,1778,1029,1667,1750,3043,831,1480,76,152,4894,8127,0,0,93,120,3,3,9,33,108,155,39,62,31438,79164,2207,..,33649,79164
SED10067,17616,52354,782,1424,2142,4740,2921,6162,1793,3379,2336,4413,1907,3715,13,21,132,306,6173,11834,20,53,46,60,0,8,115,249,190,366,80,171,26976,70886,2592,..,29572,70886
SED10068,24580,61518,3272,5424,1183,2370,4457,7795,1639,2549,597,974,972,1531,134,231,40,104,3384,5388,93,153,322,459,6,16,50,106,471,731,94,171,32990,75604,3466,..,36455,75604
SED10069,23883,60963,2153,3611,1861,3869,4015,7478,354,552,236,370,444,753,0,0,54,129,1091,1806,156,217,269,484,9,13,47,88,473,802,102,171,29562,71226,6348,..,35911,71226
SED10070,20126,64105,1707,4435,2822,8301,4531,12738,770,1772,727,1744,1005,2653,0,0,309,874,2811,7037,59,74,0,0,0,0,9,40,69,110,44,120,27582,84106,1492,..,29074,84106
SED10071,30008,100658,1200,3094,2802,8652,4004,11742,145,400,53,129,1906,4093,0,0,75,189,2181,4806,0,0,0,0,4,4,27,81,32,81,105,306,36320,117601,1571,..,37891,117601
SED10072,13216,40468,2409,5368,1600,4303,4009,9671,1048,1918,2834,5766,7081,15112,6374,14389,133,312,17475,37501,68,86,3,5,0,0,186,414,255,501,105,218,35055,88363,3380,..,38428,88363
SED10073,14506,44416,2070,5136,3709,9205,5777,14342,1015,1824,5214,10105,6532,13875,4623,9426,132,292,17519,35511,0,0,0,0,0,3,109,217,110,226,77,139,37988,94648,3846,..,41834,94648
SED10074,20013,59529,1157,2402,2827,7685,3985,10087,1012,1463,1230,2769,2484,5925,819,2156,175,428,5722,12743,0,0,4,5,5,3,16,36,26,39,45,104,29787,82508,2366,..,32150,82508
SED10075,26175,72910,2163,3808,2190,4670,4355,8474,1159,1872,123,199,98,161,0,0,95,219,1477,2458,271,380,4,5,0,4,40,85,318,468,34,72,32360,84386,1502,..,33866,84386
SED10076,26883,64259,1673,2782,599,1050,2270,3833,537,837,32,48,11,20,0,0,82,146,659,1057,93,135,467,722,3,5,42,78,607,943,169,263,30594,70352,11375,..,41968,70352
SED10077,12408,38867,1254,3149,2654,7688,3906,10828,2643,5535,5115,12378,7307,17588,4313,10482,71,176,19443,46162,0,0,0,0,0,0,230,531,230,531,161,288,36143,96684,3721,..,39860,96684
SED10078,10562,30968,2727,6837,1238,3292,3964,10119,5141,9372,6773,12578,4731,9201,844,1664,124,256,17608,33070,0,0,0,0,0,0,496,1017,496,1017,59,116,32688,75297,3378,..,36067,75297
SED10079,25308,63977,1467,2437,511,976,1988,3411,1138,1710,116,167,245,395,23,30,90,174,1620,2477,106,176,102,146,6,10,56,130,271,461,46,88,29225,70411,2739,..,31963,70411
SED10080,652,1592,736,1527,6595,14882,7324,16407,1245,1971,2947,4395,10577,17062,20304,39437,11,20,35081,62888,0,0,0,0,0,0,186,339,190,339,213,344,43451,81568,10459,..,53915,81568
SED10081,26875,68643,2130,3364,396,666,2524,4034,488,742,22,33,27,44,0,0,23,48,557,861,79,99,51,76,3,8,30,49,164,237,131,223,30249,73990,3346,..,33590,73990
SED10082,23638,64601,1616,2532,982,1998,2596,4531,1540,2947,347,632,137,229,0,6,107,244,2130,4055,132,180,11,21,3,5,25,50,169,255,34,85,28567,73524,4067,..,32630,73524
SED10083,21417,58941,2803,4443,2116,4247,4921,8688,856,1364,393,686,646,1105,146,252,70,147,2104,3549,86,132,40,71,0,0,37,77,171,275,50,81,28659,71542,3511,..,32173,71542
SED10084,19694,52667,4128,7743,2751,5868,6878,13608,1586,2669,1532,2717,609,1060,525,912,62,115,4319,7476,101,179,521,730,0,5,20,47,642,961,82,159,31615,74870,3354,..,34968,74870
SED10085,26366,68067,1389,2313,401,645,1790,2956,381,573,16,29,0,0,0,3,7,15,401,614,94,144,94,158,11,17,58,132,255,450,90,186,28908,72282,3817,..,32726,72282
SED10086,6820,21517,1426,3849,2231,6450,3656,10292,3999,8301,9938,19199,5805,10727,1515,2718,88,198,21344,41147,0,0,0,0,0,0,246,487,246,487,79,152,32150,73590,4867,..,37015,73590
SED10087,26284,68749,1294,1992,231,398,1521,2391,2157,3318,118,148,40,54,3,6,24,51,2348,3586,22,31,11,21,7,7,78,184,120,253,87,176,30350,75154,2694,..,33043,75154
SED10088,17560,56272,376,680,1641,3623,2014,4306,1648,3113,4390,9111,2759,5452,507,1030,216,538,9525,19248,0,0,0,0,0,0,69,171,69,171,48,106,29211,80103,1696,..,30915,80103
SED10089,26074,69108,2614,4614,1731,3731,4346,8341,1055,1703,386,675,45,70,0,0,201,426,1691,2874,3,4,0,0,3,0,54,106,58,117,41,75,32217,80513,1777,..,33989,80513
SED10090,13290,40304,1478,3721,2040,5262,3512,8978,2793,5507,4459,8867,4471,9042,4149,9246,63,173,15943,32835,0,0,4,9,0,0,113,223,119,227,44,68,32909,82408,3404,..,36312,82408
SED10091,26411,74875,1209,1912,376,690,1582,2607,354,580,22,38,0,0,0,0,109,248,484,873,5,5,92,108,14,12,54,115,156,238,72,147,28707,78735,1990,..,30701,78735
SED10092,19256,51907,1096,2037,2148,4701,3238,6737,3063,5333,2375,4065,3565,6536,2075,3952,123,298,11199,20185,0,8,221,325,0,0,172,349,397,675,58,116,34152,79620,3102,..,37256,79620
SED10093,25620,70070,1512,2677,742,1478,2256,4157,1504,2375,72,126,96,156,0,0,70,126,1742,2781,39,61,46,64,0,3,17,35,106,167,42,99,29764,77271,2014,..,31783,77271
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
