SED_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SED10001,6960,912,398,61,13,5,71,8422
SED10002,12212,695,215,145,17,5,51,13340
SED10003,6621,805,265,67,9,7,55,7828
SED10004,7584,593,133,26,4,0,15,8357
SED10005,10509,653,311,194,11,6,42,11727
SED10006,5030,679,327,94,13,3,112,6269
SED10007,6329,944,434,83,23,6,91,7907
SED10008,13531,750,214,99,10,3,27,14616
SED10009,4944,755,301,56,18,0,77,6161
SED10010,10785,796,334,209,22,11,51,12218
SED10011,7116,753,313,63,19,3,57,8319
SED10012,9250,639,275,248,23,9,62,10514
SED10013,17317,1629,814,172,19,15,81,20044
SED10014,8265,838,468,156,35,9,76,9850
SED10015,10397,649,206,104,11,4,30,11404
SED10016,16140,1072,349,122,10,0,28,17724
SED10017,7804,1248,618,130,28,18,102,9949
SED10018,7806,846,326,60,8,3,51,9104
SED10019,5176,829,420,104,16,3,81,6635
SED10020,6297,879,341,82,21,9,70,7698
SED10021,7991,559,141,22,0,0,17,8723
SED10022,5545,635,370,73,10,8,71,6702
SED10023,9443,869,271,50,7,0,19,10648
SED10024,11967,767,196,53,9,5,29,13023
SED10025,9415,596,139,42,4,0,17,10217
SED10026,6783,1009,440,105,16,9,94,8458
SED10027,10235,664,311,156,10,8,28,11415
SED10028,13149,669,188,94,3,3,14,14120
SED10029,10495,629,271,205,26,9,44,11680
SED10030,6699,757,316,61,11,7,35,7884
SED10031,7185,927,438,101,10,3,65,8735
SED10032,12170,619,237,135,10,10,33,13215
SED10033,8693,941,422,103,14,10,59,10232
SED10034,10026,797,307,72,10,0,13,11224
SED10035,8769,610,130,48,4,3,33,9594
SED10036,11960,813,337,138,14,10,30,13297
SED10037,11611,721,216,96,6,3,27,12683
SED10038,9182,810,271,49,3,5,38,10349
SED10039,7405,956,419,81,12,0,72,8947
SED10040,10604,597,179,121,12,4,28,11542
SED10041,12219,778,164,72,3,0,18,13256
SED10042,6927,1033,412,80,24,6,80,8561
SED10043,11351,605,250,168,12,6,34,12428
SED10044,10847,713,156,51,3,0,13,11780
SED10045,5531,750,312,75,21,11,64,6760
SED10046,11354,719,339,182,16,8,47,12671
SED10047,13336,1225,702,233,27,7,92,15625
SED10048,14746,1054,435,278,23,10,54,16606
SED10049,8872,1438,602,91,21,6,71,11109
SED10050,9940,752,185,31,5,0,19,10940
SED10051,9864,692,214,54,7,0,32,10869
SED10052,9820,800,267,50,5,0,20,10958
SED10053,8734,935,437,73,18,4,47,10243
SED10054,11305,866,437,253,26,16,70,12961
SED10055,11813,978,476,140,27,3,53,13489
SED10056,7283,824,403,97,13,5,86,8707
SED10057,4757,715,322,93,14,4,81,5996
SED10058,6266,739,194,43,14,0,25,7280
SED10059,4570,385,70,22,6,0,11,5074
SED10060,6747,590,98,16,0,0,12,7461
SED10061,5645,696,348,79,13,8,75,6862
SED10062,10119,607,199,86,12,0,17,11045
SED10063,6976,939,451,73,8,6,64,8523
SED10064,5185,751,371,100,20,3,76,6506
SED10065,13367,817,234,96,5,5,33,14556
SED10066,8101,974,457,97,15,11,49,9708
SED10067,8739,827,199,59,7,0,26,9854
SED10068,6000,855,313,54,13,3,66,7297
SED10069,5923,939,424,84,27,5,76,7485
SED10070,11965,602,244,144,12,7,34,13002
SED10071,19130,1203,458,252,16,7,42,21107
SED10072,9524,650,166,96,8,4,26,10478
SED10073,11560,635,172,78,4,0,21,12470
SED10074,11132,644,228,108,14,5,33,12163
SED10075,8588,1224,544,92,17,6,87,10559
SED10076,5447,771,331,70,15,12,80,6723
SED10077,10632,638,137,83,9,0,22,11531
SED10078,7636,438,109,63,3,0,17,8267
SED10079,6235,946,400,82,28,5,65,7754
SED10080,3913,370,57,13,3,0,22,4388
SED10081,6559,934,459,70,13,7,78,8116
SED10082,8222,898,333,60,7,4,44,9566
SED10083,7052,917,392,64,15,8,52,8508
SED10084,6642,907,329,70,16,6,44,8005
SED10085,6890,1022,496,83,28,6,93,8628
SED10086,7628,614,140,23,0,0,9,8420
SED10087,7331,898,433,51,12,11,72,8823
SED10088,10762,752,244,80,9,3,33,11877
SED10089,7900,998,414,73,17,4,58,9463
SED10090,10684,685,162,39,6,0,18,11594
SED10091,9062,899,451,102,11,7,63,10608
SED10092,7134,705,259,63,9,10,50,8221
SED10093,7138,1039,550,101,18,14,78,8940
SED19494,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0
