SED_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SED10001,509,24,0,0,0,535,260,19,3,0,0,288,220,36,0,0,0,253,526,60,0,0,0,590,820,61,0,0,0,887,2342,88,4,8,0,2439,2018,36,0,4,0,2059,1578,23,3,0,0,1603,559,6,0,0,0,564,374,6,0,0,0,381,274,0,0,0,0,274,543,14,0,3,0,566,10010,379,16,16,8,10430
SED10002,312,63,170,3,0,548,75,13,33,0,0,126,60,9,38,0,0,112,89,20,73,0,0,183,143,18,106,0,0,265,335,97,335,0,0,772,349,123,642,5,0,1123,713,283,1546,0,0,2553,514,226,997,0,3,1750,701,220,541,7,5,1479,564,113,276,0,0,957,432,89,295,0,0,814,4290,1289,5053,16,27,10675
SED10003,418,51,11,6,0,479,137,25,8,0,0,175,119,25,7,6,0,156,194,45,10,0,0,251,290,44,12,0,7,345,752,128,37,5,3,926,913,162,51,4,0,1123,1432,204,55,4,3,1698,910,104,24,0,0,1037,883,79,12,0,0,983,748,45,18,0,0,810,499,66,9,4,0,582,7291,982,245,34,12,8561
SED10004,128,205,97,3,0,441,25,31,17,0,0,72,19,25,29,0,0,71,30,33,26,0,0,89,32,71,51,0,0,157,116,159,167,0,4,442,100,160,194,0,0,457,204,344,393,0,0,941,203,288,381,0,0,875,442,701,492,3,0,1639,1343,1738,429,5,3,3512,160,205,132,0,0,505,2798,3959,2412,16,8,9205
SED10005,289,58,85,0,0,435,66,15,35,0,0,112,68,25,29,0,0,121,97,28,49,0,0,174,125,32,82,4,0,243,389,129,253,9,0,782,440,150,469,5,0,1066,840,256,554,10,4,1660,700,195,125,6,0,1028,802,170,96,7,0,1069,497,65,49,0,4,618,414,87,106,9,0,614,4714,1214,1942,42,10,7928
SED10006,624,4,0,0,4,633,397,3,3,0,0,411,420,7,0,0,0,431,767,0,4,5,0,771,781,3,0,0,9,798,1390,5,0,3,0,1403,803,6,0,0,9,815,540,0,4,4,12,557,200,0,0,0,0,201,157,0,0,0,0,159,195,0,0,4,7,203,503,0,4,3,6,512,6771,30,11,30,41,6889
SED10007,391,8,5,0,0,404,184,8,0,0,0,195,193,10,0,0,0,205,350,16,5,0,0,366,552,32,5,0,0,591,1637,53,20,4,5,1718,1838,41,11,4,5,1893,1925,26,5,4,0,1956,798,4,0,3,3,804,572,6,0,0,0,579,333,5,0,3,0,344,491,19,0,0,0,514,9257,231,48,18,19,9580
SED10008,592,38,20,0,0,649,122,8,6,0,0,133,69,13,5,0,0,87,143,10,12,0,0,166,189,25,6,0,0,221,524,54,47,0,0,622,575,74,64,0,3,721,1186,207,242,0,0,1636,1018,202,148,0,5,1372,1991,286,104,0,10,2391,3044,140,51,0,3,3238,747,56,37,0,4,845,10209,1112,739,0,25,12081
SED10009,464,16,17,5,3,502,253,18,7,7,0,288,190,10,3,0,0,208,322,16,13,3,0,359,439,26,25,5,4,500,1290,81,45,0,0,1411,1382,59,17,0,0,1456,1415,31,14,5,7,1468,558,7,9,0,0,570,356,10,6,0,3,378,224,4,3,0,0,236,396,19,10,0,0,423,7294,294,169,22,21,7794
SED10010,368,36,11,0,0,419,92,6,9,0,0,104,111,16,0,0,0,122,163,14,12,0,0,193,211,31,16,0,0,260,718,100,85,0,0,906,937,152,133,0,0,1230,1883,423,168,4,0,2478,1519,277,37,0,4,1837,1121,178,21,0,0,1313,475,77,10,0,0,565,581,113,29,0,0,729,8180,1433,538,4,4,10155
