SA2_CODE_2021,MSEO_SEO,MSEO_UOLSE_VWorW,MSEO_UOLSE_NWorNAA,MSEO_UOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_UOLSE_VWorW,MOL_Afrikaans_UOLSE_NWorNAA,MOL_Afrikaans_UOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_UOLSE_VWorW,MOL_Arabic_UOLSE_NWorNAA,MOL_Arabic_UOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_UOLSE_VWorW,MOL_AIndLng_UOLSE_NWorNAA,MOL_AIndLng_UOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_UOLSE_VWorW,MOL_CL_Canton_UOLSE_NWorNAA,MOL_CL_Canton_UOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_UOLSE_VWorW,MOL_CL_Mandarin_UOLSE_NWorNAA,MOL_CL_Mandarin_UOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_UOLSE_VWorW,MOL_CL_Oth_UOLSE_NWorNAA,MOL_CL_Oth_UOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_UOLSE_VWorW,MOL_CL_Tot_UOLSE_NWorNAA,MOL_CL_Tot_UOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_UOLSE_VWorW,MOL_Croatian_UOLSE_NWorNAA,MOL_Croatian_UOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_French_SEO,MOL_French_UOLSE_VWorW,MOL_French_UOLSE_NWorNAA,MOL_French_UOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_UOLSE_VWorW,MOL_German_UOLSE_NWorNAA,MOL_German_UOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_UOLSE_VWorW,MOL_Greek_UOLSE_NWorNAA,MOL_Greek_UOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_UOLSE_VWorW,MOL_IAL_Bengali_UOLSE_NWorNAA,MOL_IAL_Bengali_UOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Guj_SEO,MOL_IAL_Guj_UOLSE_VWorW,MOL_IAL_Guj_UOLSE_NWorNAA,MOL_IAL_Guj_UOLSE_Tot,MOL_IAL_Guj_NS,MOL_IAL_Guj_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_UOLSE_VWorW,MOL_IAL_Hindi_UOLSE_NWorNAA,MOL_IAL_Hindi_UOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Nepali_SEO,MOL_IAL_Nepali_UOLSE_VWorW,MOL_IAL_Nepali_UOLSE_NWorNAA,MOL_IAL_Nepali_UOLSE_Tot,MOL_IAL_Nepali_NS,MOL_IAL_Nepali_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_UOLSE_VWorW,MOL_IAL_Punjabi_UOLSE_NWorNAA,MOL_IAL_Punjabi_UOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_UOLSE_VWorW,MOL_IAL_Sinhal_UOLSE_NWorNAA,MOL_IAL_Sinhal_UOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_UOLSE_VWorW,MOL_IAL_Urdu_UOLSE_NWorNAA,MOL_IAL_Urdu_UOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_UOLSE_VWorW,MOL_IAL_Oth_UOLSE_NWorNAA,MOL_IAL_Oth_UOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_UOLSE_VWorW,MOL_IAL_Tot_UOLSE_NWorNAA,MOL_IAL_Tot_UOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_UOLSE_VWorW,MOL_Italian_UOLSE_NWorNAA,MOL_Italian_UOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_UOLSE_VWorW,MOL_Japan_UOLSE_NWorNAA,MOL_Japan_UOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Khmer_SEO,MOL_Khmer_UOLSE_VWorW,MOL_Khmer_UOLSE_NWorNAA,MOL_Khmer_UOLSE_Tot,MOL_Khmer_NS,MOL_Khmer_Tot,MOL_Korean_SEO,MOL_Korean_UOLSE_VWorW,MOL_Korean_UOLSE_NWorNAA,MOL_Korean_UOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_UOLSE_VWorW,MOL_Macedon_UOLSE_NWorNAA,MOL_Macedon_UOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Malayalam_SEO,MOL_Malayalam_UOLSE_VWorW,MOL_Malayalam_UOLSE_NWorNAA,MOL_Malayalam_UOLSE_Tot,MOL_Malayalam_NS,MOL_Malayalam_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_UOLSE_VWorW,MOL_Persian_ED_UOLSE_NWorNAA,MOL_Persian_ED_UOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_UOLSE_VWorW,MOL_Polish_UOLSE_NWorNAA,MOL_Polish_UOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Portuguese_SEO,MOL_Portuguese_UOLSE_VWorW,MOL_Portuguese_UOLSE_NWorNAA,MOL_Portuguese_UOLSE_Tot,MOL_Portuguese_NS,MOL_Portuguese_Tot,MOL_Russian_SEO,MOL_Russian_UOLSE_VWorW,MOL_Russian_UOLSE_NWorNAA,MOL_Russian_UOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_UOLSE_VWorW,MOL_Samoan_UOLSE_NWorNAA,MOL_Samoan_UOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_UOLSE_VWorW,MOL_Serbian_UOLSE_NWorNAA,MOL_Serbian_UOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_UOLSE_VWorW
101021007,1939,..,..,..,..,1939,..,6,0,6,0,6,..,4,0,4,0,4,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,6,0,6,..,0,0,0,0,0,..,16,0,16,0,16,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,5,0,5,..,4
101021008,3412,..,..,..,..,3412,..,0,0,0,0,0,..,13,0,12,0,12,..,10,0,10,0,10,..,6,0,12,0,12,..,13,6,19,0,21,..,0,0,0,0,0,..,19,10,35,0,31,..,15,6,21,0,21,..,4,0,4,0,4,..,13,0,13,0,13,..,8,0,8,0,8,..,5,0,5,0,5,..,5,0,5,0,5,..,14,0,17,0,17,..,26,6,31,0,31,..,47,4,49,0,49,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,105,12,111,0,111,..,41,8,48,0,48,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,104,24,129,0,132,..,0,0,0,0,0,..,0,0,3,0,3,..,11,0,11,0,11,..,3,0,3,0,3,..,6,0,6,0,6,..,6,0,6,0,6,..,26,7,34,0,34,..,8
101021009,4071,..,..,..,..,4071,..,0,0,0,0,0,..,24,3,33,0,31,..,8,0,8,0,8,..,8,0,9,0,9,..,19,5,22,0,22,..,0,0,0,0,0,..,25,7,33,0,34,..,23,8,27,0,27,..,12,0,12,0,12,..,16,0,20,0,20,..,27,3,29,0,29,..,44,3,50,0,50,..,39,0,43,0,43,..,40,0,40,0,40,..,192,10,196,0,196,..,167,15,185,0,184,..,8,0,8,0,8,..,60,0,67,0,64,..,6,0,6,0,6,..,568,30,593,0,596,..,56,4,58,0,58,..,3,0,3,0,3,..,0,0,0,0,0,..,9,0,9,0,9,..,99,18,117,0,117,..,12,4,12,0,12,..,8,0,8,0,8,..,5,0,5,0,5,..,4,3,14,0,14,..,3,0,3,0,3,..,3,0,3,0,3,..,25,9,31,0,31,..,34
101021010,1946,..,..,..,..,1946,..,6,0,6,0,6,..,10,3,10,0,10,..,5,0,5,0,5,..,0,0,0,0,0,..,9,3,16,0,16,..,0,0,0,0,0,..,9,3,19,0,19,..,18,0,18,0,18,..,6,0,6,0,6,..,5,0,5,0,5,..,6,0,8,0,8,..,35,0,32,0,34,..,22,0,22,0,22,..,31,0,31,3,32,..,35,6,39,0,39,..,62,8,67,0,67,..,0,0,0,0,0,..,24,0,25,0,25,..,0,0,0,0,0,..,206,14,217,3,218,..,19,6,22,0,22,..,3,0,3,0,3,..,0,0,0,0,0,..,0,6,3,0,3,..,42,7,44,0,51,..,15,0,15,0,15,..,6,0,6,0,6,..,4,0,4,0,4,..,14,0,14,0,14,..,0,0,0,0,0,..,3,0,3,0,3,..,13,0,13,0,13,..,3
101021012,5313,..,..,..,..,5313,..,18,0,18,0,16,..,13,0,13,0,13,..,5,3,4,0,4,..,9,4,13,0,13,..,23,6,34,0,34,..,0,0,0,0,0,..,43,8,50,0,50,..,33,0,35,0,35,..,13,0,13,0,13,..,20,0,20,0,20,..,20,0,21,0,20,..,4,0,4,0,4,..,3,0,3,0,3,..,26,0,26,0,26,..,28,0,28,0,28,..,29,8,38,0,38,..,10,0,10,0,10,..,14,0,14,0,14,..,10,0,10,0,10,..,126,8,133,0,133,..,56,3,57,0,57,..,4,0,7,0,7,..,0,0,0,0,0,..,7,5,9,0,9,..,95,11,106,0,106,..,4,0,4,0,4,..,10,0,10,0,10,..,18,0,18,0,18,..,17,0,14,0,17,..,14,0,14,0,14,..,6,0,6,0,6,..,35,3,43,0,43,..,16
101021610,2429,..,..,..,..,2429,..,13,0,13,0,13,..,20,0,17,0,17,..,0,0,0,0,0,..,3,0,3,0,3,..,11,3,13,0,13,..,5,0,5,0,5,..,19,3,19,0,19,..,8,0,8,0,8,..,9,0,9,0,9,..,6,0,6,0,6,..,3,0,3,0,3,..,15,4,9,0,9,..,3,0,3,0,3,..,32,0,35,0,35,..,3,0,3,0,3,..,90,5,96,0,96,..,5,0,8,0,8,..,12,0,10,0,10,..,15,0,13,0,12,..,165,12,176,3,179,..,22,0,21,0,21,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,11,0,11,..,61,3,62,0,62,..,30,8,42,0,40,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,3,0,3,0,3,..,15,0,15,0,19,..,7
101021611,7543,..,..,..,..,7543,..,11,0,11,0,15,..,4,0,8,0,8,..,9,0,9,0,9,..,7,0,10,0,10,..,12,0,12,0,12,..,0,0,0,0,0,..,18,0,20,0,20,..,15,0,15,0,15,..,24,0,24,0,24,..,19,4,22,0,22,..,14,4,20,0,20,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,9,0,9,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,19,0,21,0,21,..,63,3,67,0,65,..,4,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,15,4,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,4,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,18,0,19,0,19,..,5
101031013,1085,..,..,..,..,1085,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0
101031014,2749,..,..,..,..,2749,..,5,0,5,0,5,..,13,0,13,0,15,..,5,0,5,0,5,..,6,0,11,0,11,..,3,7,10,0,11,..,0,0,0,0,0,..,11,6,20,0,19,..,0,0,0,0,0,..,5,0,5,0,5,..,17,0,17,0,19,..,12,3,11,0,11,..,4,0,4,0,4,..,0,0,0,0,0,..,11,0,8,0,8,..,12,0,12,0,12,..,6,0,7,0,7,..,15,0,14,0,14,..,19,0,16,0,16,..,0,0,0,0,0,..,56,4,62,0,62,..,24,4,24,0,24,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,9,0,9,..,3,0,3,0,3,..,0,0,5,0,5,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0
101031015,1587,..,..,..,..,1587,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,12,0,12,0,12,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
