SA2_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
101021007,580,438,245,47,2489
101021008,661,351,151,37,3943
101021009,748,491,215,117,6075
101021010,395,222,107,22,2859
101021012,1169,500,151,32,6633
101021610,208,99,19,4,3237
101021611,1915,1237,428,54,9240
101031013,240,188,81,28,1108
101031014,616,416,264,110,3500
101031015,458,298,156,37,1904
101031016,803,515,172,38,4608
101041017,807,864,423,142,4160
101041018,992,1047,560,165,4824
101041019,936,733,368,171,4525
101041020,1391,1063,302,52,5224
101041021,467,422,196,84,2151
101041022,6,15,3,0,32
101041023,324,343,154,65,1590
101041024,498,460,164,22,2029
101041025,1277,1335,663,236,6348
101041026,1169,1101,477,150,4842
101041027,1220,1463,614,250,5616
101051539,1827,1469,769,324,11798
101051540,1566,1187,475,124,7108
101061541,520,436,233,94,3346
101061542,1349,926,383,70,6896
101061543,783,640,322,104,4614
101061544,730,564,257,55,3508
102011028,884,619,238,42,4212
102011029,1302,1213,586,130,6232
102011030,564,394,159,34,2611
102011031,1244,1241,969,625,7912
102011032,1788,1309,624,266,11884
102011033,543,259,94,34,3176
102011034,587,592,463,320,3922
102011035,629,409,146,29,3590
102011036,775,466,189,81,4144
102011037,656,476,330,151,3635
102011038,716,528,354,108,3837
102011039,1545,1269,576,120,8430
102011040,2162,2013,1135,382,12512
102011041,965,796,404,107,5748
102011042,1215,1026,585,221,7109
102011043,811,719,465,256,5742
102021044,1684,1455,762,463,11123
102021045,644,368,199,54,4455
102021046,842,650,376,98,4635
102021047,1335,958,526,203,7908
102021048,1620,1315,801,399,10201
102021049,376,251,83,13,1760
102021050,885,903,670,150,5068
102021051,543,290,107,24,2642
102021052,571,476,212,65,3131
102021053,1406,1362,640,214,8051
102021054,821,724,396,204,4778
102021055,389,249,134,29,2557
102021056,1052,738,527,240,9118
102021057,649,476,262,53,4122
103011059,844,646,336,143,5746
103011060,867,627,228,38,3877
103011061,432,422,192,50,2400
103011612,796,613,400,162,5852
103011613,1196,850,338,101,7098
103021062,437,303,161,65,2589
103021063,674,671,321,120,4023
103021064,566,473,217,41,2779
103021065,779,582,349,111,4509
103021066,317,276,156,56,1631
103021067,751,506,269,107,4666
103021068,308,218,88,36,1464
103021069,415,293,157,64,2393
103031070,1023,865,484,149,5839
103031071,903,739,294,41,4242
103031072,867,628,379,137,6038
103031073,349,320,184,37,1615
103031074,1109,775,335,68,5400
103031075,0,0,0,0,0
103041076,664,497,226,57,3608
103041077,1368,1186,667,298,9224
103041078,1495,1116,511,153,11140
103041079,1190,852,342,82,5998
104011080,1350,1174,650,334,8618
104011081,1957,1475,508,101,8933
104011082,1864,1916,915,262,8878
104021083,761,614,243,68,3486
104021084,1452,1278,660,226,8782
104021085,896,758,606,370,5782
104021086,466,314,99,16,2151
104021087,412,340,148,45,1684
104021088,1077,940,332,48,5682
104021089,1790,1523,754,277,10135
104021090,599,544,223,61,2652
104021091,1250,1230,468,147,7217
105011092,229,130,55,14,1447
105011093,307,180,85,21,1858
105011094,287,168,99,27,1587
105011095,345,203,147,73,1921
105011096,536,404,170,45,2721
105021097,1397,994,457,215,7621
105021098,179,131,49,7,956
105031099,689,677,325,125,3710
105031100,834,497,208,74,5043
105031101,1327,883,509,201,9861
105031102,556,427,268,87,4590
105031103,635,391,152,32,3060
105031104,369,260,137,43,1927
105031105,475,355,222,83,2835
105031106,687,506,299,92,4332
106011107,956,667,239,32,6242
106011108,1570,1207,605,231,10740
106011109,950,729,208,39,4627
106011110,981,725,293,64,4739
106011111,1248,878,330,101,8640
106011112,1136,669,264,84,7760
106011113,504,297,115,16,2619
106021114,498,313,144,87,4039
106021116,825,515,230,60,4552
106021614,1372,971,422,169,8614
106021615,998,752,381,106,7954
106021616,467,312,132,37,3441
106021617,784,696,394,99,4995
106021618,990,532,176,25,7512
106031119,733,700,386,68,3514
106031120,699,643,314,64,3277
106031121,2353,2469,1546,503,11873
106031122,1014,727,337,89,6074
106031123,641,406,123,24,2968
106031124,679,979,649,236,3378
106031125,1258,935,426,58,7234
106041126,767,453,194,60,5313
106041127,338,203,78,27,1892
106041128,414,275,174,81,2740
106041129,718,561,222,86,3797
107011131,1631,1338,790,215,11152
107011132,808,409,188,63,5882
107011133,0,0,0,0,9
107011134,1412,893,437,245,7957
107011545,856,523,237,95,5728
107011546,633,386,170,82,4016
107011547,375,324,189,64,1977
107021135,0,0,0,0,3
107031136,1271,821,289,167,9315
107031137,507,411,181,73,3205
107031138,1040,1034,575,243,5392
107031139,676,641,209,61,3505
107031140,957,940,443,128,4891
107031141,1575,1107,465,175,9769
107031142,898,675,295,116,5166
107031143,1494,1101,599,215,8909
107041144,1811,1342,750,296,11494
107041145,1353,934,420,161,8294
107041146,1726,1304,730,271,12385
107041147,895,528,213,77,5069
107041148,1500,1084,369,109,7170
107041150,1827,1244,670,274,11075
107041548,1398,1113,654,277,10542
107041549,1174,799,350,145,9449
108011151,555,457,199,51,2492
108011152,1392,1616,1005,388,7546
108011153,891,839,319,50,3745
108011154,552,702,451,233,3041
108021155,1195,971,453,178,7173
108021156,1197,930,310,76,4834
108021157,531,413,207,80,2453
108021158,706,723,426,141,3410
108021159,1027,816,285,52,4165
108021160,593,668,322,117,2868
108031161,56,43,25,4,269
108041162,2016,2186,1233,342,9653
108041164,1534,1638,1072,553,10626
108041165,635,586,157,28,2821
108041166,1070,854,428,174,6089
108041619,1292,1053,449,109,6528
108041620,1572,1437,945,422,9026
108051167,558,563,259,87,2596
108051168,1390,1516,665,161,6795
108051169,1619,1377,911,418,9381
108051170,1601,1554,614,115,6748
108051171,492,386,199,59,2399
109011172,1242,902,461,148,8977
109011173,855,572,272,90,5025
109011174,1048,867,412,143,5833
109011175,1221,843,341,77,5887
