SA2_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
101021007,0,0,0,0,0,69,0,0,0,0,0,0,0,0,4,76,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,21,347,26,8,5,4,0,4,0,0,15,420,64,13,13,3,0,5,7,0,0,4,112,3,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,70,12,19,3,0,5,6,0,0,4,116,0,0,0,0,0,0,0,0,0,0,0,415,36,26,8,3,9,11,4,0,21,536
101021008,0,0,0,0,0,147,3,0,0,0,0,0,0,0,4,151,13,0,0,0,0,0,0,0,0,0,12,18,0,0,0,0,0,0,0,0,0,22,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,47,454,56,44,3,4,4,6,0,4,13,588,395,108,109,35,38,23,21,8,0,20,765,91,4,12,7,0,0,0,3,0,8,133,0,0,0,0,0,0,0,0,0,0,0,489,113,120,35,42,30,29,6,0,27,890,0,0,0,0,0,0,0,0,0,0,3,941,167,165,40,45,30,33,10,8,46,1477
101021009,0,0,0,0,0,219,0,0,0,0,0,0,0,0,5,231,30,0,0,0,0,0,0,0,0,6,44,64,0,0,0,0,0,0,0,0,0,64,30,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,4,103,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,16,146,629,89,89,20,16,23,14,8,7,35,929,472,308,430,160,208,160,103,34,10,12,1902,111,15,20,3,14,12,19,3,0,8,196,4,0,3,0,0,0,0,5,0,0,9,586,323,448,164,219,174,122,40,7,23,2104,5,0,0,0,0,0,0,0,0,4,6,1214,415,539,189,237,200,138,56,15,53,3040
101021010,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,75,11,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,23,303,72,36,11,3,3,6,5,0,7,454,177,133,163,46,67,77,51,14,0,4,748,23,9,4,4,3,0,5,3,0,4,54,0,0,0,0,0,0,0,0,0,0,3,201,141,170,52,76,78,58,25,3,12,805,0,0,0,0,0,0,0,0,0,0,0,504,214,213,59,74,80,67,22,8,20,1259
101021012,0,0,0,0,0,128,0,0,0,0,0,0,0,0,3,128,20,0,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,37,837,127,73,17,13,13,13,21,12,20,1149,504,165,138,19,37,38,35,9,4,14,956,49,0,9,0,0,5,6,0,0,5,79,0,0,0,0,0,0,0,0,0,0,3,547,164,150,25,42,38,36,9,4,19,1036,0,0,0,0,0,0,0,0,0,0,0,1392,292,225,43,55,50,52,30,14,39,2188
101021610,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,72,92,19,11,5,13,4,3,17,455,158,241,202,35,16,20,23,3,0,9,708,3,8,4,4,0,4,6,4,0,0,37,0,0,0,0,0,0,0,0,0,0,0,160,247,210,41,19,22,31,4,0,9,749,0,0,0,0,0,0,0,0,0,0,0,389,321,301,58,29,24,43,13,8,28,1206
101021611,0,0,0,0,0,228,0,0,0,0,0,0,4,0,6,244,34,0,0,0,0,0,0,0,0,0,36,6,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,48,1304,153,108,9,9,12,16,4,4,41,1660,271,59,34,11,3,3,19,3,0,7,407,14,0,0,3,0,0,0,4,0,0,29,4,0,0,0,0,0,0,0,0,0,4,293,67,30,7,0,3,19,3,0,7,437,0,0,0,0,0,0,0,0,0,0,4,1597,212,144,21,6,15,31,11,3,49,2101
101031013,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,12,113,6,7,9,0,0,5,0,0,5,154,20,6,7,0,0,3,3,0,0,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,7,3,0,3,3,0,0,3,42,0,0,0,0,0,0,0,0,0,0,0,137,12,12,7,3,3,10,0,0,10,198
101031014,0,0,0,0,0,146,0,0,0,0,0,0,0,0,3,152,41,0,0,0,0,0,0,0,0,6,48,20,0,0,0,0,0,0,0,0,3,25,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,13,77,460,26,30,0,15,4,8,6,11,28,587,162,47,45,18,29,19,39,37,18,14,428,10,9,0,0,4,8,16,0,4,0,52,4,0,0,0,0,0,0,0,0,0,6,173,53,46,22,32,27,53,36,28,15,487,4,0,0,0,0,0,0,0,0,25,32,637,79,79,24,45,29,63,45,38,67,1105
101031015,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,80,17,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,263,21,8,0,0,0,0,0,0,8,308,58,8,7,0,0,0,12,0,0,0,83,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,63,8,4,0,0,0,13,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,332,33,19,0,0,3,13,0,0,5,403
101031016,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,86,14,0,0,0,0,0,0,0,0,4,19,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,5,28,556,73,61,6,13,18,33,12,0,23,795,92,32,36,14,8,23,67,25,0,8,309,6,0,3,0,0,4,28,0,0,5,48,0,0,0,0,0,0,0,0,0,0,0,98,33,40,15,8,26,94,24,0,14,360,0,0,0,0,0,0,0,0,0,0,0,657,110,99,18,19,43,127,40,0,37,1153
