SA2_CODE_2021,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
101021007,137,4,0,0,4,0,143,14,8,0,0,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,0,8,0,19,0,0,0,0,0,0,0,149,14,0,0,14,0,160,153,3,0,0,3,0,164,4,7,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,7,0,8,0,0,0,0,0,0,0,161,13,0,0,13,0,176,94,0,0,0,0,0,98,0,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,0,0,0,0,0,0,0,93,6,0,0,6,0,104,47,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,53,56,4,0,0
101021008,312,11,0,4,7,0,317,20,47,0,0,47,0,66,4,5,0,0,5,0,8,0,0,0,0,0,0,0,21,51,0,0,51,0,71,0,0,0,0,0,0,0,330,56,0,4,61,0,394,285,10,0,0,10,0,298,21,44,0,0,45,0,70,0,5,0,0,3,0,3,0,0,0,0,0,0,0,21,47,0,0,49,0,72,0,0,0,0,0,0,0,307,55,0,0,58,0,370,174,9,0,0,9,0,180,10,33,0,0,33,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,0,0,33,0,42,0,0,0,0,0,0,0,188,37,0,0,37,0,223,111,0,0,0,0,0,112,5,14,0,0,14,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,14,0,23,0,0,0,0,0,0,0,117,16,0,0,16,0,133,149,8,0,0
101021009,297,13,0,0,13,0,307,21,193,4,0,195,0,210,0,6,0,0,6,0,6,0,3,0,0,3,0,3,21,201,4,0,204,0,225,0,0,0,0,0,0,0,315,215,4,0,221,0,534,246,11,0,0,11,0,258,15,120,0,0,117,0,129,0,7,0,0,7,0,7,0,0,0,0,0,0,0,15,124,0,0,130,0,137,0,0,0,0,0,6,3,254,135,0,0,135,6,399,139,9,0,0,9,0,151,7,45,0,0,45,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,47,0,0,47,0,50,0,0,0,0,0,0,0,143,59,0,0,59,0,206,108,0,0,0,0,0,109,7,15,0,0,15,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,0,0,23,0,29,0,0,0,0,0,0,0,114,23,0,0,23,0,132,94,7,0,0
101021010,160,5,0,0,5,0,163,14,81,0,0,86,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,82,0,0,86,0,99,0,5,0,0,5,0,5,172,93,0,0,96,0,265,110,0,0,0,0,0,112,4,57,3,0,61,0,71,0,3,0,0,3,0,3,0,0,0,0,0,0,0,4,64,3,0,64,0,72,0,0,0,0,0,0,0,119,64,3,0,65,0,185,50,4,0,0,4,0,52,4,21,0,0,24,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,0,0,25,0,26,0,0,0,0,0,0,0,52,24,0,0,25,0,76,29,4,0,0,4,0,32,5,16,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,18,0,18,0,0,0,0,0,0,0,27,15,0,0,18,0,49,54,0,0,0
101021012,580,18,0,0,18,0,595,39,64,0,0,66,0,104,0,4,3,0,8,0,8,0,0,0,0,0,0,0,39,68,3,0,75,0,106,5,0,0,0,0,0,5,620,83,3,0,91,0,708,566,16,0,0,20,0,582,37,102,0,0,101,0,143,0,0,0,0,0,0,0,0,3,0,0,3,0,3,37,111,0,0,113,0,148,0,0,0,0,0,0,0,608,123,5,0,125,0,731,391,7,0,0,7,0,394,19,59,0,0,59,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,59,0,0,60,0,78,0,0,0,0,0,0,0,403,69,0,0,68,0,474,246,6,0,0,6,0,257,5,29,0,0,29,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,0,0,29,0,34,0,0,0,0,0,0,0,259,35,0,0,35,0,291,371,16,0,0
101021610,547,29,0,0,29,0,574,23,150,0,0,150,0,170,0,4,0,0,4,0,4,0,0,0,0,0,0,0,23,153,0,0,153,0,174,0,0,0,0,0,0,0,568,181,0,0,181,0,747,393,16,0,0,16,0,410,17,107,0,0,102,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,107,0,0,102,0,121,0,0,0,0,0,0,0,406,118,0,0,120,0,526,175,4,0,0,4,0,185,0,35,0,0,34,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,39,0,41,0,0,0,0,0,0,0,177,46,0,0,47,0,224,104,6,0,0,6,0,103,6,22,0,0,22,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,0,0,22,0,28,0,0,0,0,0,0,0,107,26,0,0,26,0,130,102,0,0,0
101021611,664,20,0,0,20,0,684,32,27,0,0,32,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0,0,33,0,67,5,0,0,0,0,0,5,701,54,0,0,51,0,756,795,16,0,0,16,0,811,26,25,0,0,25,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,24,0,0,24,0,51,0,0,0,0,0,4,4,825,36,0,0,36,4,870,566,8,0,0,8,0,578,16,20,0,0,20,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,0,20,0,33,0,0,0,0,0,0,0,582,25,0,0,25,3,610,368,3,0,0,3,0,379,13,13,0,0,13,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,13,0,22,0,0,0,0,0,0,0,384,19,0,0,19,0,402,453,3,0,0
101031013,79,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,77,104,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,106,0,0,0,0,5,113,47,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,48,39,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,39,34,0,0,0
101031014,233,12,0,0,12,0,246,3,36,0,0,36,0,41,0,5,0,0,5,0,5,0,0,0,0,0,0,0,3,36,0,0,36,0,43,0,0,0,0,0,3,3,240,48,0,0,48,3,290,194,4,0,0,4,4,202,3,25,0,0,25,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,28,0,35,0,0,0,0,0,0,0,196,36,0,0,36,4,234,137,4,0,0,4,0,143,6,13,0,0,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,13,0,19,0,0,0,0,0,0,0,143,18,0,0,18,0,158,76,5,0,0,5,0,84,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,79,9,0,0,9,0,85,94,0,0,0
101031015,108,0,0,0,0,0,109,4,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7,0,12,0,0,0,0,0,0,0,111,5,0,0,6,0,116,130,0,0,0,0,0,133,0,3,0,0,3,0,0,0,5,3,0,9,0,9,0,0,0,0,0,0,0,0,4,3,0,8,0,9,0,0,0,0,0,0,0,133,8,3,0,8,0,138,92,0,0,0,0,0,92,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,93,5,0,0,5,0,97,74,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,79,74,0,0,0
