SA2_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
101021007,..,3,0,3,0,3,..,3,4,3,0,3,..,0,0,0,0,0,..,22,0,22,0,22,..,16,0,16,0,16,..,6,0,6,0,6,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,10,0,10,0,10,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,19,0,19,0,19,..,11,0,13,0,13,..,0
101021008,..,0,0,0,0,0,..,46,20,64,0,61,..,44,7,48,0,48,..,10,0,10,0,10,..,24,0,24,0,24,..,16,3,23,0,23,..,5,0,5,0,5,..,9,0,9,0,9,..,26,0,26,0,26,..,49,6,55,0,55,..,81,4,86,0,84,..,0,0,0,0,0,..,4,0,4,0,4,..,5,0,5,0,5,..,172,16,191,0,192,..,102,7,113,0,113,..,6,0,6,0,6,..,7,0,7,0,7,..,4,0,4,0,4,..,201,52,251,0,255,..,0,0,0,0,0,..,9,0,12,0,12,..,18,0,18,0,17,..,10,0,14,0,14,..,12,0,12,0,12,..,22,0,21,0,21,..,51,15,62,0,67,..,24,3,28,0,28,..,8,0,7,0,7,..,33,3,37,0,37,..,6,0,8,0,8,..,74,10,83,0,83,..,14,0,14,0,14,..,10
101021009,..,0,0,0,0,0,..,65,15,78,3,77,..,37,7,50,0,50,..,23,0,23,0,23,..,33,0,32,0,32,..,63,17,80,0,80,..,78,6,85,0,85,..,69,3,69,0,69,..,79,4,81,0,79,..,342,16,358,4,357,..,303,27,329,0,332,..,19,0,19,0,19,..,97,10,108,3,110,..,10,0,10,0,10,..,992,62,1057,8,1064,..,111,27,136,0,136,..,12,0,12,0,12,..,6,0,6,0,6,..,22,0,27,0,27,..,184,38,231,0,231,..,19,4,21,0,24,..,13,0,13,0,13,..,9,0,9,0,9,..,20,5,24,0,24,..,9,0,12,0,12,..,9,0,9,0,9,..,55,13,69,0,69,..,69,0,73,0,73,..,22,11,32,0,32,..,118,6,120,5,124,..,13,0,13,0,13,..,222,14,240,5,238,..,33,6,35,0,37,..,22
101021010,..,0,0,0,0,0,..,29,10,33,0,35,..,31,4,34,0,34,..,9,0,9,0,9,..,13,0,13,0,12,..,8,0,13,0,13,..,61,3,67,0,68,..,34,3,38,0,38,..,51,3,52,3,55,..,62,4,71,0,68,..,115,4,123,0,123,..,4,0,4,0,4,..,36,0,35,0,35,..,3,0,3,0,3,..,367,24,393,0,395,..,34,0,32,0,32,..,7,0,7,0,7,..,0,0,5,0,5,..,9,9,12,0,12,..,84,11,94,0,94,..,29,0,33,0,33,..,3,0,3,0,3,..,12,0,12,0,12,..,22,0,21,0,21,..,8,0,8,0,8,..,3,0,8,0,8,..,20,0,21,0,21,..,15,0,15,0,15,..,11,0,11,0,11,..,34,3,39,0,36,..,14,0,16,0,16,..,76,7,76,0,77,..,30,4,35,0,33,..,9
101021012,..,0,0,0,0,0,..,89,21,109,0,112,..,55,3,57,0,57,..,31,0,31,0,31,..,37,0,36,0,36,..,43,3,43,4,43,..,6,0,8,0,8,..,9,0,9,0,9,..,62,0,62,0,62,..,50,0,54,0,54,..,59,16,71,0,71,..,23,0,24,0,24,..,18,0,18,0,18,..,18,0,16,0,16,..,244,12,260,0,260,..,118,4,124,0,124,..,4,0,12,0,13,..,0,0,0,0,0,..,9,5,10,0,10,..,173,20,191,0,191,..,10,0,13,0,13,..,17,0,17,0,17,..,18,0,18,0,18,..,35,3,36,0,37,..,29,0,34,0,34,..,10,0,10,0,10,..,79,3,84,0,84,..,30,0,30,0,30,..,22,0,22,0,22,..,35,4,36,0,42,..,14,0,14,0,14,..,99,4,101,0,102,..,49,7,55,0,55,..,26
101021610,..,9,0,9,0,9,..,40,7,47,0,47,..,13,0,13,0,13,..,23,0,23,0,23,..,3,0,3,0,4,..,11,0,11,0,11,..,21,4,23,0,23,..,6,0,6,0,6,..,54,6,57,0,58,..,6,0,6,0,6,..,158,15,171,0,175,..,17,3,15,0,15,..,23,0,26,0,26,..,29,0,31,0,32,..,309,25,333,0,337,..,31,0,33,0,33,..,4,6,3,0,3,..,0,0,0,0,0,..,16,3,17,0,17,..,106,3,104,0,104,..,73,7,80,0,82,..,7,0,7,0,7,..,3,0,5,0,5,..,8,3,13,0,13,..,12,0,12,0,12,..,3,0,3,0,3,..,29,0,30,3,39,..,25,0,29,0,29,..,4,0,4,0,4,..,44,0,44,0,42,..,11,0,11,0,11,..,80,0,86,0,82,..,24,0,25,4,24,..,25
101021611,..,0,0,0,0,0,..,39,11,49,0,49,..,29,3,31,0,31,..,55,0,60,0,60,..,49,4,50,0,50,..,30,0,33,0,33,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,15,0,12,0,12,..,0,0,0,0,0,..,12,0,12,0,12,..,0,0,0,0,0,..,34,0,36,0,36,..,121,6,126,0,128,..,11,0,14,0,14,..,3,0,3,0,3,..,0,0,4,0,4,..,24,3,28,0,28,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,19,6,27,..,10,0,10,0,10,..,9,0,5,0,5,..,0,0,0,0,0,..,32,0,36,0,36,..,5,0,8,0,8,..,7,0,7,0,7,..,9,0,9,0,9,..,8,0,8,0,8,..,29,0,33,0,33,..,52,3,57,0,57,..,0
101031013,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,5,0,5,..,0,0,0,0,0,..,15,0,15,0,15,..,0,0,0,0,0,..,7,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,0
101031014,..,0,0,0,0,0,..,34,8,43,0,47,..,3,0,3,0,3,..,4,0,4,0,4,..,41,0,41,0,44,..,18,3,27,0,27,..,3,0,3,0,3,..,0,0,0,0,0,..,18,0,16,0,22,..,32,0,30,0,34,..,13,0,15,0,15,..,23,0,24,0,24,..,26,3,29,0,29,..,3,0,3,0,3,..,103,14,113,3,120,..,49,7,57,0,57,..,4,0,4,0,4,..,0,0,4,0,4,..,7,0,7,0,7,..,0,0,0,0,0,..,18,0,20,0,20,..,3,0,8,0,8,..,7,0,3,0,3,..,5,0,5,0,5,..,5,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,7,0,7,..,11,0,11,0,11,..,18,4,26,0,26,..,4,0,4,0,4,..,45,4,46,0,46,..,20,10,32,0,31,..,3
101031015,..,0,0,0,0,0,..,3,0,3,3,9,..,0,0,0,0,0,..,7,0,7,0,7,..,23,0,23,0,23,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,4,0,4,..,8,6,15,0,15,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,10,0,10,..,0
101031016,..,9,0,6,0,6,..,92,36,125,0,126,..,0,4,0,0,0,..,28,0,27,0,27,..,60,0,62,0,62,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,24,0,24,0,24,..,6,0,7,0,7,..,0,0,0,0,0,..,5,3,4,0,4,..,3,3,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,13,0,13,..,3,0,3,0,3,..,11,0,11,0,10,..,0,0,0,0,0,..,5,0,5,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,9,0,9,0,9,..,48,0,48,0,48,..,0
101041017,..,0,0,0,0,0,..,28,7,35,0,35,..,12,6,23,0,23,..,15,0,15,0,15,..,9,3,15,0,15,..,34,3,42,0,42,..,5,0,5,0,5,..,3,0,3,0,3,..,7,0,7,0,7,..,19,0,21,0,21,..,9,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,6,5,6,0,6,..,55,5,60,0,60,..,28,4,34,0,37,..,3,0,6,0,6,..,0,0,0,0,0,..,0,3,5,0,5,..,0,0,0,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,5,4,8,0,8,..,9,0,11,0,11,..,4,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,11,0,11,0,11,..,4,0,4,0,4,..,8,0,8,0,8,..,0,0,0,0,0,..,26,0,26,0,26,..,20,5,27,0,27,..,0
101041018,..,0,0,0,0,0,..,27,13,35,0,35,..,42,4,46,0,46,..,13,0,15,5,11,..,18,0,18,3,17,..,12,3,20,0,19,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,17,0,17,0,18,..,15,0,11,0,16,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,38,0,38,0,40,..,35,3,40,0,40,..,3,0,3,0,3,..,0,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,30,4,31,0,31,..,0,0,0,0,0,..,10,0,9,0,9,..,9,0,9,0,9,..,9,0,15,0,15,..,3,0,3,0,3,..,4,3,6,0,6,..,13,0,10,0,10,..,3,0,3,0,3,..,14,0,18,0,14,..,0,0,0,0,0,..,32,6,33,0,34,..,23,0,23,0,23,..,0
101041019,..,0,0,0,0,0,..,16,10,18,0,18,..,7,0,7,0,7,..,23,0,22,0,22,..,40,0,40,0,40,..,4,0,4,0,4,..,3,0,4,0,4,..,0,0,0,0,0,..,12,0,12,0,12,..,18,0,16,0,16,..,0,0,0,0,0,..,3,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,43,4,42,0,42,..,7,0,13,0,13,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,21,0,24,0,24,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,11,0,11,0,11,..,0,0,0,0,0,..,5,3,8,0,8,..,0,0,6,0,6,..,17,3,18,0,18,..,28,0,31,0,31,..,4
101041020,..,0,0,0,0,0,..,12,0,14,0,14,..,6,0,6,0,6,..,11,0,11,0,11,..,33,3,39,0,39,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,6,0,6,0,6,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,8,0,8,0,8,..,6,0,6,0,6,..,3
101041021,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,0,0,0,..,9,0,9,0,10,..,21,0,22,0,21,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,5,0,5,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,8,3,14,0,14,..,0,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0
101041022,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
101041023,..,0,0,0,0,0,..,14,8,16,0,16,..,0,0,0,0,0,..,7,0,7,0,7,..,10,0,10,0,10,..,4,4,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,4,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,4,8,0,8,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,4,..,0,0,0,0,0,..,4,0,10,0,10,..,0,0,0,0,0,..,10,3,17,0,12,..,3,0,10,0,10,..,0
101041024,..,0,0,0,0,0,..,6,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,14,0,14,0,14,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0
101041025,..,0,0,0,0,0,..,28,9,38,0,38,..,0,0,0,0,0,..,19,0,19,0,19,..,34,0,34,0,34,..,13,0,15,0,15,..,5,0,5,0,5,..,0,0,0,0,0,..,15,0,15,0,15,..,14,0,14,0,20,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,42,0,42,0,41,..,17,0,24,0,25,..,7,0,7,0,7,..,0,0,0,0,0,..,6,0,7,0,7,..,0,0,0,0,0,..,8,0,7,0,7,..,6,0,6,0,6,..,5,0,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,16,0,16,0,16,..,0,0,0,0,0,..,20,0,19,0,19,..,8,0,4,0,4,..,44,6,45,0,45,..,29,0,29,0,29,..,0
101041026,..,0,0,0,0,0,..,0,0,0,0,0,..,13,3,14,0,14,..,9,0,9,0,9,..,24,0,24,0,24,..,5,0,5,0,9,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,14,0,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,15,0,16,0,18,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,10,0,10,0,10,..,17,4,19,0,19,..,0
101041027,..,0,0,0,0,0,..,17,4,20,0,20,..,6,0,6,0,8,..,17,0,14,0,14,..,39,0,42,0,49,..,8,4,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,13,0,13,..,8,3,12,0,12,..,3,0,3,0,3,..,10,0,14,0,14,..,0,0,0,0,0,..,41,5,42,0,42,..,32,5,31,0,31,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,13,0,13,0,15,..,0,0,0,0,0,..,5,0,5,4,7,..,0,0,0,0,0,..,9,4,11,0,11,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,7,0,7,0,7,..,16,0,16,0,16,..,6,0,6,3,4,..,23,0,23,3,25,..,17,7,21,0,21,..,0
101051539,..,0,0,3,0,3,..,131,60,189,5,194,..,11,0,14,0,11,..,32,0,32,0,32,..,24,0,27,0,26,..,63,9,73,3,80,..,26,6,33,0,37,..,10,0,10,0,10,..,47,3,53,0,56,..,151,11,165,0,168,..,67,5,72,0,72,..,11,0,11,0,11,..,28,0,32,0,32,..,8,0,9,0,9,..,355,29,382,4,392,..,22,3,25,0,25,..,8,0,8,0,8,..,16,12,21,0,21,..,30,24,52,0,52,..,3,0,3,0,3,..,87,5,86,0,88,..,15,4,17,0,22,..,5,3,17,0,17,..,31,11,36,0,36,..,14,3,22,0,22,..,3,0,6,0,8,..,8,0,8,0,8,..,34,5,38,0,38,..,33,0,31,0,31,..,56,0,57,0,56,..,32,0,32,0,32,..,151,7,158,0,160,..,33,0,34,0,34,..,10
101051540,..,0,0,0,0,0,..,22,3,30,0,30,..,4,0,4,0,4,..,6,0,6,0,6,..,33,0,32,0,32,..,49,9,58,0,55,..,5,0,5,0,5,..,0,0,0,0,0,..,10,0,10,0,10,..,6,0,8,0,8,..,12,0,12,0,12,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,38,0,39,0,39,..,39,7,41,0,41,..,5,0,5,0,5,..,0,0,0,0,0,..,4,0,4,0,4,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,3,3,4,..,5,0,5,0,5,..,0,0,0,0,0,..,8,0,9,0,9,..,0,0,0,0,0,..,15,0,12,0,12,..,31,5,34,5,39,..,4
101061541,..,0,0,0,0,0,..,13,0,14,0,14,..,7,0,7,0,7,..,8,0,10,0,10,..,12,0,12,0,12,..,3,0,3,0,3,..,12,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,14,..,14,5,14,0,14,..,8,0,10,0,10,..,9,0,9,0,9,..,0,0,0,0,0,..,51,4,59,5,58,..,4,3,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,4,0,4,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,8,0,8,0,8,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,4,6,6,0,6,..,3,0,3,0,3,..,16,0,16,0,16,..,0,0,0,0,0,..,21,6,24,0,24,..,9,0,6,0,6,..,0
101061542,..,6,0,6,0,6,..,33,5,41,0,41,..,22,4,29,0,31,..,21,0,21,0,21,..,43,0,43,0,43,..,20,3,26,0,26,..,3,0,3,0,3,..,0,0,0,0,0,..,12,0,12,0,12,..,0,0,0,0,0,..,7,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,24,0,23,0,23,..,30,7,39,0,39,..,9,0,9,0,9,..,6,0,6,0,6,..,0,0,5,0,5,..,7,0,7,0,7,..,5,0,6,0,6,..,6,0,5,0,7,..,19,0,19,0,19,..,3,4,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,5,0,5,0,5,..,9,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,14,0,15,0,15,..,31,5,33,0,33,..,5
