SA2_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
101021007,1143,1080,2224,196,189,382,363,327,690,24,22,43,19,23,45,4,4,12,12,9,15,0,3,3,6,4,10,100,109,211,0,0,0,526,498,1027,33,35,76,11,6,24,779,734,1510,204,198,401,2118,2018,4135
101021008,2445,2482,4930,166,166,328,621,621,1246,23,28,54,45,39,86,10,7,19,18,22,35,3,7,8,29,22,47,232,241,478,0,0,0,982,989,1971,96,77,176,30,25,49,1275,1249,2523,261,271,532,3986,4003,7985
101021009,2512,2496,5009,349,345,692,997,980,1974,130,90,217,75,85,164,24,14,42,34,21,56,5,8,16,28,22,45,473,486,957,0,0,0,1769,1703,3471,383,390,769,51,38,89,2554,2481,5027,320,314,636,5385,5285,10674
101021010,1133,998,2135,108,105,216,539,543,1080,48,43,94,58,43,100,14,15,28,25,29,52,3,5,15,9,6,19,227,216,440,0,0,0,922,898,1821,150,160,302,20,14,36,1198,1169,2374,148,111,258,2487,2279,4763
101021012,3504,3545,7047,384,410,790,744,747,1489,80,79,160,150,138,289,38,38,72,35,34,73,9,13,20,28,35,60,513,542,1055,0,3,12,1597,1636,3228,204,189,389,38,27,64,2214,2259,4475,200,188,385,5910,5987,11903
101021610,504,522,1025,111,127,239,936,1003,1936,53,56,112,85,100,186,28,33,66,22,25,54,4,8,12,24,17,42,662,654,1310,0,0,0,1816,1895,3711,86,84,168,25,16,43,2042,2125,4165,105,91,194,2642,2744,5388
101021611,4915,4693,9603,452,428,878,808,777,1583,50,60,110,80,99,180,27,30,54,39,44,82,3,4,9,19,20,36,939,953,1887,0,0,0,1963,1979,3944,109,117,227,46,40,83,2564,2562,5132,485,405,888,7961,7663,15622
101031013,706,689,1393,160,173,332,122,125,241,22,28,52,10,4,15,0,0,3,5,0,0,0,0,0,4,10,14,13,9,22,0,0,0,174,177,354,17,13,25,4,3,10,354,364,719,114,131,244,1175,1178,2350
101031014,1694,1792,3488,402,427,827,386,416,803,40,38,78,45,54,97,4,3,4,22,22,42,0,3,8,14,6,17,66,62,126,0,0,0,577,602,1176,139,122,257,17,13,31,1138,1163,2298,406,183,591,3236,3136,6376
101031015,1111,982,2096,74,63,134,244,261,506,9,14,23,15,10,25,4,4,5,12,9,15,0,0,0,3,0,4,87,76,164,0,0,0,369,380,751,9,17,24,6,5,9,460,457,915,178,145,321,1746,1585,3336
101031016,1915,1664,3577,544,515,1057,751,726,1479,63,56,122,108,99,213,18,15,32,27,24,50,3,3,6,3,3,10,50,59,106,4,0,4,1031,996,2021,209,215,419,43,26,71,1829,1748,3573,310,265,581,4046,3675,7728
