POA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA2018,452,343,190,108,168,111,80,1445,96,67,39,15,27,18,7,266,103,59,25,21,32,12,3,256,211,182,106,82,73,41,15,707,3,4,0,0,0,0,0,14,860,663,353,232,300,175,107,2686,26,33,33,16,33,33,23,195,4,19,18,19,11,0,0,75,8,6,9,3,15,0,3,42,30,45,27,17,19,13,3,155,0,0,4,0,0,0,0,6,69,107,87,58,79,53,31,476,936,764,436,291,377,222,131,3163
POA2019,174,170,85,42,63,44,22,600,87,83,47,29,31,13,4,299,90,75,45,23,18,6,5,269,316,290,168,92,96,37,22,1017,9,4,0,0,0,0,0,12,677,621,344,185,215,96,57,2195,12,17,8,10,20,11,5,83,12,10,8,7,14,0,5,52,7,15,8,9,3,5,3,42,39,49,31,19,34,8,4,189,3,3,3,0,0,0,0,15,80,95,59,39,63,34,15,387,755,715,407,222,278,130,75,2583
POA2020,410,233,121,67,103,84,42,1060,71,62,25,11,21,10,0,204,70,56,16,13,23,7,3,189,208,161,83,42,57,30,14,589,0,0,0,3,0,0,0,13,765,517,241,131,202,133,58,2053,13,19,15,16,32,23,12,130,7,3,6,12,12,3,0,39,8,3,3,3,10,3,0,26,27,30,15,12,18,7,3,117,0,0,0,0,0,0,0,3,53,59,41,44,70,32,19,317,812,579,286,174,271,164,74,2362
POA2021,124,113,53,32,38,24,13,396,126,99,42,18,20,8,12,328,121,79,32,25,32,13,3,304,305,226,110,60,87,43,38,872,3,0,0,0,0,0,0,7,680,517,244,133,175,92,65,1903,5,17,10,3,11,8,3,55,3,26,11,7,14,4,3,71,3,16,8,4,7,10,0,41,17,31,23,13,21,22,13,138,5,3,0,0,3,0,0,10,33,90,58,29,51,40,24,318,711,607,298,161,227,133,86,2227
POA2022,215,183,62,36,56,31,15,612,94,51,30,15,23,12,12,237,79,79,40,19,27,13,8,260,245,154,91,48,73,42,25,678,0,0,0,0,0,0,0,3,635,471,224,122,183,99,60,1795,12,18,16,8,13,15,13,94,13,9,5,3,6,3,0,35,3,5,3,4,5,6,0,29,6,31,21,10,22,4,7,102,0,3,0,0,0,0,0,3,32,65,47,29,53,28,24,269,665,541,271,156,232,129,79,2069
POA2023,120,151,62,53,58,31,33,503,77,71,55,42,57,26,15,344,80,92,36,20,26,13,14,276,216,245,135,87,105,61,42,902,0,3,0,0,0,0,0,9,493,565,287,204,248,127,107,2030,6,27,18,7,13,12,9,90,6,6,8,4,13,6,3,48,3,10,8,3,4,0,0,30,0,18,17,13,14,12,8,88,3,0,0,0,0,0,0,6,26,65,51,27,47,29,21,267,518,630,339,230,292,156,125,2299
POA2024,150,144,66,53,42,20,5,484,100,101,51,33,35,20,4,347,94,82,42,26,41,18,11,303,252,267,124,78,92,56,31,903,3,0,3,0,0,0,0,5,597,590,287,195,210,112,56,2046,5,15,7,5,17,5,3,58,7,17,14,3,6,0,4,50,0,12,4,3,4,3,0,28,10,35,16,13,22,10,10,121,0,3,0,0,0,0,0,3,23,71,43,25,48,27,14,252,622,668,331,217,252,140,71,2298
POA2025,83,73,33,22,29,12,12,262,53,54,20,19,12,9,3,168,51,44,27,12,20,10,4,171,151,122,49,29,48,31,11,440,0,0,0,0,0,0,0,0,342,297,130,82,108,60,31,1040,12,14,3,3,5,4,4,48,7,7,4,3,7,3,0,32,3,4,3,0,3,3,4,13,10,21,16,12,19,5,3,82,0,0,0,3,0,0,0,5,39,43,29,16,28,14,10,181,373,337,162,101,132,76,37,1227
POA2026,503,339,141,91,102,70,53,1295,280,223,125,59,59,32,16,790,258,183,84,42,53,30,22,667,576,481,216,121,150,64,45,1657,9,16,3,0,0,0,0,30,1621,1244,566,314,361,193,132,4437,19,34,24,26,33,15,10,153,16,43,26,13,24,14,10,137,19,35,16,12,15,8,0,103,40,67,42,20,27,19,13,230,3,4,0,0,0,3,0,7,90,182,110,66,99,58,33,632,1716,1419,669,381,460,250,164,5070
POA2027,76,67,27,24,22,12,9,236,52,34,10,14,22,3,4,141,39,34,10,4,15,7,6,116,110,73,50,34,36,21,13,326,0,0,0,0,0,0,0,3,272,203,105,79,90,47,30,831,9,8,4,5,15,8,3,54,6,4,7,3,6,0,0,33,0,5,0,0,3,3,4,18,6,18,16,4,11,10,6,71,0,4,0,0,0,0,0,4,19,36,35,20,35,20,18,180,292,244,143,94,127,64,47,1013
POA2028,56,27,13,11,11,10,6,135,33,23,6,4,8,3,0,72,17,28,7,4,8,3,0,70,70,47,33,22,27,24,7,244,0,0,0,0,0,0,0,3,179,123,70,40,55,36,18,526,3,4,3,3,3,4,3,27,4,3,7,3,0,8,0,29,3,3,0,0,0,0,0,9,3,6,6,4,11,9,9,45,0,0,0,0,0,0,0,0,18,17,20,11,23,21,14,118,195,147,89,49,75,58,29,640
POA2029,174,192,92,55,90,33,35,668,91,89,45,24,26,23,15,303,92,77,44,16,19,10,9,265,170,145,84,54,67,38,21,582,5,4,0,0,0,0,0,9,529,506,257,145,203,117,70,1827,10,19,13,9,10,11,7,85,4,11,7,8,11,3,3,46,7,20,11,8,6,0,0,53,6,23,19,17,17,5,3,93,0,0,0,0,0,0,0,0,33,71,53,35,46,26,13,282,564,578,310,180,242,141,89,2110
POA2030,241,317,178,119,184,122,72,1232,130,149,69,44,68,26,24,504,99,119,85,50,45,34,14,450,235,327,224,117,156,101,60,1223,5,0,0,0,0,0,0,8,713,915,548,336,450,284,177,3421,11,36,22,16,17,22,22,150,6,16,20,9,16,8,4,72,5,10,4,11,15,4,3,52,12,25,11,17,22,11,15,117,0,0,0,0,0,0,0,0,41,90,56,58,62,48,43,395,751,1013,608,387,516,334,212,3824
POA2031,612,470,181,108,144,89,59,1666,251,244,107,49,74,29,13,767,307,242,108,55,68,45,22,846,708,595,326,162,211,123,62,2180,3,0,5,0,0,0,0,9,1882,1553,731,373,496,285,160,5474,31,56,38,28,39,26,21,230,29,40,30,16,26,11,11,162,22,44,13,12,22,15,4,132,37,70,55,46,54,36,13,303,4,3,5,3,0,0,0,21,123,210,140,98,129,90,49,844,1999,1763,876,473,625,373,208,6316
POA2032,226,216,92,72,94,78,41,823,62,86,35,10,21,15,4,232,49,75,35,25,17,5,0,213,195,206,123,57,86,59,17,738,4,0,0,0,0,0,0,3,530,581,290,163,224,156,72,2013,16,20,21,11,15,31,16,134,13,15,3,8,13,0,0,55,5,20,14,12,5,11,3,69,23,20,16,16,17,11,3,99,4,3,3,3,3,0,0,18,57,80,58,46,56,59,32,373,583,658,346,213,277,209,100,2390
POA2033,195,176,74,42,60,31,29,605,44,50,25,26,12,9,0,173,60,54,19,13,14,10,3,155,157,144,79,46,60,27,19,535,0,0,0,0,0,0,0,0,456,425,196,127,139,72,54,1473,10,19,10,7,14,15,18,93,3,13,12,7,0,3,3,42,5,6,4,0,8,0,0,21,11,17,12,6,12,12,4,80,5,0,0,0,0,0,0,5,33,54,47,14,34,38,25,244,494,482,237,142,178,113,71,1712
POA2034,345,234,125,71,94,60,31,963,184,126,54,37,33,19,4,461,155,122,49,30,39,18,9,426,388,355,200,111,152,102,49,1352,6,4,3,3,3,0,0,13,1080,838,437,252,314,202,92,3215,22,35,19,14,25,18,13,143,17,34,14,19,9,0,7,98,3,21,8,8,11,4,3,55,44,62,41,28,26,12,8,226,3,0,0,0,0,0,0,10,86,154,89,70,70,37,30,541,1167,994,524,321,391,238,125,3759
POA2035,624,580,312,166,251,178,113,2234,190,210,106,53,63,47,22,694,241,203,85,53,62,28,17,688,598,605,376,227,277,133,74,2287,12,11,8,0,0,0,0,27,1665,1607,888,494,656,385,230,5937,46,56,37,35,55,45,30,307,28,50,35,21,23,14,4,168,12,24,18,8,20,10,8,97,60,96,80,55,71,31,21,413,11,4,9,0,10,0,0,37,155,230,172,126,178,101,60,1021,1816,1840,1062,620,837,483,294,6954
POA2036,490,468,245,154,270,171,115,1913,135,180,66,47,64,22,20,544,178,159,83,52,73,24,7,581,532,559,324,209,283,121,62,2092,8,10,3,3,4,0,0,29,1347,1381,723,471,690,344,202,5152,37,77,44,43,49,26,23,310,17,37,24,19,22,14,5,142,22,22,14,10,23,3,3,96,96,123,83,58,81,27,23,486,12,16,11,7,5,3,0,57,183,269,178,140,186,70,53,1084,1534,1652,900,605,875,414,258,6235
POA2037,152,94,34,27,23,19,16,362,83,46,13,16,25,10,5,192,86,60,23,11,21,15,3,228,173,145,81,52,69,32,18,575,0,0,0,4,0,0,0,6,495,341,157,108,134,80,41,1361,13,23,20,10,29,14,15,127,12,14,11,10,6,3,4,57,0,12,6,4,9,5,3,42,41,43,24,11,20,13,9,158,4,3,3,0,3,0,0,16,71,100,63,33,66,34,31,399,565,442,221,139,202,122,70,1760
POA2038,91,63,27,11,21,8,4,226,102,97,24,16,23,15,3,282,74,64,20,20,15,4,7,203,284,249,115,66,73,29,19,827,0,0,0,0,0,0,0,8,548,473,191,113,129,52,27,1544,3,9,3,4,12,4,0,30,0,7,5,0,8,4,3,33,3,3,0,5,12,3,6,34,9,27,22,15,15,15,5,110,0,0,0,0,3,0,3,6,17,42,27,26,43,29,18,209,568,516,221,140,176,80,47,1757
POA2039,126,125,36,18,27,20,7,355,98,75,20,17,23,13,3,261,75,55,22,16,19,4,0,188,253,211,81,45,40,19,13,663,4,0,0,0,0,0,0,12,557,468,162,99,104,54,28,1471,7,8,3,7,8,4,4,44,3,5,4,0,4,4,0,25,4,5,3,4,9,3,0,26,3,20,23,11,9,8,9,85,3,0,0,0,0,0,0,3,20,40,39,24,28,20,11,187,573,508,202,116,135,75,36,1653
POA2040,280,219,100,57,62,33,8,754,298,225,95,64,56,20,17,775,229,182,73,40,46,18,7,581,774,621,257,156,130,57,36,2027,9,9,0,0,0,0,0,21,1591,1257,520,307,289,124,70,4162,19,29,17,12,25,8,3,113,30,31,23,20,23,10,7,138,10,28,11,5,11,7,5,77,44,80,60,34,40,18,14,281,3,5,0,0,4,0,0,13,106,168,109,74,101,46,26,629,1691,1423,632,381,390,166,95,4786
POA2041,233,218,89,47,53,23,11,667,165,138,69,43,46,23,11,490,157,109,46,20,34,15,14,398,348,318,178,105,113,62,32,1163,3,3,0,0,0,0,0,3,908,779,377,218,248,119,64,2724,6,21,11,11,14,7,5,68,8,18,8,5,18,7,8,71,4,11,6,7,14,3,3,50,29,39,17,13,20,16,5,142,0,0,0,0,0,0,0,3,47,91,47,35,62,31,20,330,950,874,428,254,310,155,82,3056
POA2042,143,91,40,25,39,16,12,360,107,87,41,23,35,9,3,304,103,80,29,17,23,13,3,271,340,253,102,72,70,29,16,875,3,3,0,0,0,0,0,9,694,525,208,133,159,72,32,1822,9,7,9,7,16,3,6,53,14,14,6,8,15,4,4,65,11,11,14,7,12,3,3,60,12,21,20,16,23,9,3,113,0,0,0,0,0,0,0,9,41,62,55,34,63,12,24,294,732,584,264,168,223,87,61,2116
POA2043,103,75,16,9,11,9,4,216,72,45,16,11,13,4,3,157,55,32,11,5,8,0,0,116,137,90,29,19,27,11,4,315,0,0,0,0,0,0,0,0,367,230,74,43,58,21,9,813,6,0,10,8,4,3,0,31,8,8,9,0,3,0,3,33,3,4,3,0,4,3,0,22,10,14,3,9,11,6,3,59,0,3,0,0,0,0,0,3,25,39,25,18,29,12,5,145,392,268,96,58,85,39,18,959
POA2044,81,67,44,27,30,17,13,269,72,44,24,11,14,7,4,171,60,45,15,12,15,6,3,144,195,151,57,35,31,4,7,483,5,0,3,0,0,0,0,12,407,305,142,77,87,31,30,1083,9,20,10,7,14,7,7,81,7,11,10,0,0,0,0,31,10,8,4,3,9,0,3,34,13,20,17,9,9,10,8,90,0,0,0,0,0,0,0,5,36,63,43,24,36,20,16,238,447,362,180,106,124,50,44,1318
POA2045,32,60,28,22,23,14,15,184,43,58,34,28,33,19,12,227,18,32,30,9,36,12,10,147,166,228,157,99,120,69,28,878,0,0,3,0,0,0,0,5,267,381,251,158,211,108,60,1436,3,9,4,0,3,0,0,22,0,3,3,3,4,3,0,17,3,3,5,8,4,0,0,21,10,25,17,12,22,5,0,90,0,0,0,0,0,0,0,3,14,42,23,25,28,13,0,150,283,418,273,184,241,120,61,1580
POA2046,287,244,127,77,109,86,38,963,244,175,95,48,49,44,21,669,205,179,71,52,65,36,14,619,749,796,393,224,267,169,63,2663,9,3,0,0,0,0,0,14,1498,1388,692,390,494,330,142,4933,14,39,22,23,21,25,6,159,16,40,22,11,17,13,9,127,10,20,16,10,14,4,3,83,69,108,53,43,64,24,11,375,3,9,3,3,0,0,0,18,116,217,114,94,117,72,37,760,1615,1602,799,488,611,401,183,5693
POA2047,112,99,41,34,30,17,9,348,86,61,38,23,31,9,9,261,107,79,42,24,13,9,6,281,313,282,130,89,117,66,47,1042,3,0,0,0,0,0,0,4,621,530,246,166,190,106,67,1934,8,13,13,4,11,7,3,63,3,13,13,4,7,6,3,54,7,17,9,7,6,8,3,54,15,26,20,7,22,19,3,119,0,0,3,0,0,0,0,4,34,70,53,25,50,44,16,292,651,603,300,192,241,151,86,2218
POA2048,59,48,18,13,18,4,4,163,52,59,33,15,23,9,0,195,37,45,15,11,14,8,7,141,190,168,86,46,46,21,17,566,3,3,0,0,0,0,0,8,344,318,146,82,102,43,36,1064,7,6,5,6,0,3,3,24,5,4,3,3,0,4,0,21,0,8,9,6,3,0,0,23,10,15,10,6,10,9,9,66,0,6,0,4,0,0,0,12,26,34,28,23,19,16,11,148,366,354,176,102,119,56,41,1217
POA2049,69,61,37,23,35,18,8,261,84,80,29,17,20,8,7,244,77,78,45,23,29,7,3,253,253,219,103,57,73,33,16,751,0,8,0,0,0,0,0,7,488,440,215,123,153,63,34,1510,10,11,8,12,19,11,3,74,7,11,10,11,12,4,0,60,3,7,4,0,10,0,3,25,26,31,18,8,20,3,7,107,3,3,0,0,0,0,0,5,45,60,41,29,68,16,15,274,533,497,257,147,222,86,45,1786
POA2050,66,38,7,7,13,0,0,134,50,29,12,3,4,4,0,103,42,24,8,4,12,3,0,87,121,71,29,20,18,10,3,277,0,3,0,0,0,0,0,8,275,164,55,33,46,18,5,603,5,4,3,4,7,3,0,32,3,7,0,0,3,0,3,12,0,3,3,0,3,0,0,14,8,16,7,3,9,0,5,44,0,0,0,0,0,0,0,3,12,28,15,14,19,6,11,109,289,199,73,38,68,33,12,709
POA2052,10,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,12,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,10,3,0,0,3,0,0,21
POA2060,195,139,46,31,47,33,17,514,84,47,22,18,16,8,5,195,54,46,25,16,16,11,10,169,177,109,61,26,49,26,22,470,3,0,0,0,0,0,0,4,513,347,149,91,122,77,52,1351,17,26,15,10,13,9,6,102,3,3,8,9,8,8,7,38,4,7,7,5,9,3,4,28,11,22,12,8,15,15,5,93,0,0,0,0,0,0,0,6,35,62,41,26,51,30,18,268,543,406,186,120,173,113,76,1617
POA2061,83,30,24,11,16,10,18,189,17,10,0,8,4,0,4,52,30,16,9,0,0,0,3,60,49,32,23,11,9,13,11,138,0,0,0,0,0,0,0,0,174,95,54,30,35,24,33,438,7,7,3,9,4,4,4,37,0,0,0,0,3,3,0,10,0,3,0,0,3,3,0,14,7,0,7,4,0,0,8,26,0,0,0,0,0,0,0,0,17,15,11,8,6,11,8,79,184,108,66,40,39,36,47,515
POA2062,117,103,37,14,16,8,9,299,83,46,28,14,16,7,3,205,65,54,19,13,12,3,4,177,220,166,66,33,34,15,11,544,0,0,0,0,0,0,0,3,487,374,149,76,78,32,29,1222,3,8,9,7,4,4,4,38,0,14,6,0,6,0,3,28,0,8,3,0,7,4,3,25,12,33,13,6,5,12,4,92,0,0,3,3,0,0,0,5,16,57,35,16,28,21,14,194,499,434,190,93,106,55,40,1418
POA2063,81,130,54,28,45,24,18,378,25,73,51,30,47,22,11,255,44,69,34,21,19,15,9,210,172,240,160,85,125,57,45,888,0,0,0,0,0,0,0,3,326,501,304,161,237,117,85,1730,3,4,3,0,12,8,4,33,0,3,3,4,4,3,0,28,3,3,3,0,4,3,0,13,0,15,13,12,12,6,6,59,0,0,0,0,0,0,0,0,7,23,20,24,37,21,14,136,336,527,324,183,272,141,94,1873
POA2064,304,352,141,64,75,44,29,1014,36,50,24,8,23,14,12,167,67,69,35,13,19,9,11,227,135,112,81,44,67,33,18,479,0,0,0,0,0,0,0,0,547,586,273,126,179,94,67,1881,22,37,35,15,33,27,12,182,3,3,4,5,0,4,3,21,8,13,5,3,3,0,0,35,6,11,4,8,9,8,0,44,4,4,3,0,0,0,0,13,37,67,50,30,49,42,16,290,587,653,329,159,225,139,87,2176
