POA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA2000,12,98,7929,9,17,8067,7,8,611,10,7,644,0,4,371,15,7,405,18,111,8909,37,31,9111
POA2006,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA2007,5,186,2294,0,20,2495,3,31,202,0,3,239,3,21,93,0,8,113,5,234,2587,0,30,2855
POA2008,52,836,3050,23,42,3998,0,65,273,6,7,350,6,50,117,3,5,178,52,947,3434,30,49,4520
POA2009,48,304,4528,5,13,4904,11,29,301,0,0,336,3,14,114,0,0,127,58,350,4946,5,13,5363
POA2010,48,2804,7660,43,69,10617,3,241,980,3,3,1233,3,106,223,3,48,385,52,3149,8869,49,115,12234
POA2011,39,666,7568,30,33,8332,0,131,901,9,3,1040,3,26,193,3,36,265,41,824,8663,40,75,9642
POA2015,149,1325,2383,14,28,3902,13,96,124,4,0,245,4,39,48,0,9,94,168,1464,2560,16,38,4235
POA2016,36,1450,3090,47,27,4654,5,164,689,9,3,877,4,56,165,4,15,237,49,1676,3945,57,46,5771
POA2017,19,794,8074,9,19,8912,8,139,1263,0,0,1407,0,30,321,0,16,371,30,957,9661,11,33,10688
POA2018,1532,245,3230,57,36,5101,364,43,568,7,3,993,42,3,159,3,10,218,1938,300,3961,66,45,6308
POA2019,993,847,1228,33,14,3121,156,85,177,0,8,431,36,27,41,0,0,108,1187,953,1457,35,20,3653
POA2020,1334,267,2878,21,27,4518,283,55,209,3,6,561,44,10,71,0,3,126,1662,335,3156,21,36,5208
POA2021,234,3252,2228,43,24,5786,10,148,299,5,3,466,4,75,46,3,12,143,251,3481,2570,56,41,6387
POA2022,534,1275,2090,181,13,4095,36,92,304,18,3,461,10,35,97,3,3,152,577,1406,2493,203,27,4705
POA2023,1249,162,2141,10,13,3581,40,6,143,3,0,193,15,5,69,0,0,89,1309,172,2355,18,18,3867
POA2024,931,758,1748,41,6,3486,68,70,220,7,3,364,11,21,48,4,3,83,1010,847,2022,48,11,3940
POA2025,411,908,1261,14,16,2618,17,52,107,0,0,177,13,16,95,0,0,133,438,983,1465,15,20,2918
POA2026,1121,1888,7992,62,60,11127,72,124,842,4,6,1049,41,47,310,0,9,400,1236,2055,9137,71,74,12583
POA2027,282,333,2547,0,14,3175,17,15,225,0,3,261,13,9,66,0,3,90,309,360,2840,0,19,3530
POA2028,257,175,1323,12,6,1778,17,14,115,0,0,144,11,4,59,0,0,75,290,194,1497,12,3,1996
POA2029,776,312,2320,23,14,3445,32,10,249,0,0,292,19,3,71,0,0,91,827,325,2640,29,14,3833
POA2030,2364,447,1412,56,15,4297,114,34,136,9,0,291,59,9,37,7,0,108,2539,486,1588,69,19,4695
POA2031,1848,2154,7559,214,26,11801,151,157,823,19,5,1149,40,42,210,5,7,311,2037,2353,8592,235,38,13260
POA2032,1530,788,2540,27,16,4905,277,195,358,8,0,837,41,39,117,0,20,208,1839,1025,3014,33,36,5953
POA2033,776,265,2641,40,5,3724,95,29,231,4,3,362,19,5,63,0,15,108,890,301,2937,47,20,4187
POA2034,1272,840,4825,41,27,7007,93,34,720,8,0,857,28,26,174,3,3,234,1395,904,5720,52,30,8097
POA2035,3749,2179,4467,67,30,10485,511,262,910,5,3,1693,117,63,238,3,7,424,4376,2505,5610,73,37,12603
POA2036,3539,1572,2828,10,18,7970,513,285,708,3,3,1508,87,56,248,0,3,399,4137,1908,3790,13,24,9877
POA2037,211,2713,2608,60,31,5626,25,387,315,7,3,734,34,109,126,4,25,302,275,3208,3043,72,60,6661
POA2038,153,2175,847,63,18,3258,14,132,106,3,3,252,5,52,29,9,5,96,163,2353,984,78,28,3602
POA2039,446,1561,1129,50,16,3205,31,86,55,5,0,178,10,26,22,0,0,65,481,1681,1206,65,18,3450
POA2040,2202,3444,1455,70,45,7222,251,285,314,4,7,855,49,65,53,0,0,167,2495,3798,1820,76,52,8242
POA2041,420,3474,1696,12,30,5633,28,180,267,0,4,475,6,53,60,0,0,116,450,3706,2029,12,36,6232
POA2042,428,3685,2523,175,39,6850,44,271,315,30,6,658,15,106,65,10,10,213,488,4056,2904,215,55,7723
POA2043,106,1274,1758,16,16,3169,8,82,99,3,0,187,7,33,52,0,0,88,119,1382,1906,17,19,3446
POA2044,1031,958,421,36,9,2447,188,97,32,3,0,326,34,28,20,4,3,85,1256,1079,465,41,17,2855
POA2045,1365,234,138,16,14,1762,287,43,20,9,0,357,32,12,3,0,3,50,1679,284,166,22,12,2174
POA2046,3907,936,3530,77,35,8485,723,132,495,7,0,1359,80,24,83,10,8,203,4711,1088,4113,93,43,10042
POA2047,1278,473,2241,42,44,4083,138,32,253,7,9,438,20,13,64,0,9,104,1440,521,2555,49,60,4628
POA2048,504,1082,1004,56,14,2666,64,91,106,8,0,268,14,24,31,5,17,98,581,1206,1145,70,38,3034
POA2049,990,985,1710,76,35,3788,127,92,228,5,5,457,37,18,41,8,5,115,1151,1098,1978,86,42,4364
POA2050,72,837,3043,11,9,3968,12,41,289,0,0,343,3,20,75,0,4,100,83,895,3409,11,14,4414
POA2052,0,0,386,0,0,386,0,0,27,0,0,27,0,0,23,0,0,23,0,0,442,0,0,442
POA2060,545,1189,3946,12,21,5713,25,50,304,0,3,387,12,14,97,3,4,127,581,1255,4347,11,28,6230
POA2061,83,144,2323,3,6,2559,4,5,247,0,3,265,0,4,78,0,3,82,90,152,2646,9,10,2910
POA2062,689,441,1607,14,3,2753,30,20,133,0,0,179,12,12,25,3,3,52,729,469,1770,13,4,2987
POA2063,1468,141,255,6,7,1883,65,23,25,0,0,111,18,0,4,0,0,22,1554,166,288,5,14,2017
POA2064,749,297,2175,9,4,3238,44,9,230,0,0,287,8,0,50,0,0,63,803,314,2462,8,8,3593
POA2065,2295,1598,7740,18,35,11684,140,78,467,0,3,688,32,27,153,3,6,220,2467,1701,8362,18,49,12599
POA2066,4753,673,5246,15,34,10718,259,71,497,0,4,832,69,16,136,0,0,218,5081,754,5875,14,39,11766
POA2067,2834,387,5230,5,8,8459,196,31,451,0,3,678,67,12,149,0,5,241,3099,427,5833,6,17,9379
POA2068,3638,523,908,33,6,5111,275,29,101,11,0,408,57,11,26,0,0,95,3970,555,1030,43,11,5611
POA2069,3407,116,735,6,16,4280,158,9,40,0,0,204,53,0,11,0,0,65,3613,123,790,6,16,4554
POA2070,2859,67,1181,7,7,4120,126,3,159,0,3,299,41,3,35,0,0,77,3029,77,1372,10,13,4499
POA2071,2737,60,1297,3,0,4103,102,14,102,0,0,223,50,3,17,0,3,74,2894,71,1419,3,6,4396
POA2072,1379,99,918,0,0,2398,53,3,66,0,0,125,13,0,20,0,0,34,1444,106,999,0,3,2549
POA2073,4127,94,558,0,8,4792,181,11,34,0,0,221,63,0,17,0,5,80,4369,109,605,4,17,5103
POA2074,5294,295,1208,3,11,6811,273,43,176,0,0,491,75,9,42,0,3,128,5637,349,1433,5,11,7429
POA2075,4751,488,1112,0,14,6367,223,69,61,0,0,353,52,18,23,0,0,90,5026,574,1196,0,16,6815
POA2076,5744,538,899,3,16,7210,274,62,163,0,0,500,68,11,32,3,5,117,6086,613,1090,6,28,7823
POA2077,5613,716,5777,22,27,12155,419,108,628,4,3,1167,102,32,131,0,5,263,6129,856,6535,27,35,13583
POA2079,1985,78,7,4,4,2074,136,13,0,0,0,147,27,3,0,0,3,37,2149,88,7,0,10,2257
POA2080,473,21,0,0,4,498,34,7,0,0,0,37,10,0,0,0,3,14,518,32,0,0,8,555
POA2081,1500,91,0,0,4,1592,82,0,0,0,0,84,21,0,0,0,0,21,1608,95,0,0,4,1698
POA2082,1549,54,12,0,9,1619,100,3,0,0,4,108,20,0,0,0,0,23,1672,59,14,0,8,1751
POA2083,476,0,11,3,7,501,49,0,3,0,3,59,15,0,4,0,13,34,545,0,20,9,25,590
POA2084,910,25,15,14,10,979,45,3,7,8,0,65,17,0,0,0,0,19,972,26,25,24,10,1060
POA2085,2936,410,29,3,3,3391,116,142,3,0,0,259,37,59,0,0,0,98,3090,616,35,3,4,3750
POA2086,3606,171,51,0,6,3838,195,15,7,0,0,217,54,3,4,0,3,69,3859,194,61,0,12,4122
POA2087,3271,181,214,4,9,3682,237,63,89,0,0,394,44,7,13,0,3,70,3550,254,321,4,13,4140
POA2088,3717,1255,4991,46,29,10036,134,57,580,3,3,773,49,26,136,0,0,215,3901,1337,5699,53,33,11022
