POA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
POA2000,0,0,0,0,0,0,0,0,0,4,0,0,0,17,0,0,0,0,0,24,0,0,39,125,7,5,4,0,0,180,3,6,187,1230,34,3,3,0,0,1461,0,0,0,0,0,0,0,0,0,3,0,0,0,31,3,4,0,0,0,38,3,11,16,72,17,15,9,4,0,145,0,4,61,93,17,13,3,3,0,193,0,0,5,8,4,0,3,0,0,16,0,0,0,3,0,0,0,0,0,11,9,3,124,370,40,33,20,6,10,611,51,46,384,1092,248,175,100,31,15,2151,355,293,2806,7444,1141,908,565,216,80,13818,0,0,0,0,0,0,0,0,0,0,252,144,263,577,245,214,205,89,40,2022,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,3,0,0,3,7,0,0,0,0,0,13,0,0,5,17,3,0,3,0,0,38,0,0,0,19,4,0,0,0,0,19
POA2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,9,0,3,65,10,0,0,0,0,0,85,0,9,472,37,3,11,3,3,0,544,0,0,0,0,0,0,0,0,0,0,0,6,459,19,11,0,0,0,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
POA2007,0,0,0,0,0,0,0,0,0,4,0,0,3,11,0,0,0,0,0,16,0,0,12,42,0,0,0,0,0,55,0,0,16,134,7,3,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,4,8,0,3,0,0,0,26,0,0,25,45,4,7,3,0,0,81,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,66,147,3,4,3,0,0,228,20,10,157,272,44,18,25,11,4,558,113,93,1467,1985,261,153,129,49,14,4250,0,0,0,3,0,0,0,0,0,3,70,58,224,241,39,31,17,13,3,696,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,4
POA2008,0,0,0,4,0,0,0,0,0,3,0,0,4,13,3,0,0,0,0,19,0,0,18,31,0,0,0,0,0,44,0,0,22,100,4,0,0,0,0,133,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,6,0,0,16,48,7,0,3,0,0,70,0,0,28,37,9,3,5,0,0,74,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,7,0,0,68,223,11,7,9,0,0,330,12,14,186,323,45,40,29,7,3,660,107,113,1838,2716,375,268,151,41,11,5624,0,0,0,0,0,0,0,0,0,0,89,68,387,660,122,82,49,17,8,1476,0,0,7,0,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,7,0,0,4,3,0,0,0,0,0,8,0,0,11,26,0,0,0,0,0,37,0,0,0,3,0,0,0,0,0,3
POA2009,0,0,0,11,0,0,0,0,0,7,0,0,3,9,0,0,0,0,0,11,3,0,0,26,3,0,3,0,0,39,0,3,9,81,15,3,0,0,0,111,0,0,0,4,0,0,0,0,0,7,0,0,3,21,0,3,0,0,0,26,0,6,0,27,14,5,8,0,0,63,0,0,9,32,11,6,3,0,0,56,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,3,3,82,322,41,22,24,5,0,507,24,33,70,322,96,73,46,17,5,679,296,301,699,3333,710,556,417,137,30,6479,0,0,0,4,0,0,0,0,0,4,253,227,229,766,221,264,174,54,22,2209,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,9,0,0,4,16,0,3,0,0,0,24,0,0,0,9,0,0,3,0,0,11
POA2010,0,0,0,0,3,0,5,0,0,9,0,0,3,15,13,0,3,0,0,31,0,0,4,36,0,0,0,0,0,38,3,8,43,306,32,9,0,0,0,396,0,0,0,10,3,0,0,0,0,14,0,0,0,15,8,4,4,0,0,31,5,4,14,209,39,28,12,3,0,314,0,0,14,64,12,15,3,3,0,114,0,0,0,15,6,0,0,4,0,28,0,0,0,5,8,0,0,0,0,12,3,3,59,605,83,59,54,46,13,931,45,48,219,1272,359,255,152,66,16,2434,332,319,1291,8816,2342,1513,850,381,119,15976,0,0,0,3,0,0,0,0,0,3,284,269,586,2534,521,439,254,119,85,5096,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,53,11,3,3,0,0,90,0,0,0,22,5,3,0,0,0,27
POA2011,0,0,0,4,3,0,0,0,0,7,0,0,0,8,0,3,0,0,0,12,0,0,0,12,0,0,0,0,0,13,0,0,9,67,15,3,0,0,0,91,0,0,0,0,0,3,0,0,0,3,0,0,0,21,3,0,0,0,0,33,0,5,7,110,31,14,14,3,0,186,0,0,0,15,11,4,3,4,0,38,0,0,3,11,6,0,0,0,0,22,0,0,0,12,0,0,0,0,0,14,0,3,35,443,63,58,47,27,8,689,25,41,634,1542,307,186,111,56,23,2926,206,199,1346,6241,1544,1163,773,328,150,11944,0,0,0,0,0,0,0,0,0,0,146,145,395,1892,497,520,358,188,157,4307,0,0,0,7,0,0,0,0,0,7,0,0,0,6,0,3,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,3,42,11,8,0,0,0,60,0,0,0,19,4,6,3,0,0,32
POA2015,0,0,0,3,3,0,0,0,0,10,0,0,0,4,3,0,0,0,0,10,0,0,0,11,0,0,0,0,0,17,3,3,0,10,3,5,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,6,33,10,7,4,0,0,59,0,0,0,15,6,9,7,3,0,38,0,0,0,5,0,3,0,0,0,4,0,0,0,3,0,0,0,0,0,7,3,4,17,164,36,20,12,3,3,263,18,25,46,248,66,34,8,10,0,446,265,266,454,2721,684,405,156,62,11,5024,0,0,0,0,0,0,0,0,0,0,256,246,319,1429,313,176,104,38,14,2889,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,20,0,0,0,6,0,0,0,0,0,6
POA2016,0,0,0,3,0,0,3,3,0,14,0,0,0,16,3,0,0,0,0,22,0,0,0,8,0,3,0,0,0,13,0,0,0,34,7,7,4,0,0,50,0,0,0,3,4,0,0,0,0,7,0,0,0,14,3,0,8,0,0,29,0,0,18,44,14,7,4,0,0,97,0,0,12,18,13,3,4,0,0,55,0,0,0,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,4,3,4,46,243,54,42,39,41,13,480,22,20,91,353,129,91,69,39,20,830,235,238,676,3394,1090,770,449,244,84,7180,0,0,0,0,0,0,0,0,0,0,199,169,355,1342,311,233,125,59,22,2817,0,0,5,5,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,32,0,0,0,5,5,0,0,3,0,21
POA2017,0,0,0,9,0,4,4,3,0,16,0,0,3,18,0,0,0,0,0,17,0,0,8,58,3,0,0,0,0,78,0,0,3,43,9,3,0,0,0,52,0,0,0,4,0,0,0,0,0,3,0,3,4,17,8,3,4,0,0,37,3,3,61,71,15,3,9,0,0,169,0,0,8,35,11,20,10,3,0,86,0,0,3,10,3,0,0,0,0,18,0,0,3,7,6,0,0,0,0,10,15,28,90,553,62,55,93,75,13,981,42,49,231,667,140,118,102,54,9,1418,499,402,2521,6396,1089,755,638,316,53,12671,0,0,0,0,0,0,0,0,0,0,416,272,429,1757,316,211,132,67,12,3614,0,0,0,7,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,15,0,0,0,4,0,0,3,0,0,5,0,0,18,40,3,3,0,0,0,70,0,0,0,11,3,3,5,0,0,20
