POA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA2096,0,3,3,12,11,25,25,35,20,131,0,0,3,0,0,0,3,6,3,18,60,40,232,181,140,90,90,39,33,898,251,683,2790,2694,2081,1383,887,397,213,11367
POA2097,0,3,3,6,8,29,57,58,47,208,3,3,4,0,0,8,8,4,0,34,51,44,113,106,113,106,109,117,134,893,390,808,1814,2261,2330,1730,1296,698,422,11740
POA2099,0,11,47,64,102,161,207,232,156,966,5,0,38,76,43,25,40,47,24,292,100,162,379,386,368,297,275,217,126,2313,840,2207,6068,6501,5743,4156,2987,1855,902,31264
POA2100,0,3,17,19,27,64,124,118,91,466,3,0,8,9,16,10,24,25,27,120,24,27,79,144,152,110,115,121,107,884,440,1117,2241,3220,3142,2287,1611,1044,529,15632
POA2101,0,3,7,17,16,49,71,98,94,360,3,0,0,3,3,0,4,9,3,31,29,57,150,150,146,142,162,165,247,1251,361,890,2320,2865,2655,2199,1796,1193,992,15286
POA2102,0,3,0,0,4,9,25,24,16,83,0,0,0,0,0,0,0,0,0,3,16,13,44,73,53,42,56,71,110,488,160,377,734,1220,1065,751,603,389,203,5500
POA2103,0,0,0,3,4,21,45,57,39,167,0,0,0,0,0,5,6,8,3,28,18,29,52,65,69,81,99,110,128,649,223,550,963,1401,1446,1414,1236,765,406,8402
POA2104,0,0,0,0,0,3,11,10,13,49,0,0,0,0,3,0,0,0,0,3,0,5,8,23,13,24,56,72,108,306,55,161,190,287,424,515,629,442,317,3011
POA2105,0,0,0,0,0,0,5,3,0,14,0,0,0,0,0,0,0,0,0,3,4,12,12,16,33,41,35,12,0,164,36,69,84,186,349,347,274,114,26,1485
POA2106,0,0,0,3,4,13,17,21,13,68,0,0,0,0,0,0,0,0,0,9,10,23,25,42,57,56,65,46,11,339,208,538,844,1146,1523,1377,990,404,150,7189
POA2107,0,0,0,6,4,4,21,15,35,93,0,0,0,0,0,0,0,3,0,9,34,32,38,74,108,83,96,49,33,549,315,672,932,1724,2352,2292,1681,779,351,11099
POA2108,0,0,0,0,0,4,8,3,0,14,0,0,0,0,0,0,0,0,0,0,3,9,5,12,27,36,31,13,0,140,23,83,105,118,220,306,382,154,41,1443
POA2109,0,10,0,0,0,0,3,3,12,33,0,0,3,0,0,0,0,0,0,4,32,75,66,25,9,12,19,25,39,296,381,922,838,274,93,91,70,79,125,2877
POA2110,0,0,0,3,8,11,28,47,48,153,0,0,3,0,0,9,0,11,3,29,33,38,63,62,72,70,78,98,226,734,238,496,783,1187,1448,1173,1011,585,645,7561
POA2111,0,0,4,3,10,45,112,147,90,408,0,0,3,7,7,14,14,36,10,94,26,43,129,149,105,97,92,61,29,727,257,773,1891,2264,2097,1620,1287,761,398,11356
POA2112,3,7,24,25,54,145,259,293,177,973,0,9,21,23,35,46,44,73,42,283,67,125,318,236,230,191,172,173,168,1686,757,2309,5613,4841,4300,3410,2374,1552,858,26026
POA2113,0,5,8,12,37,76,100,126,106,473,3,3,10,15,32,31,28,31,10,170,39,77,164,121,93,108,71,75,48,792,378,1332,3089,2837,2389,2035,1249,917,460,14686
POA2114,8,8,15,27,33,118,132,127,55,522,0,0,28,25,23,22,38,48,38,217,34,54,207,146,121,116,113,70,23,882,485,1589,5198,3846,2891,2552,1640,864,356,19428
POA2115,0,0,3,30,45,86,90,67,54,387,0,0,7,15,16,47,38,24,13,153,23,34,99,83,60,82,83,58,36,564,262,634,1576,1608,1415,1215,810,430,240,8193
POA2116,0,0,9,5,27,39,46,47,28,192,0,3,5,0,19,16,15,3,6,63,19,14,62,42,38,39,45,17,19,298,187,391,914,989,1013,757,468,262,114,5094
POA2117,4,8,24,35,74,104,113,120,54,535,0,4,26,23,27,49,44,47,14,233,55,55,182,161,188,149,153,99,41,1075,573,1307,3143,3078,3061,2514,1518,972,319,16473
POA2118,0,3,13,19,36,78,113,107,63,424,0,3,20,10,34,52,31,47,17,230,42,51,105,118,111,105,114,144,100,886,624,1498,3014,3385,3343,2915,2091,1280,523,18678
POA2119,3,0,3,0,3,10,13,20,20,73,0,0,3,3,7,4,3,0,5,27,11,23,28,42,49,53,62,91,142,491,307,765,826,1389,1768,1550,1164,727,363,8856
POA2120,0,0,7,5,15,42,57,59,33,218,0,0,6,3,19,16,20,35,23,114,33,50,58,102,89,102,73,89,83,675,536,1217,1821,2932,3073,2449,1803,1037,383,15252
POA2121,3,9,7,13,17,66,65,83,54,312,0,8,20,19,21,33,15,23,19,165,31,72,147,122,86,94,97,110,78,831,737,2274,4053,3910,3771,3421,2045,1256,597,22062
POA2122,3,20,18,15,49,101,178,192,133,711,0,16,36,23,38,39,46,62,36,304,61,124,222,155,166,170,179,179,214,1464,765,3222,5660,4085,3705,3467,2375,1505,933,25716
POA2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2125,3,0,0,4,14,22,54,50,41,197,0,3,5,3,3,14,11,10,12,65,23,18,52,58,63,57,49,43,16,382,441,1103,1602,2011,2369,2530,1627,627,269,12568
POA2126,3,0,6,6,14,36,57,58,60,243,0,0,10,6,7,12,11,11,14,74,22,28,48,64,74,62,68,88,129,582,573,1277,1564,2330,3031,2634,1646,800,451,14300
POA2127,3,0,9,5,13,25,32,6,9,104,0,4,16,6,7,11,4,3,9,66,35,141,548,232,168,107,49,14,8,1298,209,920,4408,2769,1604,1138,561,146,44,11807
POA2128,3,3,11,4,10,18,12,6,6,77,0,3,5,16,4,3,4,5,0,43,45,262,708,553,266,93,37,11,0,1969,86,402,1216,973,500,269,117,34,10,3604
POA2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2130,3,0,8,16,14,24,47,61,26,192,0,0,0,8,6,8,3,8,3,37,12,27,97,102,86,58,48,42,48,529,114,465,1587,1334,1015,715,443,208,138,6015
POA2131,3,13,28,27,60,96,187,264,192,869,5,15,52,17,41,41,37,78,61,338,59,158,437,233,202,177,168,159,125,1719,496,2207,5971,3374,2710,2264,1512,1102,699,20343
POA2132,0,0,3,14,21,59,129,184,82,500,0,7,7,14,17,22,37,69,27,196,20,30,85,71,60,94,80,76,55,568,260,697,1466,1465,1471,1258,855,675,316,8459
POA2133,0,3,3,12,41,71,180,164,75,550,0,0,8,10,26,22,52,42,31,187,27,30,68,82,82,60,74,40,22,489,288,684,1495,1659,1647,1185,917,511,213,8602
POA2134,0,12,18,19,31,82,132,175,108,576,3,10,57,21,37,53,40,51,45,315,53,172,256,119,95,82,67,71,49,960,512,2631,4253,1698,1604,1444,888,660,371,14064
POA2135,3,7,16,19,40,93,145,186,145,662,3,41,56,17,12,43,46,52,32,299,73,206,390,208,174,141,137,115,73,1518,741,2936,5864,2848,2895,2458,1617,1128,678,21169
POA2136,0,4,7,11,10,39,82,109,46,311,3,0,7,4,9,18,28,28,9,95,11,35,56,59,55,63,41,34,31,394,199,567,1109,981,1017,851,579,358,165,5827
POA2137,0,9,15,13,39,99,264,349,202,984,0,0,13,12,23,32,48,78,45,240,51,139,290,190,188,174,160,117,57,1365,574,1662,4004,3751,3692,3134,2333,1382,633,21169
POA2138,8,18,11,9,15,50,116,89,44,359,0,12,53,19,16,33,24,33,12,204,53,124,334,174,89,101,72,39,13,999,473,2396,5999,2895,1801,1559,945,437,179,16684
POA2139,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,3,18,0,3,9,9,9,15,4,3,5,57
POA2140,7,8,31,27,53,72,49,65,22,327,0,3,41,20,27,36,20,17,14,186,56,214,571,217,140,120,56,37,4,1413,386,1611,5279,2363,1522,1171,525,313,102,13272
POA2141,3,22,101,138,220,332,263,189,78,1358,4,54,145,98,144,179,135,109,69,927,85,149,379,240,192,213,143,92,75,1573,772,2588,6267,3818,3535,3285,1675,919,378,23224
POA2142,5,28,120,147,184,220,254,151,57,1158,0,36,119,104,117,113,141,98,34,759,114,186,572,360,268,234,174,96,36,2043,690,2198,6523,3884,2655,2169,1341,651,206,20314
POA2143,0,6,26,36,75,126,90,80,39,483,0,9,26,23,55,57,32,24,11,234,31,39,74,77,55,71,57,36,21,470,278,700,1450,1074,1154,1094,609,321,138,6830
POA2144,16,116,373,376,434,424,369,241,112,2454,6,120,406,359,396,286,202,161,61,2005,108,274,629,323,284,231,176,130,81,2240,1082,3757,9109,4670,3960,3053,1737,982,480,28819
POA2145,5,19,110,161,254,567,811,711,361,3004,4,28,83,97,111,153,167,193,111,936,168,269,881,804,539,518,503,500,344,4528,1715,4539,14179,13271,8756,7235,5678,3163,1415,59958
POA2146,0,8,28,31,56,98,157,126,51,558,0,3,18,9,26,25,34,21,11,151,46,58,176,134,105,112,93,66,26,821,464,1071,2879,2710,2109,1826,1388,700,199,13350
POA2147,3,10,50,67,141,263,353,307,125,1322,0,5,20,30,34,46,46,55,13,257,115,133,290,241,302,302,262,235,176,2044,1024,2184,5190,5258,4708,4375,3102,1514,569,27916
POA2148,10,35,137,186,266,524,651,561,357,2733,0,24,70,99,112,166,113,117,46,742,170,224,601,496,463,430,439,351,240,3418,1744,4312,11256,9175,7230,6374,4193,2568,1134,47990
POA2150,3,10,46,48,69,110,116,102,43,553,0,11,72,55,85,102,81,84,83,572,62,225,996,470,233,208,141,86,69,2498,465,2461,11073,5301,2429,2018,1121,620,302,25793
POA2151,7,5,27,29,60,93,108,92,80,491,0,7,19,20,19,29,39,34,15,177,109,115,256,252,187,199,142,117,73,1447,524,1183,3450,3517,2655,2270,1683,841,500,16624
POA2152,3,0,8,11,18,31,63,78,60,276,0,3,4,17,7,6,8,17,5,68,14,22,96,76,47,54,69,90,54,512,190,524,1960,1762,1308,1012,920,717,378,8772
POA2153,4,6,27,33,70,153,264,270,161,982,0,7,10,28,43,43,40,49,23,243,50,69,205,206,217,218,279,262,244,1746,1355,3235,6406,8943,7654,6184,5280,2461,953,42469
POA2154,5,0,15,11,36,81,149,120,117,540,0,0,14,23,20,32,25,39,47,195,60,44,145,174,181,158,229,246,453,1684,1030,2352,3858,5484,5551,4878,3756,1922,1299,30124
POA2155,5,5,12,24,52,129,224,161,74,690,5,0,17,13,33,36,31,39,13,186,106,111,250,360,307,189,145,72,22,1573,1608,3255,6390,10013,7970,5065,2905,1069,242,38521
POA2156,0,3,0,5,14,24,49,79,41,223,0,0,0,0,0,4,8,15,10,40,12,21,36,41,54,62,72,66,27,395,349,836,1013,1437,1915,1745,1466,838,301,9894
POA2157,0,0,3,3,4,21,28,33,15,111,0,0,0,0,0,0,6,15,0,29,20,19,21,26,56,56,31,14,6,239,118,234,327,439,612,508,366,169,51,2822
POA2158,0,0,3,14,27,28,38,41,40,190,0,0,0,3,0,3,5,21,21,51,25,34,24,53,58,54,49,35,33,372,273,585,679,962,1377,1060,924,475,266,6606
POA2159,0,0,0,3,4,13,35,27,29,108,0,3,0,3,3,0,4,4,3,28,5,12,10,12,27,19,25,22,16,154,136,284,410,561,746,667,532,309,187,3830
