POA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA2031,8,27,148,746,726,280,83,23,2037,0,22,291,654,166,34,6,29,1207,0,45,232,467,313,59,10,21,1147,0,64,531,1128,483,93,14,46,2353,13,360,938,238,26,4,4,37,1626,16,744,3242,524,14,19,3,108,4675,35,525,1400,253,5,0,4,41,2263,3,17,3,3,0,0,0,0,23,62,1648,5582,1023,51,24,11,194,8592,3,71,103,48,9,0,0,8,235,0,16,4,12,0,3,3,8,38,74,1819,6363,2945,1270,405,109,280,13260
POA2032,0,17,186,799,488,211,95,40,1839,3,34,228,219,33,10,3,16,544,3,65,100,179,85,18,10,12,478,5,103,336,396,118,23,9,26,1025,39,167,213,126,20,7,3,35,613,49,348,905,177,25,3,3,49,1559,38,155,410,184,24,3,0,28,844,0,0,0,0,0,0,0,0,0,123,675,1534,491,66,17,9,112,3014,3,8,9,5,3,3,0,0,33,3,4,3,4,0,0,0,20,36,141,800,2058,1696,686,257,120,199,5953
POA2033,0,9,58,297,317,131,42,20,890,0,3,21,93,19,3,3,5,146,0,3,15,80,49,10,0,0,153,0,3,41,170,63,11,3,3,301,5,73,238,53,9,6,3,7,392,30,352,629,126,6,0,0,31,1183,4,213,849,263,11,5,4,15,1364,0,0,0,0,0,0,0,0,0,39,638,1722,445,19,10,6,58,2937,0,7,8,14,14,4,0,0,47,0,3,0,0,4,0,0,15,20,42,661,1826,929,421,157,57,94,4187
POA2034,0,7,73,426,610,208,53,22,1395,4,7,100,172,55,5,0,10,352,0,6,67,289,148,23,4,13,553,4,15,164,461,202,24,5,25,904,50,242,679,250,36,6,3,33,1306,24,634,2366,687,20,3,0,114,3846,7,133,235,148,3,0,0,16,537,0,3,10,7,8,0,0,0,35,79,1017,3292,1091,65,9,3,164,5720,0,9,24,18,4,3,0,3,52,0,0,5,10,11,0,0,3,30,82,1042,3555,2005,892,245,61,213,8097
POA2035,9,17,333,1690,1465,585,179,107,4376,6,29,523,475,51,12,0,22,1105,3,58,221,701,309,59,7,38,1400,9,86,742,1167,356,69,7,58,2505,53,180,559,315,8,4,0,90,1217,7,346,1339,278,7,0,0,81,2055,37,501,1409,303,10,0,0,51,2319,3,10,0,0,3,0,0,0,17,104,1038,3306,899,31,7,0,222,5610,0,17,36,18,3,0,0,3,73,0,6,13,6,0,0,0,9,37,124,1166,4429,3785,1856,664,190,398,12603
POA2036,5,28,362,1653,1392,474,148,83,4137,33,51,87,122,28,4,0,10,342,5,59,223,854,360,23,3,36,1566,35,109,311,979,389,26,9,44,1908,62,203,152,84,19,3,3,96,619,10,227,1118,330,3,3,0,50,1740,7,292,763,274,3,0,0,86,1424,0,0,0,0,0,0,0,0,3,74,725,2039,683,25,9,3,230,3790,0,0,5,4,3,0,0,0,13,0,0,7,7,0,0,0,3,24,118,873,2723,3327,1805,507,160,355,9877
POA2037,0,9,48,76,68,27,9,34,275,4,118,239,208,81,9,4,25,686,32,223,784,911,377,91,23,81,2529,32,346,1027,1118,461,100,27,102,3208,24,158,98,50,11,3,0,33,376,158,432,531,112,14,0,0,29,1271,48,556,568,153,3,0,3,58,1394,0,0,0,0,0,0,0,0,3,226,1140,1198,316,26,3,3,127,3043,0,32,15,11,5,3,0,4,72,3,6,11,10,3,0,0,25,60,267,1533,2292,1528,564,135,43,288,6661
POA2038,0,3,29,83,41,6,0,0,163,0,60,598,610,195,29,6,20,1525,0,36,215,392,134,29,3,14,823,0,100,817,999,329,53,14,41,2353,13,103,133,23,0,0,0,17,299,9,67,87,28,7,0,0,4,201,87,233,126,5,0,0,0,9,458,0,4,11,0,0,0,0,0,19,121,413,361,59,9,3,4,30,984,5,17,28,11,3,0,0,7,78,0,3,8,9,3,0,0,5,28,122,539,1233,1161,379,69,17,82,3602
POA2039,0,9,100,233,106,15,0,8,481,0,49,320,315,93,8,0,13,795,0,26,304,406,121,14,3,15,880,3,69,628,718,212,18,3,24,1681,3,83,73,15,4,0,0,7,185,0,79,112,29,0,0,0,6,233,15,256,315,159,8,0,0,15,765,3,6,5,3,0,0,0,0,25,22,425,514,204,9,3,3,26,1206,0,20,29,10,0,0,0,0,65,0,10,3,3,3,0,0,0,18,25,533,1268,1176,334,40,10,64,3450
POA2040,3,43,706,1207,408,71,17,44,2495,7,77,901,933,234,37,3,39,2231,0,51,575,705,184,28,4,28,1573,7,130,1479,1633,413,62,5,66,3798,31,204,309,112,18,0,0,17,696,14,158,323,33,0,0,0,12,549,12,217,252,50,5,0,0,19,554,0,9,9,4,0,0,0,0,22,58,592,892,197,21,3,4,52,1820,0,16,26,24,6,3,0,0,76,4,14,17,9,4,0,3,0,52,73,786,3122,3077,852,141,28,164,8242
POA2041,0,16,81,159,140,30,13,4,450,3,58,326,310,118,20,7,9,854,3,121,716,1323,535,96,18,36,2851,8,180,1044,1636,658,115,21,48,3706,8,130,136,24,11,0,0,14,326,63,327,474,61,5,0,0,28,965,33,142,398,94,4,0,0,7,681,4,21,22,6,0,0,0,0,57,102,628,1036,180,23,3,3,52,2029,0,3,4,3,0,0,0,0,12,3,8,12,4,4,0,0,0,36,117,839,2179,1988,823,142,32,104,6232
POA2042,4,22,102,211,113,19,3,12,488,4,162,1083,595,84,13,8,38,1989,13,97,562,939,339,47,13,63,2073,15,258,1652,1535,425,63,27,99,4056,117,260,222,42,0,3,0,24,676,162,389,444,35,0,4,3,15,1059,121,631,320,53,4,0,0,21,1155,0,5,5,0,0,0,0,0,16,401,1289,995,134,9,10,3,63,2904,7,63,65,49,15,3,3,13,215,0,10,14,5,5,0,0,10,55,425,1640,2827,1934,565,93,36,197,7723
POA2043,0,4,43,48,23,3,0,4,119,0,69,282,121,14,3,0,7,492,4,19,372,388,73,9,3,21,890,4,80,652,512,88,8,3,28,1382,18,38,113,19,0,0,0,21,209,11,33,79,10,0,0,0,0,140,5,631,801,97,3,0,0,25,1556,0,0,0,0,0,0,0,0,0,32,705,996,128,3,0,4,44,1906,0,3,3,3,0,0,0,0,17,0,0,10,0,0,0,0,0,19,41,791,1703,690,122,10,12,78,3446
POA2044,3,23,324,642,182,43,17,37,1256,0,37,368,224,46,3,0,12,691,3,4,92,206,67,10,0,13,388,3,42,455,432,113,11,0,26,1079,0,40,53,6,0,0,0,3,101,3,54,101,17,0,0,0,3,178,0,25,109,4,0,0,0,5,139,0,15,10,9,0,0,3,0,42,3,131,274,33,4,0,0,16,465,0,9,17,13,0,3,0,4,41,0,7,8,0,4,0,0,3,17,8,204,1072,1114,299,55,19,86,2855
POA2045,0,11,133,761,605,122,18,29,1679,0,18,71,128,12,0,0,6,238,0,5,5,22,11,0,0,3,54,0,25,79,149,19,0,0,12,284,0,7,45,8,0,0,3,0,66,0,17,61,0,0,0,0,0,77,0,6,8,0,0,0,0,5,18,0,0,5,0,0,0,0,0,7,0,29,114,11,0,0,5,3,166,0,0,5,8,3,0,0,0,22,0,0,9,0,0,0,0,3,12,4,73,338,930,635,124,17,46,2174
POA2046,0,23,737,2223,1221,371,58,69,4711,3,5,211,148,23,10,0,8,411,0,18,263,320,54,3,0,15,677,0,29,477,471,82,8,0,17,1088,52,221,1023,215,21,0,3,48,1579,0,52,916,232,8,0,0,23,1231,0,181,702,395,4,0,0,14,1294,0,3,0,0,0,0,0,0,3,54,459,2634,848,33,4,3,74,4113,3,12,37,30,4,0,0,6,93,0,3,16,9,3,3,0,8,43,58,528,3899,3580,1339,389,62,179,10042
POA2047,0,9,171,596,477,147,25,17,1440,0,11,189,132,33,5,3,7,376,0,9,49,63,21,3,0,3,141,0,16,230,197,52,6,3,9,521,3,145,567,228,28,4,0,26,996,5,48,537,193,12,0,0,13,811,0,38,391,296,6,0,0,18,750,0,0,0,0,0,0,0,0,0,6,228,1494,716,41,8,0,58,2555,0,15,24,14,0,0,0,0,49,0,14,24,8,3,0,0,7,60,8,280,1947,1532,579,162,34,92,4628
POA2048,0,8,85,286,151,23,15,8,581,0,17,238,473,96,8,3,14,842,7,23,33,157,108,13,12,12,362,9,37,272,624,200,24,16,22,1206,19,237,202,16,7,0,0,17,503,8,132,213,18,0,0,0,14,386,4,96,102,20,0,0,0,5,224,0,13,14,6,0,0,0,0,30,33,473,529,65,10,0,0,34,1145,3,19,19,16,3,3,3,6,70,0,13,3,0,0,0,0,17,38,43,546,908,986,373,50,25,91,3034
POA2049,3,16,199,527,292,58,18,30,1151,0,17,242,270,41,6,3,14,597,0,30,104,238,97,21,3,8,500,0,47,348,502,143,32,9,20,1098,51,404,443,69,11,0,0,25,1014,20,167,252,16,0,0,0,4,467,22,167,220,34,0,0,0,13,458,3,12,16,5,3,0,0,0,37,98,753,930,133,14,3,4,37,1978,3,21,36,17,3,0,0,7,86,3,10,10,0,4,0,3,5,42,108,847,1523,1183,465,92,34,109,4364
