POA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA2000,64,41,159,5890,3912,1100,608,10446,4207,26161
POA2006,0,0,0,455,71,9,3,561,143,1240
POA2007,22,6,42,1964,1328,280,154,3652,1090,8469
POA2008,8,3,20,3101,2065,348,180,4250,1362,11307
POA2009,22,11,62,3604,2708,665,446,2946,1261,11623
POA2010,174,52,294,9101,5901,1123,523,5660,4081,26380
POA2011,126,195,428,6191,4251,827,390,4015,4743,20409
POA2015,13,11,36,3081,2716,559,277,1385,787,8814
POA2016,83,39,177,4147,2894,654,339,2728,1546,12305
POA2017,67,48,153,6562,4731,1053,649,7085,2785,22867
POA2018,114,35,274,3558,3293,1195,905,4281,1204,14431
POA2019,42,97,184,2215,2254,849,524,1920,848,8608
POA2020,69,14,139,3325,2883,929,661,4014,1000,12811
POA2021,94,33,200,4570,3550,1030,597,2118,1448,13311
POA2022,97,75,305,3199,2586,786,504,2143,1460,10672
POA2023,67,33,194,2741,2224,801,520,1692,804,8774
POA2024,218,139,445,2607,2396,905,499,1642,1004,9046
POA2025,132,64,281,1908,1671,567,346,1064,759,6314
POA2026,189,98,483,9271,6451,1839,1145,5407,3707,27820
POA2027,147,93,412,2173,1770,559,368,1361,1059,7291
POA2028,58,35,171,1349,1023,307,210,759,465,4117
POA2029,119,62,303,2476,2080,772,451,1651,738,8167
POA2030,162,40,373,3050,2817,1171,796,2447,802,11085
POA2031,447,155,847,8936,8013,2425,1475,5665,2696,29218
POA2032,151,41,319,3701,2988,1064,702,5285,1053,14800
POA2033,126,34,240,2903,2399,762,477,2714,861,10114
POA2034,136,77,350,5585,4482,1491,893,3090,1908,17457
POA2035,441,135,959,7260,7094,2796,1977,7403,2264,28796
POA2036,299,178,708,5381,5681,2393,1731,6095,4002,25285
POA2037,61,59,188,4651,3689,1088,563,2895,1670,14564
POA2038,66,8,114,2393,2456,733,378,1223,699,7891
POA2039,16,10,48,2235,2253,675,377,971,699,7216
POA2040,241,42,397,4889,5408,1921,1119,3002,1438,17774
POA2041,52,27,161,3825,4048,1333,729,1704,1310,12952
POA2042,58,17,134,6044,4912,1187,562,2674,1823,17203
POA2043,8,7,30,2621,2217,479,213,922,670,7127
POA2044,42,14,99,1948,1858,576,375,1400,519,6672
POA2045,135,17,270,1302,1449,677,437,1072,317,5254
POA2046,394,108,804,5743,6039,2411,1725,4528,1588,22032
POA2047,217,48,388,2817,2796,1009,659,1838,922,10046
POA2048,44,13,89,2234,1986,567,306,1064,673,6826
POA2049,86,22,154,3043,2763,870,420,1636,1004,9740
POA2050,22,8,45,2739,2274,466,225,1796,788,8283
POA2052,0,0,0,1001,423,64,25,1647,240,3408
POA2060,143,29,271,3985,3662,1042,524,2120,1225,12565
POA2061,41,13,112,1768,1484,434,238,994,584,5502
POA2062,31,18,85,1795,1851,596,347,769,366,5726
POA2063,142,24,246,1296,1371,696,461,852,256,4927
POA2064,52,19,135,2164,2184,767,568,1530,486,7693
POA2065,154,70,444,8036,7804,2469,1388,4068,1961,25728
POA2066,388,66,758,7214,7527,2893,1900,4664,1345,25541
POA2067,243,98,559,5495,5215,2231,1585,6142,1408,22075
POA2068,193,31,394,3304,3721,1736,1173,2301,668,12902
POA2069,111,82,372,2878,3155,1596,1047,1923,589,11184
POA2070,170,33,395,2888,2935,1507,1007,1862,481,10687
POA2071,231,66,467,2777,2889,1461,1086,2263,519,10992
POA2072,148,18,261,1630,1715,798,593,1252,291,6281
POA2073,111,28,350,3310,3644,1875,1267,2127,494,12718
POA2074,395,322,1231,4333,5127,2563,1847,2983,1096,17950
POA2075,176,90,604,4028,4563,2398,1562,2931,691,16173
