POA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA2000,6,14,1473,6,0,1502,3,23,1231,0,0,1260,0,22,4638,0,12,4677,0,35,22,0,0,53,3,7,905,3,4,925,0,0,13,0,0,13,0,0,125,3,6,131,0,0,73,0,0,73,3,68,5777,7,20,5877,3,3,79,4,0,86,0,4,350,18,7,380,18,111,8909,37,31,9111
POA2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA2007,0,57,268,0,4,326,0,33,355,0,0,388,0,53,1061,0,10,1132,3,28,120,0,0,146,0,27,448,0,4,480,0,0,123,0,0,123,0,3,80,0,0,84,0,4,14,0,0,20,6,115,1844,0,19,1985,0,4,26,0,0,31,3,21,100,0,8,128,5,234,2587,0,30,2855
POA2008,10,177,282,3,3,473,16,201,405,3,3,631,15,334,1716,10,16,2086,0,32,173,0,3,213,10,136,408,3,13,570,0,5,129,5,6,153,0,9,149,0,7,165,0,4,22,0,0,27,26,526,2593,22,36,3203,0,3,42,0,0,43,7,50,110,3,5,172,52,947,3434,30,49,4520
POA2009,4,54,838,0,0,897,12,92,958,0,6,1063,19,101,2159,7,5,2301,12,42,213,0,0,263,6,35,416,0,0,452,0,0,165,0,0,166,0,3,26,0,3,29,0,0,35,0,0,43,38,181,3015,5,9,3256,0,7,18,0,0,23,3,19,116,0,0,136,58,350,4946,5,13,5363
POA2010,12,653,998,9,13,1684,17,794,1642,6,8,2473,14,1077,4233,18,31,5374,0,81,783,0,0,874,4,372,801,14,12,1197,0,9,46,0,3,61,0,12,46,0,3,59,0,24,38,0,0,59,23,1567,5955,33,49,7625,0,21,49,0,0,73,3,108,223,3,42,386,52,3149,8869,49,115,12234
POA2011,14,86,1452,3,3,1565,10,134,1351,4,4,1498,5,271,4475,23,16,4787,0,227,198,0,0,429,7,59,850,7,4,917,0,11,22,0,3,37,0,8,31,0,3,43,0,3,43,0,0,51,14,572,5627,29,23,6267,0,4,39,0,0,42,3,31,198,3,36,267,41,824,8663,40,75,9642
POA2015,49,323,157,6,3,536,65,532,808,0,9,1414,28,391,1223,4,10,1666,3,67,63,0,0,134,14,91,158,3,3,267,3,12,66,0,0,79,0,6,7,0,0,14,0,9,6,0,0,15,43,572,1531,10,18,2172,3,8,6,0,0,19,3,27,58,0,9,105,168,1464,2560,16,38,4235
POA2016,14,431,318,3,3,768,10,476,661,10,9,1163,12,433,1355,30,15,1836,0,45,996,0,0,1039,3,185,323,15,10,535,0,9,44,0,0,50,3,13,37,3,0,56,3,10,20,0,0,36,18,688,2778,46,21,3560,0,10,25,0,0,38,4,61,158,0,8,244,49,1676,3945,57,46,5771
POA2017,3,130,629,0,0,769,7,245,1998,0,4,2258,10,214,4038,6,8,4276,3,267,1546,0,3,1816,3,54,756,3,4,818,0,16,130,0,0,139,0,0,123,0,0,126,0,0,44,0,0,44,16,546,6638,9,20,7220,0,6,69,0,0,77,0,24,319,0,16,361,30,957,9661,11,33,10688
POA2018,1015,55,511,3,3,1587,556,93,922,3,10,1581,214,49,1576,40,17,1901,11,80,470,0,0,561,64,19,246,9,8,345,6,3,15,0,0,26,5,3,35,0,0,50,5,3,12,0,0,20,310,148,2356,53,25,2899,9,3,22,0,0,34,49,3,148,3,8,210,1938,300,3961,66,45,6308
