POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA2000,3071,6201,0,6,30,130,3,15,633,2124,669,2273,27,89,99,292,140,407,258,789,930,3065,0,0,16,49,10,18,112,281,138,352,13,37,97,206,140,289,245,533,387,886,348,784,4737,10935
POA2006,0,0,0,0,0,3,0,0,0,4,3,11,0,0,0,0,0,4,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
POA2007,706,1400,0,0,15,53,0,11,169,592,186,659,8,31,27,96,35,107,73,239,261,899,0,0,3,6,0,4,46,102,49,112,0,10,37,74,37,79,75,169,127,281,86,174,1171,2751
POA2008,1165,2316,0,0,11,50,0,4,205,696,218,753,3,15,20,52,27,74,44,146,265,893,0,0,9,32,0,0,37,86,49,113,4,20,29,61,40,90,72,164,118,276,127,272,1680,3758
POA2009,1826,3576,0,0,32,124,10,46,600,2009,635,2177,22,71,54,180,109,325,183,576,819,2758,0,0,14,37,7,27,131,319,150,386,3,16,49,116,136,270,192,399,341,782,110,235,3102,7348
POA2010,3894,7584,6,18,33,134,5,20,642,2197,680,2364,23,78,93,286,107,331,218,696,898,3059,0,7,12,29,3,8,123,282,138,323,5,20,63,140,170,342,241,502,375,821,154,319,5322,11782
POA2011,2708,5206,3,6,15,62,0,7,353,1160,375,1237,10,41,36,106,60,170,107,322,480,1560,5,16,13,39,9,18,112,242,128,327,11,24,41,88,146,278,197,392,327,718,92,185,3596,7672
POA2015,1459,2827,3,16,42,172,0,3,525,1837,578,2033,13,61,52,153,61,204,124,422,704,2454,0,11,16,39,10,31,102,249,128,330,7,22,33,66,81,179,121,260,245,595,61,125,2468,6004
POA2016,1592,3091,0,7,21,90,8,23,425,1499,453,1615,11,47,38,136,74,231,128,414,585,2030,0,0,7,26,4,18,93,219,103,266,6,31,31,65,147,305,184,396,288,667,103,213,2560,6003
POA2017,3250,6411,0,4,37,142,8,39,902,2990,947,3172,9,39,57,172,114,344,178,554,1121,3727,7,18,23,79,13,51,235,586,276,733,19,60,116,249,258,538,393,850,671,1584,232,488,5270,12214
POA2018,1596,3167,20,114,163,731,38,157,1078,4038,1298,5044,112,470,167,572,375,1221,651,2262,1950,7307,10,32,28,109,24,79,172,436,235,658,24,74,80,181,293,627,393,877,630,1536,135,284,4306,12300
POA2019,849,1693,22,109,102,455,38,158,923,3488,1087,4204,86,370,94,316,239,757,412,1446,1497,5653,0,8,22,78,10,31,153,404,186,522,25,87,48,117,186,401,268,609,450,1128,54,114,2849,8587
POA2020,1583,3192,20,98,101,468,30,118,916,3339,1066,4031,76,320,127,424,279,929,478,1676,1543,5702,3,23,18,65,12,28,115,295,152,413,24,73,61,140,227,504,306,715,460,1127,123,267,3704,10288
POA2021,1749,3382,10,46,91,383,3,17,848,3111,953,3560,49,202,142,444,141,433,330,1082,1284,4643,0,3,25,67,4,9,140,329,168,405,10,29,64,140,131,275,205,443,374,854,83,161,3487,9041
POA2022,1262,2495,10,46,86,371,8,22,758,2830,863,3275,40,172,122,410,123,375,289,964,1150,4237,0,0,20,44,5,9,114,283,134,340,20,63,62,132,151,311,232,502,372,840,76,155,2855,7726
POA2023,1046,2056,11,53,147,650,12,33,689,2676,856,3420,70,267,161,550,181,550,405,1361,1264,4786,3,11,17,56,4,13,117,263,137,347,17,44,55,118,103,205,173,365,312,711,46,93,2668,7641
POA2024,1034,2006,7,47,126,568,7,32,822,3085,970,3732,52,193,115,383,134,395,296,973,1269,4707,0,3,10,38,4,7,116,270,137,318,10,35,49,117,101,218,166,372,297,691,31,62,2633,7461
POA2025,834,1623,5,18,52,218,5,18,457,1658,519,1915,29,98,86,270,90,279,202,647,717,2561,0,0,8,24,0,8,80,201,92,233,9,28,44,83,89,179,141,293,236,523,44,88,1824,4794
POA2026,3457,6741,18,100,207,946,24,86,2004,7320,2257,8456,101,393,221,747,283,884,604,2026,2855,10477,3,12,40,138,10,33,306,709,361,891,27,79,97,211,262,544,387,830,746,1722,126,265,7188,19206
POA2027,1147,2236,3,20,44,204,3,10,372,1329,426,1566,17,77,71,223,80,229,167,527,595,2097,0,3,12,40,7,13,69,165,86,219,14,40,41,80,74,155,123,277,215,496,41,89,1994,4910
POA2028,592,1162,0,3,34,147,4,11,217,798,254,962,16,49,32,108,62,198,108,358,365,1317,0,0,11,42,3,3,43,90,60,136,7,24,26,56,44,88,84,169,139,309,31,64,1126,2849
POA2029,1024,2008,5,23,105,491,8,35,721,2699,847,3238,68,252,129,430,139,403,331,1080,1177,4326,0,0,16,55,0,3,129,316,152,379,17,47,48,104,127,254,182,402,336,776,63,129,2598,7238
POA2030,1181,2326,25,106,245,1147,16,58,1074,4235,1351,5552,155,617,257,901,275,827,690,2348,2040,7898,4,10,37,131,6,16,131,322,180,486,20,69,64,152,148,314,239,533,413,1017,54,121,3697,11366
POA2031,3461,6780,14,77,263,1152,34,132,2433,8957,2744,10308,138,540,339,1134,422,1263,899,2933,3641,13244,3,18,49,135,13,45,383,905,445,1111,34,108,166,359,396,827,599,1293,1044,2399,234,485,8384,22908
POA2032,1230,2451,16,65,120,518,20,87,789,2974,942,3652,76,306,143,484,264,830,480,1625,1416,5274,4,11,19,79,14,57,125,326,169,470,23,64,79,185,257,557,357,806,525,1277,179,390,3349,9387
POA2033,1105,2200,4,35,74,337,17,63,610,2290,702,2720,44,181,92,312,147,470,283,960,986,3685,0,6,10,32,6,21,99,244,117,304,22,68,46,108,128,274,197,447,311,749,128,274,2527,6909
POA2034,2024,3963,14,62,184,817,18,73,1374,5033,1595,5992,79,302,190,671,263,810,528,1775,2117,7767,4,12,34,114,17,56,245,604,299,788,12,42,80,165,213,454,307,663,606,1451,95,200,4854,13380
POA2035,3003,5973,39,208,376,1685,69,295,2248,8515,2733,10699,218,899,363,1300,775,2481,1362,4686,4091,15387,14,51,64,212,27,93,393,1010,498,1362,56,160,185,406,626,1367,864,1939,1359,3296,282,589,8734,25246
POA2036,2285,4555,34,183,346,1542,77,354,1835,7035,2290,9118,247,1002,350,1241,817,2653,1405,4897,3697,14011,20,96,70,238,43,139,411,1077,542,1551,54,178,124,299,564,1216,742,1692,1285,3240,156,335,7426,22156
POA2037,1781,3486,0,16,68,282,10,44,653,2296,731,2631,34,139,110,362,143,431,288,935,1024,3566,5,28,25,75,13,50,154,376,192,532,17,56,75,162,202,420,294,634,484,1167,127,276,3415,8494
POA2038,943,1837,3,13,62,269,14,60,709,2645,791,2986,30,111,73,255,96,300,204,671,994,3656,0,0,16,44,3,6,87,199,105,254,16,40,50,111,95,197,156,345,256,597,40,87,2244,6188
POA2039,1103,2143,0,5,53,236,11,29,715,2603,780,2875,30,102,71,223,91,249,181,576,963,3450,0,0,14,36,3,3,75,187,91,227,7,33,44,92,96,210,154,328,241,557,36,80,2341,6222
POA2040,1960,3836,13,60,159,694,23,95,2015,7404,2205,8256,63,247,169,560,285,899,513,1701,2719,9965,0,4,42,135,12,47,279,695,337,875,22,77,96,207,294,627,416,914,755,1786,120,250,5555,15836
POA2041,1775,3443,8,38,119,517,13,48,1202,4458,1339,5062,58,232,172,591,198,591,436,1412,1774,6476,0,4,21,61,3,7,163,373,184,443,26,62,62,139,169,353,256,551,441,995,44,92,4033,11011
POA2042,2162,4227,7,19,88,365,11,42,893,3213,994,3644,46,171,98,323,152,478,299,968,1289,4619,4,13,18,49,11,35,139,317,175,419,18,45,60,119,166,344,239,511,412,931,133,286,3993,10051
POA2043,1222,2372,0,0,30,114,7,15,456,1576,487,1712,16,57,39,119,36,100,87,275,576,1986,0,0,11,27,4,4,75,169,87,203,3,10,31,68,67,136,104,214,191,417,45,95,2023,4869
POA2044,807,1605,5,32,44,214,9,39,522,1911,585,2192,32,143,42,133,137,445,207,722,792,2920,3,19,9,43,11,52,84,225,110,339,15,41,34,83,121,276,171,397,280,739,50,109,1935,5364
POA2045,510,1007,5,26,104,470,12,37,449,1793,564,2328,71,305,107,375,207,667,384,1348,947,3672,0,4,6,24,4,11,72,177,82,211,10,20,27,57,132,300,165,376,245,588,29,58,1731,5327
POA2046,2638,5230,26,154,271,1188,43,180,2061,7637,2405,9155,173,720,282,992,657,2110,1115,3821,3521,12975,0,3,48,150,11,39,335,839,391,1032,33,101,117,271,477,1008,631,1378,1021,2405,133,281,7315,20900
POA2047,1340,2629,9,55,111,496,7,41,794,2958,923,3542,55,223,114,382,202,639,373,1243,1299,4785,3,10,19,68,4,18,113,275,144,365,15,43,63,131,151,321,232,498,370,865,59,122,3069,8409
POA2048,820,1611,3,23,64,294,13,49,467,1715,547,2079,20,68,50,171,92,299,161,545,712,2623,0,0,10,29,3,11,82,179,95,220,4,18,25,57,98,210,133,286,224,505,58,118,1815,4860
POA2049,1149,2267,4,31,82,355,17,58,675,2475,774,2917,22,104,94,298,167,536,284,935,1063,3856,6,20,16,56,0,11,121,278,145,371,15,45,48,101,162,330,223,478,364,851,55,113,2628,7087
POA2050,1215,2347,0,0,19,80,3,6,338,1171,355,1258,5,23,34,118,41,112,83,255,440,1511,0,3,0,4,0,3,58,126,58,139,3,8,38,68,56,118,93,196,156,332,63,129,1871,4324
POA2052,65,122,0,0,0,0,0,0,6,29,6,29,0,0,0,0,0,0,0,0,6,29,0,0,0,4,0,0,0,3,3,4,0,0,0,7,3,3,4,5,6,13,12,28,89,192
POA2060,2065,4008,3,23,58,263,7,16,664,2332,735,2636,36,125,114,364,161,467,307,963,1043,3600,0,7,15,46,3,8,112,266,132,325,12,46,72,144,106,205,191,394,324,720,94,189,3520,8510
POA2061,1013,1957,3,8,13,68,3,10,222,739,242,829,18,57,51,159,54,159,116,370,355,1203,0,0,3,3,3,8,45,95,49,106,8,12,17,46,62,134,90,197,136,301,33,67,1539,3526
POA2062,821,1595,0,5,37,165,4,23,614,2235,658,2429,23,80,54,172,61,197,138,453,793,2878,0,0,12,27,0,0,103,221,110,255,9,23,39,86,77,152,122,261,232,521,32,73,1879,5062
POA2063,539,1042,3,14,118,556,4,25,531,2183,663,2781,65,264,133,459,139,418,338,1135,1001,3917,0,0,19,55,0,0,32,90,56,150,3,16,32,78,66,136,102,232,154,376,10,22,1706,5358
POA2064,884,1747,3,13,82,371,6,36,895,3207,993,3625,34,137,143,479,112,348,287,965,1280,4590,7,18,17,59,7,18,117,289,141,376,13,39,56,127,103,219,171,387,317,767,56,116,2539,7214
POA2065,3942,7744,8,52,180,802,16,75,2150,7696,2363,8625,107,407,296,984,354,1083,756,2468,3113,11090,0,4,39,125,3,15,248,598,289,737,28,91,140,310,308,643,479,1047,768,1784,164,343,7990,20952
POA2066,3185,6303,24,121,368,1638,34,156,2680,10068,3106,11978,209,850,473,1631,479,1476,1157,3950,4262,15934,3,15,42,137,11,25,322,792,377,963,41,127,155,339,329,697,526,1161,903,2121,147,308,8500,24670
POA2067,2468,4908,16,69,237,1024,36,135,2048,7405,2336,8633,143,572,393,1333,449,1391,988,3302,3320,11936,3,10,60,191,12,32,306,755,378,991,45,126,208,475,318,677,571,1274,951,2261,196,419,6931,19526
POA2068,1297,2550,12,51,254,1149,24,95,1593,6207,1877,7497,131,537,335,1146,317,979,789,2669,2663,10168,0,11,39,140,6,20,167,412,215,582,29,73,85,193,201,440,313,711,531,1288,50,112,4539,14116
POA2069,1204,2380,20,81,280,1280,19,74,1169,4682,1485,6120,150,583,297,1023,314,998,758,2605,2241,8729,3,8,40,143,9,19,93,232,142,399,21,69,71,176,157,348,258,591,397,995,40,84,3885,12183
POA2070,1081,2136,24,111,257,1168,18,68,1116,4351,1410,5704,143,584,296,1035,299,919,734,2538,2147,8244,4,8,30,107,0,12,99,259,130,389,23,69,86,203,153,315,261,592,393,976,55,121,3673,11478
POA2071,1127,2229,25,129,268,1225,31,112,975,3802,1298,5258,165,666,360,1248,327,1005,851,2925,2150,8182,3,19,41,142,5,29,122,297,175,488,27,90,113,271,136,279,281,640,452,1128,56,116,3785,11657
POA2072,665,1321,14,63,115,511,17,72,563,2117,705,2770,75,302,212,737,175,522,457,1562,1162,4331,0,0,27,106,3,7,77,200,107,308,14,47,76,167,79,162,170,379,278,686,28,65,2136,6398
POA2073,1272,2527,36,189,338,1548,22,91,1424,5588,1814,7418,184,756,408,1443,380,1195,983,3394,2791,10804,0,4,40,131,7,33,99,286,151,455,29,94,96,219,150,314,271,629,424,1085,42,93,4539,14510
POA2074,2081,4095,36,179,403,1813,37,158,1644,6466,2118,8623,236,948,515,1821,509,1603,1259,4372,3375,12996,7,18,50,166,11,27,159,422,222,637,41,133,89,210,224,463,356,807,578,1442,57,121,6092,18653
POA2075,1949,3866,38,180,358,1632,27,110,1753,6813,2174,8737,248,1007,446,1551,496,1535,1189,4088,3366,12824,4,27,43,137,3,6,172,461,224,634,31,91,91,211,213,436,334,747,561,1377,38,84,5908,18149
POA2076,2077,4116,41,226,497,2289,40,177,1836,7146,2425,9840,250,1040,476,1672,553,1744,1278,4453,3702,14298,10,30,57,208,10,33,171,446,248,716,50,162,104,231,282,604,435,992,686,1712,74,155,6543,20280
POA2077,3449,6933,34,179,432,1920,52,236,3461,12737,3976,15076,236,954,509,1702,696,2181,1444,4838,5421,19915,8,36,103,335,18,46,424,1053,548,1472,76,232,206,459,611,1299,894,1997,1446,3474,194,423,10509,30739
POA2079,555,1118,18,87,106,464,21,91,582,2289,727,2939,85,347,108,370,281,916,472,1631,1196,4564,3,9,16,54,5,19,71,182,91,260,15,48,24,65,103,226,143,340,241,604,23,59,2020,6345
POA2080,145,295,3,21,25,113,15,53,133,534,170,722,22,82,30,102,50,154,98,336,269,1055,0,0,3,9,3,11,13,34,21,56,5,13,3,5,26,60,33,73,51,134,3,9,470,1496
POA2081,444,888,17,81,97,450,13,61,453,1792,574,2377,63,272,106,372,157,481,327,1125,905,3506,4,12,9,26,3,5,33,96,50,143,22,61,14,27,54,107,85,201,133,342,13,22,1491,4759
POA2082,460,891,9,48,99,445,10,52,488,1921,605,2462,62,268,69,242,163,509,299,1023,902,3484,0,0,7,24,4,16,51,137,68,176,15,50,18,38,71,148,99,232,161,405,9,21,1535,4803
POA2083,201,410,9,45,7,35,9,31,76,289,98,399,18,56,12,37,31,96,56,192,156,585,0,0,3,10,0,0,21,53,25,62,5,7,5,12,24,56,34,73,62,144,0,8,419,1138
POA2084,326,653,5,46,64,284,14,61,254,1026,339,1414,42,194,56,217,107,338,214,747,547,2161,0,4,10,22,3,12,28,56,38,96,0,7,15,25,35,74,55,113,89,210,8,15,974,3031
POA2085,1084,2161,29,142,190,877,32,150,889,3504,1135,4676,122,487,187,678,307,963,610,2125,1748,6804,3,16,16,60,7,17,75,203,101,295,26,91,36,86,151,327,210,495,307,793,17,41,3159,9797
POA2086,1043,2063,26,126,240,1095,42,157,1224,4889,1527,6266,148,611,216,775,373,1209,735,2592,2268,8854,3,15,32,91,8,29,104,291,144,431,24,82,44,112,171,369,245,562,389,995,34,91,3735,12002
POA2087,1011,2023,21,130,222,1016,25,104,1119,4513,1391,5767,134,542,229,814,282,900,645,2253,2040,8021,3,10,28,98,6,29,114,287,149,428,26,82,52,116,166,355,243,550,393,982,32,77,3473,11105
POA2088,3114,6069,30,132,344,1526,28,105,2008,7594,2404,9360,169,674,515,1737,420,1286,1107,3692,3511,13053,0,6,61,198,7,29,271,657,351,890,47,144,158,352,257,524,459,1022,807,1908,86,180,7525,21215
POA2089,1596,3113,3,29,45,193,9,35,704,2481,762,2741,28,109,89,286,110,314,231,712,992,3451,3,6,8,36,3,12,139,318,157,375,7,29,56,123,111,220,179,370,338,742,74,155,3003,7464
POA2090,1787,3497,3,21,89,377,13,50,950,3393,1052,3840,53,207,133,436,137,419,325,1061,1380,4903,0,0,22,55,3,5,124,300,147,364,22,59,76,154,139,275,232,484,373,854,76,157,3620,9410
POA2092,513,1025,12,61,134,603,9,47,680,2730,832,3442,68,284,140,479,168,541,378,1300,1215,4743,0,8,17,56,3,11,58,153,77,219,20,60,27,53,66,147,110,256,184,477,20,37,1930,6284
POA2093,1878,3700,25,140,338,1503,30,129,2156,8279,2548,10051,156,631,329,1110,400,1229,884,2967,3437,13016,10,37,57,171,12,36,244,603,323,854,41,124,122,271,252,531,415,928,740,1777,75,156,6125,18651
POA2094,724,1410,3,18,50,241,11,40,473,1737,541,2036,29,107,57,200,84,248,173,549,706,2590,0,0,11,26,3,6,60,136,67,172,5,21,31,69,66,141,106,229,175,406,18,43,1629,4441
POA2095,2126,4118,12,46,103,470,5,32,942,3402,1064,3940,53,213,122,406,168,525,346,1140,1407,5081,0,3,34,97,0,7,124,287,159,393,15,37,56,124,141,278,208,438,363,831,65,133,3965,10162
POA2096,1604,3147,11,42,170,762,22,90,1178,4433,1375,5328,80,335,140,486,226,681,445,1501,1820,6832,0,12,16,51,5,18,169,405,193,495,18,44,43,91,145,311,206,439,395,934,45,96,3867,11007
POA2097,1395,2766,33,181,241,1116,38,152,1200,4644,1511,6100,135,578,195,696,392,1271,726,2546,2242,8648,0,10,31,96,21,65,157,406,212,573,34,109,44,112,198,424,280,646,486,1219,55,115,4177,12745
POA2099,3785,7553,57,311,443,2015,88,359,3049,11468,3639,14160,241,1001,412,1423,804,2590,1461,5010,5105,19171,10,40,74,257,32,120,478,1193,600,1614,77,237,170,380,636,1378,889,1990,1490,3610,143,301,10528,30631
POA2100,1722,3437,46,238,331,1503,44,213,1757,6858,2177,8806,168,694,269,945,515,1674,960,3317,3133,12123,6,20,42,150,15,48,154,415,219,634,46,154,79,195,313,685,439,1025,655,1657,74,152,5583,17373
POA2101,1969,3872,24,112,201,899,43,175,1437,5511,1696,6696,129,531,176,610,435,1369,743,2512,2444,9211,4,10,38,135,8,42,213,516,266,705,41,124,52,118,276,588,368,829,630,1537,44,88,5085,14709
POA2102,624,1243,12,62,96,429,16,79,677,2590,799,3159,56,243,85,289,160,501,307,1038,1106,4198,6,24,20,72,5,18,88,232,120,346,15,60,43,88,107,230,172,383,293,724,25,50,2044,6212
POA2103,1126,2222,11,74,128,595,23,114,733,2874,901,3665,99,386,123,434,283,903,504,1731,1412,5393,0,16,26,103,8,21,85,225,122,364,15,41,51,120,152,338,218,504,340,867,23,36,2899,8518
POA2104,444,862,6,34,35,176,6,30,173,690,228,928,37,151,49,158,102,318,186,625,418,1561,0,0,3,17,4,11,12,37,20,66,3,14,5,12,33,75,41,98,62,158,13,23,933,2605
POA2105,235,462,0,11,23,87,8,25,104,398,132,522,22,82,31,98,48,146,99,326,234,845,0,0,3,14,0,3,14,42,17,53,5,9,4,15,13,30,27,57,42,112,0,0,514,1418
POA2106,941,1863,19,96,119,539,27,111,640,2513,813,3252,91,372,150,499,223,687,461,1558,1268,4812,3,14,18,67,5,21,118,320,149,424,17,53,46,101,133,279,203,434,350,857,31,70,2589,7602
POA2107,1528,2987,25,122,229,1004,52,236,1048,4236,1354,5596,146,586,217,714,388,1190,756,2496,2113,8093,3,14,37,130,10,24,125,324,174,489,26,97,57,131,167,359,260,587,430,1078,29,61,4094,12210
POA2108,246,468,0,7,12,52,0,3,63,250,81,314,9,55,13,44,45,128,65,218,148,535,0,3,3,15,0,5,16,37,21,55,0,3,5,11,24,50,37,64,58,122,0,4,444,1128
POA2109,279,555,0,0,3,28,0,7,95,319,97,346,0,0,12,49,8,31,25,84,122,428,0,0,0,3,0,0,16,38,15,45,3,5,9,24,4,18,22,47,38,92,17,33,459,1107
POA2110,816,1592,18,111,167,783,9,52,678,2701,879,3642,86,350,183,645,202,633,470,1631,1348,5273,0,7,14,35,6,22,94,228,115,293,16,38,39,95,95,211,152,349,265,638,27,58,2459,7567
POA2111,1389,2762,10,63,169,790,20,91,1050,4028,1253,4973,126,527,186,650,313,993,624,2166,1877,7147,0,8,35,105,3,9,148,360,184,480,21,64,63,145,197,416,275,625,466,1105,79,164,3817,11174
POA2112,3010,6029,49,263,409,1815,49,225,2434,9167,2945,11467,279,1151,432,1519,820,2628,1526,5299,4469,16768,4,25,60,211,17,58,334,856,421,1151,56,178,166,377,496,1114,720,1665,1145,2814,224,467,8848,26071
POA2113,1680,3360,18,93,219,979,29,119,1448,5394,1712,6585,145,608,216,729,428,1390,788,2726,2499,9309,3,10,30,88,12,41,145,351,188,489,25,88,87,196,339,748,449,1036,631,1524,121,240,4927,14439
POA2114,2590,5185,20,112,217,970,29,116,1896,6956,2161,8157,161,649,305,1100,513,1627,973,3380,3131,11534,0,5,40,141,16,43,224,572,280,756,40,119,109,253,342,759,489,1131,767,1884,163,358,6658,18958
POA2115,800,1579,26,125,128,600,38,168,855,3284,1042,4175,93,387,119,406,316,1078,522,1871,1572,6055,4,23,27,104,14,53,140,373,185,547,19,52,59,136,207,451,283,639,465,1185,35,72,2871,8890
POA2116,527,1073,7,33,99,468,14,74,478,1859,595,2437,62,259,97,330,165,533,320,1124,920,3567,0,19,18,70,5,20,94,252,120,364,17,68,34,81,121,265,179,416,306,782,32,66,1777,5490
POA2117,1630,3262,26,162,296,1364,45,192,1527,5929,1892,7650,193,851,349,1230,552,1797,1092,3877,2983,11525,10,64,67,244,19,60,256,660,354,1032,38,138,104,238,342,762,493,1131,842,2161,83,185,5545,17135
POA2118,1976,3939,30,170,371,1657,54,227,1958,7481,2419,9532,270,1142,532,1884,744,2362,1545,5380,3960,14913,3,29,72,226,13,48,248,645,336,944,45,138,139,325,328,717,508,1186,842,2122,71,155,6857,21133
POA2119,1029,2043,15,93,215,960,30,120,850,3392,1112,4568,169,705,280,1003,347,1104,797,2817,1910,7380,0,0,20,62,3,9,90,234,106,309,23,84,46,114,116,243,184,437,291,740,42,81,3263,10253
POA2120,1693,3375,35,214,353,1584,37,168,1577,6235,2006,8201,213,888,428,1495,567,1801,1207,4187,3207,12386,3,15,50,176,8,35,133,327,195,556,45,153,93,221,277,600,415,973,610,1529,67,146,5580,17434
POA2121,2360,4718,28,133,412,1833,45,199,2138,8130,2622,10291,312,1318,632,2222,757,2403,1701,5934,4325,16227,5,27,59,182,15,67,261,662,342,941,53,162,170,402,329,699,546,1254,886,2194,119,249,7696,23387
POA2122,2748,5524,27,139,308,1377,42,172,2116,7803,2486,9488,238,974,495,1692,706,2283,1442,4955,3930,14449,10,33,47,157,16,46,323,807,390,1037,42,142,144,342,432,935,622,1423,1011,2460,174,387,7865,22815
POA2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2125,1452,2895,42,238,304,1366,32,156,1165,4627,1546,6390,248,1029,369,1310,667,2178,1280,4527,2828,10912,3,18,24,74,5,24,95,263,124,383,38,121,63,144,142,319,244,583,367,966,38,91,4687,14869
POA2126,1423,2830,44,249,441,1989,37,147,1299,5087,1820,7480,270,1129,518,1811,699,2241,1482,5180,3301,12658,11,31,52,178,10,33,100,268,168,509,44,142,92,207,248,558,381,904,553,1413,43,87,5319,16992
POA2127,1809,3569,7,29,109,474,10,38,1257,4434,1385,4985,44,170,121,411,173,535,336,1120,1718,6103,0,8,22,82,4,21,152,350,187,455,10,41,54,102,154,326,215,472,401,927,84,186,4020,10789
POA2128,203,403,12,61,26,120,4,24,185,706,222,907,8,47,18,63,38,114,64,228,291,1135,0,0,4,15,0,11,26,81,35,107,0,4,6,22,23,53,32,77,70,187,13,39,574,1758
POA2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2130,751,1501,3,23,62,267,3,12,508,1845,577,2143,27,112,67,221,86,262,179,595,755,2735,0,5,10,26,0,9,91,221,111,266,8,15,35,68,79,175,120,257,228,528,49,100,1786,4870
POA2131,2361,4825,14,85,144,640,32,134,1422,5081,1616,5940,101,395,242,814,382,1228,722,2433,2341,8381,3,10,39,131,12,44,245,592,304,774,28,96,150,343,331,721,512,1160,817,1932,201,424,5715,15565
POA2132,878,1754,15,95,144,643,17,88,696,2668,877,3499,99,425,146,487,274,904,518,1818,1393,5315,0,13,24,77,5,18,112,291,148,393,26,94,68,160,173,377,268,628,410,1021,46,108,2734,8200
POA2133,868,1746,21,101,137,635,30,124,777,3003,968,3872,92,414,168,598,354,1166,613,2180,1576,6045,4,21,20,67,5,20,138,367,167,479,23,60,64,147,220,491,304,700,468,1180,66,138,2981,9104
POA2134,1430,2899,16,87,101,464,20,82,699,2552,834,3186,102,437,196,663,264,877,559,1974,1395,5161,7,17,27,91,8,13,143,338,180,462,22,74,96,228,247,557,364,855,547,1319,148,321,3514,9701
POA2135,2015,4110,47,262,294,1389,34,161,1256,4813,1636,6628,261,1140,413,1503,647,2127,1324,4774,2960,11400,7,17,46,166,10,30,175,464,230,681,40,148,145,345,339,732,529,1227,763,1907,214,463,5945,17875
POA2136,551,1124,5,40,97,434,15,72,461,1785,578,2331,78,349,125,428,237,777,440,1552,1020,3883,3,8,24,77,7,32,96,243,126,364,18,52,45,101,154,347,214,505,340,872,49,105,1957,5979
POA2137,2768,5526,30,182,310,1408,38,182,1860,7046,2245,8815,232,986,333,1153,717,2288,1275,4425,3519,13244,3,15,54,176,24,92,272,674,362,956,41,146,144,335,397,858,586,1341,944,2303,136,296,7372,21364
POA2138,2368,4722,5,26,121,536,25,94,1483,5318,1636,5972,113,462,179,618,331,1070,628,2156,2260,8135,0,3,22,83,9,36,162,420,197,545,26,88,96,225,228,494,360,808,556,1352,148,305,5327,14509
POA2139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2140,1423,2936,10,57,148,644,19,69,1222,4359,1395,5119,80,355,191,664,216,687,484,1700,1883,6821,4,14,36,111,10,15,133,336,181,479,13,53,104,230,179,408,295,690,471,1170,139,294,3916,11222
