POA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA2000,0,0,94,0,0,96,0,0,11,0,0,11,0,0,13,0,0,13,0,0,24,0,0,24,0,0,33,0,0,33,0,0,94,0,0,94,0,3,94,0,0,96,0,0,218,0,0,221,0,0,131,0,0,135,0,8,208,0,0,213,3,10,267,0,0,279,0,0,48,0,0,48,3,23,1231,0,0,1260
POA2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2007,0,0,15,0,0,16,0,0,12,0,0,11,0,0,0,0,0,0,0,0,9,0,0,12,0,3,14,0,0,18,0,0,30,0,0,33,0,3,51,0,0,56,0,3,82,0,0,84,0,3,45,0,0,49,0,7,57,0,0,57,0,3,29,0,0,38,0,7,11,0,0,12,0,33,355,0,0,388
POA2008,0,12,27,0,0,47,0,3,0,0,0,4,0,4,0,0,0,3,0,3,11,0,0,12,0,0,10,0,0,9,0,10,30,0,0,40,0,12,55,0,0,68,0,30,86,0,0,113,0,24,87,0,0,114,4,39,49,0,0,86,3,53,40,0,3,102,0,10,14,0,0,20,16,201,405,3,3,631
POA2009,0,7,63,0,0,75,0,0,10,0,0,9,0,0,3,0,0,9,3,4,12,0,0,22,0,0,13,0,0,13,3,3,67,0,0,72,0,5,81,0,0,88,3,10,161,0,0,175,0,12,124,0,0,136,0,17,162,0,3,181,0,29,217,0,0,248,0,0,39,0,0,39,12,92,958,0,6,1063
POA2010,0,48,83,0,0,130,0,7,26,0,0,38,0,10,12,0,0,24,0,19,19,0,0,39,0,20,46,0,3,66,0,38,142,0,0,182,4,45,180,0,0,227,0,103,295,0,0,400,3,61,239,0,0,302,0,131,280,3,0,421,3,277,270,0,4,552,3,40,43,0,0,86,17,794,1642,6,8,2473
POA2011,0,4,79,0,0,89,0,0,26,0,0,26,0,3,17,0,0,18,0,0,27,0,0,29,0,7,34,0,0,40,0,18,145,0,0,165,0,7,159,0,0,167,0,18,231,0,0,252,0,10,156,0,0,165,0,25,203,0,0,223,0,36,230,0,0,271,0,5,35,0,0,46,10,134,1351,4,4,1498
POA2015,4,26,18,0,0,50,0,7,4,0,0,11,0,6,5,0,0,15,0,10,5,0,0,19,0,5,22,0,0,32,9,33,69,0,0,109,7,32,97,0,0,137,14,76,200,0,3,290,3,62,151,0,0,220,13,103,159,0,3,280,16,158,52,0,0,226,0,18,15,0,0,34,65,532,808,0,9,1414
POA2016,0,21,26,0,0,51,0,3,7,0,0,12,0,3,9,0,0,12,0,9,11,0,0,18,0,6,13,0,0,27,0,30,68,0,0,94,0,27,72,0,0,101,0,57,145,0,0,201,0,54,96,0,0,154,0,109,114,3,3,229,3,135,81,0,0,218,0,19,27,0,0,44,10,476,661,10,9,1163
POA2017,0,10,130,0,0,141,0,3,18,0,0,18,0,3,11,0,0,14,0,4,23,0,0,30,0,7,39,0,0,48,0,17,120,0,0,139,0,17,204,0,0,225,0,35,478,0,3,511,0,28,352,0,0,382,0,61,402,0,0,463,0,56,185,0,0,238,0,8,48,0,0,57,7,245,1998,0,4,2258
