POA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA2000,122,34,159,1579,529,20,2133,19934,4095,26161
POA2006,0,0,0,9,55,0,72,1022,148,1240
POA2007,36,9,42,413,130,10,549,6856,1068,8469
POA2008,19,3,20,480,193,19,695,9273,1344,11307
POA2009,51,11,62,1358,504,21,1879,8540,1205,11623
POA2010,232,49,294,1543,713,29,2290,20067,4026,26380
POA2011,244,181,428,934,626,32,1599,14114,4692,20409
POA2015,29,11,36,1213,313,39,1565,6468,779,8814
POA2016,129,40,177,988,401,39,1423,9358,1523,12305
POA2017,107,44,153,2061,627,26,2724,17411,2735,22867
POA2018,241,31,274,2483,742,47,3271,10006,1153,14431
POA2019,86,96,184,2149,494,60,2703,5076,824,8608
POA2020,126,13,139,2063,523,43,2629,9210,970,12811
POA2021,165,35,200,2027,667,49,2745,9137,1431,13311
POA2022,231,68,305,1718,511,55,2284,6920,1463,10672
POA2023,159,33,194,1788,665,49,2497,5491,789,8774
POA2024,295,137,445,1977,516,55,2554,5516,978,9046
POA2025,212,60,281,1134,413,17,1564,4010,736,6314
POA2026,371,92,483,4628,1250,143,6021,18142,3655,27820
POA2027,318,86,412,911,533,25,1465,4775,1054,7291
POA2028,136,26,171,567,273,10,848,2805,453,4117
POA2029,241,59,303,1745,571,44,2362,5056,748,8167
POA2030,328,45,373,2679,848,69,3594,6702,788,11085
POA2031,702,136,847,5623,1363,182,7167,19404,2645,29218
POA2032,276,37,319,1848,625,55,2529,11238,1033,14800
POA2033,199,38,240,1455,416,33,1903,7372,838,10114
POA2034,283,63,350,3208,906,83,4198,11389,1864,17457
POA2035,813,122,959,5425,1793,155,7371,19247,2174,28796
POA2036,520,178,708,4706,1579,138,6418,14978,3889,25285
POA2037,128,59,188,1584,630,71,2279,10631,1657,14564
POA2038,104,8,114,1556,399,52,2003,5217,665,7891
POA2039,40,9,48,1552,378,47,1973,4560,684,7216
POA2040,356,34,397,4318,832,164,5319,11045,1416,17774
POA2041,137,29,161,2702,828,90,3621,8054,1277,12952
POA2042,115,18,134,2060,642,95,2801,12616,1784,17203
POA2043,22,7,30,1018,239,50,1312,5135,684,7127
POA2044,83,15,99,1184,300,40,1526,4656,497,6672
POA2045,250,18,270,1075,334,42,1448,3528,282,5254
POA2046,697,91,804,4842,1365,121,6322,14190,1520,22032
POA2047,339,47,388,1876,609,56,2539,6597,904,10046
POA2048,83,12,89,1119,338,37,1498,4669,663,6826
POA2049,125,28,154,1639,429,60,2129,6632,973,9740
POA2050,41,9,45,799,244,15,1060,6434,790,8283
POA2052,0,0,0,27,58,0,86,3082,241,3408
POA2060,244,26,271,1567,736,43,2345,9015,1208,12565
POA2061,92,16,112,538,353,12,904,3996,600,5502
POA2062,68,19,85,1353,353,31,1733,3634,350,5726
POA2063,216,18,246,1299,346,33,1675,2993,260,4927
POA2064,116,18,135,1903,334,38,2271,4948,478,7693
