POA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
POA2000,1217,5566,10226,3983,2012,1557,1027,401,141,26121,0,23,28,9,0,3,0,0,0,61,92,523,823,780,892,638,394,145,41,4333,38,202,737,1094,1099,536,158,32,4,3895,94,210,421,527,656,399,172,44,0,2523,13,40,124,131,176,129,96,19,0,722,113,70,200,237,262,151,47,29,0,1105,0,8,29,36,41,56,20,5,0,201,0,10,12,13,32,15,3,0,0,86,12,27,109,97,132,62,32,14,0,480,0,0,0,0,0,0,0,0,0,0,365,1095,2457,2913,3292,1981,921,279,42,13356,365,1116,2482,2922,3292,1989,925,281,42,13414,1577,6684,12707,6904,5304,3545,1957,680,180,39538
POA2006,14,1076,53,16,12,12,6,3,0,1194,0,29,0,0,0,0,0,0,0,29,0,275,6,13,32,26,9,10,0,374,0,15,6,5,7,8,7,0,0,48,0,8,0,3,12,3,0,0,0,34,0,3,0,6,3,0,0,3,0,15,0,6,3,0,0,0,0,0,0,14,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,4,336,19,33,51,37,17,12,0,506,4,362,19,33,51,37,17,12,0,535,16,1443,72,51,67,54,19,10,0,1734
POA2007,364,3323,2719,955,461,323,206,105,42,8496,0,5,7,0,0,0,0,0,0,9,3,103,65,15,9,40,14,0,3,259,0,5,8,3,3,3,0,0,0,18,0,8,3,7,3,5,3,0,0,24,0,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,3,10,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,130,79,27,31,59,19,3,3,352,3,135,89,27,31,59,19,3,3,362,369,3457,2805,985,484,382,222,104,44,8857
POA2008,387,4436,3839,1140,646,451,252,74,20,11244,0,7,4,0,0,0,0,0,0,15,10,134,91,58,61,69,23,3,0,453,0,12,32,24,17,14,0,0,0,107,0,7,27,13,10,13,4,0,0,74,0,0,0,5,3,6,5,0,0,27,3,7,9,10,9,5,3,0,0,50,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,5,0,11,3,6,0,3,0,0,31,0,0,0,0,0,0,0,0,0,0,21,162,173,117,115,104,47,5,0,744,21,170,179,117,115,104,47,5,0,757,410,4608,4023,1253,756,554,296,79,19,11999
POA2009,1170,1390,3924,2271,1303,1155,753,265,62,12286,0,0,0,3,0,0,3,0,0,7,24,69,139,73,114,114,59,22,3,628,0,0,25,53,91,42,9,0,0,225,0,16,39,27,67,46,19,3,0,224,0,5,3,7,7,17,11,3,0,48,0,9,7,14,15,6,3,0,0,51,0,0,3,9,3,10,0,0,0,22,0,0,3,3,0,0,0,0,0,7,0,3,3,19,16,5,6,0,0,49,0,0,0,0,0,0,0,0,0,0,26,99,232,195,314,253,107,32,3,1255,26,98,232,196,314,254,111,28,3,1261,1196,1491,4150,2473,1614,1407,869,296,62,13549
POA2010,1320,2448,9459,5160,3347,2314,1368,694,271,26387,0,3,8,4,9,3,3,0,0,30,29,154,343,178,252,190,185,141,87,1554,0,17,47,46,63,31,14,4,7,221,3,17,41,33,36,22,10,7,0,162,0,11,17,4,17,3,0,0,0,47,3,0,15,19,15,3,6,0,0,69,0,3,0,3,8,7,7,3,0,25,0,0,0,0,0,0,0,0,0,0,0,8,17,16,9,5,3,8,0,61,0,0,0,0,0,0,0,0,0,0,37,208,478,300,401,254,224,154,90,2149,37,211,483,305,409,257,228,156,89,2179,1359,2664,9940,5468,3754,2571,1593,850,369,28565
POA2011,767,2114,6740,3569,2437,2026,1368,660,409,20088,0,48,8,9,9,0,8,0,3,81,33,706,996,391,308,196,132,36,14,2817,3,43,65,57,80,43,11,4,3,309,6,85,127,60,42,38,17,14,0,383,0,14,26,17,9,6,9,3,0,77,0,66,48,17,27,25,9,3,0,195,0,0,6,0,8,0,16,0,0,29,0,19,17,3,3,0,0,0,0,48,6,9,22,32,8,13,11,0,0,112,0,0,0,0,3,0,0,0,0,3,52,941,1306,576,488,326,206,58,23,3976,52,994,1316,579,497,330,212,58,23,4054,820,3104,8051,4153,2940,2354,1582,717,433,24142
POA2015,1082,920,3142,1959,1174,705,333,132,27,9476,0,0,3,0,0,0,0,0,0,3,10,44,45,29,28,18,10,0,0,200,0,0,5,6,3,0,0,0,0,15,0,3,7,3,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,4,0,0,3,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,52,65,40,35,24,18,0,0,239,10,52,68,40,33,21,18,0,0,249,1095,971,3211,1997,1210,733,348,132,33,9719
POA2016,895,1380,3864,2070,1619,1250,808,544,162,12580,0,0,4,3,3,0,0,0,0,13,16,57,128,64,45,35,29,7,8,389,0,0,5,3,0,0,5,0,0,21,0,0,6,4,0,3,0,0,0,21,0,3,0,0,4,0,0,0,0,13,5,0,6,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,21,57,149,77,51,48,34,12,8,463,21,58,156,76,56,48,37,12,8,474,910,1438,4014,2145,1675,1294,847,556,165,13052
POA2017,1799,5211,8237,3352,1865,1476,1128,601,141,23813,3,10,18,3,3,5,3,0,0,40,38,130,217,97,68,79,35,12,5,678,0,5,43,35,33,15,3,0,0,134,0,15,26,15,35,20,9,0,0,118,3,5,4,7,8,6,0,9,0,52,0,0,5,7,8,0,0,0,0,21,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,39,160,298,168,147,126,51,28,6,1019,46,174,315,168,148,125,55,29,6,1057,1836,5388,8552,3525,2019,1599,1183,628,145,24871
