region_id,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU_15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
101,0,454,274,145,293,278,155,84,24,1707,0,336,681,712,1444,2245,2281,2306,1058,11063,319,478,314,229,316,454,351,168,53,2682,18313,10189,9639,13264,14538,13652,9268,5330,1827,96020,0,501,7224,14979,17301,17606,12256,5307,906,76080,0,2033,4036,3685,3155,2015,650,130,11,15715,0,412,1328,2389,2263,864,445,428,260,8389,36910,0,0,0,0,0,0,0,0,36910,0,8171,0,0,0,0,0,0,0,8171,0,5833,1893,889,654,333,41,3,0,9646,0,761,348,207,288,441,351,339,208,2943,0,500,294,166,143,107,45,16,7,1278,0,972,788,422,635,581,325,183,41,3947,0,773,1708,2112,3554,4489,3933,3397,1456,21422,693,962,711,558,672,863,636,278,82,5455,37603,20918,18330,25407,28665,27299,18682,10081,2971,189956
102,0,589,515,263,461,540,348,163,43,2922,0,343,767,879,1728,3363,4168,4529,2328,18105,455,798,423,269,298,419,363,236,97,3358,28610,17735,15945,20183,21178,18761,14580,10343,3996,151331,0,880,12286,22236,23870,22229,16884,9505,2066,109956,0,2676,6239,4916,3773,2141,868,239,38,20890,0,686,2392,4621,4683,1912,851,845,534,16524,57510,0,0,0,0,0,0,0,0,57510,0,14535,0,0,0,0,0,0,0,14535,0,11726,4129,1663,1195,680,104,6,0,19503,0,1250,607,336,633,857,793,764,422,5662,0,1036,580,344,359,204,108,47,23,2701,0,1166,1392,723,1051,1075,734,351,83,6575,0,754,1947,2673,4156,5959,6420,6267,3186,31362,905,1561,987,681,632,735,636,343,133,6613,58415,36270,30559,38193,40352,35792,27398,18367,6485,291831
103,0,730,279,152,203,213,151,85,21,1834,0,393,634,608,1195,1991,2249,2267,1091,10428,354,550,272,183,259,311,269,163,70,2431,18861,10702,9880,11900,12581,11456,8286,5274,1802,90742,0,628,7936,13610,15414,15074,10362,5070,812,68906,0,2553,4155,2897,2290,1303,456,83,9,13746,0,625,1472,2316,1956,793,488,490,238,8378,38214,0,0,0,0,0,0,0,0,38214,0,7319,0,0,0,0,0,0,0,7319,0,5619,1759,882,742,325,44,4,0,9375,0,867,293,195,308,423,432,340,175,3033,0,564,224,151,135,74,37,16,12,1213,0,1551,808,393,459,465,317,166,30,4189,0,960,1696,1880,3047,4087,3938,3323,1416,20347,723,1098,646,468,522,556,472,257,90,4832,38937,21784,18989,22792,24873,23100,16546,9749,2782,179552
104,0,435,219,129,266,232,133,64,18,1496,0,184,308,343,977,1594,1600,1558,788,7352,236,347,163,126,249,287,236,117,36,1797,11582,6804,5631,7825,9594,9027,6462,3908,1373,62206,0,372,3913,7923,10023,11081,8129,4122,734,46297,0,1136,2159,2189,2063,1480,493,137,15,9672,0,414,1100,1912,1808,681,300,303,188,6706,23217,0,0,0,0,0,0,0,0,23217,0,5275,0,0,0,0,0,0,0,5275,0,3550,1187,567,490,258,44,0,0,6096,0,541,225,125,213,311,290,247,186,2138,0,479,255,153,145,103,42,18,6,1201,0,841,549,310,540,534,296,143,32,3245,0,425,793,1077,2257,3104,2653,2267,1066,13642,495,700,420,314,489,547,407,191,51,3614,23712,13733,10601,14570,18028,18099,12654,7428,2278,121103
105,0,316,158,95,160,136,87,30,4,986,0,301,442,406,768,1127,1290,1356,539,6229,268,356,195,141,199,214,149,119,32,1673,11154,6145,5976,6671,7397,6436,4654,2957,880,52270,0,356,3994,6763,8278,7989,5536,2655,394,35965,0,1621,2511,1897,1524,830,290,64,10,8747,0,534,1217,1541,1197,504,319,290,141,5743,22303,0,0,0,0,0,0,0,0,22303,0,3473,0,0,0,0,0,0,0,3473,0,3196,1043,551,426,192,29,0,3,5440,0,740,242,195,306,329,293,191,83,2379,0,359,163,118,77,65,27,4,3,816,0,623,416,207,354,310,179,76,8,2173,0,654,1100,1125,2000,2491,2386,2024,732,12512,559,726,473,355,409,401,278,180,45,3426,22862,12282,11159,12752,14571,13111,9337,5484,1419,102977
106,0,476,356,165,309,304,175,52,13,1850,0,300,612,618,1200,2157,2262,2413,1102,10664,436,703,303,199,279,364,267,129,52,2732,23963,14198,13453,15896,15903,14264,9569,5721,1893,114860,0,926,11398,18423,19769,18951,12752,5647,906,88772,0,3170,5708,4118,2898,1552,541,150,26,18163,0,750,1962,3238,2778,1095,540,530,272,11165,48331,0,0,0,0,0,0,0,0,48331,0,10066,0,0,0,0,0,0,0,10066,0,8894,2789,1199,807,371,62,3,0,14125,0,1002,400,261,409,569,499,395,247,3782,0,783,369,218,189,130,53,30,6,1778,0,1076,976,501,645,618,407,115,33,4371,0,805,1982,2063,3112,4142,3731,3361,1466,20662,819,1289,780,526,575,640,463,198,65,5355,49150,28761,26364,30547,31182,28068,19048,10429,3021,226570
107,0,1592,724,212,304,307,163,89,30,3421,0,401,845,868,1509,2403,2817,3155,1449,13447,411,648,441,220,245,292,209,144,60,2670,24875,17444,15736,18143,18681,15470,11361,7758,2576,132044,0,862,12941,21711,23051,20459,14467,7769,1384,102644,0,2263,5443,3667,2896,1384,517,138,24,16332,0,542,1808,3602,3593,1522,796,772,381,13016,50261,0,0,0,0,0,0,0,0,50261,0,13925,0,0,0,0,0,0,0,13925,0,10253,4479,1827,1239,478,71,3,0,18350,0,1401,671,311,467,626,584,620,349,5029,0,904,467,237,205,108,59,27,11,2018,0,3500,2104,590,702,611,373,176,44,8100,0,940,2341,2565,3815,4526,4388,4336,1949,24860,824,1239,973,590,527,508,366,228,81,5336,51085,35829,31227,35100,36495,30222,21621,14069,4223,259871
108,0,380,203,163,365,410,300,133,32,1986,0,256,401,517,1387,2424,2921,3124,1595,12625,386,541,253,205,325,479,429,221,74,2913,16802,9218,7620,11149,14050,14395,12179,7757,2689,95859,0,449,5383,11200,14792,17583,15532,8209,1556,74704,0,1614,2915,2924,2858,2131,967,247,37,13693,0,622,1587,2789,2658,933,512,559,334,9994,33706,0,0,0,0,0,0,0,0,33706,0,7320,0,0,0,0,0,0,0,7320,0,5012,1719,1012,827,444,75,3,0,9092,0,809,231,196,415,521,471,426,282,3351,0,550,227,179,212,123,71,21,11,1394,0,738,529,413,779,803,636,288,62,4248,0,580,1038,1527,3301,4765,4843,4570,2209,22833,718,1055,627,558,678,864,787,363,93,5743,34424,18749,14256,20798,26520,28167,23894,14686,4584,186078
109,0,610,253,81,120,138,95,40,12,1349,0,319,445,379,756,1153,1293,1390,671,6406,167,300,160,72,124,198,167,88,32,1308,9963,6045,5455,6555,7401,6784,4958,3128,1052,51341,0,316,4329,7528,8893,9066,6366,3196,545,40239,0,1239,2105,1564,1348,827,294,68,10,7455,0,248,757,1318,1163,391,216,214,128,4435,19945,0,0,0,0,0,0,0,0,19945,0,4287,0,0,0,0,0,0,0,4287,0,3029,860,426,348,146,18,3,0,4830,0,437,169,92,156,179,166,136,72,1407,0,266,131,62,61,47,10,7,0,584,0,1140,623,218,251,280,210,83,15,2820,0,744,1174,1161,1836,2367,2255,2054,912,12503,350,590,353,216,277,367,296,162,44,2655,20295,12296,10501,12585,14333,13670,9831,5923,1726,101160
110,0,689,295,146,218,231,141,53,14,1787,0,414,616,577,1131,1744,2020,2160,1036,9698,389,552,281,147,243,341,288,159,48,2448,16720,9614,8870,10434,11654,10422,7804,4712,1599,81829,0,659,6560,11631,13754,13642,9854,4353,692,61145,0,2325,3619,2563,2126,1195,410,103,13,12354,0,671,1586,2093,1833,722,457,454,205,8021,33613,0,0,0,0,0,0,0,0,33613,0,6023,0,0,0,0,0,0,0,6023,0,4681,1572,843,637,319,37,3,0,8092,0,915,341,218,336,418,346,321,164,3059,0,572,230,163,141,69,21,15,6,1217,0,1398,740,348,493,480,297,104,22,3882,0,906,1586,1661,2762,3531,3474,3009,1315,18244,766,1084,683,425,498,610,508,244,69,4887,34379,19234,16917,19945,22580,20986,15404,8606,2486,160537
