region_id,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
101,81,59,122,150,181,137,48,23,6,807,3032,3223,7147,10466,11848,7506,1293,193,25,44733,143,249,629,968,1353,1501,931,340,35,6149,9,28,67,91,97,62,5,3,0,362,379,472,926,1206,1343,829,172,16,3,5346,30,80,271,354,427,254,24,0,0,1440,541,928,1610,1970,2005,1251,224,8,0,8537,83,160,337,559,611,405,98,6,0,2259,1819,1065,1575,1943,2169,1429,332,35,4,10371,1595,911,1155,1264,1484,1019,200,27,0,7655,71,162,472,790,1075,871,208,29,0,3678,63,93,189,255,277,188,29,6,0,1100,34,134,300,380,350,189,39,6,0,1432,88,133,241,280,291,260,68,10,0,1371,112,290,817,1241,1258,988,269,35,4,5014,73,150,353,594,683,508,105,7,0,2473,131,572,2571,4088,3999,1893,202,7,0,13463,107,236,905,1634,2045,1591,229,15,5,6767,220,613,1356,2234,3213,2253,314,22,0,10225,122,156,294,347,342,243,66,6,0,1576
102,108,107,210,245,281,203,58,27,10,1249,4664,5759,10820,14317,15950,9309,1364,115,14,62312,41,69,123,187,204,149,116,18,3,910,5,60,165,182,168,128,6,0,0,714,497,1017,2137,2867,2990,1678,264,20,3,11473,54,129,326,436,514,362,35,3,0,1859,674,1346,2738,3133,2775,1635,270,15,0,12586,115,280,820,1225,1204,698,168,14,4,4528,2604,2348,2787,3013,3269,1964,403,33,0,16421,2874,1555,1377,1418,1351,772,121,17,0,9485,56,247,745,1332,1764,1267,264,10,0,5685,115,228,497,689,644,365,54,5,0,2597,57,340,888,1101,1062,571,97,15,5,4136,129,199,378,493,514,328,107,17,0,2165,151,536,1403,1858,1655,1187,341,39,0,7170,135,417,850,1072,1167,734,130,9,0,4514,100,397,1691,2324,2319,1368,149,5,0,8353,151,524,1617,2156,2703,1975,264,25,0,9415,347,1217,2908,4259,5676,3647,524,34,6,18618,187,276,355,429,378,240,77,16,3,1961
103,70,57,93,142,147,144,74,25,11,763,2756,3366,6570,8856,9805,6344,1434,238,32,39401,198,326,875,1330,1795,2008,1474,510,62,8578,116,550,1411,1454,1109,464,51,3,0,5158,391,701,1355,1622,1725,1053,195,19,3,7064,21,87,238,330,431,245,31,0,0,1383,385,691,1160,1170,1171,831,159,16,0,5583,112,214,440,530,548,380,89,12,0,2325,1623,1156,1443,1576,1735,1105,251,26,0,8915,1329,837,859,866,1022,673,125,7,0,5718,77,170,514,834,1004,841,251,22,0,3713,35,111,178,162,167,101,14,0,0,768,24,101,271,298,310,161,33,7,4,1209,56,69,151,229,197,160,50,7,0,919,100,273,617,707,602,585,169,21,0,3074,97,190,333,492,541,323,66,3,0,2045,74,286,965,1534,1679,1036,111,3,0,5688,119,387,1209,1879,2095,1556,253,16,0,7514,215,695,1582,2323,2998,2045,306,22,0,10186,70,70,95,139,146,127,32,3,0,682
104,46,19,57,112,99,89,26,14,3,465,1875,1679,3451,5480,7097,4331,572,77,9,24571,59,133,292,433,572,559,297,92,10,2447,0,10,52,51,58,41,0,0,0,212,192,282,507,725,835,549,80,4,0,3174,10,27,85,154,156,111,3,0,3,549,238,428,805,967,1135,779,82,7,3,4444,64,90,216,322,360,247,44,6,0,1349,1188,731,1046,1215,1389,988,147,16,0,6720,1092,601,693,822,902,566,82,13,0,4771,50,68,203,390,574,489,123,5,0,1902,41,50,90,138,140,73,10,0,0,542,17,58,164,253,277,156,30,3,0,958,52,46,129,184,254,163,34,7,5,874,32,117,319,541,543,436,97,3,0,2088,40,64,198,344,457,318,38,7,0,1466,46,122,494,934,1107,708,50,0,0,3461,53,135,537,1040,1450,1038,99,8,0,4360,124,335,929,1649,2551,1683,194,10,0,7475,79,57,106,133,189,101,18,7,0,690
105,34,28,69,81,92,73,38,15,0,430,1446,1890,3996,4875,5739,3603,887,149,7,22592,196,339,811,1096,1505,1385,840,296,39,6507,51,195,496,504,444,195,21,0,0,1906,212,256,446,471,460,262,46,7,0,2160,13,54,171,186,197,130,13,0,0,764,210,341,526,551,596,443,97,7,0,2771,66,136,273,345,332,212,77,7,0,1448,925,551,809,897,1038,679,153,27,4,5083,685,397,477,506,645,455,116,13,0,3294,34,70,253,367,617,500,154,15,0,2010,15,37,82,68,81,74,22,0,0,379,29,83,152,183,201,76,18,0,0,742,26,45,79,103,96,71,26,3,0,449,40,152,334,322,309,239,75,12,0,1483,41,94,175,230,311,211,43,6,0,1111,52,197,685,1082,1049,610,71,5,0,3751,51,254,948,1092,1108,757,135,6,0,4351,132,448,1079,1359,1923,1229,177,13,0,6360,35,50,114,115,136,107,27,3,0,587
106,68,78,124,215,185,151,45,20,6,892,4001,4669,8856,11426,11680,6470,950,115,16,48183,136,269,485,609,727,818,454,152,24,3674,121,693,2716,2686,2342,1189,79,0,0,9826,663,1055,2143,2554,2630,1543,180,16,3,10787,53,148,309,417,573,246,37,0,0,1783,478,991,1764,2004,1797,1214,191,7,0,8446,126,329,671,761,691,406,88,13,0,3085,2096,1582,2007,2203,2168,1205,231,21,0,11513,2364,1293,1295,1315,1228,733,166,24,0,8418,98,209,638,1082,1310,1071,222,21,0,4651,54,83,130,147,172,97,16,0,0,699,39,191,424,489,426,185,40,8,0,1802,114,188,338,383,374,231,65,10,0,1703,140,415,978,1140,970,705,190,18,6,4562,134,259,662,781,865,550,88,6,3,3348,130,519,1485,1900,1748,899,90,7,0,6778,95,310,1023,1644,1924,1410,152,13,0,6571,242,725,1730,2569,3370,2011,251,14,0,10912,123,136,264,240,212,144,55,10,0,1184
107,96,107,167,199,221,120,37,21,3,971,3914,5919,10910,13020,13741,7050,846,93,12,55505,29,29,67,82,77,101,77,36,0,498,25,233,854,798,694,424,26,3,0,3057,448,900,1998,2950,3467,1875,207,14,0,11859,18,83,271,337,395,210,11,0,3,1328,571,1032,2166,2307,2021,1095,177,12,3,9384,86,252,634,807,753,454,80,4,0,3070,1814,2060,2393,2492,2301,1221,223,18,7,12529,2551,1795,1317,1027,1209,577,98,22,0,8596,94,317,1055,1576,1781,1031,186,18,0,6058,63,152,372,395,306,140,25,0,0,1453,53,376,1193,1291,890,397,54,8,0,4262,132,193,382,413,415,231,45,12,0,1823,145,631,1493,1564,1340,866,202,14,3,6258,104,361,757,900,954,556,97,6,0,3735,80,477,1890,2457,2223,1155,106,3,0,8391,267,838,2286,2725,3573,2433,239,22,0,12383,327,1272,2988,3785,4597,2542,320,24,3,15858,226,262,318,305,323,186,50,10,0,1680
108,45,28,67,134,149,122,49,34,3,631,2513,2097,4625,7753,10229,6274,1063,124,9,34687,86,98,248,440,683,802,547,164,20,3088,11,29,112,142,155,96,15,0,0,560,322,408,801,1047,1280,761,149,13,3,4784,21,82,299,523,553,268,23,3,0,1772,277,531,1085,1498,1674,1150,161,12,0,6388,72,115,228,424,490,326,88,11,3,1757,1714,938,1423,1768,2046,1465,269,26,3,9652,1444,705,882,1041,1288,830,171,22,3,6386,44,87,254,555,860,767,197,13,0,2777,45,48,86,131,163,149,24,3,0,649,34,70,193,377,354,199,58,11,3,1299,52,62,177,251,315,256,66,16,3,1198,57,130,393,607,694,601,174,25,0,2681,45,95,332,520,690,472,90,6,0,2250,37,135,529,1023,1205,686,76,5,0,3696,50,180,699,1363,2026,1507,152,12,0,5989,189,505,1312,2504,3838,2477,315,24,0,11164,73,64,136,206,234,163,43,3,0,922
109,48,29,76,93,109,75,38,14,7,489,1667,1958,3807,5029,5998,3845,781,102,23,23210,176,290,700,1012,1340,1230,676,215,28,5667,0,24,60,52,51,36,0,0,0,223,307,463,1011,1270,1370,817,122,8,0,5368,7,27,80,156,184,113,17,0,0,584,249,505,780,745,832,594,80,4,0,3789,66,106,276,335,352,281,68,9,0,1493,1011,694,922,988,1009,737,142,22,0,5525,758,522,584,664,679,566,120,12,6,3911,38,90,266,486,616,565,181,8,0,2250,27,52,94,94,88,58,21,0,0,434,22,66,203,231,214,112,24,0,0,872,26,33,79,95,111,118,30,12,0,504,54,130,372,387,412,345,110,11,0,1821,42,74,176,252,320,291,49,7,0,1211,62,178,497,835,938,574,74,3,0,3161,56,184,643,895,1159,704,108,10,0,3759,100,363,1005,1271,1742,1204,177,9,0,5871,64,51,93,89,116,72,11,0,0,496
110,69,36,86,123,128,121,74,26,3,666,2482,2864,5790,7645,8977,5886,1376,216,33,35269,292,549,1350,2023,2524,2489,1465,450,49,11191,20,115,324,294,235,114,9,3,0,1114,339,598,1117,1092,1090,625,127,12,3,5003,19,50,159,212,230,121,19,0,0,810,289,578,929,1039,1071,763,149,13,0,4831,114,212,432,521,580,348,91,10,3,2311,1503,982,1331,1518,1604,1049,235,25,6,8253,1225,687,747,745,865,628,125,13,0,5035,53,139,443,688,914,838,237,26,5,3343,36,75,140,112,146,98,19,0,0,626,44,136,332,380,320,196,41,11,0,1460,66,83,172,192,184,133,45,7,3,885,78,241,570,624,668,532,133,11,0,2857,46,111,263,390,446,333,67,3,0,1659,63,251,725,1156,1263,789,97,9,0,4353,82,318,1246,1788,2199,1549,260,18,0,7460,189,581,1413,1974,2727,1831,272,16,3,9006,60,74,111,136,129,96,29,6,0,641
