region_id,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
101,83189,84819,168008,37237,21651,58888,9638,19878,29516,3058,3203,6261,2560,1953,4513,52493,46685,99178,25823,33732,59555,4.9,4.2,4.6,63.1,55.0,59.0,60.0,52.7,56.3,2514,2006,4520,1170,1962,3132,6860,9773,16633,5095,7654,12749,23422,12611,36033,82422,83774,166196,13944,14671,28615,56011,56232,112243,34489,36518,71007
102,119711,131776,251487,51294,27058,78352,13281,30787,44068,4128,4463,8591,5182,4507,9689,73885,66815,140700,39031,57886,96917,7.0,6.7,6.9,61.7,50.7,55.9,57.4,47.3,52.1,2291,2026,4317,1048,1788,2836,8814,12673,21487,7871,11707,19578,36641,21169,57810,122170,131266,253436,19584,21504,41088,81225,87191,168416,51341,56790,108131
103,77052,78534,155586,36279,18113,54392,7232,18558,25790,2753,2732,5485,2535,2166,4701,48799,41569,90368,23762,32997,56759,5.2,5.2,5.2,63.3,52.9,58.1,60.0,50.2,55.1,1201,1083,2284,586,1190,1776,4831,8065,12896,3748,6154,9902,21755,12406,34161,77496,78768,156264,13335,14015,27350,53263,53602,106865,31299,33207,64506
104,51110,54713,105823,17697,9915,27612,6572,12981,19553,1697,1674,3371,2650,2035,4685,28616,26605,55221,19968,25678,45646,9.3,7.6,8.5,56.0,48.6,52.2,50.8,44.9,47.8,820,732,1552,451,841,1292,3684,5505,9189,2830,4555,7385,15312,8976,24288,50665,53125,103790,9488,10496,19984,33494,34783,68277,22954,25148,48102
105,44059,45261,89320,20064,11458,31522,3813,9553,13366,1619,1582,3201,1872,1371,3243,27368,23964,51332,13731,18562,32293,6.8,5.7,6.3,62.1,52.9,57.5,57.9,49.9,53.8,407,493,900,249,606,855,2148,4357,6505,1751,2878,4629,11223,6833,18056,44504,45532,90036,7314,7775,15089,31224,31382,62606,16700,18149,34849
106,94772,97451,192223,46309,20798,67107,9099,23999,33098,3693,3389,7082,3039,2942,5981,62140,51128,113268,27574,41689,69263,4.9,5.8,5.3,65.6,52.5,58.9,62.4,49.4,55.8,1258,1120,2378,614,1149,1763,5464,8424,13888,5420,7638,13058,31245,16627,47872,96066,98152,194218,16830,17519,34349,64155,65313,129468,40844,42832,83676
107,109098,114135,223233,48112,23777,71889,11763,27702,39465,4041,4027,8068,4715,3882,8597,68631,59388,128019,35239,50015,85254,6.9,6.5,6.7,62.9,52.0,57.3,58.6,48.6,53.5,3851,3414,7265,1172,2055,3227,10303,13125,23428,7668,10047,17715,31801,17217,49018,112119,115575,227694,16954,17694,34648,78808,81249,160057,42300,44429,86729
108,79577,85617,165194,24930,14121,39051,9320,18142,27462,2367,2426,4793,3683,2683,6366,40300,37372,77672,34891,44007,78898,9.1,7.2,8.2,50.6,43.7,47.0,46.0,40.5,43.2,1009,845,1854,674,1112,1786,4803,6919,11722,4329,7115,11444,24324,14066,38390,78306,82880,161186,13589,14850,28439,53299,55698,108997,33198,36667,69865
109,43750,45351,89101,20750,10283,31033,4246,11230,15476,1683,1694,3377,1397,1246,2643,28076,24453,52529,13134,18610,31744,5.0,5.1,5.0,64.2,53.9,59.0,61.0,51.2,56.0,563,557,1120,382,800,1182,2749,4673,7422,2246,3455,5701,12089,6855,18944,44070,44755,88825,7161,8055,15216,30608,30591,61199,17405,18977,36382
110,68178,71583,139761,31029,16666,47695,6877,16226,23103,2411,2378,4789,2714,2251,4965,43031,37521,80552,20982,30045,51027,6.3,6.0,6.2,63.1,52.4,57.6,59.1,49.3,54.1,1333,1201,2534,508,1204,1712,4258,7177,11435,3178,5387,8565,17618,11003,28621,68527,70395,138922,12500,13490,25990,46429,47298,93727,29009,31212,60221
