region_id,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
101,2386,2101,1651,731,243,117,9688,524,1210,1564,1507,1102,412,99,18,6436,99,296,387,324,236,128,61,16,1547,438,734,661,461,366,158,36,16,2870,13,3,6,12,0,10,5,3,52,16,68,123,122,84,27,13,8,461,972,727,934,1005,1097,1197,1240,703,7875,3277,6880,9139,9245,7988,4453,2361,1106,44449,62,296,515,491,502,310,103,21,2300,195,479,465,444,272,71,14,0,1940,749,1658,2553,3026,2853,1978,892,242,13951,438,938,1242,1476,1238,744,338,79,6493,239,574,906,892,688,357,154,30,3840,238,925,1478,2110,1855,1019,440,140,8205,135,798,1216,1566,1975,976,307,89,7062,926,2371,3397,3114,2611,1250,424,174,14267,663,1682,2363,2254,1874,831,233,64,9964,158,454,544,500,423,233,92,23,2427,638,1144,1139,843,619,306,104,28,4821,20,6,11,18,10,13,10,6,94,36,165,261,259,227,106,50,18,1122,2260,1782,2238,2401,2409,2357,2143,1040,16630,6757,13272,18328,19394
102,3518,3122,2310,1305,596,191,15554,949,1855,2038,1813,1182,481,168,34,8520,272,510,525,369,231,146,73,23,2149,797,1217,1196,808,560,272,127,44,5021,14,13,18,12,15,7,7,4,90,27,51,128,88,77,48,25,10,454,1507,962,1371,1546,1511,2027,2501,1807,13232,6137,11243,13362,12819,9802,6289,4564,2415,66631,128,335,513,424,359,226,111,32,2128,307,647,695,527,271,62,17,3,2529,1021,2544,3789,4776,4152,3225,1882,589,21978,700,1792,2155,2073,1587,1058,596,169,10130,296,576,619,522,282,172,79,21,2567,709,2114,2738,3299,2293,1161,632,173,13119,324,1589,1897,2147,2409,1117,555,134,10172,1960,4339,5181,4798,3796,2244,1005,320,23643,1270,2511,2851,2561,1863,881,353,87,12377,484,806,830,594,452,279,126,41,3612,1082,1814,1855,1301,951,541,245,75,7864,26,20,23,27,26,12,17,4,155,74,153,265,232,203,122,74,39,1162,3322,2111,2915,3262,3077,3708,4240,2664,25299,11703,21351,26326,26543
103,1893,1780,1315,525,220,73,8266,519,1055,1034,922,641,235,61,19,4486,116,255,211,180,140,105,30,15,1052,511,705,610,339,233,105,40,9,2552,15,5,8,6,7,7,4,3,55,17,37,70,51,40,9,11,5,240,1077,636,886,909,1042,1168,1109,561,7388,3831,6822,7752,7465,6213,3557,2155,903,38698,59,221,285,274,241,122,32,10,1244,153,260,227,199,136,46,4,3,1028,1079,2301,2759,2913,2365,1441,683,165,13706,463,856,836,902,750,428,219,43,4497,314,686,890,948,718,486,168,34,4244,483,1223,1566,1900,1615,786,409,129,8111,242,1068,1375,1448,1570,771,313,77,6864,988,2275,2616,2517,1999,852,333,111,11691,625,1327,1442,1305,1001,424,147,38,6309,198,350,310,267,246,170,49,15,1605,718,1043,963,611,407,242,94,17,4095,25,12,11,12,10,7,10,3,90,45,84,162,163,109,52,43,15,673,2663,1837,2175,2136,2259,2292,1995,837,16194,8055,13543,15617,15595
104,1208,1368,1100,492,181,81,5983,293,639,861,1005,687,223,53,13,3774,52,139,196,203,140,72,21,9,832,324,447,442,329,248,111,47,10,1958,13,3,6,6,3,3,3,3,40,9,26,50,51,44,7,12,3,202,605,358,500,601,620,784,889,628,4985,2195,3783,5133,6017,5029,2741,1634,858,27390,31,98,160,173,237,121,39,5,864,127,164,174,154,97,35,11,0,762,400,801,1290,1800,1974,1395,726,174,8560,216,493,722,1016,900,493,240,66,4146,153,318,449,432,291,118,68,10,1839,209,646,1118,1515,1286,623,271,73,5741,82,527,802,1156,1385,699,248,53,4952,704,1353,1683,1939,1694,802,306,116,8597,359,847,1193,1350,1101,388,126,32,5396,108,237,294,313,256,124,43,16,1391,460,747,714,579,447,234,80,20,3281,27,8,6,6,7,6,6,6,72,25,55,113,119,124,43,34,9,522,1339,860,1130,1327,1349,1443,1568,927,9943,4240,7154,9848,11879
105,964,909,568,208,89,25,4062,289,573,562,506,331,106,22,3,2392,36,86,71,61,58,37,10,3,362,262,367,282,191,131,68,20,7,1328,4,3,5,8,8,0,0,0,28,8,18,40,24,21,5,8,0,124,750,490,611,688,647,759,779,400,5124,2299,4026,4208,4236,3147,1821,1208,528,21473,22,101,118,100,104,33,14,3,495,64,120,87,110,44,20,7,0,452,529,1046,1224,1405,1181,678,320,74,6457,237,385,371,453,410,252,92,18,2218,254,478,589,564,330,188,78,12,2493,264,763,833,1115,821,399,181,66,4442,182,836,835,765,689,275,98,30,3710,532,1184,1340,1291,868,337,128,30,5710,355,783,832,714,512,171,47,9,3423,60,124,99,102,97,50,20,8,560,348,530,451,320,241,140,58,10,2098,13,6,8,12,11,4,0,0,54,23,43,81,63,65,25,19,3,322,1671,1239,1390,1536,1432,1495,1385,582,10730,4554,7638,8258,8550
106,2629,2160,1467,719,244,87,11152,586,1287,1201,1157,725,253,66,11,5286,129,307,244,185,151,79,55,7,1157,705,1032,947,511,353,132,39,18,3737,10,3,10,15,6,7,5,3,59,22,51,102,62,59,25,10,8,339,1216,790,1104,1096,1221,1242,1292,669,8630,4876,8832,9673,8820,6953,3862,2298,978,46292,94,294,380,331,311,151,47,5,1613,175,349,265,259,169,52,13,0,1282,1899,4279,4894,5101,4036,2425,1011,262,23907,416,946,1115,1156,953,672,246,57,5561,288,662,638,510,342,175,59,15,2689,465,1412,1857,2247,1794,911,351,106,9143,200,999,1315,1421,1646,719,292,65,6657,1600,3250,3585,3128,2266,1225,429,122,15605,704,1620,1627,1502,1107,469,149,22,7200,211,421,357,282,238,137,81,12,1739,926,1633,1440,835,594,329,110,27,5894,20,6,15,22,14,7,8,3,95,60,151,255,179,146,81,36,15,923,2783,2053,2548,2582,2536,2429,2273,1010,18214,9841,18075,20291,19555
107,3304,2709,1703,827,355,116,13846,1058,2031,2058,1794,1109,376,130,33,8589,296,548,502,363,218,116,52,18,2113,693,1059,945,627,347,170,63,33,3937,24,9,10,10,13,12,11,6,95,49,94,112,108,57,33,25,3,481,1326,841,997,1164,1230,1359,1661,786,9364,6280,11690,12194,11411,8201,4398,2940,1207,58321,261,657,607,573,504,260,85,14,2961,409,960,619,446,203,50,12,0,2699,1429,3688,4771,5603,4588,2795,1468,451,24793,721,1624,1757,1527,1023,715,412,98,7877,172,492,470,381,197,96,36,13,1857,720,2046,2311,2517,1688,786,348,107,10523,361,1700,1935,2384,2495,974,384,99,10332,2250,4588,4867,4105,2816,1311,537,176,20650,1439,2818,2931,2483,1693,644,245,57,12310,535,907,765,569,348,169,79,27,3399,938,1588,1394,952,580,343,135,46,5976,77,20,17,15,25,21,14,6,195,101,207,256,254,165,82,52,18,1135,2931,1994,2192,2558,2488,2561,2915,1194,18833,12344,23289,24892,24367
108,1746,2068,1693,1011,418,133,9050,412,864,1113,1274,908,354,98,23,5046,74,161,222,234,186,136,57,17,1087,407,663,633,549,406,205,88,21,2972,14,5,7,11,9,11,10,3,70,10,41,67,60,64,35,12,4,293,921,449,793,945,1102,1501,1767,1222,8700,3040,5019,7237,8752,7588,5138,3324,1649,41747,8,88,205,221,279,199,77,30,1107,145,202,223,240,217,69,11,0,1107,577,1181,1918,2760,3030,2792,1539,435,14232,323,714,1099,1416,1366,959,470,103,6450,181,353,586,565,437,205,104,22,2453,361,979,1642,2381,1929,1107,534,146,9079,137,631,1173,1559,2007,1109,479,90,7185,876,1740,2406,2793,2493,1658,704,224,12894,500,1097,1547,1733,1380,624,230,43,7154,107,248,331,352,340,210,92,22,1702,614,1027,1031,903,715,426,169,46,4931,29,8,7,19,13,19,15,6,116,26,90,129,141,168,117,52,22,745,2064,1196,1694,2106,2363,2835,3133,1792,17183,5948,9554,13991,17189
109,995,889,523,232,104,40,4223,234,591,655,624,469,129,28,7,2737,45,128,105,87,66,42,14,8,495,363,427,425,287,194,93,45,7,1841,9,8,4,3,0,0,0,0,24,13,34,31,39,30,12,0,6,165,566,326,438,538,580,722,787,526,4483,2120,3964,4246,4353,3405,2029,1297,713,22127,37,124,155,102,107,50,17,5,597,75,135,128,94,70,27,4,0,533,533,1097,1230,1518,1316,873,381,110,7058,317,454,490,559,441,291,166,29,2747,218,530,588,558,390,184,72,11,2551,256,795,817,1120,964,476,217,71,4716,109,591,696,858,780,446,141,39,3660,619,1430,1509,1375,960,441,183,55,6572,314,748,892,773,651,204,54,21,3657,79,197,146,130,111,61,22,8,754,451,639,635,440,307,168,84,19,2743,12,8,4,3,4,0,3,0,34,21,68,81,85,76,41,12,13,397,1278,757,964,1159,1274,1408,1421,773,9034,4319,7573,8335,8774
110,1612,1593,1117,475,166,54,7128,508,938,1041,1030,719,262,56,16,4570,100,173,197,156,106,67,40,8,847,443,529,460,330,210,84,24,12,2092,16,8,11,0,10,3,0,3,51,14,55,66,49,37,23,5,4,253,1045,642,851,881,880,1072,1090,603,7064,3532,5966,6845,7051,5641,3322,1936,873,35166,64,198,273,271,275,156,48,26,1311,120,209,159,152,106,38,12,0,796,787,1609,1755,2116,1837,1171,463,109,9847,363,617,659,807,680,416,201,34,3777,372,852,941,835,659,393,161,41,4254,367,993,1322,1739,1472,795,330,117,7135,195,1009,1204,1363,1452,682,256,69,6230,925,1972,2271,2225,1676,794,257,74,10194,630,1266,1498,1411,1165,447,123,35,6575,165,263,293,250,199,107,61,13,1351,615,812,737,566,388,191,61,24,3394,26,18,18,11,10,8,0,3,94,39,107,155,151,98,69,17,14,650,2248,1503,1831,1942,1916,2096,1894,878,14308,6916,11428,13116,13839
