region_id,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
101,12,6,13,0,6919,6950,165,9,10,4,4793,4981,3417,193,178,13,5970,9771,7715,545,1021,38,4115,13434,9447,775,2096,133,3145,15596,10131,747,2373,355,1508,15114,7588,422,1263,587,635,10495,3630,127,425,872,303,5357,767,24,65,558,77,1491,42872,2848,7444,2560,27465,83189,17,5,0,4,6298,6324,395,40,11,6,4190,4642,4637,324,307,37,5061,10366,8646,736,1426,110,3171,14089,9689,904,2435,342,2152,15522,9962,609,2417,925,927,14840,6412,261,1207,1956,335,10171,2457,87,406,2921,188,6059,420,15,106,2161,103,2805,42635,2981,8315,8462,22425,84818,29,11,13,4,13217,13274,560,49,21,10,8983,9623,8054,517,485,50,11031,20137,16361,1281,2447,148,7286,27523,19136,1679,4531,475,5297,31118,20093,1356,4790,1280,2435,29954,14000,683,2470,2543,970,20666,6087,214,831,3793,491,11416,1187,39,171,2719,180,4296,85507,5829,15759,11022,49890,168007
102,10,8,7,3,10883,10911,306,10,21,3,8393,8733,5682,357,279,18,9296,15632,11236,925,1502,50,5519,19232,12535,1197,3010,184,3669,20595,12262,956,3068,387,1779,18452,9866,559,2012,802,834,14073,6103,224,717,1452,429,8925,1666,39,130,1197,126,3158,59666,4275,10746,4096,40928,119711,19,4,5,11,10122,10161,620,45,17,5,7759,8446,7456,578,571,34,8070,16709,12345,1388,2512,180,4699,21124,12986,1546,4397,545,2786,22260,12042,1052,4291,1277,1282,19944,8936,502,2660,3059,578,15735,4568,175,1108,5381,359,11591,972,27,274,4334,200,5807,59944,5317,15835,14826,35855,131777,29,12,12,14,21005,21072,926,55,38,8,16152,17179,13138,935,850,52,17366,32341,23581,2313,4014,230,10218,40356,25521,2743,7407,729,6455,42855,24304,2008,7359,1664,3061,38396,18802,1061,4672,3861,1412,29808,10671,399,1825,6833,788,20516,2638,66,404,5531,326,8965,119610,9592,26581,18922,76783,251488
103,18,6,4,3,6872,6903,258,23,13,3,5663,5960,3818,196,190,12,6079,10295,7110,517,896,34,3532,12089,8214,704,1734,130,2674,13456,8606,578,1933,316,1389,12822,6340,362,1169,571,721,9163,3384,140,368,858,336,5086,667,19,46,462,84,1278,38415,2545,6353,2389,27350,77052,14,3,6,8,6548,6579,439,49,18,3,4971,5480,4846,353,287,33,4922,10441,7713,703,1258,129,2774,12577,8574,763,1945,343,1680,13305,8294,528,1938,867,712,12339,5374,287,1118,1914,371,9064,2393,78,355,2923,232,5981,378,14,78,2161,135,2766,38025,2778,7003,8381,22345,78532,32,9,10,11,13420,13482,697,72,31,6,10634,11440,8664,549,477,45,11001,20736,14823,1220,2154,163,6306,24666,16788,1467,3679,473,4354,26761,16900,1106,3871,1183,2101,25161,11714,649,2287,2485,1092,18227,5777,218,723,3781,568,11067,1045,33,124,2623,219,4044,76440,5323,13356,10770,49695,155584
104,11,4,0,3,4465,4483,141,14,8,0,2861,3024,1800,128,116,14,3385,5443,3987,353,572,21,2373,7306,5219,520,1445,66,1914,9164,6210,532,1795,210,1057,9804,4860,238,949,353,389,6789,2752,116,333,534,190,3925,628,17,52,436,38,1171,25608,1922,5270,1637,16672,51109,13,7,3,4,4221,4248,279,36,5,6,2676,3002,2459,197,212,20,3033,5921,4542,532,982,87,2083,8226,5760,667,1953,262,1466,10108,6129,457,1892,612,603,9693,4315,205,992,1273,205,6990,1906,64,335,2002,111,4418,334,9,73,1628,63,2107,25737,2174,6447,5894,14461,54713,24,11,3,7,8686,8731,420,50,13,6,5537,6026,4259,325,328,34,6418,11364,8529,885,1554,108,4456,15532,10979,1187,3398,328,3380,19272,12339,989,3687,822,1660,19497,9175,443,1941,1626,594,13779,4658,180,668,2536,301,8343,962,26,125,2064,101,3278,51345,4096,11717,7531,31133,105822
105,15,3,7,4,3854,3883,146,12,8,3,2935,3104,1979,104,96,7,3745,5931,3640,278,503,25,2405,6851,4571,420,985,81,1938,7995,4601,426,1193,192,1038,7450,3386,236,734,389,476,5221,1852,87,243,524,191,2897,357,7,42,280,40,726,20547,1573,3811,1505,16622,44058,6,4,7,4,3560,3581,258,30,3,0,2902,3193,2517,195,180,13,3481,6386,3918,386,671,67,2120,7162,4757,460,1179,191,1381,7968,4472,337,1094,531,528,6962,2969,159,595,1191,215,5129,1286,29,187,1821,118,3441,169,6,37,1167,63,1442,20352,1606,3953,4985,14368,45264,21,7,14,8,7414,7464,404,42,11,3,5837,6297,4496,299,276,20,7226,12317,7558,664,1174,92,4525,14013,9328,880,2164,272,3319,15963,9073,763,2287,723,1566,14412,6355,395,1329,1580,691,10350,3138,116,430,2345,309,6338,526,13,79,1447,103,2168,40899,3179,7764,6490,30990,89322
106,18,9,4,3,8444,8478,357,38,8,3,6956,7362,5502,299,329,12,8046,14188,9390,780,1268,48,4445,15931,10569,892,2248,152,2698,16559,10648,633,2236,347,1249,15113,7661,326,1301,615,535,10438,3715,114,370,794,268,5261,764,15,55,552,58,1444,48624,3106,7819,2526,32699,94774,10,4,0,5,8137,8156,678,56,17,8,6106,6865,6798,456,440,40,6385,14119,10308,981,1835,131,3381,16636,10753,957,2834,428,1746,16718,10392,547,2618,1042,698,15297,6566,253,1234,2001,305,10359,2638,72,392,3171,207,6480,407,10,97,2215,92,2821,48550,3336,9467,9041,27057,97451,28,13,4,8,16581,16634,1035,94,25,11,13062,14227,12300,755,769,52,14431,28307,19698,1761,3103,179,7826,32567,21322,1849,5082,580,4444,33277,21040,1180,4854,1389,1947,30410,14227,579,2535,2616,840,20797,6353,186,762,3965,475,11741,1171,25,152,2767,150,4265,97174,6442,17286,11567,59756,192225
107,17,3,11,8,9777,9816,253,25,13,6,9577,9874,6092,267,308,8,9901,16576,10973,690,1295,37,4952,17947,12020,862,2453,160,3407,18902,11239,693,2215,323,1373,15843,8272,336,1210,688,618,11124,5020,114,392,1131,296,6953,1132,23,83,750,77,2065,55018,3013,7980,3111,39978,109100,27,8,10,0,9162,9207,671,38,12,11,8580,9312,7747,447,495,31,7727,16447,11850,1048,1948,122,3840,18808,12343,1110,3278,454,2299,19484,10924,633,2852,1105,854,16368,7503,273,1572,2450,321,12119,3561,124,585,4198,185,8653,595,17,136,2890,99,3737,55221,3698,10888,11261,33067,114135,44,11,21,8,18939,19023,924,63,25,17,18157,19186,13839,714,803,39,17628,33023,22823,1738,3243,159,8792,36755,24363,1972,5731,614,5706,38386,22163,1326,5067,1428,2227,32211,15775,609,2782,3138,939,23243,8581,238,977,5329,481,15606,1727,40,219,3640,176,5802,110239,6711,18868,14372,73045,223235
108,12,7,14,0,6270,6303,146,13,10,5,3814,3988,2530,198,144,13,4455,7340,5565,533,846,41,3469,10454,7664,842,2099,129,2791,13525,9756,783,2736,310,1456,15041,9185,480,1854,703,646,12868,5292,194,670,1180,327,7663,1332,25,83,873,82,2395,41482,3075,8456,3254,23310,79577,26,5,5,5,5903,5944,333,40,10,5,3458,3846,3286,376,255,20,4040,7977,6491,801,1427,133,2861,11713,8490,1027,2851,386,2084,14838,9964,728,2882,992,937,15503,8292,330,1713,2431,388,13154,3863,127,577,3858,206,8631,709,12,141,3052,96,4010,41454,3446,9861,10882,19973,85616,38,12,19,5,12173,12247,479,53,20,10,7272,7834,5816,574,399,33,8495,15317,12056,1334,2273,174,6330,22167,16154,1869,4950,515,4875,28363,19720,1511,5618,1302,2393,30544,17477,810,3567,3134,1034,26022,9155,321,1247,5038,533,16294,2041,37,224,3925,178,6405,82936,6521,18317,14136,43283,165193
109,4,5,0,4,3942,3955,103,11,3,3,2813,2933,2046,118,105,7,3249,5525,3877,280,475,24,1878,6534,4716,383,987,53,1391,7530,5165,347,1164,196,748,7620,3925,233,706,315,355,5534,2200,67,242,529,165,3203,484,9,26,348,49,916,22520,1453,3708,1479,14590,43750,8,0,0,3,3628,3639,252,19,7,3,2740,3021,2678,173,161,14,2725,5751,4232,407,701,48,1508,6896,5035,485,1284,176,883,7863,5081,329,1141,471,365,7387,3502,143,589,1134,154,5522,1564,56,201,1685,114,3620,241,8,42,1302,58,1651,22593,1620,4126,4836,12175,45350,12,5,0,7,7570,7594,355,30,10,6,5553,5954,4724,291,266,21,5974,11276,8109,687,1176,72,3386,13430,9751,868,2271,229,2274,15393,10246,676,2305,667,1113,15007,7427,376,1295,1449,509,11056,3764,123,443,2214,279,6823,725,17,68,1650,107,2567,45113,3073,7834,6315,26765,89100
110,17,0,9,6,6173,6205,217,19,9,10,4842,5097,3220,212,181,8,5300,8921,6021,437,706,38,3156,10358,7293,642,1507,105,2408,11955,7835,545,1715,261,1275,11631,5969,302,934,584,615,8404,3019,116,296,713,258,4402,633,16,44,456,57,1206,34224,2289,5401,2181,24084,68179,17,7,6,3,5991,6024,484,39,7,6,4588,5124,4022,344,273,36,4745,9420,6651,626,1045,101,2679,11102,7859,756,1881,288,1617,12401,7526,496,1666,840,726,11254,5262,216,913,1820,317,8528,1988,65,290,2769,202,5314,304,20,62,1947,82,2415,34113,2569,6143,7810,20947,71582,34,7,15,9,12164,12229,701,58,16,16,9430,10221,7242,556,454,44,10045,18341,12672,1063,1751,139,5835,21460,15152,1398,3388,393,4025,24356,15361,1041,3381,1101,2001,22885,11231,518,1847,2404,932,16932,5007,181,586,3482,460,9716,937,36,106,2403,139,3621,68337,4858,11544,9991,45031,139761
